SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ACE, EQ, 14-Oct-2021,258.15,260.9,264.8,254.4,259.1,260.2,259.6,598061,14124,232712,38.91,6.041203520000001,,,
ACE, EQ, 18-Oct-2021,260.2,263.4,266.5,258.0,262.0,261.2,261.88,537255,14073,204549,38.07,5.356729211999999,,,
ACE, EQ, 19-Oct-2021,261.2,263.75,266.5,246.7,253.35,251.1,257.73,781148,20950,326289,41.77,8.409446397,,,
ACE, EQ, 20-Oct-2021,251.1,252.95,254.2,240.0,246.0,246.7,248.04,605428,16169,183133,30.25,4.542430932,,,
ACE, EQ, 21-Oct-2021,246.7,249.9,251.6,241.65,246.9,246.35,246.76,408218,11726,119207,29.2,2.941551932,,,
ACE, EQ, 22-Oct-2021,246.35,248.35,255.9,242.3,243.9,244.35,248.28,445993,14405,135564,30.4,3.365782992,5.4582723986,-0.811853054597118,61.66388824535937
ACE, EQ, 25-Oct-2021,244.35,245.0,246.65,225.8,227.9,227.7,231.09,852620,31077,345067,40.47,7.9741533030000005,4.923188293,-6.813996316758749,161.971324849346
ACE, EQ, 26-Oct-2021,227.7,232.2,247.0,230.5,246.6,244.7,239.18,816851,24053,208033,25.47,4.975733294,5.446673111200001,7.465963987703119,91.3536243577459
ACE, EQ, 27-Oct-2021,244.7,246.5,253.75,242.55,246.45,246.85,248.85,526770,16330,169648,32.21,4.2216904799999995,4.7599304906,0.8786268900694751,88.69227162743391
ACE, EQ, 28-Oct-2021,246.85,245.0,245.0,238.5,239.2,239.85,240.87,305944,10975,109635,35.83,2.640778245,4.695782400200001,-2.8357302005266356,56.237236309917705
