SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
AEGISCHEM, EQ, 14-Oct-2021,230.75,231.95,232.05,226.4,226.9,227.2,228.33,804656,20025,476518,59.22,10.880335494,,,
AEGISCHEM, EQ, 18-Oct-2021,227.2,229.0,230.3,225.5,226.4,226.2,228.17,540891,17779,340571,62.96,7.770808506999999,,,
AEGISCHEM, EQ, 19-Oct-2021,226.2,226.0,229.55,216.65,216.95,219.35,222.1,768837,20482,406963,52.93,9.03864823,,,
AEGISCHEM, EQ, 20-Oct-2021,219.35,220.0,220.0,211.5,212.6,212.25,214.37,504641,21526,284489,56.37,6.098590693,,,
AEGISCHEM, EQ, 21-Oct-2021,212.25,212.5,215.8,205.05,212.6,211.1,211.22,913777,25664,476386,52.13,10.062225092,,,
AEGISCHEM, EQ, 22-Oct-2021,211.1,212.25,214.9,207.75,210.0,210.3,210.24,616325,18700,343395,55.72,7.2195364799999995,8.7701216032,-0.37896731406915346,82.31968502427344
AEGISCHEM, EQ, 25-Oct-2021,210.3,212.7,213.7,207.1,209.2,208.9,208.91,591690,16779,352441,59.57,7.362844931000001,8.0379618004,-0.6657156443176442,91.60089477700176
AEGISCHEM, EQ, 26-Oct-2021,208.9,208.9,218.8,207.9,216.7,217.0,214.76,843555,18103,545611,64.68,11.717541836,7.9563690851999995,3.877453326950691,147.27247706238674
AEGISCHEM, EQ, 27-Oct-2021,217.0,219.25,219.25,213.4,214.55,214.75,215.93,306819,11781,155440,50.66,3.3564159200000003,8.4921478064,-1.0368663594470047,39.52375767023838
AEGISCHEM, EQ, 28-Oct-2021,214.75,221.0,230.0,215.5,222.3,220.45,220.58,1920430,37564,838494,43.66,18.495500652,7.943712851800001,2.654249126891729,232.83193888118734
AEGISCHEM, EQ, 29-Oct-2021,220.45,222.0,222.75,210.25,211.5,212.7,215.62,533913,16941,250765,46.97,5.406994930000001,9.630367963800001,-3.5155364028124296,56.14525790005723
AEGISCHEM, EQ, 01-Nov-2021,212.7,213.7,215.65,208.7,210.0,209.9,211.32,529548,17207,301584,56.95,6.373073088,9.2678596538,-1.316408086506809,68.76531719367284
AEGISCHEM, EQ, 02-Nov-2021,209.9,210.0,216.65,210.0,211.7,212.25,213.3,742180,19951,339150,45.7,7.2340695,9.0699052852,1.1195807527393968,79.75904127471252
AEGISCHEM, EQ, 03-Nov-2021,212.25,213.2,216.3,209.0,210.0,210.1,211.78,473960,20487,221049,46.64,4.681375722,8.173210818000001,-1.012956419316846,57.27707049584635
AEGISCHEM, EQ, 08-Nov-2021,211.7,213.0,215.95,210.05,210.7,210.8,212.13,671927,27219,361659,53.82,7.671872367,8.4382027784,0.3331746787244251,90.91832192796264
AEGISCHEM, EQ, 09-Nov-2021,210.8,211.0,215.85,210.9,211.5,211.65,212.75,587818,18770,337299,57.38,7.176036225,6.273477121400001,0.4032258064516102,114.38690356455116
AEGISCHEM, EQ, 10-Nov-2021,211.65,211.0,213.15,210.25,210.9,210.5,211.08,524830,27478,348557,66.41,7.357341156,6.627285380399999,-0.543349870068512,111.01590973823339
AEGISCHEM, EQ, 11-Nov-2021,210.5,210.9,211.85,206.25,207.85,207.5,207.46,1981592,13507,1495181,75.45,31.019025025999998,6.824138994,-1.4251781472684086,454.54855261994095
AEGISCHEM, EQ, 12-Nov-2021,207.5,208.55,211.7,207.8,210.45,210.2,209.95,328044,7400,177425,54.09,3.725037875,11.5811300992,1.301204819277103,32.16471832275952
AEGISCHEM, EQ, 15-Nov-2021,210.2,211.0,212.0,201.75,203.05,203.35,205.95,566540,12085,322368,56.9,6.639168959999999,11.389862529799998,-3.2588011417697405,58.29015883755869
AEGISCHEM, EQ, 16-Nov-2021,203.35,204.0,204.65,199.0,201.9,201.65,202.01,406755,9237,206720,50.82,4.1759507199999994,11.1833218484,-0.8359970494221729,37.340879361327275
AEGISCHEM, EQ, 17-Nov-2021,201.65,201.9,204.4,201.2,204.0,202.3,202.68,1118246,12735,836123,74.77,16.946540964,10.583304747399998,0.32234068931316917,160.1252290137753
AEGISCHEM, EQ, 18-Nov-2021,202.3,205.0,210.55,197.0,197.3,197.65,203.09,966625,14295,431761,44.67,8.768634148999999,12.501144709,-2.298566485417699,70.14264975820302
AEGISCHEM, EQ, 22-Nov-2021,197.65,199.0,199.8,192.2,194.85,194.45,193.99,682536,13971,424990,62.27,8.244381010000001,8.0510665336,-1.619023526435627,102.40110394806987
AEGISCHEM, EQ, 23-Nov-2021,194.45,194.0,206.8,191.75,200.65,200.15,200.81,999872,17895,484886,48.49,9.736995766,8.954935160599998,2.931344818719474,108.73329165844683
AEGISCHEM, EQ, 24-Nov-2021,200.15,201.2,204.35,201.1,202.25,202.15,202.95,607604,12995,363063,59.75,7.368363584999999,9.574500521800001,0.9992505620784412,76.95820338850167
AEGISCHEM, EQ, 25-Nov-2021,202.15,203.65,242.55,199.9,235.75,237.35,227.1,11674486,109355,3728527,31.94,84.67484816999999,10.212983094799998,17.412812268117726,829.0902607399075
AEGISCHEM, EQ, 26-Nov-2021,237.35,226.65,243.0,226.0,227.85,229.35,234.73,4452217,64280,1216280,27.32,28.549740439999997,23.758644536,-3.3705498209395413,120.16569546608751
AEGISCHEM, EQ, 29-Nov-2021,229.35,227.05,228.9,213.35,225.3,223.9,223.2,1449204,30223,484722,33.45,10.818995039999999,27.7148657942,-2.3762807935469756,39.036793900925666
AEGISCHEM, EQ, 30-Nov-2021,223.9,224.5,237.0,223.9,229.5,229.3,231.63,1500112,52215,643216,42.88,14.898812207999999,28.2297886002,2.4117909781152322,52.77691738681474
AEGISCHEM, EQ, 01-Dec-2021,229.3,233.2,238.7,230.0,233.15,234.1,234.51,927665,21742,308170,33.22,7.22689467,29.2621518886,2.093327518534663,24.697071826817584
AEGISCHEM, EQ, 02-Dec-2021,234.1,233.6,239.0,231.05,235.0,235.0,235.22,738495,19194,296906,40.2,6.983822931999999,29.2338581056,0.38445108927808874,23.88950136780676
AEGISCHEM, EQ, 03-Dec-2021,235.0,236.0,249.4,234.0,247.1,247.5,245.26,2623039,42510,960151,36.6,23.548663425999997,13.695653058,5.319148936170213,171.94261074133
AEGISCHEM, EQ, 06-Dec-2021,247.5,250.2,251.0,238.25,241.45,241.1,245.32,1064325,22201,429798,40.38,10.543804536,12.6954376552,-2.5858585858585883,83.05191851090932
AEGISCHEM, EQ, 07-Dec-2021,241.1,244.7,248.1,240.15,242.0,242.65,243.21,736040,15450,296810,40.33,7.2187160100000005,12.6403995544,0.6428867689755335,57.10828980470982
AEGISCHEM, EQ, 08-Dec-2021,242.65,244.9,246.3,236.5,238.3,237.8,241.3,577097,13251,299342,51.87,7.223122460000001,11.104380314799998,-1.9987636513496783,65.04750607625508
