SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ALEMBICLTD, EQ, 14-Oct-2021,114.2,115.2,115.2,113.3,113.7,113.4,113.93,164309,2608,113244,68.92,1.290188892,,,
ALEMBICLTD, EQ, 18-Oct-2021,113.4,113.6,115.0,113.0,113.25,113.1,113.63,241331,3853,133136,55.17,1.512824368,,,
ALEMBICLTD, EQ, 19-Oct-2021,113.1,113.9,113.95,109.5,109.95,110.5,112.22,196305,3904,126575,64.48,1.42042465,,,
ALEMBICLTD, EQ, 20-Oct-2021,110.5,109.3,110.9,108.0,108.8,108.3,109.16,193708,4693,107108,55.29,1.169190928,,,
ALEMBICLTD, EQ, 21-Oct-2021,108.3,109.65,109.9,107.75,108.05,108.2,108.47,138700,4887,57802,41.67,0.6269782939999999,,,
ALEMBICLTD, EQ, 22-Oct-2021,108.2,109.1,110.0,106.55,107.3,107.5,108.2,139568,4037,65661,47.05,0.7104520200000001,1.2039214264,-0.6469500924214444,59.01149397468686
ALEMBICLTD, EQ, 25-Oct-2021,107.5,107.5,107.85,103.8,104.9,104.7,105.29,171762,4310,90719,52.82,0.955180351,1.0879740519999999,-2.604651162790695,87.7944055048107
ALEMBICLTD, EQ, 26-Oct-2021,104.7,104.7,106.8,103.0,106.15,105.6,105.18,207075,7781,62269,30.07,0.6549453420000001,0.9764452485999999,0.8595988538681867,67.0744563444845
ALEMBICLTD, EQ, 27-Oct-2021,105.6,106.15,109.8,105.5,106.0,106.25,107.13,238026,5667,75752,31.83,0.811531176,0.823349387,0.6155303030303084,98.56461774471448
ALEMBICLTD, EQ, 28-Oct-2021,106.25,106.05,106.85,104.45,105.0,104.7,105.31,163030,4470,61683,37.84,0.6495836730000001,0.7518174366,-1.458823529411762,86.40178338210147
ALEMBICLTD, EQ, 29-Oct-2021,104.7,104.75,105.4,103.2,104.15,103.85,104.25,146247,4367,69961,47.84,0.729343425,0.7563385123999999,-0.8118433619866366,96.43081940725992
ALEMBICLTD, EQ, 01-Nov-2021,103.85,102.9,106.25,102.9,105.95,105.4,104.68,118189,4809,53190,45.0,0.55679292,0.7601167934,1.4925373134328468,73.25096943450848
ALEMBICLTD, EQ, 02-Nov-2021,105.4,105.9,105.9,104.45,105.0,104.8,105.08,134400,4756,55341,41.18,0.581523228,0.6804393072000001,-0.5692599620493439,85.4629093067773
ALEMBICLTD, EQ, 03-Nov-2021,104.8,105.3,108.0,105.05,106.7,106.4,107.01,322184,5229,108593,33.71,1.162053693,0.6657548844,1.5267175572519165,174.5467769338682
ALEMBICLTD, EQ, 08-Nov-2021,107.15,107.8,108.9,105.4,108.5,108.15,107.06,199666,4651,103232,51.7,1.105201792,0.7358593878,1.644736842105263,150.19198101205495
ALEMBICLTD, EQ, 09-Nov-2021,108.15,106.6,110.6,106.6,109.7,109.65,109.31,273074,4859,122685,44.93,1.341069735,0.8269830116,1.3869625520110955,162.16412141349483
