SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
AUTOAXLES, EQ, 14-Oct-2021,1390.55,1390.0,1418.0,1340.5,1350.0,1349.9,1369.92,38420,5873,21390,55.67,2.9302588800000002,,,
AUTOAXLES, EQ, 18-Oct-2021,1349.9,1390.4,1411.0,1361.25,1375.0,1380.1,1383.36,68033,8880,27662,40.66,3.826650432,,,
AUTOAXLES, EQ, 19-Oct-2021,1380.1,1400.0,1430.0,1360.0,1361.05,1378.25,1400.94,57773,9591,23360,40.43,3.27259584,,,
AUTOAXLES, EQ, 20-Oct-2021,1378.25,1379.0,1379.0,1262.0,1316.0,1286.2,1304.43,79293,10713,47467,59.86,6.191737881,,,
AUTOAXLES, EQ, 21-Oct-2021,1286.2,1294.0,1343.7,1289.95,1312.95,1306.3,1313.37,22002,3269,7944,36.11,1.043341128,,,
AUTOAXLES, EQ, 22-Oct-2021,1306.3,1317.0,1330.95,1271.0,1290.0,1280.05,1296.9,12347,1892,5512,44.64,0.7148512800000001,3.4529168322000006,-2.009492459618771,20.70282357610501
AUTOAXLES, EQ, 25-Oct-2021,1280.05,1281.0,1321.0,1234.15,1263.75,1264.5,1280.48,17633,3485,5882,33.36,0.7531783360000001,3.0098353122,-1.2147962970196442,25.023905226544578
AUTOAXLES, EQ, 26-Oct-2021,1264.5,1270.85,1320.0,1262.0,1314.9,1308.6,1304.47,10549,2240,5750,54.51,0.75007025,2.3951408929999998,3.487544483985758,31.316331001326198
AUTOAXLES, EQ, 27-Oct-2021,1308.6,1320.0,1375.0,1320.0,1357.0,1357.15,1352.9,31753,4288,14227,44.81,1.9247708300000002,1.8906357750000002,3.710071832492755,101.80548022265154
AUTOAXLES, EQ, 28-Oct-2021,1357.15,1367.0,1379.7,1301.1,1338.95,1310.35,1339.59,21370,5717,8356,39.1,1.119361404,1.0372423648,-3.4484029031426284,107.91705410295636
AUTOAXLES, EQ, 29-Oct-2021,1310.35,1316.95,1359.85,1283.65,1351.7,1333.95,1338.08,21688,3767,7863,36.26,1.052132304,1.05244642,1.801045522188739,99.97015373001125
AUTOAXLES, EQ, 01-Nov-2021,1333.95,1359.95,1380.0,1334.0,1347.0,1344.75,1358.92,12638,2525,7020,55.55,0.9539618400000001,1.1199026248000001,0.8096255481839615,85.18257024090511
