SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
AVANTIFEED, EQ, 14-Oct-2021,577.7,575.1,579.95,568.4,569.3,570.2,573.1,129719,6262,64672,49.86,3.70635232,,,
AVANTIFEED, EQ, 18-Oct-2021,570.2,574.85,578.5,550.0,554.0,553.7,560.88,348795,19695,174116,49.92,9.765818208,,,
AVANTIFEED, EQ, 19-Oct-2021,553.7,555.95,574.0,555.0,559.0,559.55,563.11,204873,11673,71892,35.09,4.048310411999999,,,
AVANTIFEED, EQ, 20-Oct-2021,559.55,561.0,563.95,548.0,553.8,552.2,554.19,146041,10689,57589,39.43,3.1915247910000004,,,
AVANTIFEED, EQ, 21-Oct-2021,552.2,559.0,565.0,548.0,553.1,550.95,554.94,143814,12911,60807,42.28,3.3744236580000004,,,
AVANTIFEED, EQ, 22-Oct-2021,550.95,552.9,560.5,550.35,555.0,557.15,555.98,154103,12293,71588,46.45,3.980149624,4.8172858778,1.125328977221151,82.62224258564636
AVANTIFEED, EQ, 25-Oct-2021,557.15,565.0,568.0,539.45,545.1,543.45,548.48,130300,9786,51432,39.47,2.820942336,4.8720453386,-2.458942834066218,57.900576450928675
AVANTIFEED, EQ, 26-Oct-2021,543.45,543.0,555.0,543.0,554.5,551.55,550.01,89936,6109,41731,46.4,2.2952467309999998,3.4830701641999995,1.4904775048302343,65.89722924881642
AVANTIFEED, EQ, 27-Oct-2021,551.55,554.5,558.0,548.0,553.0,552.15,552.46,78152,4133,42559,54.46,2.351214514,3.132457428,0.1087843350557561,75.05974360523696
AVANTIFEED, EQ, 28-Oct-2021,552.15,553.95,560.4,536.0,556.45,552.4,546.4,136083,10327,62840,46.18,3.4335776,2.9643953726000003,0.04527755139002083,115.82724867730754
AVANTIFEED, EQ, 29-Oct-2021,552.4,552.4,564.85,541.0,553.4,556.8,550.74,122402,9732,38768,31.67,2.1351088320000002,2.976226161,0.7965242577842103,71.73879660014185
AVANTIFEED, EQ, 01-Nov-2021,556.8,555.0,557.25,546.95,551.0,550.35,550.8,106828,5305,30281,28.35,1.6678774799999998,2.6072180026,-1.158405172413781,63.971538948286636
AVANTIFEED, EQ, 02-Nov-2021,550.35,551.0,557.9,550.55,555.9,555.55,555.13,64790,4268,27597,42.59,1.5319922609999999,2.3766050313999996,0.9448532751885039,64.46137413491635
AVANTIFEED, EQ, 03-Nov-2021,555.55,556.5,559.85,549.5,551.95,552.7,553.18,63210,4249,26685,42.22,1.47616083,2.2239541374,-0.5130051300512842,66.37550681354263
AVANTIFEED, EQ, 08-Nov-2021,556.6,560.0,572.25,553.55,565.0,565.35,562.3,123605,6625,45153,36.53,2.53895319,2.0489434006,2.2887642482359283,123.91524281522412
AVANTIFEED, EQ, 09-Nov-2021,565.35,567.7,580.0,563.15,574.0,573.9,572.04,175264,8409,78140,44.58,4.469920559999999,1.8700185185999998,1.5123374900504032,239.03081790582647
AVANTIFEED, EQ, 10-Nov-2021,573.9,574.0,588.0,570.3,575.35,573.15,579.32,238970,9582,72275,30.24,4.1870353,2.3369808642,-0.13068478829064298,179.16429544378465
AVANTIFEED, EQ, 11-Nov-2021,573.15,572.9,592.15,570.5,575.35,575.5,582.32,214034,9462,83558,39.04,4.8657494560000005,2.8408124282,0.410014830323654,171.28020870716355
AVANTIFEED, EQ, 12-Nov-2021,575.5,580.0,582.5,546.1,559.0,561.1,558.06,467839,22477,142383,30.43,7.945825697999999,3.5075638672000005,-2.5021720243266685,226.53402757119147
AVANTIFEED, EQ, 15-Nov-2021,561.1,530.0,552.5,530.0,550.3,549.95,546.69,261500,11629,138998,53.15,7.598881662,4.8014968408000005,-1.9871680627339114,158.2606823236796
AVANTIFEED, EQ, 16-Nov-2021,549.95,549.95,559.9,544.0,551.75,551.35,552.11,108577,7158,46739,43.05,2.580506929,5.8134825352,0.25456859714519087,44.38831480743793
AVANTIFEED, EQ, 17-Nov-2021,551.35,560.0,581.0,552.2,556.0,558.2,570.36,589770,21845,158863,26.94,9.060910068,5.435599809,1.2424050058946263,166.69568007926904
AVANTIFEED, EQ, 18-Nov-2021,558.2,557.0,557.7,545.1,551.5,547.2,551.12,86207,4810,36682,42.55,2.021618384,6.4103747626,-1.9706198495163023,31.53666453004764
AVANTIFEED, EQ, 22-Nov-2021,547.2,557.0,557.0,531.0,545.0,544.45,544.71,174787,9634,112661,64.46,6.136757331,5.8415485482,-0.5025584795321637,105.05360488514583
AVANTIFEED, EQ, 23-Nov-2021,544.45,539.95,546.0,538.0,542.3,542.1,542.15,96548,4775,52991,54.89,2.8729070649999997,5.4797348748,-0.43162824869134403,52.427847891178416
AVANTIFEED, EQ, 24-Nov-2021,542.1,548.0,548.0,542.0,544.3,544.15,544.71,84810,3745,45472,53.62,2.476905312,4.5345399554,0.37815901125252804,54.62307833566123
AVANTIFEED, EQ, 25-Nov-2021,544.15,542.3,544.0,536.85,542.5,542.05,540.93,63340,3552,39319,62.08,2.126882667,4.513819632,-0.38592299917302636,47.11935434729838
AVANTIFEED, EQ, 26-Nov-2021,542.05,538.0,551.5,530.0,542.15,540.4,540.86,156902,9611,88372,56.32,4.779687992,3.1270141518,-0.3043999631030306,152.85149858527737
AVANTIFEED, EQ, 29-Nov-2021,540.4,535.0,535.55,491.35,520.0,520.45,516.93,220046,12705,103050,46.83,5.326963649999999,3.6786280734,-3.691709844559573,144.80843248381214
AVANTIFEED, EQ, 30-Nov-2021,520.45,511.0,540.0,511.0,525.0,524.9,526.26,216289,12461,91242,42.19,4.801701492,3.5166693371999997,0.8550293015659395,136.5411709655692
AVANTIFEED, EQ, 01-Dec-2021,524.9,527.7,542.55,516.35,523.7,523.15,528.21,119752,7472,46697,38.99,2.466582237,3.9024282225999998,-0.3333968374928558,63.20634477568008
AVANTIFEED, EQ, 02-Dec-2021,523.15,523.15,544.7,518.0,522.95,524.85,531.6,348627,16895,84682,24.29,4.50169512,3.9003636076,0.32495460193062137,115.41731932962054
AVANTIFEED, EQ, 03-Dec-2021,524.85,525.85,538.0,525.0,534.1,535.35,533.5,209463,9098,80022,38.2,4.2691737,4.3753260982,2.000571591883395,97.57384030772765
AVANTIFEED, EQ, 06-Dec-2021,535.35,539.9,544.7,522.05,527.55,527.2,536.76,124168,9340,45560,36.69,2.4454785599999997,4.2732232398,-1.5223685439432104,57.227961722740595
