SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
BAJAJHLDNG, EQ, 14-Oct-2021,4732.1,4755.45,4808.0,4716.7,4745.0,4745.65,4749.29,27294,4664,18817,68.94,8.936738992999999,,,
BAJAJHLDNG, EQ, 18-Oct-2021,4745.65,4784.95,4796.6,4716.5,4763.0,4773.3,4766.5,29219,5585,17640,60.37,8.408106,,,
BAJAJHLDNG, EQ, 19-Oct-2021,4773.3,4807.95,4915.5,4747.55,4789.95,4805.6,4807.4,60765,7469,39855,65.59,19.1598927,,,
BAJAJHLDNG, EQ, 20-Oct-2021,4805.6,4810.0,4888.0,4686.65,4792.6,4783.8,4754.58,21788,5286,9117,41.84,4.334750586,,,
BAJAJHLDNG, EQ, 21-Oct-2021,4783.8,4785.0,4824.2,4702.55,4737.0,4733.15,4740.0,20080,4095,11331,56.43,5.370894,,,
BAJAJHLDNG, EQ, 22-Oct-2021,4733.15,4735.0,4799.75,4691.4,4769.0,4747.4,4722.39,48576,8401,33820,69.62,15.97112298,9.2420764558,0.3010679991126417,172.8088168971713
BAJAJHLDNG, EQ, 25-Oct-2021,4747.4,4748.1,4784.8,4654.6,4725.1,4735.45,4721.66,39884,5833,26699,66.94,12.606360034,10.6489532532,-0.25171672915700843,118.38121300994348
BAJAJHLDNG, EQ, 26-Oct-2021,4735.45,4735.55,4778.0,4703.1,4724.75,4725.5,4740.15,10372,3461,3696,35.63,1.7519594399999998,11.488604059999998,-0.21011730669735335,15.249541466049967
BAJAJHLDNG, EQ, 27-Oct-2021,4725.5,4749.95,4950.0,4725.6,4731.8,4783.35,4789.9,33423,7018,14404,43.1,6.899371959999999,8.007017408,1.2242090784044095,86.16656625607774
BAJAJHLDNG, EQ, 28-Oct-2021,4783.35,4770.0,4785.0,4730.0,4774.0,4771.85,4762.65,16493,3277,9437,57.22,4.494512804999999,8.519941682799999,-0.24041728077602514,52.752858790964396
BAJAJHLDNG, EQ, 29-Oct-2021,4771.85,4850.0,5090.0,4731.0,4809.0,4829.7,4883.02,165706,39912,16681,10.07,8.145365662,8.3446654438,1.2123180737030594,97.61165042334827
BAJAJHLDNG, EQ, 01-Nov-2021,4829.7,4855.0,4882.45,4734.0,4768.0,4763.75,4801.45,53708,11805,24523,45.66,11.774595835,6.779513980199999,-1.3655092448806307,173.67905530379394
BAJAJHLDNG, EQ, 02-Nov-2021,4763.75,4784.0,4877.0,4762.35,4867.55,4866.95,4825.64,22436,6250,8765,39.07,4.22967346,6.6131611404,2.1663605352925703,63.9584212482106
BAJAJHLDNG, EQ, 03-Nov-2021,4866.95,4889.0,4980.0,4817.8,4955.0,4925.8,4883.93,37958,6918,19221,50.64,9.387401853,7.1087039444,1.2091761780992276,132.0550402214328
BAJAJHLDNG, EQ, 08-Nov-2021,4957.75,4950.1,5067.75,4914.05,5049.95,5021.4,4982.22,48440,6570,14624,30.19,7.285998528,7.606309923,1.9408014941735239,95.78887268277828
BAJAJHLDNG, EQ, 09-Nov-2021,5021.4,5000.1,5090.0,4980.0,4989.0,5018.7,5046.05,28775,5222,5497,19.1,2.7738136850000004,8.1646070676,-0.05376986497789099,33.973633538440055
BAJAJHLDNG, EQ, 10-Nov-2021,5018.7,4968.5,5090.0,4968.5,5073.0,5073.0,5027.36,28976,4663,6951,23.99,3.494517936,7.0902966722,1.0819534939326954,49.285919864277126
BAJAJHLDNG, EQ, 11-Nov-2021,5073.0,5026.0,5160.0,4872.35,4915.0,4911.6,5018.29,48312,8365,17055,35.3,8.558693595000001,5.434281092400001,-3.1815493790656344,157.49449558230583
BAJAJHLDNG, EQ, 12-Nov-2021,4911.6,4975.0,4992.05,4890.1,4990.0,4984.3,4949.95,27712,3806,7500,27.06,3.7124625,6.3000851194,1.480169394901861,58.92718002441153
BAJAJHLDNG, EQ, 15-Nov-2021,4984.3,5033.65,5055.0,4839.65,4875.05,4894.3,4946.89,31587,5818,12005,38.01,5.938741445000001,5.1650972488,-1.8056698031819913,114.97830842158375
BAJAJHLDNG, EQ, 16-Nov-2021,4894.3,4900.0,4971.0,4869.9,4902.0,4897.5,4917.65,14196,3575,4399,30.99,2.163274235,4.8956458322000005,0.06538217926975907,44.18771923351878
BAJAJHLDNG, EQ, 17-Nov-2021,4897.5,4897.5,4983.95,4897.5,4929.0,4929.7,4944.59,13178,3552,4937,37.46,2.441144083,4.7735379422,0.6574783052577808,51.13909457845307
BAJAJHLDNG, EQ, 18-Nov-2021,4929.7,4929.7,4967.45,4805.0,4900.0,4890.15,4881.5,11522,3792,5118,44.42,2.4983517,4.562863171600001,-0.8022800576100003,54.754035044271006
BAJAJHLDNG, EQ, 22-Nov-2021,4890.15,4900.0,4931.0,4850.0,4875.0,4872.1,4877.35,69813,6621,57562,82.45,28.075002070000004,3.3507947926,-0.36910933202456514,837.8609794906484
BAJAJHLDNG, EQ, 23-Nov-2021,4872.1,4872.1,5023.65,4789.6,4970.0,4974.35,4931.35,24505,5167,13009,53.09,6.415193215,8.2233027066,2.0986843455594095,78.01236855662852
BAJAJHLDNG, EQ, 24-Nov-2021,4974.35,5011.7,5011.7,4900.0,4909.5,4910.95,4945.04,18142,5227,7862,43.34,3.8877904479999996,8.318593060600001,-1.2745383818991536,46.736153814447825
BAJAJHLDNG, EQ, 25-Nov-2021,4910.95,4825.4,4974.0,4825.4,4950.0,4935.55,4913.89,13121,2847,6013,45.83,2.954722057,8.6634963032,0.5009214103177667,34.10542295618718
BAJAJHLDNG, EQ, 26-Nov-2021,4935.55,4970.0,5099.0,4890.3,5050.0,5036.7,4974.78,111567,11777,73494,65.87,36.561648132,8.766211898,2.0494169849358155,417.0746561618194
BAJAJHLDNG, EQ, 29-Nov-2021,5036.7,5036.7,5084.7,4890.0,4911.85,4940.35,5023.11,152223,9322,120655,79.26,60.606333705,15.5788711844,-1.9129588818075218,389.029044451491
