SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
BAJFINANCE, EQ, 14-Oct-2021,7929.3,7969.0,7969.0,7812.35,7860.8,7862.9,7856.18,1134849,102871,672181,59.23,528.077492858,,,
BAJFINANCE, EQ, 18-Oct-2021,7862.9,8050.0,8050.0,7800.8,7850.0,7865.55,7873.77,855098,78983,332210,38.85,261.57451317000005,,,
BAJFINANCE, EQ, 19-Oct-2021,7865.55,7890.0,7914.7,7671.0,7720.3,7739.3,7838.98,1244989,92653,675282,54.24,529.352209236,,,
BAJFINANCE, EQ, 20-Oct-2021,7739.3,7741.0,7833.55,7575.0,7770.0,7761.35,7722.48,1102899,103398,412086,37.36,318.23258932799996,,,
BAJFINANCE, EQ, 21-Oct-2021,7761.35,7830.0,7830.0,7685.0,7750.0,7737.3,7742.27,639461,70128,306419,47.92,237.237863113,,,
BAJFINANCE, EQ, 22-Oct-2021,7737.3,7756.0,7935.0,7665.0,7715.75,7710.2,7819.93,1517376,119184,606294,39.96,474.11766394200004,374.894933541,-0.3502513796802549,126.46681017100185
BAJFINANCE, EQ, 25-Oct-2021,7710.2,7750.0,7837.75,7350.5,7635.0,7646.65,7664.97,1169729,104466,403611,34.5,309.366620667,364.1029677578,-0.8242328344271249,84.9667945779529
BAJFINANCE, EQ, 26-Oct-2021,7646.65,7695.0,7894.95,7651.1,7880.0,7855.65,7791.46,1660575,130085,718129,43.25,559.527337834,373.6613892572,2.733223045385888,149.74181275359547
BAJFINANCE, EQ, 27-Oct-2021,7855.65,7870.0,7919.95,7461.0,7478.0,7482.15,7580.07,3112233,273116,1249140,40.14,946.85686398,379.6964149768,-4.754539726184339,249.3720842841917
BAJFINANCE, EQ, 28-Oct-2021,7482.15,7540.0,7596.0,7353.4,7460.85,7484.25,7486.47,1572302,140579,568362,36.15,425.50250621400005,505.4212699072,0.02806679898158102,84.18769283139315
BAJFINANCE, EQ, 29-Oct-2021,7484.25,7480.0,7549.7,7313.05,7418.95,7400.2,7451.05,948334,93227,210766,22.22,157.04280043,543.0741985274001,-1.1230250192070037,28.917374615814417
BAJFINANCE, EQ, 01-Nov-2021,7400.2,7430.0,7500.2,7220.0,7416.0,7413.95,7372.17,1037314,107676,238958,23.04,176.16389988600002,479.6592258250001,0.18580578903272885,36.7268865897457
BAJFINANCE, EQ, 02-Nov-2021,7413.95,7466.7,7555.0,7400.25,7460.0,7455.35,7467.97,687116,66760,166112,24.18,124.05194326400002,453.01868166879996,0.5584067872052084,27.383405648311403
BAJFINANCE, EQ, 03-Nov-2021,7455.35,7486.0,7538.8,7451.0,7530.0,7516.25,7495.71,668704,61738,298547,44.65,223.782173337,365.9236027548,0.8168630580723861,61.155435629811805
BAJFINANCE, EQ, 08-Nov-2021,7525.1,7543.9,7713.15,7486.0,7688.0,7673.65,7633.83,900301,83917,360973,40.09,275.56065165900003,221.30866462620003,2.094129386329614,124.51417215156665
BAJFINANCE, EQ, 09-Nov-2021,7673.65,7700.0,7754.4,7550.0,7570.0,7577.5,7623.37,800247,63423,364070,45.49,277.54403159000003,191.32029371520002,-1.252989125122981,145.06774278903885
BAJFINANCE, EQ, 10-Nov-2021,7577.5,7545.0,7610.0,7505.0,7570.0,7581.45,7566.45,464989,46921,147009,31.62,111.23362480499999,215.42053994720004,0.052128010557569354,51.6355705135005
BAJFINANCE, EQ, 11-Nov-2021,7581.45,7570.2,7600.95,7410.0,7446.0,7452.7,7476.38,634400,78602,247962,39.09,185.385813756,202.43448493100001,-1.6982239545205735,91.57817840136721
BAJFINANCE, EQ, 12-Nov-2021,7452.7,7500.0,7600.25,7453.0,7583.4,7579.1,7529.86,497128,48859,161838,32.55,121.86174826799999,214.70125902939998,1.6960296268466537,56.75874879304407
BAJFINANCE, EQ, 15-Nov-2021,7579.1,7579.0,7627.45,7490.0,7525.0,7534.25,7538.03,402518,44440,117472,29.18,88.55074601599999,194.3171740156,-0.5917589159662805,45.570210901117285
BAJFINANCE, EQ, 16-Nov-2021,7534.25,7525.0,7650.0,7500.75,7538.0,7555.7,7596.98,598049,64412,177258,29.64,134.66254808399998,156.91519288699996,0.28469987059096546,85.81868052826161
BAJFINANCE, EQ, 17-Nov-2021,7555.7,7528.0,7692.0,7521.25,7608.6,7607.65,7632.84,645574,68236,213775,33.11,163.1710371,128.3388961858,0.6875603848749926,127.1407515175855
BAJFINANCE, EQ, 18-Nov-2021,7607.65,7620.0,7697.7,7440.0,7465.0,7484.95,7549.7,772539,82127,225382,29.17,170.15664854,138.7263786448,-1.6128502231306623,122.65630387114419
BAJFINANCE, EQ, 22-Nov-2021,7484.95,7492.0,7514.5,6990.05,7065.7,7058.3,7131.61,1935243,217304,878981,45.42,626.854968941,135.6805456016,-5.700104877120083,462.0079954436799
BAJFINANCE, EQ, 23-Nov-2021,7058.3,7000.0,7178.0,6924.1,7110.7,7114.3,7097.9,1187589,125975,418062,35.2,296.73622697999997,236.6791897362,0.7933921765864301,125.37487022443288
BAJFINANCE, EQ, 24-Nov-2021,7114.3,7160.0,7319.8,7066.0,7125.0,7177.3,7209.0,1099380,109496,398311,36.23,287.1423999,278.31628592899995,0.8855403904811435,103.1712531451543
BAJFINANCE, EQ, 25-Nov-2021,7177.3,7150.0,7205.0,7086.8,7142.65,7125.8,7143.27,615486,66577,148649,24.15,106.183994223,308.8122562922,-0.7175400220138491,34.38464376314393
BAJFINANCE, EQ, 26-Nov-2021,7125.8,7021.0,7047.9,6775.0,6780.0,6807.05,6877.27,1689082,197357,722597,42.78,496.94946701900005,297.41484771679995,-4.473181958516938,167.08966308642331
BAJFINANCE, EQ, 29-Nov-2021,6807.05,6767.0,6980.0,6678.3,6910.0,6905.75,6865.92,1491815,160192,448254,30.05,307.76761036799996,362.7734114126,1.4499673133001787,84.83742211690391
BAJFINANCE, EQ, 30-Nov-2021,6905.75,6910.0,7199.8,6849.25,6983.0,6997.25,7047.95,2195539,178023,917065,41.77,646.342826675,298.955939698,1.3249828041849183,216.20002844831384
BAJFINANCE, EQ, 01-Dec-2021,6997.25,7032.2,7107.7,6951.0,7050.0,7038.7,7034.68,1136768,100822,327006,28.77,230.038256808,368.877259637,0.5923755761191871,62.36173437049849
BAJFINANCE, EQ, 02-Dec-2021,7038.7,7090.0,7210.0,7022.4,7190.0,7180.5,7120.47,847704,78637,275262,32.47,195.999481314,357.4564310186,2.014576555329822,54.83171214894196
BAJFINANCE, EQ, 03-Dec-2021,7180.5,7160.0,7233.8,7055.0,7085.0,7069.25,7138.12,816411,82555,273757,33.53,195.411031684,375.41952843679996,-1.5493350045261474,52.05137636224389
BAJFINANCE, EQ, 06-Dec-2021,7069.25,7069.25,7095.9,6938.1,6951.0,6951.75,6983.22,858253,75685,333206,38.82,232.685080332,315.11184136979995,-1.662128231424833,73.84206170117615
BAJFINANCE, EQ, 07-Dec-2021,6951.75,7048.0,7170.0,6958.0,7099.0,7103.15,7097.56,1079608,98653,364124,33.73,258.439193744,300.0953353626,2.177868881936198,86.11903061796427
BAJFINANCE, EQ, 08-Dec-2021,7103.15,7120.0,7386.35,7120.0,7360.0,7361.5,7298.88,1402691,129056,405234,28.89,295.775433792,222.51460877640002,3.6371187430928584,132.92405178179476
BAJFINANCE, EQ, 09-Dec-2021,7361.5,7400.0,7468.1,7337.0,7434.0,7440.3,7416.65,1076950,83232,312993,29.06,232.135953345,235.6620441732,1.0704340148067675,98.50375106412618
BAJFINANCE, EQ, 10-Dec-2021,7440.3,7374.0,7467.0,7360.0,7436.65,7452.5,7412.53,679145,71138,272293,40.09,201.838003129,242.8893385794,0.16397188285418354,83.09874954145819
BAJFINANCE, EQ, 13-Dec-2021,7452.5,7470.0,7477.0,7199.0,7230.0,7218.75,7283.94,1298599,134075,590793,45.49,430.330076442,244.17473286839999,-3.136531365313653,176.23857775404224
BAJFINANCE, EQ, 14-Dec-2021,7218.75,7180.0,7180.0,7035.0,7073.05,7065.9,7086.52,1276481,119348,570930,44.73,404.59068636000006,283.70373209039997,-2.1174025974026027,142.61027987854612
BAJFINANCE, EQ, 15-Dec-2021,7065.9,7072.5,7072.5,6831.0,6859.0,6847.25,6908.79,1817528,148378,844757,46.48,583.6248714029999,312.9340306136,-3.0944394910768573,186.50092808974154
BAJFINANCE, EQ, 16-Dec-2021,6847.25,6945.0,7063.45,6932.9,7045.0,7028.85,7008.04,1768318,130718,477435,27.0,334.58835774,370.5039181358,2.6521596261272826,90.3062940396123
BAJFINANCE, EQ, 17-Dec-2021,7028.85,7000.0,7025.0,6865.0,6900.0,6901.1,6941.87,1680511,101409,713477,42.46,495.286458199,390.9943990148,-1.817509265384807,126.67354300905274
BAJFINANCE, EQ, 20-Dec-2021,6901.1,6850.0,6864.85,6492.6,6630.0,6634.15,6611.36,2226319,250157,872342,39.18,576.736700512,449.6840900288,-3.8682239063337835,128.25374819799893
