SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
BANKBARODA, EQ, 14-Oct-2021,87.85,88.25,89.35,88.1,88.5,88.75,88.79,35030330,78434,15148037,43.24,134.499420523,,,
BANKBARODA, EQ, 18-Oct-2021,88.75,90.5,93.5,89.25,93.1,93.05,91.76,109088221,218435,42477244,38.94,389.771190944,,,
BANKBARODA, EQ, 19-Oct-2021,93.05,94.5,94.9,88.55,89.15,89.35,92.18,80356848,173554,22941826,28.55,211.477752068,,,
BANKBARODA, EQ, 20-Oct-2021,89.35,89.1,93.1,86.9,93.0,92.2,90.85,76835176,164063,19674524,25.61,178.74305053999998,,,
BANKBARODA, EQ, 21-Oct-2021,92.2,93.35,95.9,91.4,95.8,95.45,94.45,130557379,281066,38023078,29.12,359.12797171,,,
BANKBARODA, EQ, 22-Oct-2021,95.45,96.2,97.4,93.8,94.4,94.55,95.84,82861993,191895,21086744,25.45,202.095354496,254.72387715699998,-0.9429020429544324,79.33899120553893
BANKBARODA, EQ, 25-Oct-2021,94.55,95.5,100.2,94.1,96.25,96.5,97.67,142700372,314812,38597595,27.05,376.982710365,268.2430639516,2.062400846113171,140.53772903258377
BANKBARODA, EQ, 26-Oct-2021,96.5,96.9,103.4,96.5,100.2,99.9,100.81,148211296,341800,35001633,23.62,352.851462273,265.68536783580004,3.5233160621761717,132.8080146630697
BANKBARODA, EQ, 27-Oct-2021,99.9,100.9,103.75,98.9,102.4,102.6,101.73,70719485,180347,16709356,23.63,169.98427858800002,293.9601098768,2.702702702702691,57.82562765377969
BANKBARODA, EQ, 28-Oct-2021,102.6,100.2,101.45,97.4,98.0,97.8,99.14,62486211,167783,10848353,17.36,107.55057164200001,292.2083554864,-4.678362573099413,36.80612467873309
BANKBARODA, EQ, 29-Oct-2021,97.8,96.9,101.15,93.0,97.6,97.5,97.46,76217130,175641,7866634,10.32,76.668214964,241.8928754728,-0.30674846625766583,31.695110827115315
BANKBARODA, EQ, 01-Nov-2021,97.5,98.4,99.4,97.25,99.0,99.05,98.56,30772894,81966,5439994,17.68,53.616580864,216.80744756640001,1.5897435897435868,24.73004569991962
BANKBARODA, EQ, 02-Nov-2021,99.05,98.95,102.8,98.8,102.1,102.3,101.16,61862153,149279,11347492,18.34,114.79122907200001,152.13422166619998,3.2811711256940943,75.4539168208092
BANKBARODA, EQ, 03-Nov-2021,102.3,102.7,104.35,100.2,101.4,100.9,102.33,69238647,165400,13655925,19.72,139.741080525,104.52217502600001,-1.3685239491691021,133.6951517610873
BANKBARODA, EQ, 08-Nov-2021,102.6,103.0,106.4,101.45,106.3,105.65,104.08,66190588,161783,13063915,19.74,135.96922732000002,98.47353541340001,4.707631318136769,138.07692264646536
BANKBARODA, EQ, 09-Nov-2021,105.65,106.2,107.2,104.7,106.05,106.35,105.94,53688615,124929,8405183,15.66,89.044508702,104.157266549,0.662565073355408,85.49044310807608
BANKBARODA, EQ, 10-Nov-2021,106.35,105.3,108.0,99.25,101.4,100.7,103.54,113046964,248014,21556557,19.07,223.19659117800003,106.63252529660001,-5.312646920545362,209.31380041612564
BANKBARODA, EQ, 11-Nov-2021,100.7,102.3,103.1,100.25,101.3,101.3,101.87,52639047,146767,14531246,27.61,148.029803002,140.5485273594,0.5958291956305802,105.32291286373243
BANKBARODA, EQ, 12-Nov-2021,101.3,102.25,102.75,99.8,101.35,101.35,101.1,25655521,74780,6198372,24.16,62.66554091999999,147.19624214540002,0.04935834155972079,42.5727858311078
BANKBARODA, EQ, 15-Nov-2021,101.35,102.0,102.45,98.0,98.75,98.9,100.29,25227908,80863,8680625,34.41,87.057988125,131.7811342244,-2.417365564874187,66.0625579202829
BANKBARODA, EQ, 16-Nov-2021,98.9,99.0,99.95,96.05,96.4,96.75,98.26,29306507,88149,8918601,30.43,87.634173426,121.99888638539998,-2.1739130434782665,71.83194537461571
BANKBARODA, EQ, 17-Nov-2021,96.75,96.0,98.85,95.5,97.6,97.55,97.83,36609592,87118,8801492,24.04,86.104996236,121.7168193302,0.8268733850129169,70.74206893495113
BANKBARODA, EQ, 18-Nov-2021,97.55,97.9,98.7,95.65,96.05,96.25,96.8,33211505,84778,5184148,15.61,50.18255264,94.2985003418,-1.3326499231163478,53.21670276632747
BANKBARODA, EQ, 22-Nov-2021,96.25,96.5,96.9,89.45,90.9,90.85,92.39,48614287,140120,12358070,25.42,114.17620873,74.72905026939999,-5.610389610389617,152.78691261081477
BANKBARODA, EQ, 23-Nov-2021,90.85,90.0,93.8,89.4,93.1,93.4,92.67,39536347,97941,8557282,21.64,79.300332294,85.0311838314,2.8068244358833367,93.26029430712956
BANKBARODA, EQ, 24-Nov-2021,93.4,93.75,95.25,92.8,92.9,93.35,94.31,30226185,83956,9645711,31.91,90.968700441,83.47965266519999,-0.053533190578170624,108.97110557687064
BANKBARODA, EQ, 25-Nov-2021,93.35,93.25,93.6,92.05,93.15,93.05,92.9,31171968,63986,9358784,30.02,86.94310336000001,84.1465580682,-0.3213711837171903,103.32342208166547
BANKBARODA, EQ, 26-Nov-2021,93.05,92.0,92.0,88.0,88.1,88.85,89.84,51003702,136384,17972423,35.24,161.46424823200002,84.31417949300001,-4.51370231058571,191.50307718455022
BANKBARODA, EQ, 29-Nov-2021,88.85,88.1,88.6,85.05,86.15,86.25,87.22,33701300,81250,6096027,18.09,53.169547494,106.5705186114,-2.9262802476083225,49.89142230589875
BANKBARODA, EQ, 30-Nov-2021,86.25,86.45,88.75,85.2,85.4,85.75,86.96,30142735,80304,5376323,17.84,46.752504808,94.3691863642,-0.5797101449275363,49.54212980873604
BANKBARODA, EQ, 01-Dec-2021,85.75,86.6,87.95,85.7,87.5,87.55,86.72,30727942,71555,5973226,19.44,51.799815871999996,87.85962086700002,2.0991253644314836,58.957477121843525
BANKBARODA, EQ, 02-Dec-2021,87.55,87.1,88.4,86.45,88.0,88.1,87.47,21585217,43315,3630878,16.82,31.759289865999996,80.02584395320001,0.6282124500285519,39.68629169918305
BANKBARODA, EQ, 03-Dec-2021,88.1,87.8,90.6,87.55,88.55,88.6,89.12,28211821,63793,5747912,20.37,51.225391744,68.98908125440002,0.5675368898978435,74.25144792855598
BANKBARODA, EQ, 06-Dec-2021,88.6,89.2,89.95,86.75,87.2,87.05,88.41,24712723,59098,4219748,17.08,37.306792068,46.9413099568,-1.749435665914218,79.47539619651299
BANKBARODA, EQ, 07-Dec-2021,87.05,88.45,90.0,87.8,89.6,89.55,89.08,21988255,50998,3695108,16.8,32.916022063999996,43.7687588716,2.871912693854107,75.20437616374367
BANKBARODA, EQ, 08-Dec-2021,89.55,90.25,92.3,89.85,92.0,92.1,91.21,29858717,74295,7423230,24.86,67.70728083,41.0014623228,2.8475711892797286,165.13381961098858
BANKBARODA, EQ, 09-Dec-2021,92.1,92.35,92.9,91.0,92.25,92.25,92.1,21178261,50721,3103308,14.65,28.581466680000002,44.1829553144,0.16286644951140683,64.6888975094991
BANKBARODA, EQ, 10-Dec-2021,92.25,92.2,94.7,91.15,94.25,94.2,93.15,33983368,72811,9890018,29.1,92.12551767000001,43.5473906772,2.113821138211385,211.55232549497836
BANKBARODA, EQ, 13-Dec-2021,94.2,95.0,95.3,92.85,93.05,93.15,93.98,22565314,60126,5668653,25.12,53.274000894,51.72741586240001,-1.1146496815286593,102.98987491606783
BANKBARODA, EQ, 14-Dec-2021,93.15,92.3,93.05,91.0,92.25,92.35,92.2,16368468,43154,2022639,12.36,18.64873158,54.9208576276,-0.8588298443371029,33.95564524219709
BANKBARODA, EQ, 15-Dec-2021,92.35,91.9,93.05,89.95,90.3,90.25,91.36,19024060,45863,3614798,19.0,33.024794527999994,52.0673995308,-2.273957769355706,63.427009655945035
BANKBARODA, EQ, 16-Dec-2021,90.25,91.0,91.7,88.0,88.75,88.65,89.33,18541507,51041,3654264,19.71,32.643540312,45.1309022704,-1.7728531855955614,72.33079479868923
BANKBARODA, EQ, 17-Dec-2021,88.65,88.4,88.6,84.65,84.9,84.9,86.0,29601923,82889,9046835,30.56,77.802781,45.9433169968,-4.230118443316413,169.34515417208348
BANKBARODA, EQ, 20-Dec-2021,84.9,83.7,83.75,79.1,79.9,80.15,80.96,34196245,111199,8110411,23.72,65.66188745599999,43.07876966279999,-5.5948174322732624,152.42284765783666
BANKBARODA, EQ, 21-Dec-2021,80.15,80.8,82.25,78.55,79.05,78.95,80.41,27610330,77835,6390352,23.14,51.384820432,45.55634697519999,-1.4971927635683129,112.79398776195315
BANKBARODA, EQ, 22-Dec-2021,78.95,79.5,81.85,78.7,80.1,79.85,79.94,39202046,107549,10039916,25.61,80.25908850399999,52.10356474559999,1.1399620012666136,154.03761507657242
BANKBARODA, EQ, 23-Dec-2021,79.85,80.8,82.0,80.2,81.15,81.2,81.14,23073036,61221,5207697,22.57,42.255253458,61.5504235408,1.6906700062617515,68.65144222767242
BANKBARODA, EQ, 24-Dec-2021,81.2,81.4,81.65,78.85,79.5,79.45,79.63,23406108,61583,4101319,17.52,32.658803197,63.47276617,-2.155172413793103,51.45325336779788
BANKBARODA, EQ, 27-Dec-2021,79.45,78.5,80.1,77.05,80.05,79.85,78.92,26525913,61887,3929211,14.81,31.009333212,54.443970609400004,0.5034612964128276,56.956413841436635
BANKBARODA, EQ, 28-Dec-2021,79.85,81.0,81.2,80.1,80.75,80.9,80.68,20504216,56508,4368259,21.3,35.243113612,47.5134597606,1.3149655604258128,74.17501017516926
BANKBARODA, EQ, 29-Dec-2021,80.9,80.5,81.4,80.4,80.85,80.95,81.0,19184063,51427,4741403,24.72,38.4053643,44.2851183966,0.061804697156980413,86.72295726084947
BANKBARODA, EQ, 30-Dec-2021,80.95,80.55,80.6,79.6,80.35,80.15,80.07,20421280,46299,5025865,24.61,40.24210105499999,35.9143735558,-0.988264360716488,112.05012665047889
BANKBARODA, EQ, 31-Dec-2021,80.15,80.1,82.3,80.1,81.95,81.95,81.69,22468020,51568,5865455,26.11,47.914901895,35.5117430752,2.2457891453524605,134.92692204247746
BANKBARODA, EQ, 03-Jan-2022,81.95,81.6,84.1,81.6,83.95,83.8,82.99,21177306,51299,5293245,24.99,43.928640255,38.5629628148,2.2574740695545996,113.91406948156148
BANKBARODA, EQ, 04-Jan-2022,83.8,84.1,84.65,83.1,83.95,83.9,84.04,24456776,52455,5180165,21.18,43.53410666,41.1468242234,0.11933174224344693,105.80186316114857
BANKBARODA, EQ, 05-Jan-2022,83.9,83.8,85.85,83.45,84.75,84.9,84.81,33925654,71220,11147060,32.86,94.53821586000001,42.805022832999995,1.1918951132300357,220.85776295186776
BANKBARODA, EQ, 06-Jan-2022,84.9,83.45,87.3,83.25,86.7,86.6,85.49,34206729,71552,6742013,19.71,57.637469137000004,54.031593145,2.002355712603049,106.67364366311247
BANKBARODA, EQ, 07-Jan-2022,86.6,87.1,88.55,86.5,87.45,87.6,87.61,39877581,77562,10724660,26.89,93.95874626,57.5106667614,1.1547344110854503,163.37620749523845
BANKBARODA, EQ, 10-Jan-2022,87.6,88.1,92.45,87.7,91.9,92.15,90.86,42535778,137223,12296787,28.91,111.72860668199999,66.7194356344,5.194063926940653,167.46035936849805
BANKBARODA, EQ, 11-Jan-2022,92.15,92.2,92.95,91.3,92.1,92.2,92.19,27427262,82636,7384469,26.92,68.077419711,80.27942891979998,0.05425935973955198,84.80057796501029
BANKBARODA, EQ, 12-Jan-2022,92.2,92.6,93.5,92.1,92.55,92.75,92.81,23947845,62549,6169735,25.76,57.261310535,85.18809153000001,0.5965292841648558,67.21750599945621
BANKBARODA, EQ, 13-Jan-2022,92.75,92.6,94.65,92.2,93.9,93.9,93.61,25289041,60337,7239135,28.63,67.765542735,77.732710465,1.2398921832884158,87.17764031335582
BANKBARODA, EQ, 14-Jan-2022,93.9,93.1,94.6,92.95,93.35,93.6,93.8,17230925,54933,4776166,27.72,44.80043708,79.75832518460001,-0.3194888178913859,56.17023298359105
BANKBARODA, EQ, 17-Jan-2022,93.6,93.15,94.7,93.15,93.85,93.75,93.98,14506863,46946,5056877,34.86,47.524530046,69.92666334859999,0.16025641025641635,67.96338874211635
BANKBARODA, EQ, 18-Jan-2022,93.75,93.85,95.9,91.7,92.3,92.25,94.03,36750278,97542,9085142,24.72,85.42759022599999,57.0858480214,-1.6,149.64758024436358
BANKBARODA, EQ, 19-Jan-2022,92.25,92.25,96.35,91.5,95.8,95.85,94.26,35333475,86748,9031507,25.56,85.130984982,60.5558821244,3.9024390243902376,140.5825198072672
BANKBARODA, EQ, 20-Jan-2022,95.85,95.95,97.5,95.55,96.5,96.7,96.56,37096905,96480,9870005,26.61,95.30476828,66.1298170138,0.8868022952530084,144.1176954415461
BANKBARODA, EQ, 21-Jan-2022,96.7,95.6,95.7,91.55,93.05,92.7,93.73,39203300,93802,8282544,21.13,77.632284912,71.63766212280001,-4.1365046535677354,108.36797658042514
BANKBARODA, EQ, 24-Jan-2022,92.7,92.3,93.6,90.7,92.05,92.6,91.99,56181631,119823,22287997,39.67,205.027284403,78.2040316892,-0.10787486515642775,262.16971168164764
BANKBARODA, EQ, 25-Jan-2022,92.6,92.0,99.7,91.55,98.15,98.5,96.87,65620823,156567,18799126,28.65,182.107133562,109.70458256060002,6.371490280777545,165.9977453188023
BANKBARODA, EQ, 27-Jan-2022,98.5,97.0,104.0,96.1,103.55,103.5,101.02,94518500,257827,25119433,26.58,253.756512166,129.0404912278,5.0761421319796955,196.64874935886144
BANKBARODA, EQ, 28-Jan-2022,103.5,104.45,106.5,102.75,103.15,103.3,104.6,56977661,157426,15206226,26.69,159.05712395999998,162.7655966646,-0.19323671497584816,97.72158688285842
