SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
BLUESTARCO, EQ, 14-Oct-2021,914.3,918.95,919.05,906.0,915.0,914.85,913.51,46153,5456,25349,54.92,2.3156564989999997,,,
BLUESTARCO, EQ, 18-Oct-2021,914.85,920.0,925.0,909.0,921.0,920.1,920.03,66818,10695,39856,59.65,3.666871568,,,
BLUESTARCO, EQ, 19-Oct-2021,920.1,921.0,927.3,889.05,906.35,905.8,905.63,40696,6128,16011,39.34,1.450004193,,,
BLUESTARCO, EQ, 20-Oct-2021,905.8,902.0,910.6,889.3,898.0,895.9,901.58,55723,4033,41753,74.93,3.764366974,,,
BLUESTARCO, EQ, 21-Oct-2021,895.9,890.2,909.35,872.2,909.35,888.85,891.97,205079,14446,151232,73.74,13.489440704,,,
BLUESTARCO, EQ, 22-Oct-2021,888.85,889.05,904.95,889.05,904.0,899.5,898.69,44573,6510,26030,58.4,2.33929007,4.9372679876,1.1981774202621338,47.380253125314475
BLUESTARCO, EQ, 25-Oct-2021,899.5,913.0,925.0,890.45,921.05,922.6,917.31,275350,11987,209019,75.91,19.173521889,4.9419947018000006,2.5680933852140106,387.97131615735066
BLUESTARCO, EQ, 26-Oct-2021,922.6,928.0,950.8,915.0,926.0,928.95,929.6,159414,13825,49680,31.16,4.6182528,8.043324766000001,0.6882722740082401,57.417211592920516
BLUESTARCO, EQ, 27-Oct-2021,928.95,928.95,953.35,920.85,945.0,943.0,935.8,238293,9510,166815,70.0,15.6105477,8.6769744874,1.5124603046450242,179.90772846766313
BLUESTARCO, EQ, 28-Oct-2021,943.0,950.0,960.0,915.5,933.0,936.65,947.92,147302,9668,46462,31.54,4.404225904,11.0462106326,-0.673382820784732,39.87092090207007
BLUESTARCO, EQ, 29-Oct-2021,936.65,940.4,975.0,923.0,962.0,960.1,956.86,249533,18008,59861,23.99,5.727859646,9.229167672600001,2.5036032669620503,62.06258082194287
BLUESTARCO, EQ, 01-Nov-2021,960.1,981.0,1050.0,972.2,994.8,990.35,1020.94,833117,51519,325186,39.03,33.199539484000006,9.9068815878,3.1507134673471513,335.1159412754479
BLUESTARCO, EQ, 02-Nov-2021,990.35,1001.0,1038.35,1000.05,1036.0,1032.1,1025.66,187162,14284,55411,29.61,5.683284626000001,12.7120851068,4.215681324784155,44.70772952078393
BLUESTARCO, EQ, 03-Nov-2021,1032.1,1039.0,1049.0,993.7,1011.0,1008.9,1018.96,147597,15404,38742,26.25,3.947654832,12.925091472,-2.2478442011432938,30.542567846052922
