SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
BRIGADE, EQ, 14-Oct-2021,462.4,464.9,466.7,457.1,462.0,461.95,462.67,385574,11791,167272,43.38,7.739173624000001,,,
BRIGADE, EQ, 18-Oct-2021,461.95,461.6,465.35,441.0,443.2,443.35,454.91,291547,13743,108388,37.18,4.930678508000001,,,
BRIGADE, EQ, 19-Oct-2021,443.35,445.95,468.8,435.35,444.8,442.1,456.64,594664,50271,198005,33.3,9.04170032,,,
BRIGADE, EQ, 20-Oct-2021,442.1,440.95,446.0,425.95,434.55,436.75,436.33,443135,22077,133063,30.03,5.805937879,,,
BRIGADE, EQ, 21-Oct-2021,436.75,439.75,455.95,415.55,425.0,424.55,432.32,397317,20258,74755,18.81,3.23180816,,,
BRIGADE, EQ, 22-Oct-2021,424.55,429.0,455.0,429.0,453.0,448.5,442.56,605905,36490,147239,24.3,6.516209184,6.149859698200001,5.6412672241196535,105.95703810783237
BRIGADE, EQ, 25-Oct-2021,448.5,452.0,466.9,423.7,434.6,432.85,445.91,670341,46970,230876,34.44,10.294991716000002,5.9052668102000005,-3.4894091415830495,174.3357590247701
BRIGADE, EQ, 26-Oct-2021,432.85,434.25,474.55,434.0,469.5,465.7,461.83,1014442,43839,275545,27.16,12.725494735,6.978129451800001,7.589234145777975,182.36254891656492
BRIGADE, EQ, 27-Oct-2021,465.7,467.9,469.9,456.0,466.0,463.05,462.9,386463,16016,184262,47.68,8.529487979999999,7.7148883347999995,-0.5690358599957005,110.5588002035692
BRIGADE, EQ, 28-Oct-2021,463.05,463.9,463.9,438.15,441.3,442.25,450.27,239373,13412,64618,26.99,2.909554686,8.259598355,-4.4919555123636785,35.22634589415214
BRIGADE, EQ, 29-Oct-2021,442.25,443.0,472.1,427.8,470.0,464.15,457.34,602051,21728,238722,39.65,10.917711947999999,8.1951476602,4.951950254381001,133.2216623871492
BRIGADE, EQ, 01-Nov-2021,464.15,469.7,482.0,458.0,478.0,478.5,472.5,623520,24152,128566,20.62,6.0747435,9.075448213,3.0916729505547824,66.93601635342173
BRIGADE, EQ, 02-Nov-2021,478.5,481.9,528.8,470.0,501.0,501.8,505.95,3134338,89458,744605,23.76,37.673289975,8.231398569799998,4.869383490073147,457.67787400331616
BRIGADE, EQ, 03-Nov-2021,501.8,502.0,514.35,481.0,497.0,499.25,497.62,1023884,31543,157896,15.42,7.857220752,13.2209576178,-0.5081705858907954,59.43004265758671
BRIGADE, EQ, 08-Nov-2021,496.65,496.75,501.95,488.15,494.9,494.7,495.0,205146,9318,58115,28.33,2.8766925,13.0865041722,-0.9113670505758662,21.982131072949432
BRIGADE, EQ, 09-Nov-2021,494.7,494.85,511.8,487.2,494.2,494.1,501.19,497900,15279,148788,29.88,7.457105772,13.079931735000002,-0.12128562765311621,57.01180956507491
BRIGADE, EQ, 10-Nov-2021,494.1,492.9,498.0,476.8,480.7,483.95,488.34,293556,8885,145934,49.71,7.126540956,12.3878104998,-2.0542400323821157,57.528656546005905
BRIGADE, EQ, 11-Nov-2021,483.95,484.0,497.75,483.3,488.05,489.0,489.64,223666,9270,62095,27.76,3.04041958,12.598169991,1.043496228949274,24.133819294167676
BRIGADE, EQ, 12-Nov-2021,489.0,496.0,507.0,487.1,499.45,502.4,496.21,390785,13645,123811,31.68,6.143625631,5.671595911999999,2.7402862985685026,108.32269658000982
BRIGADE, EQ, 15-Nov-2021,502.4,506.55,519.95,497.1,500.95,502.85,510.92,653963,19544,250635,38.33,12.80544342,5.3288768878,0.08957006369427657,240.30285723652102
BRIGADE, EQ, 16-Nov-2021,502.85,500.95,510.4,497.5,505.0,505.55,505.97,214435,8726,74706,34.84,3.779899482,7.314627071800001,0.5369394451625711,51.67590151755793
BRIGADE, EQ, 17-Nov-2021,505.55,498.8,517.35,498.8,510.6,513.05,513.24,523281,15657,291869,55.78,14.979884556,6.5791858138,1.4835327860745608,227.68599306891946
