SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
CASTROLIND, EQ, 14-Oct-2021,146.5,146.4,148.2,145.05,145.9,146.75,146.86,1018175,20858,570164,56.0,8.373428504000001,,,
CASTROLIND, EQ, 18-Oct-2021,146.75,147.2,149.5,144.0,145.75,145.1,146.95,1888084,34013,973165,51.54,14.300659675,,,
CASTROLIND, EQ, 19-Oct-2021,145.1,145.5,146.15,141.6,141.7,142.05,143.52,855203,15995,462004,54.02,6.630681408000001,,,
CASTROLIND, EQ, 20-Oct-2021,142.05,142.45,142.6,139.1,139.65,139.55,140.43,674843,11450,331156,49.07,4.650423708000001,,,
CASTROLIND, EQ, 21-Oct-2021,139.55,140.25,144.8,139.3,142.95,143.8,142.79,2183411,23371,1340569,61.4,19.141984751,,,
CASTROLIND, EQ, 22-Oct-2021,143.8,144.0,144.0,139.4,140.05,140.15,140.81,649833,10138,350321,53.91,4.9328700009999995,10.6194356092,-2.5382475660639816,46.45133868250471
CASTROLIND, EQ, 25-Oct-2021,140.15,140.0,140.6,136.3,138.05,138.15,138.2,571014,8091,310505,54.38,4.2911791,9.9313239086,-1.4270424545130218,43.208530297597754
CASTROLIND, EQ, 26-Oct-2021,138.15,139.0,141.9,138.3,141.45,140.75,139.65,456392,9298,187732,41.13,2.62167738,7.9294277936,1.8820123054650701,33.06263009439355
CASTROLIND, EQ, 27-Oct-2021,140.75,140.75,142.35,140.15,140.55,140.85,141.37,435686,8704,201381,46.22,2.846923197,7.127626988,0.07104795737122153,39.942090148559274
CASTROLIND, EQ, 28-Oct-2021,140.85,140.75,142.0,138.15,139.6,139.75,140.45,534592,9468,226096,42.29,3.17551832,6.766926885800001,-0.7809726659566876,46.92703753994504
CASTROLIND, EQ, 29-Oct-2021,139.75,139.25,140.4,137.25,139.0,138.15,138.58,472902,10819,198244,41.92,2.7472653520000003,3.5736335995999995,-1.144901610017885,76.8759660281766
CASTROLIND, EQ, 01-Nov-2021,138.15,138.85,141.5,137.0,140.65,140.2,139.29,1140635,23101,461936,40.5,6.434306544,3.1365126698000005,1.4838943177705268,205.14205493103535
CASTROLIND, EQ, 02-Nov-2021,140.2,140.7,142.5,138.5,142.0,141.5,140.2,989734,13460,577906,58.39,8.10224212,3.5651381586,0.9272467902995802,227.26306133341217
CASTROLIND, EQ, 03-Nov-2021,141.5,141.5,142.0,139.0,140.05,140.45,140.19,703912,15505,350320,49.77,4.9111360799999995,4.6612511066,-0.7420494699646724,105.3608992024948
CASTROLIND, EQ, 08-Nov-2021,141.0,141.0,141.15,137.4,138.25,137.95,138.81,765740,14318,522656,68.26,7.254987936,5.074093683199999,-1.7799928800284799,142.98096150689537
CASTROLIND, EQ, 09-Nov-2021,137.95,138.25,140.6,137.8,139.75,139.55,139.49,769851,14344,418476,54.36,5.837321724000001,5.8899876064,1.1598405219282515,99.10584052260529
CASTROLIND, EQ, 10-Nov-2021,139.55,139.85,139.85,138.5,139.2,139.25,139.0,558602,10023,348461,62.38,4.8436079,6.5079988808,-0.21497671085633202,74.4254568680042
CASTROLIND, EQ, 11-Nov-2021,139.25,139.55,139.55,137.0,137.8,137.7,137.77,580634,12343,304281,52.4,4.192079337000001,6.1898591519999995,-1.1131059245960584,67.72495518973969
CASTROLIND, EQ, 12-Nov-2021,137.7,138.6,138.6,136.0,136.45,136.3,136.73,486617,9515,279243,57.38,3.8180895390000003,5.4078265954,-1.016702977487275,70.6030319509087
CASTROLIND, EQ, 15-Nov-2021,136.3,136.55,136.75,135.1,135.55,135.75,135.93,431425,9865,233465,54.11,3.1734897450000004,5.1892172872,-0.40352164343361063,61.15546082118972
CASTROLIND, EQ, 16-Nov-2021,135.75,135.75,136.0,133.5,133.7,134.0,134.54,802657,15693,529633,65.98,7.125682381999999,4.372917649000001,-1.289134438305709,162.95029895267982
CASTROLIND, EQ, 17-Nov-2021,134.0,134.0,134.35,133.05,133.5,133.5,133.52,487174,11534,291586,59.85,3.893256272000001,4.6305897806,-0.3731343283582089,84.07689854780311
CASTROLIND, EQ, 18-Nov-2021,133.5,133.55,135.7,132.0,134.0,134.4,133.67,1012658,18416,470385,46.45,6.2876362949999995,4.4405194550000004,0.6741573033707908,141.59686403175547
CASTROLIND, EQ, 22-Nov-2021,134.4,134.55,134.55,129.0,129.5,130.05,131.09,782699,14526,385351,49.23,5.051566259,4.8596308466,-3.2366071428571384,103.94958832180198
CASTROLIND, EQ, 23-Nov-2021,130.05,130.05,131.3,128.7,130.25,130.35,130.08,644263,13127,296564,46.03,3.8577045120000006,5.1063261906,0.23068050749710337,75.54755352490938
CASTROLIND, EQ, 24-Nov-2021,130.35,130.6,131.2,129.3,129.35,129.6,130.07,622159,14687,310293,49.87,4.035981050999999,5.243169144,-0.5753739930955121,76.97598418350776
CASTROLIND, EQ, 25-Nov-2021,129.6,130.0,130.0,128.5,129.7,129.35,129.23,352984,10201,201144,56.98,2.5993839119999995,4.625228877800001,-0.19290123456790126,56.20011421437812
CASTROLIND, EQ, 26-Nov-2021,129.35,128.1,128.85,127.05,127.7,127.65,127.77,570184,13870,311926,54.71,3.9854785019999994,4.366454405800001,-1.314263625821406,91.27493686195491
CASTROLIND, EQ, 29-Nov-2021,127.65,126.95,127.0,123.05,124.5,124.55,124.66,654500,19731,311431,47.58,3.8822988460000003,3.9060228472,-2.4285154719937396,99.39263025005074
CASTROLIND, EQ, 30-Nov-2021,124.55,124.0,130.95,124.0,129.0,129.25,128.85,1525053,31583,740998,48.59,9.54775923,3.6721693645999998,3.77358490566038,260.003237379004
CASTROLIND, EQ, 01-Dec-2021,129.25,129.0,129.8,125.55,128.75,128.7,127.66,570463,16572,216738,37.99,2.7668773079999998,4.8101803082,-0.4255319148936258,57.521280507577956
CASTROLIND, EQ, 02-Dec-2021,128.7,128.0,128.7,126.15,126.5,126.45,126.8,715622,13613,416556,58.21,5.2819300799999995,4.5563595596,-1.7482517482517372,115.92434729764165
CASTROLIND, EQ, 03-Dec-2021,126.45,126.3,128.05,126.3,127.2,126.9,127.13,462287,10318,210138,45.46,2.6714843939999997,5.092868793199999,0.3558718861209987,52.45539405152096
CASTROLIND, EQ, 06-Dec-2021,126.9,126.8,127.55,125.4,125.85,125.8,126.57,379029,7298,206360,54.44,2.61189852,4.8300699715999995,-0.8668242710795968,54.07579052389562
CASTROLIND, EQ, 07-Dec-2021,125.8,126.45,127.65,125.25,126.95,126.95,126.92,458441,8732,215981,47.11,2.741230852,4.5759899064,0.9141494435612127,59.904652502972134
CASTROLIND, EQ, 08-Dec-2021,126.95,127.2,128.45,126.25,126.9,126.55,126.98,869665,13395,495118,56.93,6.287008364,3.2146842308000005,-0.3150846790074877,195.5715682356592
CASTROLIND, EQ, 09-Dec-2021,126.55,126.95,127.45,125.4,125.5,125.55,125.74,1025339,13351,653964,63.78,8.222943336,3.9187104419999996,-0.7902015013828527,209.83799282202747
CASTROLIND, EQ, 10-Dec-2021,125.55,125.95,126.7,125.6,126.15,126.1,126.11,564616,7993,275703,48.83,3.4768905329999997,4.5069130932,0.43807248108323155,77.1457195002475
CASTROLIND, EQ, 13-Dec-2021,126.1,126.7,126.9,125.05,125.15,125.25,126.03,743024,10976,442024,59.49,5.570828472,4.667994321,-0.6740681998413912,119.34094364550533
CASTROLIND, EQ, 14-Dec-2021,125.25,125.75,126.55,124.4,124.75,124.65,125.24,771278,13382,406978,52.77,5.096992472,5.259780311399999,-0.4790419161676602,96.90504489232804
CASTROLIND, EQ, 15-Dec-2021,124.65,125.0,125.9,124.65,125.25,125.2,125.32,461179,6895,255847,55.48,3.206274604,5.7309326354,0.44123545928599855,55.94682066571198
CASTROLIND, EQ, 16-Dec-2021,125.2,125.45,126.35,124.5,125.6,125.5,125.26,1103727,9340,835223,75.67,10.462003298,5.1147858834,0.23961661341852808,204.5443061840449
CASTROLIND, EQ, 17-Dec-2021,125.5,125.5,126.0,124.65,125.5,125.65,125.5,1215373,14504,723192,59.5,9.0760596,5.5625978758,0.11952191235060214,163.16224545882176
CASTROLIND, EQ, 20-Dec-2021,125.65,125.5,125.5,119.7,122.15,122.3,121.76,1050233,17742,499094,47.52,6.0769685440000005,6.6824316891999995,-2.6661360923199426,90.9394787203207
CASTROLIND, EQ, 21-Dec-2021,122.3,122.7,123.55,120.75,121.05,121.3,121.66,686936,11642,299836,43.65,3.6478047759999996,6.7836597036000015,-0.8176614881439084,53.77340455424313
CASTROLIND, EQ, 22-Dec-2021,121.3,121.5,122.0,121.0,121.6,121.65,121.53,372715,5511,186175,49.95,2.262584775,6.493822164399999,0.28854080791426917,34.842111744355925
CASTROLIND, EQ, 23-Dec-2021,121.65,122.0,124.15,121.6,123.25,123.1,122.52,697523,9491,321734,46.13,3.941884968,6.3050841986,1.1919441019317623,62.519148735163085
CASTROLIND, EQ, 24-Dec-2021,123.1,123.5,123.6,121.5,121.85,121.65,121.98,295015,6762,148674,50.4,1.813525452,5.0010605326,-1.1779041429731834,36.26281745998317
CASTROLIND, EQ, 27-Dec-2021,121.65,121.65,123.4,120.55,123.25,122.65,122.07,367576,5987,147604,40.16,1.8018020279999998,3.5485537030000005,0.8220304151253596,50.775673099627305
CASTROLIND, EQ, 28-Dec-2021,122.65,122.7,123.25,122.4,122.65,122.95,122.78,273985,4572,117429,42.86,1.441793262,2.6935203997999997,0.24459845087647547,53.5282102228391
CASTROLIND, EQ, 29-Dec-2021,122.95,122.8,123.4,122.1,122.1,122.2,122.55,224932,4124,117171,52.09,1.4359306049999998,2.252318097,-0.6100040666937779,63.75345502540709
CASTROLIND, EQ, 30-Dec-2021,122.2,122.1,122.65,121.6,122.1,121.95,121.99,255395,4954,136924,53.61,1.670335876,2.086987263,-0.20458265139116205,80.0357484500853
CASTROLIND, EQ, 31-Dec-2021,121.95,121.95,124.6,121.95,122.7,122.8,123.46,497426,5940,196555,39.51,2.4266680299999996,1.6326774445999999,0.697006970069696,148.6311970576971
CASTROLIND, EQ, 03-Jan-2022,122.8,122.4,124.5,122.35,124.3,124.05,123.51,456456,7540,238986,52.36,2.951716086,1.7553059601999998,1.017915309446254,168.15963444137572
CASTROLIND, EQ, 04-Jan-2022,124.05,124.05,125.55,124.05,125.15,124.85,124.92,502136,7825,273011,54.37,3.410453412,1.9852887717999999,0.6449012494961686,171.78626406615132
CASTROLIND, EQ, 05-Jan-2022,124.85,125.1,125.8,123.1,124.0,124.15,124.86,964103,13198,530267,55.0,6.620913762,2.3790208017999994,-0.5606728073688335,278.30415593636366
CASTROLIND, EQ, 06-Jan-2022,124.15,124.0,124.0,121.8,121.95,121.95,122.15,1551200,16988,1048118,67.57,12.80276137,3.4160174331999995,-1.7720499395892086,374.78618362924584
CASTROLIND, EQ, 07-Jan-2022,121.95,122.2,123.5,121.35,121.9,122.1,122.22,1350505,17133,738834,54.71,9.030029148,5.642502532,0.12300123001229313,160.03589004681018
CASTROLIND, EQ, 10-Jan-2022,122.1,122.7,123.25,121.75,122.6,122.55,122.47,1138358,15506,741192,65.11,9.077378423999999,6.963174755599999,0.36855036855037093,130.36263978151192
CASTROLIND, EQ, 11-Jan-2022,122.55,122.65,124.5,122.1,123.9,123.7,123.43,744677,8540,398467,53.51,4.918278181,8.1883072232,0.9383924928600619,60.06465130014907
CASTROLIND, EQ, 12-Jan-2022,123.7,124.2,124.95,123.55,124.8,124.8,124.31,684560,9594,414602,60.56,5.153917462,8.489872176999999,0.8892481810832613,60.70665558384414
CASTROLIND, EQ, 13-Jan-2022,124.8,125.45,125.45,123.65,124.2,124.1,124.17,587486,8792,352782,60.05,4.3804940939999994,8.196472917000001,-0.5608974358974381,53.44364750982802
CASTROLIND, EQ, 14-Jan-2022,124.1,124.2,125.5,123.6,125.25,125.3,124.97,617802,9642,357204,57.82,4.463978388,6.5120194618,0.9669621273166824,68.54983180234697
CASTROLIND, EQ, 17-Jan-2022,125.3,126.0,128.3,125.95,128.2,128.05,127.43,1473114,15942,834754,56.67,10.637270222,5.5988093098,2.1947326416600275,189.99165060651052
CASTROLIND, EQ, 18-Jan-2022,128.05,128.45,129.1,125.9,126.6,126.15,127.14,989381,10763,571134,57.73,7.2613976760000005,5.9107876693999994,-1.4837953924248384,122.84991581734657
CASTROLIND, EQ, 19-Jan-2022,126.15,126.5,127.4,123.8,124.85,124.8,125.39,979098,10837,552046,56.38,6.922104794,6.3794115684,-1.070154577883479,108.50694801207364
CASTROLIND, EQ, 20-Jan-2022,124.8,125.5,125.5,122.6,123.45,123.15,123.65,896023,12493,572716,63.92,7.081633340000001,6.7330490348,-1.322115384615378,105.17721322685058
CASTROLIND, EQ, 21-Jan-2022,123.15,123.15,124.95,123.0,123.8,123.45,124.07,697292,9019,287027,41.16,3.561143989,7.273276884,0.24360535931790267,48.9620297122735
CASTROLIND, EQ, 24-Jan-2022,123.45,123.7,124.2,115.4,115.8,117.85,119.99,1675739,17644,1149520,68.6,13.793090479999998,7.092710004199999,-4.536249493722162,194.4685525255131
CASTROLIND, EQ, 25-Jan-2022,117.85,114.75,121.8,112.95,120.3,120.35,117.7,1292932,17311,659377,51.0,7.76086729,7.7238740558000005,2.1213406873143827,100.47894662617163
CASTROLIND, EQ, 27-Jan-2022,120.35,120.5,121.35,118.25,120.5,119.85,119.21,850228,13192,544579,64.05,6.4919262589999995,7.8237679786,-0.4154549231408392,82.97697831475924
CASTROLIND, EQ, 28-Jan-2022,119.85,120.55,126.2,120.5,125.9,125.6,124.71,1483160,20188,790745,53.31,9.861380894999998,7.7377322716000005,4.7976637463496035,127.44536188198809
CASTROLIND, EQ, 31-Jan-2022,125.6,126.7,127.2,124.2,124.7,124.7,125.16,459183,6700,223323,48.63,2.795110668,8.2936817826,-0.7165605095541334,33.70168691381545
CASTROLIND, EQ, 01-Feb-2022,124.7,125.5,125.5,123.35,124.25,124.05,124.18,376372,6464,173639,46.13,2.156249102,8.1404751184,-0.5212510024057785,26.488000646623288
CASTROLIND, EQ, 02-Feb-2022,124.05,125.0,125.25,123.0,123.6,123.4,123.96,622318,8021,337333,54.21,4.181579868,5.8131068428,-0.5239822652156321,71.93364892611982
CASTROLIND, EQ, 03-Feb-2022,123.4,124.2,124.2,122.3,122.65,122.55,122.72,539312,9126,370414,68.68,4.545720608,5.0972493584,-0.6888168557536535,89.17987503414739
CASTROLIND, EQ, 04-Feb-2022,122.55,123.0,123.0,121.8,122.85,122.5,122.36,434189,5523,224154,51.63,2.7427483440000002,4.7080082282,-0.04079967360260886,58.25708475978233
CASTROLIND, EQ, 07-Feb-2022,122.5,123.0,124.75,122.8,124.45,124.45,123.83,725080,8495,416403,57.43,5.156318349,3.284281718,1.59183673469388,156.99987978315082
CASTROLIND, EQ, 08-Feb-2022,124.45,126.0,126.45,121.05,122.75,123.1,124.34,1568494,13466,540344,34.45,6.718637296000001,3.7565232542,-1.08477300120531,178.85254106941022
CASTROLIND, EQ, 09-Feb-2022,123.1,124.0,124.2,121.45,121.65,121.6,122.46,1011638,14311,581151,57.45,7.116775145999999,4.669000893000001,-1.2185215272136476,152.42608234814915
CASTROLIND, EQ, 10-Feb-2022,121.6,121.7,122.95,120.0,120.2,120.1,120.98,1376217,12737,842476,61.22,10.192274648,5.2560399486,-1.2335526315789473,193.91547148942078
CASTROLIND, EQ, 11-Feb-2022,120.1,120.1,120.65,119.55,120.3,120.25,120.06,522809,7777,305015,58.34,3.66201009,6.3853507566,0.1248959200666159,57.35017902054774
CASTROLIND, EQ, 14-Feb-2022,120.25,119.65,119.85,116.45,117.55,117.35,117.29,2017830,12576,408344,20.24,4.789466776,6.5692031058,-2.411642411642416,72.9078808930621
CASTROLIND, EQ, 15-Feb-2022,117.35,117.05,117.9,115.35,117.75,117.6,116.59,698677,9477,346906,49.65,4.044577054,6.4958327912,0.2130379207498935,62.264180498599785
CASTROLIND, EQ, 16-Feb-2022,117.6,118.0,119.45,117.0,117.5,117.3,117.85,575376,9895,306680,53.3,3.6142238,5.961020742800001,-0.25510204081632415,60.63095493109009
CASTROLIND, EQ, 17-Feb-2022,117.3,117.35,117.75,116.0,116.15,116.45,116.81,517782,10395,324582,62.69,3.7914423420000003,5.260510473600001,-0.7246376811594154,72.07365826999957
CASTROLIND, EQ, 18-Feb-2022,116.45,115.8,116.4,114.9,115.25,115.15,115.49,635420,10546,406031,63.9,4.6892520189999995,3.9803440124000007,-1.1163589523400577,117.8102195285516
CASTROLIND, EQ, 21-Feb-2022,115.15,115.15,115.25,113.5,113.5,113.65,113.97,539526,8850,315680,58.51,3.59780496,4.1857923982,-1.3026487190620928,85.95278068609302
CASTROLIND, EQ, 22-Feb-2022,113.65,112.6,112.8,111.2,112.8,112.2,112.07,712732,14586,379538,53.25,4.253482366,3.947460035,-1.2758468983721978,107.7523857945784
