SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
CENTURYPLY, EQ, 14-Oct-2021,515.1,517.0,535.0,515.75,535.0,528.9,523.34,205368,9446,109006,53.08,5.704720004,,,
CENTURYPLY, EQ, 18-Oct-2021,528.9,536.0,562.45,534.85,553.1,550.9,551.83,386912,30314,188460,48.71,10.399788180000002,,,
CENTURYPLY, EQ, 19-Oct-2021,550.9,560.15,571.9,550.85,560.5,560.25,562.39,436290,21881,251203,57.58,14.127405516999998,,,
CENTURYPLY, EQ, 20-Oct-2021,560.25,569.45,569.45,513.55,560.0,560.1,544.05,611238,29863,283891,46.45,15.445089854999999,,,
CENTURYPLY, EQ, 21-Oct-2021,560.1,551.5,558.75,523.2,533.5,536.3,538.74,467600,16073,321250,68.7,17.3070225,,,
CENTURYPLY, EQ, 22-Oct-2021,536.3,539.0,543.95,531.4,538.05,540.05,537.12,198269,14242,132258,66.71,7.103841695999999,12.596805211200001,0.6992355025172479,56.39399496059422
CENTURYPLY, EQ, 25-Oct-2021,540.05,548.0,558.9,524.75,544.0,543.95,539.79,199181,10998,102429,51.43,5.5290149909999995,12.8766295496,0.7221553559855738,42.938371176266024
CENTURYPLY, EQ, 26-Oct-2021,543.95,549.2,555.0,536.75,554.8,550.7,543.76,159041,10338,99476,62.55,5.4091069759999995,11.902474911799997,1.2409228789410789,45.44522896357852
CENTURYPLY, EQ, 27-Oct-2021,550.7,555.0,570.0,538.05,550.0,550.1,551.52,517718,16432,379057,73.22,20.905751664,10.158815203599996,-0.10895224260033098,205.78927015614573
CENTURYPLY, EQ, 28-Oct-2021,550.1,550.1,550.1,538.0,547.0,546.25,543.4,212417,24638,125591,59.12,6.824614939999999,11.2509475654,-0.6998727504090206,60.6581347955768
CENTURYPLY, EQ, 29-Oct-2021,546.25,544.0,545.8,525.55,539.7,540.1,539.27,138007,13140,67203,48.7,3.6240561810000003,9.154466053399998,-1.12585812356979,39.58784881455772
CENTURYPLY, EQ, 01-Nov-2021,540.1,542.85,606.55,542.85,564.9,573.2,576.73,993510,43191,283047,28.49,16.324169631,8.458508950399999,6.128494723199411,192.9911019391667
CENTURYPLY, EQ, 02-Nov-2021,573.2,570.0,600.0,562.05,599.8,594.9,586.16,743399,33790,262302,35.28,15.375094032,10.6175398784,3.7857641311932886,144.8084415795661
CENTURYPLY, EQ, 03-Nov-2021,594.9,605.9,615.0,596.1,610.0,606.45,602.83,561671,32176,174110,31.0,10.495873130000001,12.6107372896,1.9415027735754025,83.22965492791516
CENTURYPLY, EQ, 08-Nov-2021,644.3,655.0,674.2,650.5,662.9,663.0,664.51,985728,41196,322436,32.71,21.426194635999998,10.5287615828,9.324758842443721,203.50156537880264
CENTURYPLY, EQ, 09-Nov-2021,663.0,661.8,681.95,651.3,656.55,659.6,669.48,502324,30348,210626,41.93,14.100989447999998,13.449077522,-0.5128205128205093,104.84726127077192
CENTURYPLY, EQ, 10-Nov-2021,659.6,651.0,654.9,638.0,644.0,641.95,646.01,254788,17822,93947,36.87,6.069070147,15.5444641754,-2.6758641600970248,39.04328948568487
