SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
CHENNPETRO, EQ, 14-Oct-2021,136.5,136.95,138.5,133.05,133.85,134.0,135.49,724707,14439,395342,54.55,5.356488758,,,
CHENNPETRO, EQ, 18-Oct-2021,134.0,135.0,140.95,134.0,138.25,138.15,138.22,1154425,17876,676106,58.57,9.345137132,,,
CHENNPETRO, EQ, 19-Oct-2021,138.15,139.6,144.8,136.05,137.5,138.35,141.3,1866927,26538,790545,42.34,11.170400850000002,,,
CHENNPETRO, EQ, 20-Oct-2021,138.35,138.35,138.35,132.0,134.35,134.15,135.29,689444,8812,362458,52.57,4.903694282,,,
CHENNPETRO, EQ, 21-Oct-2021,134.15,134.35,138.3,132.25,132.65,133.75,134.58,628969,8235,194586,30.94,2.618738388,,,
CHENNPETRO, EQ, 22-Oct-2021,133.75,134.0,137.15,126.8,127.9,130.15,131.25,521254,7984,232072,44.52,3.045945,6.678891882,-2.691588785046725,45.60554435997082
CHENNPETRO, EQ, 25-Oct-2021,130.15,126.0,134.45,121.15,129.5,131.95,128.47,1987583,27376,461927,23.24,5.934376169,6.2167831304000005,1.3830195927775513,95.45734577712655
CHENNPETRO, EQ, 26-Oct-2021,131.95,130.5,134.5,128.6,133.7,133.95,132.51,719186,11319,317067,44.09,4.201454816999999,5.534630937800001,1.515725653656688,75.91210442425749
CHENNPETRO, EQ, 27-Oct-2021,133.95,135.0,135.05,130.65,132.0,132.15,132.89,638828,25998,316890,49.6,4.21115121,4.1408417312,-1.3437849944008833,101.69795136747774
CHENNPETRO, EQ, 28-Oct-2021,132.15,130.0,131.5,125.0,125.0,126.05,127.95,284738,4307,163978,57.59,2.0980985100000002,4.0023331168,-4.6159667045024655,52.42188615418151
CHENNPETRO, EQ, 29-Oct-2021,126.05,125.25,126.0,122.05,122.5,122.65,124.15,345638,6256,133221,38.54,1.653938715,3.8982051411999996,-2.697342324474408,42.42821132011697
CHENNPETRO, EQ, 01-Nov-2021,122.65,126.0,126.5,122.05,123.8,124.2,123.64,258243,4011,106153,41.11,1.312475692,3.6198038841999995,1.2637586628617996,36.25819889659756
CHENNPETRO, EQ, 02-Nov-2021,124.2,125.55,125.55,120.5,121.3,121.1,122.84,311059,7291,151801,48.8,1.864723484,2.6954237888,-2.495974235104677,69.18108728387283
CHENNPETRO, EQ, 03-Nov-2021,121.1,121.15,124.1,120.0,120.3,120.6,122.24,315792,4829,134246,42.51,1.6410231039999998,2.2280775222000004,-0.41288191577208916,73.651975196072
CHENNPETRO, EQ, 08-Nov-2021,122.05,122.9,123.95,121.15,121.7,121.65,122.41,473535,6685,210681,44.49,2.578946121,1.714051901,0.8706467661691636,150.45904499714447
CHENNPETRO, EQ, 09-Nov-2021,121.65,121.7,123.7,121.5,121.95,121.75,122.22,267820,4445,162484,60.67,1.985879448,1.8102214231999998,0.08220304151253129,109.7036761662826
CHENNPETRO, EQ, 10-Nov-2021,121.75,121.95,123.9,119.1,119.5,119.5,121.14,648081,9244,352767,54.43,4.273419438,1.8766095698,-1.8480492813141685,227.7202198460195
CHENNPETRO, EQ, 11-Nov-2021,119.5,119.85,120.0,115.75,116.4,116.2,117.39,451225,5402,294284,65.22,3.4545998759999996,2.4687983190000002,-2.7615062761506253,139.93042078055623
CHENNPETRO, EQ, 12-Nov-2021,116.2,114.7,119.95,114.7,119.8,119.55,118.07,337756,4874,125754,37.23,1.484777478,2.7867735974,2.88296041308089,53.27944399162048
CHENNPETRO, EQ, 15-Nov-2021,119.55,120.45,120.8,115.0,115.55,115.3,116.76,345141,6510,177127,51.32,2.068134852,2.7555244722000003,-3.55499790882476,75.0541275486771
CHENNPETRO, EQ, 16-Nov-2021,115.3,115.75,117.05,113.9,113.95,114.3,115.0,250898,5305,118826,47.36,1.366499,2.6533622184,-0.8673026886383347,51.500657939721876
CHENNPETRO, EQ, 17-Nov-2021,114.3,114.5,114.7,113.0,113.6,113.3,113.92,225784,4507,129460,57.34,1.4748083200000002,2.5294861288,-0.8748906386701663,58.30466129891988
CHENNPETRO, EQ, 18-Nov-2021,113.3,114.1,114.4,112.3,113.15,113.05,113.27,198706,3451,77501,39.0,0.8778538269999999,1.9697639052,-0.2206531332744925,44.56644903902161
CHENNPETRO, EQ, 22-Nov-2021,113.05,113.0,113.0,108.0,109.4,108.95,109.89,281310,6290,139546,49.61,1.533470994,1.4544146954000001,-3.6267138434321047,105.43560917323222
CHENNPETRO, EQ, 23-Nov-2021,108.95,108.0,111.75,107.0,110.5,110.5,110.23,320050,7376,94296,29.46,1.039424808,1.4641533986000002,1.4226709499770511,70.9915237702471
CHENNPETRO, EQ, 24-Nov-2021,110.5,111.35,114.9,110.85,114.4,113.95,113.44,312591,5869,119823,38.33,1.359272112,1.2584113898,3.1221719457013597,108.01492445296684
CHENNPETRO, EQ, 25-Nov-2021,113.95,114.8,114.85,112.5,114.45,114.0,113.8,149221,3068,50251,33.68,0.5718563799999999,1.2569660122,0.04387889425186236,45.4949755561895
CHENNPETRO, EQ, 26-Nov-2021,114.0,113.0,113.55,109.1,109.5,109.7,111.42,210263,4133,107282,51.02,1.195336044,1.0763756242,-3.7719298245614015,111.05194293938192
CHENNPETRO, EQ, 29-Nov-2021,109.7,110.0,111.4,105.55,106.6,106.1,107.65,204588,4740,103109,50.4,1.1099683850000002,1.1398720676,-3.281677301732004,97.37657554299388
CHENNPETRO, EQ, 30-Nov-2021,106.1,107.0,108.6,104.0,104.25,104.55,106.17,274744,7305,146431,53.3,1.554657927,1.0551715458,-1.4608859566446724,147.3369835633034
CHENNPETRO, EQ, 01-Dec-2021,104.55,106.0,106.3,101.2,104.7,104.1,104.56,201452,4881,99152,49.22,1.0367333120000002,1.1582181696,-0.4304160688665738,89.51105579340414
CHENNPETRO, EQ, 02-Dec-2021,104.1,104.0,107.3,103.85,107.2,107.0,106.28,173853,5050,67424,38.78,0.716582272,1.0937104096,2.785782901056682,65.51846500775957
CHENNPETRO, EQ, 03-Dec-2021,107.0,107.8,109.45,107.5,107.55,107.75,108.3,279627,5111,122761,43.9,1.32950163,1.1226555880000002,0.7009345794392523,118.42471049990442
CHENNPETRO, EQ, 06-Dec-2021,107.75,107.8,108.25,103.75,104.15,104.15,105.35,303794,9622,168637,55.51,1.776590795,1.1494887052,-3.341067285382825,154.55487182806985
CHENNPETRO, EQ, 07-Dec-2021,104.15,105.5,106.45,100.85,104.0,101.6,102.57,1208264,16044,825178,68.29,8.463850745999999,1.2828131872,-2.4483917426788393,659.7882552543812
CHENNPETRO, EQ, 08-Dec-2021,101.6,106.2,107.8,103.95,105.85,105.35,105.92,649289,8476,240427,37.03,2.546602784,2.6646517509999996,3.6909448818897643,95.56981632006142
CHENNPETRO, EQ, 09-Dec-2021,105.35,105.95,106.3,104.45,104.95,104.85,105.12,459787,4320,277830,60.43,2.92054896,2.9666256453999997,-0.47460844803037494,98.44683182485645
CHENNPETRO, EQ, 10-Dec-2021,104.85,104.9,106.95,104.35,105.5,105.4,105.95,473381,5129,221699,46.83,2.3489009050000003,3.4074189830000003,0.524558893657617,68.93490107083787
CHENNPETRO, EQ, 13-Dec-2021,105.4,106.2,108.0,106.15,107.0,106.9,107.25,384403,5426,176650,45.95,1.89457125,3.6112988379999997,1.4231499051233396,52.46232269853488
CHENNPETRO, EQ, 14-Dec-2021,106.9,106.3,107.25,105.4,105.9,106.1,106.36,223603,4359,111653,49.93,1.187541308,3.634894928999999,-0.748362956033687,32.67058143897177
CHENNPETRO, EQ, 15-Dec-2021,106.1,106.6,107.25,104.5,105.0,104.85,106.02,229920,3232,124266,54.05,1.3174681320000001,2.1796330414000002,-1.17813383600377,60.44449258090605
CHENNPETRO, EQ, 16-Dec-2021,104.85,105.8,106.35,103.2,104.25,104.35,104.35,208996,3194,101639,48.63,1.060602965,1.9338061110000002,-0.4768717215069147,54.845362157406065
CHENNPETRO, EQ, 17-Dec-2021,104.35,104.75,104.75,101.2,102.6,102.1,102.27,243824,4830,121034,49.64,1.2378147179999999,1.561816912,-2.156205079060853,79.2547902695524
CHENNPETRO, EQ, 20-Dec-2021,102.1,100.0,100.8,95.6,97.4,97.45,98.24,366796,5394,218939,59.69,2.150856736,1.3395996746,-4.554358472086182,160.55966396395542
CHENNPETRO, EQ, 21-Dec-2021,97.45,98.25,100.9,98.25,99.65,99.85,99.92,199749,3342,85903,43.01,0.858342776,1.3908567718,2.4628014366341624,61.71323988228936
CHENNPETRO, EQ, 22-Dec-2021,99.85,100.6,101.8,100.05,101.45,101.25,101.16,128773,1832,58455,45.39,0.59133078,1.3250170654,1.402103154732104,44.628163322672926
CHENNPETRO, EQ, 23-Dec-2021,101.25,102.4,102.8,100.65,101.25,101.0,101.56,209252,2678,108919,52.05,1.106181364,1.179789595,-0.24691358024691357,93.76090183266959
CHENNPETRO, EQ, 24-Dec-2021,101.0,101.85,102.25,99.6,100.7,100.35,100.53,167891,2892,85986,51.22,0.864417258,1.1889052748,-0.6435643564356491,72.70699157638222
CHENNPETRO, EQ, 27-Dec-2021,100.35,100.0,101.9,98.55,100.7,100.4,100.6,189263,2426,85385,45.11,0.8589731,1.1142257828000002,0.04982561036373828,77.09147582650965
CHENNPETRO, EQ, 28-Dec-2021,100.4,101.35,102.75,101.2,102.35,102.4,102.13,226015,3126,115269,51.0,1.1772422969999998,0.8558490555999999,1.9920318725099602,137.5525613187345
CHENNPETRO, EQ, 29-Dec-2021,102.4,102.8,103.75,101.55,101.95,101.85,102.45,158594,2241,86578,54.59,0.8869916099999999,0.9196289598,-0.5371093750000111,96.45103066272533
CHENNPETRO, EQ, 30-Dec-2021,101.85,101.8,102.8,101.45,101.95,101.85,101.96,116509,1631,47352,40.64,0.482800992,0.9787611258,0.0,49.32776540398229
CHENNPETRO, EQ, 31-Dec-2021,101.85,102.0,104.0,101.75,102.85,102.65,102.59,356716,3949,165906,46.51,1.702029654,0.8540850513999999,0.7854688267059514,199.28104949384905
CHENNPETRO, EQ, 03-Jan-2022,102.65,103.6,104.4,102.7,103.4,103.3,103.28,327075,3256,177263,54.2,1.8307722640000001,1.0216075306,0.6332196785192318,179.20504784501438
CHENNPETRO, EQ, 04-Jan-2022,103.3,103.95,105.75,103.3,105.3,104.85,104.76,250525,3221,119465,47.69,1.25151534,1.2159673634000001,1.5004840271055153,102.92343180170587
CHENNPETRO, EQ, 05-Jan-2022,104.85,104.0,106.9,103.55,105.8,105.7,105.66,567649,7298,268978,47.38,2.842021548,1.230821972,0.810681926561763,230.90435600381042
CHENNPETRO, EQ, 06-Jan-2022,105.7,104.25,108.7,103.8,107.9,107.5,107.04,563292,6736,253291,44.97,2.711226864,1.6218279596000003,1.7029328287606407,167.1710521422188
CHENNPETRO, EQ, 07-Jan-2022,107.5,108.4,109.35,106.1,107.0,106.85,107.81,430086,4718,162934,37.88,1.7565914539999998,2.067513134,-0.604651162790703,84.96156203861871
CHENNPETRO, EQ, 10-Jan-2022,106.85,106.85,108.05,105.9,105.95,106.0,106.65,411597,4892,254909,61.93,2.718604485,2.078425494,-0.7955077211043465,130.8011517780199
CHENNPETRO, EQ, 11-Jan-2022,106.0,106.65,106.9,100.0,105.4,104.6,104.92,383645,4727,162074,42.25,1.7004804080000002,2.2559919382,-1.3207547169811376,75.37617396615217
CHENNPETRO, EQ, 12-Jan-2022,104.6,105.95,112.9,105.45,111.2,111.45,109.9,1037105,12114,426678,41.14,4.6891912200000005,2.3457849518000002,6.548757170172093,199.89859754202215
CHENNPETRO, EQ, 13-Jan-2022,111.45,111.9,114.25,110.1,112.3,112.45,112.44,941689,10511,382783,40.65,4.304012051999999,2.7152188862,0.8972633467922835,158.51436780566686
CHENNPETRO, EQ, 14-Jan-2022,112.45,111.8,115.8,111.1,113.4,112.9,113.54,681565,7737,251810,36.95,2.8590507400000003,3.0337759238,0.40017785682525825,94.24066944334027
CHENNPETRO, EQ, 17-Jan-2022,112.9,113.3,116.85,112.8,114.8,114.6,114.6,643431,7034,276300,42.94,3.166398,3.2542677810000002,1.5057573073516284,97.2998601555463
CHENNPETRO, EQ, 18-Jan-2022,114.6,115.15,117.0,112.0,112.55,112.6,114.75,698972,8754,261775,37.45,3.003868125,3.343826484,-1.7452006980802792,89.83325359055921
CHENNPETRO, EQ, 19-Jan-2022,112.6,113.0,115.4,111.1,114.95,113.35,113.22,1390609,17841,849562,61.09,9.618740964,3.6045040274,0.6660746003552398,266.85338373552014
CHENNPETRO, EQ, 20-Jan-2022,113.35,113.95,115.25,112.05,112.95,112.9,113.93,620679,6411,376794,60.71,4.292814042,4.5904139762,-0.3970004411115912,93.51692601706574
CHENNPETRO, EQ, 21-Jan-2022,112.9,112.15,112.6,107.05,108.9,108.6,110.28,376896,4611,208167,55.23,2.295665676,4.5881743742,-3.8086802480070956,50.03440341999371
CHENNPETRO, EQ, 24-Jan-2022,108.6,108.6,110.15,102.45,103.5,103.95,105.76,452603,7716,262171,57.93,2.7727204960000003,4.4754973613999995,-4.281767955801097,61.9533489152288
CHENNPETRO, EQ, 25-Jan-2022,103.95,108.9,113.0,105.0,105.75,105.7,108.16,2574489,28457,883749,34.33,9.558629184,4.3967618606,1.6835016835016834,217.40156704087656
CHENNPETRO, EQ, 27-Jan-2022,105.7,104.05,110.9,104.05,107.8,107.6,108.54,1276763,17453,590447,46.25,6.408711738,5.7077140724,1.7975402081362266,112.28158342741304
CHENNPETRO, EQ, 28-Jan-2022,107.6,108.8,113.6,107.6,108.4,108.4,110.96,976504,12778,376797,38.59,4.180939512,5.0657082272,0.7434944237918322,82.53415563002049
CHENNPETRO, EQ, 31-Jan-2022,108.4,109.95,113.75,109.15,110.65,110.55,111.62,736911,7534,270158,36.66,3.0155035960000003,5.0433333212,1.9833948339483314,59.79187580809149
CHENNPETRO, EQ, 01-Feb-2022,110.55,110.8,112.0,109.4,110.7,110.3,110.53,453356,6328,244556,53.94,2.703077468,5.1873009052,-0.22614201718679333,52.10951740413411
CHENNPETRO, EQ, 02-Feb-2022,110.3,110.95,113.75,110.45,113.4,113.2,112.73,562447,6266,277874,49.4,3.132473602,5.1733722996000004,2.629193109700821,60.549935720694215
CHENNPETRO, EQ, 03-Feb-2022,113.2,113.35,115.25,112.9,113.55,113.4,114.03,690046,8150,309243,44.81,3.526297929,3.8881411832000006,0.17667844522968448,90.69366987589174
CHENNPETRO, EQ, 04-Feb-2022,113.4,114.0,116.5,112.6,113.0,113.4,114.61,616656,6622,230297,37.35,2.639433917,3.3116584213999998,0.0,79.70127293152964
CHENNPETRO, EQ, 07-Feb-2022,113.4,113.9,115.0,111.35,113.0,112.4,112.83,416114,5109,167482,40.25,1.8896994059999999,3.0033573024,-0.8818342151675485,62.91956686238864
CHENNPETRO, EQ, 08-Feb-2022,112.4,112.95,113.55,110.5,111.65,111.95,112.14,405796,5591,186280,45.9,2.0889439199999997,2.7781964643999997,-0.40035587188612354,75.19064784538713
CHENNPETRO, EQ, 09-Feb-2022,111.95,112.65,113.8,110.5,111.15,111.1,111.9,292786,4584,144240,49.26,1.6140456,2.6553697548,-0.7592675301473948,60.78421271020195
CHENNPETRO, EQ, 10-Feb-2022,111.1,110.5,114.9,109.5,111.75,111.85,111.01,359600,3330,160884,44.74,1.785973284,2.3516841544,0.6750675067506752,75.94443669905436
CHENNPETRO, EQ, 11-Feb-2022,111.85,110.8,112.8,109.15,109.3,109.65,110.7,345162,4453,183658,53.21,2.0330940600000003,2.0036192254000005,-1.9669199821188994,101.4710796455906
CHENNPETRO, EQ, 14-Feb-2022,109.65,108.0,108.0,100.5,102.65,101.85,104.73,559882,7903,295798,52.83,3.097892454,1.882351254,-7.113543091655276,164.57568412999288
CHENNPETRO, EQ, 15-Feb-2022,101.85,102.65,107.0,102.5,106.1,106.15,104.91,364243,5089,165441,45.42,1.735641531,2.1239898636,4.22189494354444,81.71609294115089
CHENNPETRO, EQ, 16-Feb-2022,106.15,106.55,108.8,106.5,107.2,107.3,107.55,296759,4159,111534,37.58,1.19954817,2.0533293858000006,1.0833725859632515,58.41966604557418
CHENNPETRO, EQ, 17-Feb-2022,107.3,107.85,109.0,106.5,106.9,106.75,107.49,203986,2345,73338,35.95,0.7883101619999999,1.9704298998000003,-0.512581547064303,40.00701380343517
CHENNPETRO, EQ, 18-Feb-2022,106.75,106.75,106.85,105.0,106.35,105.3,105.8,141253,2222,59371,42.03,0.62814518,1.7708972753999999,-1.3583138173302134,35.47044702850526
CHENNPETRO, EQ, 21-Feb-2022,105.3,105.25,106.35,102.5,102.85,103.2,103.92,317326,4078,131117,41.32,1.362567864,1.4899074994,-1.994301994301989,91.45318515067005
CHENNPETRO, EQ, 22-Feb-2022,103.2,100.0,101.9,99.0,100.7,100.75,100.55,423559,5225,195295,46.11,1.963691225,1.1428425813999998,-2.374031007751941,171.8251714592615
CHENNPETRO, EQ, 23-Feb-2022,100.75,101.1,103.3,101.1,102.7,102.55,102.68,159398,2499,71884,45.1,0.7381049120000001,1.1884525201999998,1.786600496277913,62.106386200080365
CHENNPETRO, EQ, 24-Feb-2022,102.55,99.85,100.15,94.45,95.7,95.2,97.15,545373,7959,268245,49.19,2.606000175,1.0961638686,-7.16723549488054,237.73819313423778
CHENNPETRO, EQ, 25-Feb-2022,95.2,97.05,102.0,97.0,100.8,100.3,99.87,477757,6322,201112,42.1,2.008505544,1.4597018712,5.357142857142851,137.5969698763787
CHENNPETRO, EQ, 28-Feb-2022,100.3,99.8,101.0,98.1,100.5,100.35,100.08,225817,3196,82329,36.46,0.823948632,1.7357739440000004,0.049850448654035054,47.46866000887497
CHENNPETRO, EQ, 02-Mar-2022,100.35,99.95,107.8,99.55,105.5,105.9,105.9,1075514,11756,438493,40.77,4.6436408700000005,1.6280500976000003,5.530642750373704,285.22714852850356
CHENNPETRO, EQ, 03-Mar-2022,105.9,109.0,111.5,108.75,110.45,110.4,110.2,873939,10857,378583,43.32,4.171984660000001,2.1640400266,4.2492917847025495,192.78685277160764
CHENNPETRO, EQ, 04-Mar-2022,110.4,109.0,110.0,106.7,108.0,108.05,108.5,405194,4982,207368,51.18,2.2499428,2.8508159762000007,-2.128623188405805,78.92276522874916
CHENNPETRO, EQ, 08-Mar-2022,109.65,109.75,119.0,109.65,113.05,113.55,115.47,2484761,27747,840879,33.84,9.709629813,2.7796045012,5.090236001850995,349.31695530095004
CHENNPETRO, EQ, 09-Mar-2022,113.55,114.6,128.65,114.55,127.45,127.25,122.79,3316120,34259,1328837,40.07,16.316789523,4.319829355,12.065169528841922,377.7183814937986
CHENNPETRO, EQ, 10-Mar-2022,127.25,128.7,129.2,122.2,123.0,123.8,124.88,2104551,24494,723521,34.38,9.035330248,7.4183975332,-2.7111984282907686,121.79625326849421
CHENNPETRO, EQ, 11-Mar-2022,123.8,123.5,125.8,121.0,124.5,124.15,123.65,902251,11466,289716,32.11,3.5823383399999997,8.2967354088,0.282714054927309,43.17768572202946
