SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
CIPLA, EQ, 14-Oct-2021,913.5,917.45,920.5,909.9,912.35,911.35,914.92,913675,34911,360635,39.47,32.995217419999996,,,
CIPLA, EQ, 18-Oct-2021,911.35,911.35,915.9,899.5,903.0,903.75,904.36,1913667,73995,1050664,54.9,95.017849504,,,
CIPLA, EQ, 19-Oct-2021,903.75,906.0,917.3,903.25,906.0,906.2,909.27,1360282,37455,650163,47.8,59.117371100999996,,,
CIPLA, EQ, 20-Oct-2021,906.2,905.0,912.7,900.0,905.25,905.9,906.41,1941581,57613,1050989,54.13,95.262693949,,,
CIPLA, EQ, 21-Oct-2021,905.9,914.45,917.9,901.6,912.8,911.55,909.76,2723509,67328,1612662,59.21,146.71353811199998,,,
CIPLA, EQ, 22-Oct-2021,911.55,911.55,915.0,889.35,895.8,896.35,899.47,1360319,38652,528786,38.87,47.562714342,85.82133401719999,-1.66748944106192,55.42061876184267
CIPLA, EQ, 25-Oct-2021,896.35,895.9,913.0,890.0,902.45,901.85,904.11,1901039,61990,408040,21.46,36.89130444,88.7348334016,0.613599598371172,41.57477173934132
CIPLA, EQ, 26-Oct-2021,901.85,908.9,914.15,900.0,909.0,907.5,906.4,1405411,40614,543805,38.69,49.2904852,77.1095243888,0.6264899927925904,63.92269384449653
CIPLA, EQ, 27-Oct-2021,907.5,916.95,926.9,902.45,921.2,922.5,918.78,5111161,155300,1667171,32.62,153.17633713799998,75.14414720859999,1.6528925619834711,203.84333687729904
CIPLA, EQ, 28-Oct-2021,922.5,922.4,928.55,886.3,889.95,891.75,905.94,2224983,65478,1045561,46.99,94.721553234,86.72687584639998,-3.3333333333333335,109.2182236585568
CIPLA, EQ, 29-Oct-2021,891.75,893.0,917.0,885.25,910.0,905.05,903.48,2783659,87913,1093981,39.3,98.838995388,76.3284788708,1.4914493972525882,129.49163516713494
CIPLA, EQ, 01-Nov-2021,905.05,917.0,918.55,902.2,908.9,909.25,909.47,986133,55715,350163,35.51,31.846274361000003,86.58373508,0.4640627589635982,36.78089693355835
