SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
COALINDIA, EQ, 14-Oct-2021,190.05,190.0,191.8,182.3,184.5,183.8,185.56,29542941,215081,10358287,35.06,192.208373572,,,
COALINDIA, EQ, 18-Oct-2021,183.8,184.8,187.75,183.4,185.25,185.3,185.67,15468914,124676,5047322,32.63,93.71362757399999,,,
COALINDIA, EQ, 19-Oct-2021,185.3,187.3,188.95,183.6,184.95,184.5,186.33,17403803,110685,5019465,28.84,93.52769134500001,,,
COALINDIA, EQ, 20-Oct-2021,184.5,182.7,183.4,177.4,180.75,180.5,180.01,15921230,101296,4126988,25.92,74.289910988,,,
COALINDIA, EQ, 21-Oct-2021,180.5,182.0,183.0,178.9,182.4,182.4,181.33,15586097,89032,5333611,34.22,96.71436826300001,,,
COALINDIA, EQ, 22-Oct-2021,182.4,183.4,184.3,175.3,175.75,175.9,177.91,13603152,93874,4287364,31.52,76.276492924,110.09079434839998,-3.56359649122807,69.28507817157791
COALINDIA, EQ, 25-Oct-2021,175.9,176.25,177.25,173.0,173.25,174.1,174.85,11744666,77164,3702698,31.53,64.74167453,86.90441821879999,-1.0233086981239405,74.49756394087966
COALINDIA, EQ, 26-Oct-2021,174.1,173.0,176.0,171.75,175.9,175.05,173.7,11602891,65925,5396185,46.51,93.73173345,81.11002761,0.5456634118322901,115.56121507033474
COALINDIA, EQ, 27-Oct-2021,175.05,175.7,176.65,172.8,173.2,173.6,174.72,9535881,63611,3326317,34.88,58.117410624,81.150836031,-0.8283347614967249,71.61652727989011
COALINDIA, EQ, 28-Oct-2021,173.6,173.0,173.0,165.95,167.15,166.55,168.31,24509136,112098,13964438,56.98,235.03545597800002,77.9163359582,-4.061059907834092,301.651063397142
COALINDIA, EQ, 29-Oct-2021,166.55,165.0,169.5,163.3,164.7,164.45,166.19,14826816,86301,5993583,40.42,99.607355877,105.58055350119999,-1.2608826178324963,94.34252101725144
COALINDIA, EQ, 01-Nov-2021,164.45,165.0,171.95,163.8,170.35,170.75,167.36,13585170,78060,5421092,39.9,90.72739571200002,110.2467260918,3.8309516570386206,82.29486618627871
COALINDIA, EQ, 02-Nov-2021,170.75,171.45,173.75,168.35,168.8,169.2,171.03,14278962,91788,4810481,33.69,82.273656543,115.4438703282,-0.9077598828696992,71.26723689105444
COALINDIA, EQ, 03-Nov-2021,169.2,168.2,171.1,167.35,169.45,169.75,169.51,8974463,59927,3332807,37.14,56.49441145699999,113.15225494680001,0.3250591016548531,49.92778224663889
COALINDIA, EQ, 08-Nov-2021,170.7,171.0,174.2,168.5,171.55,171.7,170.96,8761953,60883,3230780,36.87,55.233414880000005,112.82765511340001,1.1487481590574307,48.95379135947335
COALINDIA, EQ, 09-Nov-2021,171.7,172.05,172.4,169.6,170.6,170.5,170.85,5723308,45591,2571031,44.92,43.926064634999996,76.8672468938,-0.6988934187536335,57.14535957777748
COALINDIA, EQ, 10-Nov-2021,170.5,169.9,170.85,166.45,166.7,166.7,167.45,9212143,69954,3592473,39.0,60.15596038499999,65.7309886454,-2.228739002932558,91.51841714951877
COALINDIA, EQ, 11-Nov-2021,166.7,165.9,167.65,165.2,167.3,167.0,166.52,6453205,65062,1962135,30.41,32.673472020000006,59.61670158,0.17996400719856712,54.80590363785102
