SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
CONFIPET, EQ, 14-Oct-2021,88.35,89.0,90.4,88.0,88.45,88.5,88.92,647041,5623,339879,52.53,3.022204068,,,
CONFIPET, EQ, 18-Oct-2021,88.5,88.7,91.0,87.45,90.15,90.6,89.49,1229026,9940,682848,55.56,6.110806751999999,,,
CONFIPET, EQ, 19-Oct-2021,90.6,91.2,91.35,82.0,84.3,83.75,86.69,1139590,10628,623478,54.71,5.404930782,,,
CONFIPET, EQ, 20-Oct-2021,83.75,84.0,84.85,80.15,82.0,81.25,82.45,1141292,13374,495704,43.43,4.087079480000001,,,
CONFIPET, EQ, 21-Oct-2021,81.25,81.4,94.8,81.4,90.25,90.35,89.14,3144817,20747,1151740,36.62,10.26661036,,,
CONFIPET, EQ, 22-Oct-2021,90.35,89.3,95.4,85.2,86.5,86.2,90.82,4648958,38849,1534860,33.02,13.939598519999999,5.7783262884,-4.593248478140556,241.2393801295674
CONFIPET, EQ, 25-Oct-2021,86.2,86.95,91.45,86.4,89.3,90.4,88.93,1841919,14923,715250,38.83,6.360718250000001,7.961805178799999,4.872389791183298,79.89040308266732
CONFIPET, EQ, 26-Oct-2021,90.4,90.3,91.05,88.55,89.1,89.2,89.48,642440,5450,274867,42.78,2.459509916,8.011787478399999,-1.3274336283185872,30.698641503296326
CONFIPET, EQ, 27-Oct-2021,89.2,89.5,92.5,88.1,89.6,89.75,90.39,2038331,19508,1062319,52.12,9.602301441,7.4227033052,0.6165919282511179,129.36393987717486
CONFIPET, EQ, 28-Oct-2021,89.75,90.15,93.65,86.4,89.4,88.95,90.98,2131980,16073,831020,38.98,7.560619960000001,8.5257476974,-0.8913649025069607,88.67984637060839
CONFIPET, EQ, 29-Oct-2021,88.95,89.5,91.0,86.4,88.7,89.55,88.9,1096842,9760,466159,42.5,4.14415351,7.984549617400001,0.6745362563237709,51.9021573986969
CONFIPET, EQ, 01-Nov-2021,89.55,92.0,92.7,82.2,84.95,84.85,86.97,4217402,35736,1883594,44.66,16.381617018,6.0254606154,-5.248464544946961,271.8732734910177
CONFIPET, EQ, 02-Nov-2021,84.85,87.0,89.4,86.05,87.2,87.4,87.43,1305846,13863,535693,41.02,4.683563899,8.029640369,3.0053034767236437,58.32843917993906
CONFIPET, EQ, 03-Nov-2021,87.4,87.8,88.3,85.55,85.85,85.8,86.73,629561,6044,327646,52.04,2.841673758,8.4744511656,-1.8306636155606504,33.53224536280406
CONFIPET, EQ, 08-Nov-2021,86.15,86.85,86.85,84.9,85.1,85.05,85.58,573276,4773,325471,56.77,2.785380818,7.122325629,-0.8741258741258742,39.107743216046664
