SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
CUB, EQ, 14-Oct-2021,168.9,169.8,172.95,168.6,170.6,171.35,171.15,2724655,25645,1376786,50.53,23.56369239,,,
CUB, EQ, 18-Oct-2021,171.35,174.35,174.35,169.9,170.45,171.0,171.77,2545315,23740,1342636,52.75,23.062458572000004,,,
CUB, EQ, 19-Oct-2021,171.0,171.0,171.7,165.55,165.7,166.35,168.42,1993464,26749,1065064,53.43,17.937807888,,,
CUB, EQ, 20-Oct-2021,166.35,165.7,169.75,163.25,167.7,167.9,166.77,2145567,31936,891492,41.55,14.867412084,,,
CUB, EQ, 21-Oct-2021,167.9,167.8,171.8,165.55,170.45,170.4,169.39,3164738,30450,1237992,39.12,20.970346488,,,
CUB, EQ, 22-Oct-2021,170.4,171.0,172.5,165.95,169.15,169.55,169.16,2005281,18139,732218,36.51,12.386199688,20.0803434844,-0.4988262910798088,61.683206254029365
CUB, EQ, 25-Oct-2021,169.55,171.0,179.7,164.95,176.4,176.25,175.18,8863132,53960,2865783,32.33,50.202786594,17.844844944000002,3.951636685343549,281.3293517065821
CUB, EQ, 26-Oct-2021,176.25,178.35,183.95,175.2,181.15,181.05,180.58,10779683,76459,3969343,36.82,71.678395894,23.2729105484,2.7234042553191555,307.9906818914313
CUB, EQ, 27-Oct-2021,181.05,182.45,182.5,174.2,177.1,175.05,178.66,2559104,19509,910708,35.59,16.270709128,34.0210281496,-3.3140016570008286,47.82544800366741
CUB, EQ, 28-Oct-2021,175.05,176.6,176.6,168.65,169.2,169.7,172.46,1963648,17269,687724,35.02,11.860488104,34.3016875584,-3.0562696372465137,34.576981333081775
CUB, EQ, 29-Oct-2021,169.7,170.95,172.5,164.0,170.0,168.15,168.67,2205870,22006,982650,44.55,16.57435755,32.4797158816,-0.9133765468473677,51.02987233761331
CUB, EQ, 01-Nov-2021,168.15,170.0,170.15,165.0,167.45,167.45,167.01,1129075,10636,435165,38.54,7.267690664999999,33.317347454,-0.4162949747249581,21.81353325031119
CUB, EQ, 02-Nov-2021,167.45,167.0,171.8,165.8,169.5,170.05,169.07,1740449,14642,658253,37.82,11.129083471,24.7303282682,1.5527022991938029,45.00176200778766
CUB, EQ, 03-Nov-2021,170.05,170.0,173.75,168.05,168.6,168.6,171.24,1496387,12315,428209,28.62,7.332650916000001,12.620465783599998,-0.8526903851808392,58.10127012529609
CUB, EQ, 08-Nov-2021,174.25,175.0,175.1,170.2,172.0,172.05,172.16,1226213,10053,396073,32.3,6.818792767999999,10.832854141199999,2.0462633451957397,62.945486749114984
CUB, EQ, 09-Nov-2021,172.05,172.95,173.6,168.65,170.5,170.5,171.56,1030383,8360,417029,40.47,7.154549523999999,9.824515074,-0.9009009009009075,72.82343678146611
CUB, EQ, 10-Nov-2021,170.5,170.05,172.3,168.2,168.6,168.55,169.83,905474,12366,445561,49.21,7.566962463000001,7.940553468799999,-1.14369501466275,95.29515156257166
CUB, EQ, 11-Nov-2021,168.55,169.45,169.45,163.55,164.65,164.5,165.39,1953389,12325,1165290,59.65,19.27273131,8.0004078284,-2.4028478196380965,240.89686080233673
CUB, EQ, 12-Nov-2021,164.5,164.75,166.0,162.45,163.8,163.85,163.8,1912776,12930,967198,50.57,15.84270324,9.629137396199999,-0.39513677811550496,164.5287899438645
CUB, EQ, 15-Nov-2021,163.85,163.9,165.3,161.15,162.35,161.9,162.75,1369838,13623,556126,40.6,9.05095065,11.331147861000002,-1.190112908147689,79.87673235782162
CUB, EQ, 16-Nov-2021,161.9,162.0,163.0,158.3,158.9,159.1,160.89,1593130,18561,920780,57.8,14.814429419999998,11.777579437399998,-1.7294626312538672,125.78500954921523
CUB, EQ, 17-Nov-2021,159.1,159.0,160.5,156.2,156.5,156.6,158.5,1622474,12500,1010227,62.26,16.01209795,13.3095554166,-1.571338780641106,120.30528029530817
CUB, EQ, 18-Nov-2021,156.6,156.5,158.55,155.0,156.25,156.0,156.32,1431886,15040,601758,42.03,9.406681056,14.998582514,-0.3831417624521037,62.71713375060344
