SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
DAAWAT, EQ, 14-Oct-2021,73.1,73.2,75.8,73.15,73.65,73.6,74.27,3493071,17677,1711611,49.0,12.712134897,,,
DAAWAT, EQ, 18-Oct-2021,73.6,74.1,74.45,72.35,72.6,72.5,72.86,1434088,8775,857870,59.82,6.250440820000001,,,
DAAWAT, EQ, 19-Oct-2021,72.5,72.8,73.6,69.3,70.2,69.85,71.33,1554319,10371,828983,53.33,5.913135739,,,
DAAWAT, EQ, 20-Oct-2021,69.85,69.85,71.0,68.6,69.5,69.25,69.63,1125065,7802,501926,44.61,3.4949107379999997,,,
DAAWAT, EQ, 21-Oct-2021,69.25,69.7,70.0,69.0,69.7,69.6,69.64,698785,6357,318085,45.52,2.21514394,,,
DAAWAT, EQ, 22-Oct-2021,69.6,69.25,71.8,69.25,70.2,69.8,70.4,1079675,7753,449581,41.64,3.1650502400000002,6.1171532268,0.28735632183908455,51.740574784583224
DAAWAT, EQ, 25-Oct-2021,69.8,70.35,70.6,67.2,67.9,68.15,68.42,1064633,9234,500301,46.99,3.423059442,4.2077362954,-2.3638968481375238,81.35156772400809
DAAWAT, EQ, 26-Oct-2021,68.15,68.5,70.15,68.2,69.7,69.8,69.45,654565,6755,269380,41.15,1.8708441,3.6422600197999997,2.4211298606016016,51.36492424565367
DAAWAT, EQ, 27-Oct-2021,69.8,70.3,72.8,69.2,71.85,72.15,71.81,1610901,9188,812075,50.41,5.831510575,2.8338016919999998,3.366762177650442,205.78400356887076
DAAWAT, EQ, 28-Oct-2021,72.15,72.45,72.85,70.5,71.3,71.55,71.7,1649178,10543,855273,51.86,6.13230741,3.3011216593999997,-0.8316008316008433,185.7643565646286
DAAWAT, EQ, 29-Oct-2021,71.55,72.15,73.0,69.2,69.65,69.5,70.69,2430174,16579,904757,37.23,6.395727233,4.0845543534,-2.8651292802236163,156.58323233417545
DAAWAT, EQ, 01-Nov-2021,69.5,69.0,70.2,67.3,68.4,68.25,68.52,988401,7063,537287,54.36,3.6814905239999995,4.730689752,-1.7985611510791366,77.8214323279934
DAAWAT, EQ, 02-Nov-2021,68.25,68.9,68.95,67.6,67.85,67.85,68.09,1246239,6932,724512,58.14,4.933202208000001,4.7823759684,-0.5860805860805944,103.15379302247666
DAAWAT, EQ, 03-Nov-2021,67.85,68.0,68.3,66.4,66.9,66.8,67.18,950781,5927,605943,63.73,4.070725074,5.39484759,-1.5475313190862154,75.4557938123327
DAAWAT, EQ, 08-Nov-2021,68.1,69.3,70.9,68.0,69.9,69.95,69.33,1156632,9649,669746,57.9,4.643349018,5.0426904898,4.7155688622754575,92.08078559237852
DAAWAT, EQ, 09-Nov-2021,69.95,69.9,75.25,69.45,72.0,72.2,72.5,4453873,23236,1292686,29.02,9.3719735,4.744898811400001,3.216583273766976,197.51682538483394
DAAWAT, EQ, 10-Nov-2021,72.2,71.9,72.85,70.5,71.15,70.85,71.87,983454,7856,534444,54.34,3.841049028,5.340148064799999,-1.8698060941828372,71.92776270228485
DAAWAT, EQ, 11-Nov-2021,70.85,71.15,71.45,70.0,70.7,70.3,70.65,604396,6560,286752,47.44,2.0259028800000003,5.3720597656,-0.776287932251231,37.71184551915962
DAAWAT, EQ, 12-Nov-2021,70.3,70.7,70.9,69.15,69.8,69.95,70.01,573784,4809,286066,49.86,2.002748066,4.7905999,-0.49786628733996346,41.805788581926876
DAAWAT, EQ, 15-Nov-2021,69.95,70.45,70.5,68.0,68.65,68.6,68.84,741548,6779,455673,61.45,3.136852932,4.3770044984,-1.929949964260198,71.66665999878836
DAAWAT, EQ, 16-Nov-2021,68.6,68.95,70.1,68.35,69.3,69.3,69.31,624903,5012,267356,42.78,1.853044436,4.075705281199999,1.0204081632653104,45.46561412444456
DAAWAT, EQ, 17-Nov-2021,69.3,69.9,70.1,67.95,68.6,68.65,69.13,617738,4962,328837,53.23,2.273250181,2.5719194684,-0.9379509379509257,88.38730018301065
DAAWAT, EQ, 18-Nov-2021,68.65,68.65,69.3,67.55,67.8,67.95,68.14,566636,5209,300827,53.09,2.049835178,2.258359699,-1.0196649672250586,90.76654967353807
DAAWAT, EQ, 22-Nov-2021,67.95,68.7,68.7,65.35,65.8,65.6,66.43,807699,7234,420664,52.08,2.794470952,2.2631461586000006,-3.458425312729961,123.47726378081923
