SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
DABUR, EQ, 14-Oct-2021,623.8,626.0,627.9,612.45,614.9,615.2,621.6,2722324,41440,1344950,49.4,83.602092,,,
DABUR, EQ, 18-Oct-2021,615.2,632.0,632.0,612.6,614.9,614.15,618.47,1464144,34962,683904,46.71,42.297410688,,,
DABUR, EQ, 19-Oct-2021,614.15,615.0,620.3,604.1,607.7,605.25,612.03,1524974,36246,639094,41.91,39.114470082,,,
DABUR, EQ, 20-Oct-2021,605.25,607.0,607.85,591.05,593.0,592.65,597.27,2784702,58289,1714478,61.57,102.40062750599999,,,
DABUR, EQ, 21-Oct-2021,592.65,598.5,599.0,585.25,588.1,587.4,589.84,1925145,52170,1174762,61.02,69.292161808,,,
DABUR, EQ, 22-Oct-2021,587.4,591.9,597.0,585.0,589.0,590.75,590.37,1407275,29943,708566,50.35,41.831610942000005,67.34135241679999,0.5703098399727652,62.11875681243975
DABUR, EQ, 25-Oct-2021,590.75,592.0,593.25,576.55,582.4,581.3,580.71,1462238,36519,699328,47.83,40.61067628800001,58.987256205200005,-1.5996614473127457,68.84652533545031
DABUR, EQ, 26-Oct-2021,581.3,582.0,583.95,574.45,583.95,581.35,577.97,1949684,50446,1272159,65.25,73.526973723,58.6499093252,0.008601410631355276,125.36587791689526
DABUR, EQ, 27-Oct-2021,581.35,584.0,597.95,583.35,590.75,591.65,591.6,3252371,61180,1675177,51.51,99.10347132000001,65.5324100534,1.7717381955792473,151.22818043658728
DABUR, EQ, 28-Oct-2021,591.65,594.0,594.35,586.45,589.5,589.7,589.89,1105554,29174,464199,41.99,27.382634811000003,64.8729788162,-0.32958674892249334,42.20961532933654
DABUR, EQ, 29-Oct-2021,589.7,589.9,593.8,582.45,588.4,585.85,586.9,1980982,41123,1119315,56.5,65.69259735,56.491073416800006,-0.6528743428862172,116.28845652358153
DABUR, EQ, 01-Nov-2021,585.85,588.0,600.8,587.0,599.7,597.05,594.23,3104045,43467,1833229,59.06,108.935966867,61.26327069840001,1.9117521549884664,177.81611335002566
DABUR, EQ, 02-Nov-2021,597.05,599.85,604.9,588.75,598.45,598.05,598.09,6908391,96227,2391206,34.61,143.01563965399998,74.9283288142,0.16749015995310276,190.8699178499447
DABUR, EQ, 03-Nov-2021,598.05,608.0,612.3,600.75,611.5,610.55,607.34,7257690,97292,3520842,48.51,213.83481802800003,88.8260620004,2.090126243625115,240.73432190097213
DABUR, EQ, 08-Nov-2021,612.55,625.0,625.0,604.5,606.9,606.8,608.79,2428555,65555,1587826,65.38,96.66525905399999,111.772331342,-0.6142003111948244,86.4840680098409
DABUR, EQ, 09-Nov-2021,606.8,606.0,609.4,600.15,603.05,603.2,604.24,876256,21394,426739,48.7,25.785277336,125.6288561906,-0.5932762030322857,20.524963864097767
DABUR, EQ, 10-Nov-2021,603.2,601.2,606.9,598.0,606.0,605.25,604.12,1801639,30148,1187283,65.9,71.72614059600001,117.64739218780001,0.339854111405828,60.9670467506019
DABUR, EQ, 11-Nov-2021,605.25,604.7,604.7,595.0,598.85,599.0,598.45,2031771,29310,1443735,71.06,86.40032107500001,110.20542693360001,-1.0326311441553075,78.39933429690097
DABUR, EQ, 12-Nov-2021,599.0,602.0,604.3,598.6,603.4,602.45,600.67,2304135,35024,1661011,72.09,99.77194773699999,98.8823632178,0.5759599332220443,100.89963921800754
DABUR, EQ, 15-Nov-2021,602.45,604.0,607.0,598.1,604.0,604.0,603.57,1665604,43959,885238,53.15,53.430309966,76.0697891596,0.2572827620549347,70.23854089288888
DABUR, EQ, 16-Nov-2021,604.0,605.8,611.9,604.55,609.35,610.0,609.04,1793708,46379,1162353,64.8,70.791947112,67.42279934199999,0.9933774834437087,104.99704521746438
DABUR, EQ, 17-Nov-2021,610.0,608.0,611.8,606.05,607.95,608.0,608.36,1022417,17487,710985,69.54,43.253483460000005,76.4241332972,-0.32786885245901637,56.59662935501646
DABUR, EQ, 18-Nov-2021,608.0,608.0,610.0,601.45,608.25,608.75,605.97,841689,23273,535931,63.67,32.475810807,70.72960187,0.12335526315789473,45.91544409749412
DABUR, EQ, 22-Nov-2021,608.75,611.0,616.6,603.55,608.7,606.8,612.23,3998703,66185,2072083,51.82,126.85913750900002,59.9446998164,-0.3203285420944633,211.6269459978065
DABUR, EQ, 23-Nov-2021,606.8,607.45,613.5,599.2,610.75,611.55,609.6,1508700,44524,803472,53.26,48.97965312,65.36213777080002,0.7827949901120633,74.93581879428865
DABUR, EQ, 24-Nov-2021,611.55,610.05,611.55,602.0,603.3,602.95,605.64,1845329,31628,1355660,73.46,82.10419224,64.4720064016,-1.4062627749161818,127.34859177263394
DABUR, EQ, 25-Nov-2021,602.95,603.3,606.95,594.05,605.9,606.4,600.97,1518710,49539,868528,57.19,52.195927216,66.7344554272,0.5721867484865962,78.21436000618908
DABUR, EQ, 26-Nov-2021,606.4,603.0,612.4,599.8,602.2,602.0,606.32,1952921,37832,1001122,51.26,60.70002910400001,68.52294417840001,-0.7255936675461704,88.58350999333452
