SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
DIAMONDYD, EQ, 14-Oct-2021,710.8,711.0,738.75,705.5,707.05,711.25,723.39,29056,3916,15438,53.13,1.116769482,,,
DIAMONDYD, EQ, 18-Oct-2021,711.25,711.25,758.0,711.25,750.0,752.8,739.25,54284,5045,31546,58.11,2.33203805,,,
DIAMONDYD, EQ, 19-Oct-2021,752.8,758.8,784.45,747.7,763.05,760.1,768.81,57764,5742,33897,58.68,2.606035257,,,
DIAMONDYD, EQ, 20-Oct-2021,760.1,761.1,773.95,735.0,744.0,742.65,754.75,18756,2548,11727,62.52,0.885095325,,,
DIAMONDYD, EQ, 21-Oct-2021,742.65,759.8,759.85,708.0,733.0,731.95,728.42,17681,3039,7256,41.04,0.528541552,,,
DIAMONDYD, EQ, 22-Oct-2021,731.95,727.7,783.0,727.7,759.0,758.5,766.61,56640,5426,27161,47.95,2.0821894210000003,1.4936959332000002,3.6272969465127334,139.39847961822113
DIAMONDYD, EQ, 25-Oct-2021,758.5,753.2,763.45,712.0,730.0,720.6,732.94,15117,2962,5046,33.38,0.36984152400000003,1.686779921,-4.996704021094263,21.92589082876568
DIAMONDYD, EQ, 26-Oct-2021,720.6,713.4,762.4,713.35,719.1,723.35,729.95,25511,5117,8918,34.96,0.6509694100000001,1.2943406158,0.3816264224257563,50.293516409330316
DIAMONDYD, EQ, 27-Oct-2021,723.35,723.4,730.15,691.15,699.0,696.65,711.0,26007,3783,10021,38.53,0.7124931,0.9033274464000002,-3.691159189880424,78.87428892363165
DIAMONDYD, EQ, 28-Oct-2021,696.65,695.35,705.55,678.2,686.75,684.1,687.45,12106,1497,7908,65.32,0.5436354600000001,0.8688070014000001,-1.8014785042704307,62.572638010971716
DIAMONDYD, EQ, 29-Oct-2021,684.1,695.0,699.9,673.25,686.0,681.85,685.3,14808,1953,5044,34.06,0.34566532,0.871825783,-0.32889928373044874,39.64843971585089
DIAMONDYD, EQ, 01-Nov-2021,681.85,674.1,695.0,674.1,690.0,686.65,686.56,4549,928,2503,55.02,0.171845968,0.5245209628,0.703967148199744,32.76245949878745
DIAMONDYD, EQ, 02-Nov-2021,686.65,695.95,701.45,679.85,681.5,684.2,687.74,5155,736,2997,58.14,0.206115678,0.48492185160000006,-0.3568047768149613,42.50492678767128
DIAMONDYD, EQ, 03-Nov-2021,684.2,682.3,711.05,682.3,692.85,696.55,700.87,18546,2079,9949,53.64,0.697295563,0.3959511052,1.8050277696579815,176.1064823010879
DIAMONDYD, EQ, 08-Nov-2021,703.15,713.7,730.3,705.2,720.6,725.05,718.28,36381,3401,23242,63.88,1.6694263759999999,0.3929115978,4.091594286124471,424.88600116349124
DIAMONDYD, EQ, 09-Nov-2021,725.05,724.6,730.0,715.0,720.1,723.4,723.06,13635,1877,6223,45.64,0.449960238,0.618069781,-0.22757051237845355,72.80087974403007
DIAMONDYD, EQ, 10-Nov-2021,723.4,725.0,727.9,716.0,716.0,718.7,723.24,6705,683,4855,72.41,0.35113302,0.6389287645999999,-0.6497097041747211,54.956520891624926
DIAMONDYD, EQ, 11-Nov-2021,718.7,715.05,724.9,705.25,715.0,711.6,712.36,5301,815,3385,63.86,0.24113386,0.674786175,-0.9878948100737475,35.73485482271476
DIAMONDYD, EQ, 12-Nov-2021,711.6,729.0,786.0,720.1,724.0,730.3,751.89,151014,14977,61533,40.75,4.626604737,0.6817898114,2.62788083192804,678.596931142113
DIAMONDYD, EQ, 15-Nov-2021,730.3,730.3,749.15,721.1,738.0,738.2,734.4,25502,3315,13627,53.44,1.0007668799999998,1.4676516461999998,1.0817472271669302,68.1883117558009
DIAMONDYD, EQ, 16-Nov-2021,738.2,730.05,756.0,730.05,738.05,743.7,741.92,16644,2493,11536,69.31,0.8558789119999999,1.333919747,0.7450555405039284,64.16269898731771
