SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
DLF, EQ, 14-Oct-2021,427.5,430.5,444.8,429.4,434.0,434.9,437.89,12094977,117227,2305868,19.06,100.971653852,,,
DLF, EQ, 18-Oct-2021,434.9,429.3,449.7,429.0,440.0,441.75,441.93,8330640,82871,1818310,21.83,80.35657383,,,
DLF, EQ, 19-Oct-2021,441.75,443.0,444.95,410.3,414.9,414.45,426.27,8662895,98458,2138523,24.69,91.15881992099999,,,
DLF, EQ, 20-Oct-2021,414.45,416.9,420.4,405.3,413.3,412.95,413.57,9537787,106776,2271940,23.82,93.96062257999999,,,
DLF, EQ, 21-Oct-2021,412.95,415.0,417.0,398.15,407.55,407.1,407.33,10677501,102763,3422832,32.06,139.422215856,,,
DLF, EQ, 22-Oct-2021,407.1,411.0,418.5,406.8,411.35,413.65,413.35,8070605,78017,766605,9.5,31.687617675,101.1739772078,1.6089412920658204,31.319928848815724
DLF, EQ, 25-Oct-2021,413.65,414.9,414.9,391.5,400.55,401.15,402.31,7158126,64466,1760043,24.59,70.808289933,87.3171699724,-3.0218783996132,81.09320303828184
DLF, EQ, 26-Oct-2021,401.15,403.0,417.15,402.35,416.0,415.85,411.82,5111958,55941,737380,14.42,30.36678316,85.407513193,3.6644646640907506,35.55516607933371
DLF, EQ, 27-Oct-2021,415.85,415.8,422.7,412.0,414.0,414.4,417.74,6585855,68360,1025122,15.57,42.823446428000004,73.2491058408,-0.34868341950223525,58.4627565571554
DLF, EQ, 28-Oct-2021,414.4,414.5,415.0,394.2,398.4,396.55,402.8,7192680,65958,1473356,20.48,59.346779680000004,63.021670610399994,-4.3074324324324245,94.16884558151725
DLF, EQ, 29-Oct-2021,396.55,402.9,409.8,388.2,399.5,398.6,400.63,15011614,150887,3064495,20.41,122.77286318499999,47.0065833752,0.5169587693859566,261.1822735659048
DLF, EQ, 01-Nov-2021,398.6,404.35,415.0,403.05,409.9,408.85,409.76,12418986,102195,3579588,28.82,146.677197888,65.2236324772,2.571500250878073,224.8835158625571
DLF, EQ, 02-Nov-2021,408.85,412.0,431.9,411.15,430.75,430.05,424.66,19028658,165231,3303386,17.36,140.281589876,80.3974140682,5.185275773511065,174.485201423271
DLF, EQ, 03-Nov-2021,430.05,431.85,434.8,422.3,429.0,429.65,429.86,11101084,96356,1463117,13.18,62.893547362,102.3803754114,-0.0930124404139133,61.43125292251745
DLF, EQ, 08-Nov-2021,430.85,435.15,444.0,427.7,441.2,442.2,437.41,7938150,71253,2365696,29.8,103.477908736,106.3943955982,2.9209821948097314,97.2587965317138
DLF, EQ, 09-Nov-2021,442.2,442.35,442.35,433.05,436.95,437.4,438.27,5558139,57559,1419235,25.53,62.200812344999996,115.2206214094,-1.0854816824966105,53.98409727716109
DLF, EQ, 10-Nov-2021,437.4,434.95,438.8,430.0,433.8,434.5,434.39,4563617,42164,1006492,22.05,43.721005988,103.1062112414,-0.6630086877000406,42.40385274718038
DLF, EQ, 11-Nov-2021,434.5,434.5,438.05,414.2,415.05,416.0,423.15,8079167,90267,1856952,22.98,78.57692388,82.5149728614,-4.25776754890679,95.22747345743575
DLF, EQ, 12-Nov-2021,416.0,418.5,429.2,418.35,427.25,428.35,424.39,5871736,57320,1432648,24.4,60.800148472000004,70.17403966219999,2.9687500000000053,86.64193876350355
DLF, EQ, 15-Nov-2021,428.35,430.5,431.4,420.25,423.0,424.05,425.39,3385226,39580,421253,12.44,17.919681367,69.75535988419999,-1.0038519901949368,25.689325374778715
DLF, EQ, 16-Nov-2021,424.05,425.1,431.6,421.75,422.8,423.8,427.02,4307994,50230,1138770,26.43,48.62775654,52.6437144104,-0.05895531187359981,92.37143899252172
DLF, EQ, 17-Nov-2021,423.8,421.45,426.65,415.6,416.05,417.95,421.58,3311849,47686,836063,25.24,35.246743953999996,49.9291032494,-1.3803680981595146,70.59358502382787
DLF, EQ, 18-Nov-2021,417.95,417.0,422.05,405.3,414.15,415.9,413.29,6773134,83713,1832146,27.05,75.720762034,48.2342508426,-0.4904892929776316,156.98546305009512
DLF, EQ, 22-Nov-2021,415.9,417.1,417.5,394.3,401.5,400.45,403.75,5824237,78618,1121932,19.26,45.2980045,47.66301847340001,-3.714835296946379,95.03805245838576
DLF, EQ, 23-Nov-2021,400.45,399.85,410.4,396.65,407.0,407.95,406.3,5107281,66333,964194,18.88,39.175202219999996,44.562589679,1.8728929953801974,87.91051530486166
DLF, EQ, 24-Nov-2021,407.95,409.95,412.7,401.0,402.0,403.5,408.42,3762561,48558,707373,18.8,28.890528066,48.81369384959999,-1.0908199534256622,59.18529369036215
DLF, EQ, 25-Nov-2021,403.5,405.0,408.6,399.0,408.2,407.25,403.94,4585718,45117,821751,17.92,33.193809894,44.8662481548,0.929368029739777,73.98392167643011
DLF, EQ, 26-Nov-2021,407.25,400.05,401.8,375.0,375.35,376.85,383.34,11874170,158089,2940035,24.76,112.70330168999999,44.4556613428,-7.464702271332101,253.51844576315884
DLF, EQ, 29-Nov-2021,376.85,376.15,383.3,363.1,375.25,374.85,376.77,9038035,105076,1451884,16.06,54.702633467999995,51.85216927399999,-0.53071513864933,105.49729014988249
DLF, EQ, 30-Nov-2021,374.85,378.0,390.75,372.0,373.4,374.8,381.13,9984396,118645,2173853,21.77,82.852059389,53.73309506759999,-0.013338668800856707,154.19186124448316
DLF, EQ, 01-Dec-2021,374.8,380.0,385.8,375.35,383.1,383.1,380.84,7479832,78217,2009677,26.87,76.536538868,62.468466501399995,2.214514407684101,122.52027807707545
DLF, EQ, 02-Dec-2021,383.1,382.95,387.0,377.6,385.3,385.05,381.56,4819894,58359,1071907,22.24,40.899683492,71.99766866179999,0.5090054815974911,56.806955353125566
DLF, EQ, 03-Dec-2021,385.05,385.0,389.75,382.85,385.65,386.2,386.56,4410427,51723,1219546,27.65,47.142770176,73.5388433814,0.2986625113621548,64.10594457068073
DLF, EQ, 06-Dec-2021,386.2,386.2,390.5,375.0,376.5,376.5,384.5,6437207,77773,1347242,20.93,51.8014549,60.4267370786,-2.5116519937856006,85.72605009702797
DLF, EQ, 07-Dec-2021,376.5,380.2,393.0,378.9,390.8,391.2,387.55,5299980,55955,965109,18.21,37.402799295,59.84650136500001,3.904382470119519,62.49788783287883
DLF, EQ, 08-Dec-2021,391.2,395.1,398.8,393.0,396.8,397.7,396.1,4391196,48783,1209260,27.54,47.8987886,50.7566493462,1.6615541922290387,94.36948501720995
