SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
EIDPARRY, EQ, 14-Oct-2021,482.7,482.7,488.0,468.65,482.05,484.95,480.93,702855,18983,336763,47.91,16.195942959,,,
EIDPARRY, EQ, 18-Oct-2021,484.95,487.1,504.0,480.0,492.4,494.7,494.31,944457,27812,265376,28.1,13.117801056000001,,,
EIDPARRY, EQ, 19-Oct-2021,494.7,495.0,495.0,470.2,472.5,472.75,482.09,380274,11993,197053,51.82,9.499728077,,,
EIDPARRY, EQ, 20-Oct-2021,472.75,469.0,484.0,457.4,480.1,478.2,470.08,296765,14830,113926,38.39,5.355433408,,,
EIDPARRY, EQ, 21-Oct-2021,478.2,483.4,491.5,472.85,478.65,478.7,483.06,332790,12764,118109,35.49,5.705373354,,,
EIDPARRY, EQ, 22-Oct-2021,478.7,483.0,489.0,461.0,470.75,470.0,476.75,252247,11642,103563,41.06,4.937366025,9.9748557708,-1.817422185084602,49.49811945605721
EIDPARRY, EQ, 25-Oct-2021,470.0,470.0,470.05,445.0,454.5,455.65,455.57,204259,8947,90957,44.53,4.143728049,7.7231403840000015,-3.053191489361707,53.65340836720441
EIDPARRY, EQ, 26-Oct-2021,455.65,449.35,467.9,449.35,463.85,463.75,462.32,126072,5686,57937,45.96,2.678543384,5.9283257826,1.7776802370240368,45.182121938401046
EIDPARRY, EQ, 27-Oct-2021,463.75,463.8,467.9,453.6,454.2,455.35,459.97,99127,4213,54524,55.0,2.507940428,4.564088844,-1.8113207547169763,54.94942175144038
EIDPARRY, EQ, 28-Oct-2021,455.35,458.9,464.45,450.55,453.0,453.95,457.45,251998,7453,166433,66.05,7.613477584999999,3.994590248,-0.3074558032282934,190.5947071495479
EIDPARRY, EQ, 29-Oct-2021,453.95,450.5,459.0,446.1,457.0,456.95,453.4,142133,6201,58803,41.37,2.66612802,4.3762110942,0.6608657341116864,60.92320417389247
EIDPARRY, EQ, 01-Nov-2021,456.95,457.2,464.0,452.75,457.2,458.1,457.79,318267,8753,139572,43.85,6.389466588,3.9219634932,0.25166867272131177,162.91499395846546
EIDPARRY, EQ, 02-Nov-2021,458.1,461.75,474.0,461.75,465.0,464.65,465.82,321385,8174,143770,44.73,6.69709414,4.371111201,1.4298188168522057,153.21262333632404
EIDPARRY, EQ, 03-Nov-2021,464.65,466.0,478.7,466.0,476.5,474.2,472.58,335852,9521,111616,33.23,5.274748928,5.1748213522,2.0553104487248492,101.93103431015096
EIDPARRY, EQ, 08-Nov-2021,480.65,484.9,492.0,477.75,485.05,485.8,486.15,348494,12186,139058,39.9,6.76030467,5.7281830522,2.4462252214255638,118.01830717339936
EIDPARRY, EQ, 09-Nov-2021,485.8,470.0,509.8,464.0,503.65,503.3,495.36,1382860,43030,528019,38.18,26.155949184,5.5575484692,3.602305475504323,470.6382558596939
EIDPARRY, EQ, 10-Nov-2021,503.3,503.0,532.9,500.05,504.0,505.05,514.56,1412877,39743,484201,34.27,24.915046655999998,10.255512702,0.3477051460361613,242.94296521266202
EIDPARRY, EQ, 11-Nov-2021,505.05,508.0,513.3,500.05,508.9,505.2,506.14,558479,21937,263226,47.13,13.322920764000001,13.9606287156,0.029700029700025197,95.43209718852127
EIDPARRY, EQ, 12-Nov-2021,505.2,508.9,512.6,502.1,504.9,503.9,507.71,245040,5734,115814,47.26,5.879992594,15.2857940404,-0.25732383214568716,38.46704056367184
EIDPARRY, EQ, 15-Nov-2021,503.9,503.9,507.5,491.0,491.5,493.0,496.0,216429,7357,114840,53.06,5.696064,15.406842773600001,-2.1631276046834644,36.97100102663697
EIDPARRY, EQ, 16-Nov-2021,493.0,493.75,502.0,490.05,492.0,492.75,496.23,181469,8290,87801,48.38,4.356949023,15.193994639599998,-0.05070993914807302,28.675467685400623
EIDPARRY, EQ, 17-Nov-2021,492.75,486.75,511.25,485.0,501.65,506.75,504.37,468918,17066,194291,41.43,9.799455167,10.834194607399999,2.841197361745307,90.44931831210371
EIDPARRY, EQ, 18-Nov-2021,506.75,503.85,529.0,497.2,502.25,504.55,513.97,945085,35539,180917,19.14,9.298591049,7.8110763096,-0.43413912185495585,119.04365903546237
EIDPARRY, EQ, 22-Nov-2021,504.55,500.1,503.35,469.5,472.4,472.15,485.99,304779,13315,139513,45.78,6.780192287,7.0062103665999995,-6.421563769695775,96.77403235453117
EIDPARRY, EQ, 23-Nov-2021,472.15,468.8,480.1,464.6,470.25,472.0,473.73,141776,6705,46596,32.87,2.207392308,7.1862503052,-0.03176956475695802,30.716885917579607
EIDPARRY, EQ, 24-Nov-2021,472.0,474.7,500.5,474.7,479.0,481.35,490.69,493096,19533,112660,22.85,5.52811354,6.4885159668,1.9809322033898353,85.198427009903
EIDPARRY, EQ, 25-Nov-2021,481.35,478.0,488.0,472.75,485.1,485.3,481.12,135886,5801,57934,42.63,2.7873206080000004,6.7227488701999984,0.8206087046847385,41.46102527130511
EIDPARRY, EQ, 26-Nov-2021,485.3,479.0,485.35,455.8,462.0,459.75,471.82,167000,7930,89806,53.78,4.237226692,5.3203219584,-5.264784669276739,79.64229843853805
EIDPARRY, EQ, 29-Nov-2021,459.75,455.0,455.0,400.35,443.0,442.35,444.97,173376,9261,74566,43.01,3.3179633020000003,4.3080490870000006,-3.7846655791190815,77.0177691803074
EIDPARRY, EQ, 30-Nov-2021,442.35,440.0,479.0,439.95,470.0,466.45,461.45,590670,18319,304729,51.59,14.061719704999998,3.61560329,5.448174522436976,388.9176598520021
EIDPARRY, EQ, 01-Dec-2021,466.45,467.0,474.25,462.9,465.0,465.9,468.64,131990,6935,44770,33.92,2.0981012800000003,5.9864687694,-0.11791188766213129,35.047393727743184
EIDPARRY, EQ, 02-Dec-2021,465.9,462.5,472.35,462.5,466.5,468.45,468.49,71562,3560,29391,41.07,1.376938959,5.3004663174,0.5473277527366412,25.977694726214583
EIDPARRY, EQ, 03-Dec-2021,468.45,466.5,485.0,466.5,479.9,481.0,477.98,279903,10648,111409,39.8,5.325127382,5.0183899876,2.6790479240046987,106.11226698518689
EIDPARRY, EQ, 06-Dec-2021,481.0,481.0,484.4,470.2,472.6,473.95,478.41,119876,5653,45892,38.28,2.1955191720000005,5.2359701256,-1.465696465696468,41.93146865497847
EIDPARRY, EQ, 07-Dec-2021,473.95,474.5,482.75,471.2,474.0,474.1,476.12,232811,14984,57262,24.6,2.7263583440000003,5.011481299600001,0.03164890811267731,54.402245184824075
EIDPARRY, EQ, 08-Dec-2021,474.1,476.5,479.0,468.8,470.95,471.05,473.05,78028,3775,35436,45.41,1.67629998,2.7444090274000006,-0.6433241932081863,61.080544600456065
EIDPARRY, EQ, 09-Dec-2021,471.05,469.5,492.6,468.05,475.2,475.95,482.07,267107,9505,72669,27.21,3.503154483,2.6600487674,1.040229275023878,131.69512250800096
EIDPARRY, EQ, 10-Dec-2021,475.95,474.0,479.0,469.5,475.6,475.6,475.09,97967,3363,42790,43.68,2.03291011,3.0852918722,-0.07353713625380101,65.8903661049874
EIDPARRY, EQ, 13-Dec-2021,475.6,475.7,493.6,475.65,482.2,484.1,485.48,313009,12384,122628,39.18,5.953344144000001,2.4268484177999996,1.7872161480235491,245.31174260141307
EIDPARRY, EQ, 14-Dec-2021,484.1,482.0,482.7,469.85,470.3,471.65,475.69,116100,3606,59068,50.88,2.809805692,3.1784134122000003,-2.571782689526967,88.40277608994667
EIDPARRY, EQ, 15-Dec-2021,471.65,470.8,479.95,467.2,472.25,470.55,474.05,171357,4734,85086,49.65,4.0335018300000005,3.1951028818,-0.2332237888264531,126.2401236897786
EIDPARRY, EQ, 16-Dec-2021,470.55,472.2,478.8,467.75,472.35,473.85,474.06,110943,4090,43512,39.22,2.062729872,3.6665432518000003,0.7013069811922242,56.2581628073623
EIDPARRY, EQ, 17-Dec-2021,473.85,476.9,476.9,459.1,468.0,466.35,468.86,153607,6885,64094,41.73,3.005111284,3.3784583296,-1.582779360557138,88.94918897388906
EIDPARRY, EQ, 20-Dec-2021,466.35,466.05,466.05,436.0,444.9,443.15,446.72,129277,6851,64813,50.13,2.895326336,3.5728985644000004,-4.974804331510677,81.0357832390972
EIDPARRY, EQ, 21-Dec-2021,443.15,444.15,453.55,440.4,444.5,444.4,447.95,125286,5437,54132,43.21,2.42484294,2.9612950028,0.2820715333408553,81.88454502868619
EIDPARRY, EQ, 22-Dec-2021,444.4,445.1,452.4,441.8,445.9,444.75,446.93,75821,3620,35647,47.01,1.5931713710000002,2.8843024524,0.07875787578758388,55.23593303033591
EIDPARRY, EQ, 23-Dec-2021,444.75,445.6,453.4,442.0,444.0,443.9,446.71,86767,3537,41270,47.56,1.8435721699999998,2.3962363606,-0.1911186059584087,76.93615706333672
EIDPARRY, EQ, 24-Dec-2021,443.9,447.65,448.85,432.95,435.85,435.3,439.41,106861,4567,39769,37.22,1.7474896290000004,2.3524048202,-1.9373732822707739,74.28524265867769
EIDPARRY, EQ, 27-Dec-2021,435.3,434.4,439.0,430.5,433.5,435.65,435.85,55718,2386,16162,29.01,0.70442077,2.1008804892,0.08040431886054811,33.529787801886734
EIDPARRY, EQ, 28-Dec-2021,435.65,434.35,453.5,434.35,450.0,450.15,447.05,182338,6836,47940,26.29,2.1431577,1.6626993760000002,3.3283599219556987,128.89628341329214
EIDPARRY, EQ, 29-Dec-2021,450.15,454.0,458.4,449.0,449.55,450.65,454.31,170078,5449,52487,30.86,2.384536897,1.6063623280000001,0.11107408641563923,148.44327804729244
EIDPARRY, EQ, 30-Dec-2021,450.65,450.95,457.7,450.0,452.65,451.4,453.64,82715,3099,28270,34.18,1.2824402799999999,1.7646354332,0.16642627316098968,72.6745171196305
EIDPARRY, EQ, 31-Dec-2021,451.4,450.45,456.95,449.45,450.05,451.35,452.64,64620,3418,27912,43.19,1.263408768,1.6524090552000001,-0.011076650420902643,76.45859625521615
EIDPARRY, EQ, 03-Jan-2022,451.35,451.65,461.25,451.5,457.0,455.8,457.52,100822,4445,52528,52.1,2.403261056,1.5555928829999999,0.98593109560208,154.491646385348
EIDPARRY, EQ, 04-Jan-2022,455.8,456.0,509.4,456.0,492.7,500.75,491.45,2420950,66657,443857,18.33,21.813352265,1.8953609401999998,9.861781483106622,1150.8811753131433
EIDPARRY, EQ, 05-Jan-2022,500.75,491.6,495.8,478.0,481.6,481.0,486.27,523096,22090,124828,23.86,6.070011156,5.8293998532,-3.944083874188717,104.12754844167908
EIDPARRY, EQ, 06-Jan-2022,481.0,478.55,502.9,471.0,477.8,476.55,490.4,1135274,37449,222100,19.56,10.891784,6.566494704999999,-0.9251559251559228,165.86907458718497
EIDPARRY, EQ, 07-Jan-2022,476.55,477.8,483.3,471.85,474.2,476.05,477.69,236536,8316,44822,18.95,2.141102118,8.488363449,-0.10492078480747034,25.22396844650001
EIDPARRY, EQ, 10-Jan-2022,476.05,483.0,489.95,479.05,483.6,484.05,484.84,227615,9040,74676,32.81,3.620591184,8.663902119,1.6804957462451424,41.789382362250116
EIDPARRY, EQ, 11-Jan-2022,484.05,483.0,493.3,476.6,485.0,483.85,485.97,223527,7830,82425,36.87,4.005607725,8.9073681446,-0.0413180456564381,44.96959887560456
EIDPARRY, EQ, 12-Jan-2022,483.85,489.0,494.0,480.5,487.3,487.65,486.74,201891,7762,71793,35.56,3.4944524820000002,5.3458192366,0.7853673659191804,65.3679506795765
EIDPARRY, EQ, 13-Jan-2022,487.65,488.0,496.5,480.35,488.25,488.95,490.85,389716,12119,98009,25.15,4.810771765,4.8307075018,0.26658464062340026,99.58731227687515
EIDPARRY, EQ, 14-Jan-2022,488.95,487.3,521.2,486.5,519.45,517.35,508.34,1170527,37529,422190,36.07,21.46160646,3.6145050548,5.808364863482981,593.7633544459803
EIDPARRY, EQ, 17-Jan-2022,517.35,519.45,528.3,512.3,516.5,517.2,521.06,658265,23482,180069,27.36,9.382675313999998,7.4786059232,-0.02899391127862709,125.46021825930455
EIDPARRY, EQ, 18-Jan-2022,517.2,519.75,532.9,495.55,505.0,502.35,517.15,535800,22235,141469,26.4,7.316069334999999,8.6310227492,-2.8712296983758745,84.76480189648576
EIDPARRY, EQ, 19-Jan-2022,502.35,498.0,513.6,496.3,508.1,509.0,506.22,442889,14369,151302,34.16,7.659209843999999,9.293115071199999,1.3237782422613669,82.41811045401144
EIDPARRY, EQ, 20-Jan-2022,509.0,508.4,518.0,505.3,509.5,508.4,511.33,250496,8286,70262,28.05,3.592706846,10.126066543599999,-0.11787819253438561,35.47978704792047
EIDPARRY, EQ, 21-Jan-2022,508.4,505.5,510.9,491.0,500.0,497.6,500.92,190291,9240,75550,39.7,3.7844506,9.882453559799998,-2.124311565696293,38.29464593078837
EIDPARRY, EQ, 24-Jan-2022,497.6,498.0,499.0,461.05,469.0,466.6,474.1,204039,9987,81765,40.07,3.87647865,6.347022387799999,-6.229903536977491,61.07554713295509
EIDPARRY, EQ, 25-Jan-2022,466.6,464.1,476.85,453.1,460.75,461.2,464.49,280484,10568,103541,36.92,4.809375909000001,5.245783054999999,-1.1573081868838477,91.68080072270548
EIDPARRY, EQ, 27-Jan-2022,461.2,457.0,473.45,456.25,469.55,468.45,467.09,180835,7160,60549,33.48,2.828183241,4.7444443698,1.5719861231569816,59.610420537383625
EIDPARRY, EQ, 28-Jan-2022,468.45,470.8,484.3,466.0,470.0,467.6,476.12,177175,7762,46404,26.19,2.209387248,3.7782390492000006,-0.18144946098835862,58.476640022759085
EIDPARRY, EQ, 31-Jan-2022,467.6,472.0,489.3,472.0,486.0,484.9,481.79,163011,10002,57121,35.04,2.752032659,3.5015751296000004,3.699743370402043,78.59413427220613
EIDPARRY, EQ, 01-Feb-2022,484.9,485.85,488.95,474.0,478.55,477.55,480.55,191857,6578,79710,41.55,3.83046405,3.2950915414,-1.515776448752313,116.24757618638218
EIDPARRY, EQ, 02-Feb-2022,477.55,478.8,483.4,470.2,472.0,472.3,475.69,105777,4023,47758,45.15,2.271800302,3.2858886214000003,-1.0993613234216313,69.1380799459985
EIDPARRY, EQ, 03-Feb-2022,472.3,472.65,495.25,469.4,486.0,487.35,485.93,362764,13371,100002,27.57,4.859397186,2.7783735,3.186533982638156,174.9007894726897
EIDPARRY, EQ, 04-Feb-2022,487.35,490.0,498.0,485.3,488.55,488.1,491.6,257881,11150,88802,34.44,4.365506320000001,3.1846162889999996,0.15389350569405968,137.08107739946317
EIDPARRY, EQ, 07-Feb-2022,488.1,489.9,504.95,487.05,493.0,494.9,496.4,344294,13594,91857,26.68,4.55978148,3.6158401034,1.3931571399303326,126.10572784212457
EIDPARRY, EQ, 08-Feb-2022,494.9,494.9,496.9,471.5,476.0,477.5,481.15,215398,11226,72126,33.48,3.4703424899999997,3.9773898676000004,-3.515861790260654,87.25175568705417
EIDPARRY, EQ, 09-Feb-2022,477.5,483.1,485.0,468.0,481.95,480.4,477.56,238803,9477,67914,28.44,3.2433009839999998,3.9053655555999995,0.6073298429319325,83.04730857651343
EIDPARRY, EQ, 10-Feb-2022,480.4,481.9,485.4,469.0,469.05,470.4,477.31,307898,14201,181038,58.8,8.641124778,4.099665692,-2.0815986677768525,210.77632732010576
EIDPARRY, EQ, 11-Feb-2022,470.4,465.0,467.5,452.3,453.0,454.35,459.3,268077,11265,142754,53.25,6.55669122,4.8560112104,-3.4119897959183576,135.02215987388365
EIDPARRY, EQ, 14-Feb-2022,454.35,440.0,449.0,431.0,437.0,434.2,439.67,148739,8362,62377,41.94,2.742529559,5.294248190399999,-4.434907010014314,51.802058769609594
EIDPARRY, EQ, 15-Feb-2022,434.2,435.5,443.0,418.65,433.0,433.0,428.67,302349,12032,117016,38.7,5.016124872,4.9307978062,-0.27637033625057317,101.7304920857373
EIDPARRY, EQ, 16-Feb-2022,433.0,434.25,443.0,420.35,426.4,424.6,434.58,490366,13128,289561,59.05,12.583741938,5.2399542826,-1.9399538106235514,240.14984214244143
EIDPARRY, EQ, 17-Feb-2022,424.6,424.0,424.0,412.0,413.0,414.15,416.27,328352,12856,148992,45.38,6.202089984,7.108042473399999,-2.4611398963730675,87.25454310676545
EIDPARRY, EQ, 18-Feb-2022,414.15,413.9,416.15,402.3,410.8,411.05,408.1,953677,21945,515987,54.11,21.057429470000002,6.6202355146,-0.7485210672461586,318.07674248991293
EIDPARRY, EQ, 21-Feb-2022,411.05,408.9,415.0,399.1,414.4,410.7,406.59,327999,12329,146039,44.52,5.937799700999999,9.5203831646,-0.08514779223939246,62.36933533388387
EIDPARRY, EQ, 22-Feb-2022,410.7,399.5,413.95,395.0,396.45,396.2,404.69,313383,15450,97746,31.19,3.9556828740000003,10.159437192999999,-3.530557584611639,38.93604339348172
EIDPARRY, EQ, 23-Feb-2022,396.2,400.1,422.0,400.1,420.0,420.05,415.77,518476,16914,196116,37.83,8.153914932,9.9473487934,6.019687026754171,81.9707351310539
EIDPARRY, EQ, 24-Feb-2022,420.05,410.0,423.55,401.85,407.0,405.0,413.32,523099,22782,131787,25.19,5.447020284,9.0613833922,-3.5829067968099064,60.112457979526305
EIDPARRY, EQ, 25-Feb-2022,405.0,410.0,437.9,410.0,419.25,421.2,424.2,528041,19270,192025,36.37,8.1457005,8.9103694522,3.9999999999999973,91.41821272056009
EIDPARRY, EQ, 28-Feb-2022,421.2,409.85,417.0,407.35,411.95,413.95,413.42,426326,9126,147583,34.62,6.101376386,6.3280236582,-1.721272554605888,96.41835611808585
