SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
EMAMILTD, EQ, 14-Oct-2021,541.5,544.0,551.95,540.1,548.7,550.25,546.98,439513,15383,232097,52.81,12.695241706000001,,,
EMAMILTD, EQ, 18-Oct-2021,550.25,551.6,557.65,540.6,543.0,544.65,550.94,981940,43999,792625,80.72,43.668881750000004,,,
EMAMILTD, EQ, 19-Oct-2021,544.65,544.65,547.7,542.0,545.0,544.0,545.72,1063872,16579,910690,85.6,49.69817468,,,
EMAMILTD, EQ, 20-Oct-2021,544.0,536.1,545.25,527.3,537.25,533.05,537.21,475042,38819,331117,69.7,17.787936357000003,,,
EMAMILTD, EQ, 21-Oct-2021,533.05,533.05,551.5,527.55,539.35,541.95,539.68,583207,30204,336430,57.69,18.15645424,,,
EMAMILTD, EQ, 22-Oct-2021,541.95,538.5,548.0,532.2,541.2,542.8,543.82,365781,28596,200209,54.73,10.887765838000002,28.4013377466,0.15684103699601604,38.33539791379511
EMAMILTD, EQ, 25-Oct-2021,542.8,537.5,541.85,517.35,518.95,522.95,527.92,284209,13641,158195,55.66,8.35143044,28.039842573000005,-3.6569638909358715,29.784155949726056
EMAMILTD, EQ, 26-Oct-2021,522.95,521.05,532.05,507.95,520.1,520.65,514.22,664582,24191,470911,70.86,24.215185442000003,20.976352311000003,-0.43981260158716284,115.44040204407492
EMAMILTD, EQ, 27-Oct-2021,520.65,520.0,537.85,518.75,528.9,529.25,531.43,195240,13501,79260,40.6,4.2121141799999995,15.879754463400001,1.6517814270623303,26.52505861918816
EMAMILTD, EQ, 28-Oct-2021,529.25,530.5,537.0,525.0,527.5,529.6,530.98,154617,9032,51492,33.3,2.734122216,13.164590028000001,0.06613131790269679,20.76876082114784
EMAMILTD, EQ, 29-Oct-2021,529.6,525.1,538.0,512.2,536.0,531.25,528.68,1177125,28874,754806,64.12,39.905083608,10.0801236232,0.3115558912386664,395.8789108117294
EMAMILTD, EQ, 01-Nov-2021,531.25,537.0,553.0,535.1,551.5,549.3,542.58,344522,14438,159502,46.3,8.654259516000002,15.883587177200003,3.3976470588235204,54.48554800280069
EMAMILTD, EQ, 02-Nov-2021,549.3,552.95,559.0,544.5,558.0,557.95,553.9,315945,11652,177796,56.27,9.848120439999999,15.944152992400001,1.5747314764245572,61.76634434387478
EMAMILTD, EQ, 03-Nov-2021,557.95,559.5,571.0,545.45,570.5,566.3,561.22,680535,26809,374303,55.0,21.006632965999998,13.070739992,1.4965498700600248,160.71494788250087
EMAMILTD, EQ, 08-Nov-2021,563.75,557.0,562.25,550.1,556.9,557.85,556.91,485903,11412,398049,81.92,22.167746858999998,16.4296437492,-1.4921419742186002,134.92530451294417
EMAMILTD, EQ, 09-Nov-2021,557.85,557.85,578.5,555.45,570.5,569.95,567.37,824932,15834,601852,72.96,34.147276924,20.3163686778,2.1690418571300567,168.07765927831997
EMAMILTD, EQ, 10-Nov-2021,569.95,569.9,569.9,552.1,554.45,555.6,557.23,402983,16868,196852,48.85,10.969183996000002,19.164807341,-2.5177647162031795,57.236077570856715
EMAMILTD, EQ, 11-Nov-2021,555.6,555.55,555.55,538.1,540.1,541.9,544.71,141289,9379,79110,55.99,4.30920081,19.627792237,-2.465802735781146,21.95458744400607
EMAMILTD, EQ, 12-Nov-2021,541.9,542.4,567.8,542.4,556.0,556.55,557.25,774967,23428,488575,63.04,27.225841875,18.520008310999998,2.7034508211847164,147.00771953125505
EMAMILTD, EQ, 15-Nov-2021,556.55,552.0,552.0,525.0,526.2,529.45,540.94,1087685,28015,816083,75.03,44.145193802,19.763850092800002,-4.8692839816727895,223.36333049845462
EMAMILTD, EQ, 16-Nov-2021,529.45,529.45,539.8,529.4,535.0,535.85,536.61,611390,21728,479296,78.39,25.719502656,24.159339481400004,1.2088015865520778,106.45780558612188
EMAMILTD, EQ, 17-Nov-2021,535.85,534.0,535.95,522.0,523.2,526.9,528.26,2381933,23949,2183760,91.68,115.35930575999998,22.4737846278,-1.6702435383036383,513.3060927232563
EMAMILTD, EQ, 18-Nov-2021,526.9,524.0,531.45,512.0,513.0,516.1,523.08,525218,23283,380741,72.49,19.915800228,43.3518089806,-2.049724805465924,45.93995197965637
EMAMILTD, EQ, 22-Nov-2021,516.1,512.9,535.0,503.0,530.0,530.7,520.02,595358,29123,304175,51.09,15.81770835,46.4731288642,2.82890912613835,34.036245754447094
EMAMILTD, EQ, 23-Nov-2021,530.7,517.0,530.0,517.0,524.0,523.5,526.22,2124037,13960,932932,43.92,49.092747704000004,44.1915021592,-1.3566986998304211,111.09092315337745
EMAMILTD, EQ, 24-Nov-2021,523.5,523.0,526.75,515.35,517.75,522.3,522.22,329275,18680,179889,54.63,9.394163358,45.181012939599995,-0.22922636103152733,20.792281418211093
EMAMILTD, EQ, 25-Nov-2021,522.3,520.0,527.9,518.15,524.0,525.55,524.17,184156,15554,87655,47.6,4.594612134999999,41.91594507999999,0.6222477503350565,10.96149001586582
EMAMILTD, EQ, 26-Nov-2021,525.55,522.85,545.55,509.1,538.55,530.8,522.5,417518,10078,319472,76.52,16.692412,19.763006355,0.9989534773094854,84.46291874908421
EMAMILTD, EQ, 29-Nov-2021,530.8,535.0,540.0,511.0,511.0,516.15,526.2,204668,15264,72279,35.32,3.8033209800000005,19.118328709400004,-2.759984928409943,19.89358503983668
EMAMILTD, EQ, 30-Nov-2021,516.15,513.7,532.0,506.25,525.8,527.05,522.13,369740,27057,175161,47.37,9.145681292999999,16.7154512354,2.111789208563398,54.71393601167802
EMAMILTD, EQ, 01-Dec-2021,527.05,529.0,529.0,511.0,514.4,514.35,515.49,1239841,13610,1087762,87.73,56.073043338,8.7260379532,-2.409638554216855,642.5945387670125
EMAMILTD, EQ, 02-Dec-2021,514.35,514.05,538.7,512.65,534.9,535.25,521.79,830455,16757,639960,77.06,33.392472839999996,18.0618139492,4.063380966268101,184.87884402927884
EMAMILTD, EQ, 03-Dec-2021,535.25,534.0,555.0,519.5,547.0,551.2,536.98,722466,38132,310545,42.98,16.675645409999998,23.8213860902,2.9799159271368603,70.00283420476643
EMAMILTD, EQ, 06-Dec-2021,551.2,546.0,552.45,533.55,535.0,537.2,540.13,400994,17677,173781,43.34,9.386433153,23.8180327722,-2.5399129172714074,39.40893541785569
EMAMILTD, EQ, 07-Dec-2021,537.2,537.9,537.9,523.9,530.0,529.9,530.21,343722,11840,131926,38.38,6.994848446000001,24.9346552068,-1.3588979895755895,28.052717745591348
EMAMILTD, EQ, 08-Dec-2021,529.9,532.9,538.95,525.0,537.5,530.7,529.45,244168,9376,142287,58.27,7.533385215000001,24.5044886374,0.1509718814870859,30.742878688364726
EMAMILTD, EQ, 09-Dec-2021,530.7,535.6,536.2,525.15,527.35,528.4,529.04,152454,8745,70560,46.28,3.7329062399999997,14.7965570128,-0.43338986244583905,25.228208405312053
EMAMILTD, EQ, 10-Dec-2021,528.4,531.0,534.7,524.8,533.5,533.2,529.2,175391,6274,122233,69.69,6.468570360000001,8.8646436928,0.9084027252081887,72.97044962172448
EMAMILTD, EQ, 13-Dec-2021,533.2,533.3,538.6,527.25,529.0,529.1,531.46,221957,12885,105019,47.32,5.581339774,6.8232286828,-0.7689422355588938,81.79910176643274
EMAMILTD, EQ, 14-Dec-2021,529.1,528.7,534.45,522.25,523.0,527.55,528.66,161809,10197,101806,62.92,5.382075995999999,6.062210007,-0.29295029295030584,88.78075800385248
EMAMILTD, EQ, 15-Dec-2021,527.55,527.15,552.4,527.15,546.0,546.3,545.44,745277,20954,217371,29.17,11.856283824,5.739655517,3.55416548194484,206.56786437589264
EMAMILTD, EQ, 16-Dec-2021,546.3,545.0,545.0,527.0,530.0,529.75,531.0,333354,11444,188122,56.43,9.9892782,6.604235238799999,-3.0294709866373704,151.25563882571615
EMAMILTD, EQ, 17-Dec-2021,529.75,526.0,550.8,524.5,537.0,542.85,536.73,345256,15145,156736,45.4,8.412491328,7.8555096308,2.4728645587541336,107.09033179739448
EMAMILTD, EQ, 20-Dec-2021,542.85,530.0,538.0,527.95,531.7,535.6,533.28,144970,8376,57438,39.62,3.063053664,8.2442938244,-1.3355438887353779,37.15362078598553
EMAMILTD, EQ, 21-Dec-2021,535.6,535.65,537.9,528.0,532.0,534.45,531.21,524795,9794,335884,64.0,17.842493964000003,7.7406366024,-0.21471247199402113,230.50421923266492
EMAMILTD, EQ, 22-Dec-2021,534.45,536.1,537.1,531.4,532.7,534.85,534.64,93989,5159,32854,34.96,1.7565062559999998,10.232720195999999,0.07484329684722187,17.165584735587935
EMAMILTD, EQ, 23-Dec-2021,534.85,536.65,536.65,524.05,527.2,528.85,532.27,832334,9954,725060,87.11,38.59276862,8.2127646824,-1.1218098532298775,469.91202247282837
EMAMILTD, EQ, 24-Dec-2021,528.85,529.0,533.0,521.0,522.0,523.85,526.99,293666,4322,224265,76.37,11.818541235000001,13.933462766400002,-0.9454476694714947,84.82127833649471
EMAMILTD, EQ, 27-Dec-2021,523.85,520.0,523.75,515.7,517.0,517.4,519.09,72668,4437,24900,34.27,1.2925341,14.6146727478,-1.2312684928891946,8.844085134883159
EMAMILTD, EQ, 28-Dec-2021,517.4,519.9,525.0,516.2,520.65,523.0,519.02,409253,5666,344359,84.14,17.872920818,14.260568835,1.0823347506764636,125.33105112984084
EMAMILTD, EQ, 29-Dec-2021,523.0,520.0,523.65,510.0,515.5,514.4,516.55,250848,5243,145503,58.0,7.515957464999999,14.2666542058,-1.6443594646271553,52.68199086191101
EMAMILTD, EQ, 30-Dec-2021,514.4,515.9,519.45,504.05,506.0,507.25,509.48,194003,8053,101611,52.38,5.176877228,15.418544447599999,-1.3899688958009289,33.57565459952231
