SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
EVEREADY, EQ, 14-Oct-2021,389.15,389.0,389.0,382.05,382.7,384.55,385.43,579720,5696,430065,74.18,16.575995295,,,
EVEREADY, EQ, 18-Oct-2021,384.55,385.15,388.55,372.0,374.2,376.1,380.21,450934,8608,273359,60.62,10.393382539,,,
EVEREADY, EQ, 19-Oct-2021,376.1,377.0,381.25,360.0,365.0,360.9,367.24,655102,9583,334461,51.05,12.282745764,,,
EVEREADY, EQ, 20-Oct-2021,360.9,361.2,370.0,350.75,362.0,361.8,359.96,417863,9668,164353,39.33,5.916050587999999,,,
EVEREADY, EQ, 21-Oct-2021,361.8,363.0,369.0,355.25,359.0,359.6,361.7,303782,5169,166030,54.65,6.0053051,,,
EVEREADY, EQ, 22-Oct-2021,359.6,361.35,362.55,343.35,347.0,347.95,350.76,374063,7191,205960,55.06,7.224252959999999,10.234695857199998,-3.239710789766417,70.58590759116515
EVEREADY, EQ, 25-Oct-2021,347.95,348.0,352.8,333.05,340.1,342.6,342.35,242675,6772,103493,42.65,3.5430828550000006,8.364347390199999,-1.537577238108914,42.3593460399698
EVEREADY, EQ, 26-Oct-2021,342.6,344.85,363.0,340.1,356.0,358.9,352.72,423829,7884,229761,54.21,8.104129992,6.9942874534,4.757734967892572,115.86784280735407
EVEREADY, EQ, 27-Oct-2021,358.9,358.0,390.0,354.7,368.0,367.7,375.9,932040,16810,364134,39.07,13.68779706,6.158564299,2.4519364725550328,222.2562986347737
EVEREADY, EQ, 28-Oct-2021,367.7,367.0,370.55,353.2,356.5,356.5,360.57,344542,6898,185528,53.85,6.689583096,7.712913593400001,-3.0459613815610522,86.73224476058343
EVEREADY, EQ, 29-Oct-2021,356.5,354.95,369.65,348.4,357.9,357.8,360.17,293817,6939,117542,40.01,4.233510214,7.8497691926,0.36465638148667917,53.93165213049757
EVEREADY, EQ, 01-Nov-2021,357.8,357.8,364.0,350.4,353.45,353.25,355.92,121677,3873,49321,40.53,1.755433032,7.2516206434,-1.2716601453325913,24.20745814382461
EVEREADY, EQ, 02-Nov-2021,353.25,355.0,364.15,346.05,348.25,349.25,354.75,323987,6707,165297,51.02,5.863911075,6.8940906788,-1.132342533616419,85.05706333443072
EVEREADY, EQ, 03-Nov-2021,349.25,349.9,359.25,347.0,349.3,349.5,352.64,349033,6735,115459,33.08,4.071546176,6.446046895399999,0.07158196134574087,63.16345881544113
EVEREADY, EQ, 08-Nov-2021,349.55,353.4,354.7,342.5,343.4,345.55,348.57,300023,4583,166560,55.52,5.805781919999999,4.5227967186,-1.1301859799713845,128.36707641808712
EVEREADY, EQ, 09-Nov-2021,345.55,345.55,350.6,336.9,338.8,341.75,343.33,632353,9054,334017,52.82,11.467805661,4.3460364834,-1.0996961365938391,263.8681406564835
EVEREADY, EQ, 10-Nov-2021,341.75,337.9,345.0,330.05,331.0,333.3,337.65,815512,10990,422011,51.75,14.249201414999998,5.7928955728,-2.47256766642282,245.97718422382394
EVEREADY, EQ, 11-Nov-2021,333.3,325.1,336.1,323.2,325.15,326.25,328.11,834656,12207,548841,65.76,18.008022051,8.291649249399999,-2.1152115211521183,217.18263169782657
EVEREADY, EQ, 12-Nov-2021,326.25,332.0,344.1,326.0,336.0,337.7,334.25,667930,8799,396018,59.29,13.23690165,10.7204714446,3.5095785440612994,123.47313006152869
EVEREADY, EQ, 15-Nov-2021,337.7,337.95,339.45,327.0,327.25,328.4,333.23,307869,6029,188371,61.19,6.277086833,12.5535425394,-2.753923600829142,50.002513739042264
EVEREADY, EQ, 16-Nov-2021,328.4,330.5,332.25,325.1,328.5,328.55,328.52,209204,4343,111314,53.21,3.656887528,12.647803522,0.04567600487211758,28.913222138840876
EVEREADY, EQ, 17-Nov-2021,328.55,328.0,343.0,325.2,340.75,339.7,335.7,346170,6887,171900,49.66,5.770683,11.085619895399999,3.3936995891036306,52.05557338651452
EVEREADY, EQ, 18-Nov-2021,339.7,341.0,344.9,325.0,329.35,329.35,332.57,388140,8527,190356,49.04,6.330669492,9.3899162124,-3.0468060052987833,67.41987200737677
EVEREADY, EQ, 22-Nov-2021,329.35,334.6,334.6,316.55,318.25,319.65,323.22,261632,5239,133224,50.92,4.306066128,7.054445700599999,-2.9451950812205996,61.0404603104927
EVEREADY, EQ, 23-Nov-2021,319.65,315.15,328.4,314.85,319.9,321.95,321.23,313208,6615,142326,45.44,4.571938098,5.2682785962,0.7195369935867391,86.78239038644865
EVEREADY, EQ, 24-Nov-2021,321.95,320.55,329.75,318.7,321.35,323.65,323.55,206797,4721,83031,40.15,2.686468005,4.9272488492,0.52803230315266,54.52267760813789
EVEREADY, EQ, 25-Nov-2021,323.65,325.0,328.0,317.5,322.25,322.9,321.86,253189,5162,104165,41.14,3.35265469,4.7331649446,-0.23173180905298935,70.83325278627773
EVEREADY, EQ, 26-Nov-2021,322.9,319.0,325.15,309.95,313.75,312.1,316.68,430360,6122,270906,62.95,8.579051208,4.249559282600001,-3.344688758129438,201.88096311839408
EVEREADY, EQ, 29-Nov-2021,312.1,314.0,314.85,296.15,301.0,301.6,306.93,371099,7939,212506,57.26,6.522446658,4.6992356258,-3.364306312079461,138.79803392258322
EVEREADY, EQ, 30-Nov-2021,301.6,303.0,325.0,303.0,310.35,315.0,314.87,608306,12935,286448,47.09,9.019388176000001,5.1425117318,4.4429708222811595,175.38877199300046
EVEREADY, EQ, 01-Dec-2021,315.0,315.0,328.0,310.1,327.0,325.1,319.17,436545,8951,241011,55.21,7.692348087,6.0320017474,3.2063492063492136,127.5256276295952
EVEREADY, EQ, 02-Dec-2021,325.1,327.0,334.0,323.5,330.1,330.6,329.94,350097,6593,173871,49.66,5.736699774,7.0331777637999995,1.6917871424177173,81.56625591815673
EVEREADY, EQ, 03-Dec-2021,330.6,337.0,337.0,318.0,321.1,323.6,326.83,402375,7511,186457,46.34,6.0939741309999995,7.5099867806,-2.117362371445856,81.1449381874029
EVEREADY, EQ, 06-Dec-2021,323.6,324.35,324.35,309.55,310.0,311.9,316.8,233158,4788,126961,54.45,4.0221244800000004,7.012971365199999,-3.6155747836835737,57.35264370190817
EVEREADY, EQ, 07-Dec-2021,311.9,313.0,327.0,312.7,322.5,319.9,321.37,438231,7445,231556,52.84,7.441515172,6.5129069296,2.56492465533825,114.25796886762869
EVEREADY, EQ, 08-Dec-2021,319.9,322.7,325.9,318.4,320.05,319.85,322.74,229907,4476,113145,49.21,3.6516417300000006,6.1973323288,-0.015629884338841677,58.92279994458639
EVEREADY, EQ, 09-Dec-2021,319.85,321.0,323.45,316.0,320.1,318.55,319.39,226648,3805,116944,51.6,3.735074416,5.3891910574,-0.4064405189932816,69.30677306144673
EVEREADY, EQ, 10-Dec-2021,318.55,320.0,335.0,319.35,326.0,326.4,328.6,545057,8762,232993,42.75,7.656149980000001,4.9888659858,2.4642913200439382,153.46473530842465
EVEREADY, EQ, 13-Dec-2021,326.4,328.0,333.55,318.0,321.05,320.1,323.99,233546,4401,101744,43.56,3.2964038560000004,5.301301155600001,-1.9301470588235157,62.18103366034698
EVEREADY, EQ, 14-Dec-2021,320.1,317.4,326.65,316.8,323.5,322.4,321.79,253485,4337,106484,42.01,3.426548636,5.156157030800001,0.7185254607934878,66.45547479511802
EVEREADY, EQ, 15-Dec-2021,322.4,324.0,336.35,322.0,333.5,332.95,330.12,544880,7220,269371,49.44,8.892475452,4.3531637236,3.272332506203478,204.27615446188773
EVEREADY, EQ, 16-Dec-2021,332.95,342.0,343.0,324.1,325.85,325.9,330.86,407307,6057,209967,51.55,6.946968162,5.401330468,-2.117435050307858,128.61586979647103
EVEREADY, EQ, 17-Dec-2021,325.9,325.2,325.2,305.1,310.0,310.1,314.28,329767,5313,193003,58.53,6.065698284,6.0437092172,-4.848112918073015,100.36383396370925
EVEREADY, EQ, 20-Dec-2021,310.1,305.1,308.3,285.7,294.5,293.8,294.48,751118,7308,444518,59.18,13.090166064000002,5.725618878000001,-5.256368913253792,228.62447436551156
EVEREADY, EQ, 21-Dec-2021,293.8,294.5,309.35,290.2,294.95,293.15,301.46,314274,6213,99126,31.54,2.9882523959999996,7.684371319600001,-0.22123893805310896,38.88740238746751
EVEREADY, EQ, 22-Dec-2021,293.15,295.1,302.75,294.1,295.5,296.75,298.73,520662,3959,243546,46.78,7.275449657999999,7.5967120716,1.228040252430504,95.77103343430605
EVEREADY, EQ, 23-Dec-2021,296.75,299.4,302.6,294.35,299.65,297.75,298.29,148743,2985,56796,38.18,1.694167884,7.273306912800001,0.33698399326032014,23.292951944850586
EVEREADY, EQ, 24-Dec-2021,297.75,300.0,300.0,292.5,294.95,294.35,294.52,195936,2560,114724,58.55,3.3788512479999997,6.2227468572,-1.141897565071361,54.298388244582306
EVEREADY, EQ, 27-Dec-2021,294.35,294.0,300.35,290.25,294.65,295.1,295.13,180586,3228,66096,36.6,1.950691248,5.68537745,0.2547987090198743,34.31067268893466
EVEREADY, EQ, 28-Dec-2021,295.1,296.9,303.8,296.55,298.0,299.5,299.63,263659,3067,122367,46.41,3.666482421,3.4574824868,1.4910199932226287,106.04485879532062
EVEREADY, EQ, 29-Dec-2021,299.5,298.0,302.3,295.25,295.95,295.8,298.07,164831,2689,98321,59.65,2.930654047,3.5931284918000004,-1.2353923205342199,81.56273992672804
EVEREADY, EQ, 30-Dec-2021,295.8,296.25,297.8,290.0,290.9,290.8,293.2,197311,3018,132521,67.16,3.8855157199999995,2.7241693696,-1.6903313049357673,142.63120947470767
