SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
FEDERALBNK, EQ, 14-Oct-2021,93.6,94.7,95.5,92.75,93.2,93.1,93.78,31082419,92051,10862176,34.95,101.86548652799999,,,
FEDERALBNK, EQ, 18-Oct-2021,93.1,95.0,96.5,94.0,95.15,95.3,95.46,28559068,101756,11047891,38.68,105.46316748599999,,,
FEDERALBNK, EQ, 19-Oct-2021,95.3,96.05,96.05,92.45,92.8,92.85,94.34,17698523,61808,5331992,30.13,50.302012528000006,,,
FEDERALBNK, EQ, 20-Oct-2021,92.85,92.85,94.4,91.0,94.2,94.0,92.93,20059712,62348,6014304,29.98,55.890927072000004,,,
FEDERALBNK, EQ, 21-Oct-2021,94.0,94.8,98.0,93.3,96.6,96.55,96.28,47242354,139400,13918371,29.46,134.00607598800002,,,
FEDERALBNK, EQ, 22-Oct-2021,96.55,97.2,105.7,93.6,103.15,103.9,100.6,128941859,298442,24879651,19.3,250.28928906,89.5055339204,7.612635939927507,279.6355466496517
FEDERALBNK, EQ, 25-Oct-2021,103.9,105.0,107.65,100.3,102.4,102.5,104.6,78995676,235871,17833374,22.58,186.53709203999998,119.19029442680001,-1.3474494706448563,156.50359195526661
FEDERALBNK, EQ, 26-Oct-2021,102.5,103.0,104.7,101.65,102.2,102.0,102.99,25656807,91269,5662837,22.07,58.321558263,135.4050793376,-0.4878048780487805,43.071913216482244
FEDERALBNK, EQ, 27-Oct-2021,102.0,102.7,102.75,98.3,100.1,100.35,100.16,31075808,96351,7017405,22.58,70.28632848,137.00898848460002,-1.6176470588235352,51.300523606084624
FEDERALBNK, EQ, 28-Oct-2021,100.35,100.35,101.6,97.05,98.5,97.8,99.48,21384254,70647,4714880,22.05,46.90362624,139.88806876619998,-2.541106128550072,33.52939721999575
FEDERALBNK, EQ, 29-Oct-2021,97.8,97.9,100.0,96.0,97.65,97.45,98.3,25060969,91964,5905637,23.57,58.05241171,122.46757881659998,-0.357873210633941,47.40226945854443
FEDERALBNK, EQ, 01-Nov-2021,97.45,98.0,99.25,96.85,98.2,98.0,97.81,21186299,54416,8982854,42.4,87.861294974,84.0202033466,0.5643919958953281,104.57162857789662
FEDERALBNK, EQ, 02-Nov-2021,98.0,98.75,102.7,98.55,102.25,101.95,100.32,28226648,85321,7648709,27.1,76.731848688,64.28504393339999,4.030612244897962,119.36189818505069
FEDERALBNK, EQ, 03-Nov-2021,101.95,102.65,102.65,99.0,100.1,100.2,100.73,24199708,70129,7449265,30.78,75.036446345,67.96710201840001,-1.716527709661599,110.40112659899224
FEDERALBNK, EQ, 08-Nov-2021,101.1,101.6,102.2,100.2,101.7,101.55,101.17,15322961,69161,5294970,34.56,53.56921149,68.9171255914,1.3473053892215512,77.72989809181011
FEDERALBNK, EQ, 09-Nov-2021,101.55,101.55,103.35,100.75,102.25,102.05,102.08,22350613,66669,7564863,33.85,77.222121504,70.25024264139999,0.4923682914820286,109.92434844415943
FEDERALBNK, EQ, 10-Nov-2021,102.05,102.05,102.8,100.05,100.55,100.35,101.45,16567044,73320,4583634,27.67,46.500966930000004,74.0841846002,-1.6658500734933885,62.76773805495116
FEDERALBNK, EQ, 11-Nov-2021,100.35,100.9,102.1,99.3,100.25,100.2,100.76,17144200,60978,4793501,27.96,48.299316076000004,65.81211899140001,-0.14947683109117238,73.38969906486601
FEDERALBNK, EQ, 12-Nov-2021,100.2,100.95,101.05,99.75,100.0,100.1,100.23,13928829,53381,4595745,32.99,46.063152135,60.125612469,-0.09980039920160531,76.61153083263738
FEDERALBNK, EQ, 15-Nov-2021,100.1,100.6,101.3,99.0,99.5,99.55,99.85,11534669,46462,2625672,22.76,26.21733492,54.33095362700001,-0.5494505494505466,48.25487713687245
FEDERALBNK, EQ, 16-Nov-2021,99.55,99.75,99.75,97.05,97.25,97.4,98.34,11586459,47911,3983527,34.38,39.174004518000004,48.860578313,-2.159718734304361,80.1750733833972
FEDERALBNK, EQ, 17-Nov-2021,97.4,97.4,98.3,96.5,97.2,97.1,97.46,10725400,48874,2965136,27.65,28.898215456,41.2509549158,-0.308008213552373,70.0546581648498
FEDERALBNK, EQ, 18-Nov-2021,97.1,97.15,98.1,94.0,94.45,94.7,95.53,16495647,65994,5380329,32.62,51.398282937,37.730404621000005,-2.471678681771361,136.22510400641906
FEDERALBNK, EQ, 22-Nov-2021,94.7,95.3,95.3,90.5,91.65,91.45,92.62,17323342,67160,3925393,22.66,36.356989966,38.350197993200005,-3.4318901795142556,94.80261346355128
FEDERALBNK, EQ, 23-Nov-2021,91.45,91.0,93.2,90.75,92.55,92.75,92.26,17668580,52056,4169059,23.6,38.463738334000006,36.408965559399995,1.4215418261344965,105.64359009664177
FEDERALBNK, EQ, 24-Nov-2021,92.75,93.25,94.55,92.55,92.7,93.05,93.65,11974638,38816,2865006,23.93,26.83078119,38.858246242199996,0.3234501347708864,69.0478438547281
FEDERALBNK, EQ, 25-Nov-2021,93.05,93.05,94.4,92.05,94.25,92.9,92.69,10826969,53857,3296943,30.45,30.559364667,36.3896015766,-0.16120365394948039,83.97828869511702
FEDERALBNK, EQ, 26-Nov-2021,92.9,92.65,92.7,88.05,88.15,88.7,89.97,21088333,83423,7008918,33.24,63.05923524600001,36.7218314188,-4.52099031216362,171.72137883546947
FEDERALBNK, EQ, 29-Nov-2021,88.7,88.0,88.55,84.7,86.9,87.05,87.17,18514448,66565,4052166,21.89,35.322731022000006,39.054021880600004,-1.8602029312288677,90.44582176450946
FEDERALBNK, EQ, 30-Nov-2021,87.05,87.5,90.2,86.25,86.9,86.8,88.14,20266746,63580,5255202,25.93,46.319350428,38.8471700918,-0.2871912693854107,119.23481251927089
FEDERALBNK, EQ, 01-Dec-2021,86.8,87.5,88.75,87.1,88.55,88.55,88.26,14539590,36654,4193582,28.84,37.012554732,40.418292510600004,2.0161290322580645,91.57377126283396
FEDERALBNK, EQ, 02-Dec-2021,88.55,88.5,89.2,87.5,88.9,88.9,88.13,12932852,64396,4439599,34.33,39.126185987,42.454647219,0.39525691699605703,92.15996021629785
FEDERALBNK, EQ, 03-Dec-2021,88.9,89.1,90.0,88.8,89.25,89.2,89.36,12453387,58760,3416804,27.44,30.532560544,44.168011483,0.33745781777277517,69.12822089749682
FEDERALBNK, EQ, 06-Dec-2021,89.2,89.35,89.5,87.4,87.9,87.75,88.44,8944775,50568,1660797,18.57,14.688088668,37.6626765426,-1.6255605381165952,38.99905693475184
FEDERALBNK, EQ, 07-Dec-2021,87.75,88.75,89.95,88.15,89.7,89.65,89.37,11089664,35026,3762116,33.92,33.622030692,33.5357480718,2.165242165242172,100.25728550922817
FEDERALBNK, EQ, 08-Dec-2021,89.65,90.85,90.85,89.65,90.2,90.35,90.14,11330813,42697,3110285,27.45,28.03610899,30.996284124600002,0.7808142777467804,90.44990321194443
FEDERALBNK, EQ, 09-Dec-2021,90.35,90.5,91.4,90.1,90.9,90.8,90.71,8410945,28721,1873136,22.27,16.991216656,29.2009949762,0.49806308799114873,58.187115438527115
FEDERALBNK, EQ, 10-Dec-2021,90.8,90.75,92.9,90.0,92.35,92.6,91.66,9658633,35405,3116145,32.26,28.562585069999997,24.77400111,1.9823788546255476,115.29258008497763
FEDERALBNK, EQ, 13-Dec-2021,92.6,93.35,93.4,91.65,91.9,91.95,92.59,14719726,56705,7318210,49.72,67.75930638999999,24.3800060152,-0.7019438444924314,277.9298181786939
FEDERALBNK, EQ, 14-Dec-2021,91.95,91.5,91.5,89.9,91.0,91.0,90.79,7786084,29681,1849016,23.75,16.787216264,34.99424955959999,-1.0331702011963053,47.97135665220961
FEDERALBNK, EQ, 15-Dec-2021,91.0,91.25,91.45,89.05,89.4,89.3,90.17,10577697,27792,5671184,53.61,51.137066128,31.627286673999993,-1.8681318681318713,161.68654192532588
FEDERALBNK, EQ, 16-Dec-2021,89.3,90.0,90.1,88.0,88.55,88.6,88.83,9936849,31862,3956833,39.82,35.148547539,36.247478101599995,-0.7838745800671924,96.96825649630094
FEDERALBNK, EQ, 17-Dec-2021,88.6,88.2,88.55,84.8,85.2,85.2,85.77,19561652,75721,9523702,48.69,81.684792054,39.878944278199995,-3.837471783295702,204.8318819178304
FEDERALBNK, EQ, 20-Dec-2021,85.2,84.75,84.75,78.8,81.05,81.05,80.84,24015437,91758,11230328,46.76,90.78597155199999,50.503385675000004,-4.870892018779349,179.76214928683586
FEDERALBNK, EQ, 21-Dec-2021,81.05,81.95,82.25,79.85,80.8,80.55,81.08,14156976,43431,5656076,39.95,45.859464208,55.1087187074,-0.6169031462060457,83.21634994181417
FEDERALBNK, EQ, 22-Dec-2021,80.55,82.4,82.4,80.4,81.6,81.3,81.1,13374546,42859,6130663,45.84,49.71967693,60.923168296200004,0.931098696461825,81.61045841915151
FEDERALBNK, EQ, 23-Dec-2021,81.3,82.0,83.1,81.6,82.0,82.15,82.24,12168815,33195,4267055,35.07,35.09226032,60.6396904566,1.0455104551045615,57.87011783167929
FEDERALBNK, EQ, 24-Dec-2021,82.15,82.5,82.5,80.35,81.15,81.0,81.02,12195815,35367,4613174,37.83,37.375935747999996,60.628433012799995,-1.399878271454663,61.64753712191294
FEDERALBNK, EQ, 27-Dec-2021,81.0,80.25,81.9,78.6,81.5,81.25,80.51,9405458,41536,2080195,22.12,16.747649945000003,51.7666617516,0.30864197530864196,32.352192276494186
FEDERALBNK, EQ, 28-Dec-2021,81.25,82.1,82.35,81.3,81.75,81.9,81.82,6676061,22801,1959454,29.35,16.032252628,36.9589974302,0.8000000000000069,43.37848357028131
FEDERALBNK, EQ, 29-Dec-2021,81.9,81.75,82.5,81.4,81.9,81.95,81.99,6029362,23937,1717937,28.49,14.085365462999999,30.9935551142,0.06105006105005758,45.4461110095326
FEDERALBNK, EQ, 30-Dec-2021,81.95,81.95,82.75,80.6,82.1,82.2,81.88,25636819,43277,13705648,53.46,112.221845824,23.8666928208,0.30506406345332515,470.2027493570363
FEDERALBNK, EQ, 31-Dec-2021,82.2,82.2,83.5,82.1,83.05,83.0,82.96,7508345,30244,2169686,28.9,17.999715055999996,39.292609921600004,0.9732360097323567,45.80941579578088
FEDERALBNK, EQ, 03-Jan-2022,83.0,83.2,87.85,82.95,87.25,87.2,85.92,23089490,81953,8151715,35.3,70.03953528000001,35.4173657832,5.060240963855425,197.7547842172464
FEDERALBNK, EQ, 04-Jan-2022,87.2,88.0,88.9,86.9,88.45,88.5,88.03,17703948,53636,5660566,31.97,49.829962498,46.0757428502,1.4908256880733912,108.14793081037368
FEDERALBNK, EQ, 05-Jan-2022,88.5,88.45,90.35,87.75,90.0,90.05,89.39,18419964,54811,4939775,26.82,44.156648725,52.835284824199995,1.751412429378528,83.57416615037353
