SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
FINPIPE, EQ, 14-Oct-2021,231.35,235.0,235.0,227.2,229.0,228.3,231.09,517164,13162,280197,54.18,6.475072473,,,
FINPIPE, EQ, 18-Oct-2021,228.3,230.0,232.0,228.4,229.95,229.35,229.89,544973,11649,326627,59.93,7.508828103,,,
FINPIPE, EQ, 19-Oct-2021,229.35,229.95,230.9,218.0,222.5,221.85,226.59,715849,17755,426772,59.62,9.670226748000001,,,
FINPIPE, EQ, 20-Oct-2021,221.85,220.4,229.35,211.0,219.95,217.75,222.47,935515,28497,338666,36.2,7.534302501999999,,,
FINPIPE, EQ, 21-Oct-2021,217.75,220.0,235.0,220.0,231.5,229.45,230.1,1891197,28538,878743,46.46,20.21987643,,,
FINPIPE, EQ, 22-Oct-2021,229.45,232.0,232.8,220.5,224.0,224.4,225.21,534385,18945,221193,41.39,4.981487553,10.281661251200001,-2.200915232076698,48.45022055573555
FINPIPE, EQ, 25-Oct-2021,224.4,244.4,244.5,225.0,227.0,225.95,229.76,1702136,44097,809362,47.55,18.595901312,9.9829442672,0.6907308377896537,186.2767217192503
FINPIPE, EQ, 26-Oct-2021,225.95,227.1,228.3,224.0,226.9,226.35,226.1,647092,20184,339189,52.42,7.6690632899999995,12.200358908999998,0.17703031644169318,62.85932526413352
FINPIPE, EQ, 27-Oct-2021,226.35,231.4,231.4,224.8,226.5,226.5,227.5,428405,13852,245878,57.39,5.5937245,11.800126217399997,0.06626905235255387,47.403937864255354
FINPIPE, EQ, 28-Oct-2021,226.5,226.3,226.35,218.0,219.5,219.1,220.93,366964,10943,183838,50.1,4.061532934000001,11.412010617,-3.267108167770422,35.58998558895225
FINPIPE, EQ, 29-Oct-2021,219.1,217.0,226.25,214.0,220.0,220.1,221.05,431085,17743,206211,47.84,4.5582941550000005,8.1803419178,0.4564125969876769,55.722538260673296
FINPIPE, EQ, 01-Nov-2021,220.1,230.5,230.5,221.9,222.4,222.85,224.24,942453,31402,459364,48.74,10.300778336,8.095703238199999,1.2494320763289415,127.23759793213812
FINPIPE, EQ, 02-Nov-2021,222.85,222.85,231.0,222.55,227.9,227.9,228.28,549752,15755,278956,50.74,6.368007568,6.4366786430000005,2.26609827238053,98.93312873286472
FINPIPE, EQ, 03-Nov-2021,227.9,228.65,231.25,227.0,228.0,227.7,228.15,361859,18299,210079,58.06,4.792952385,6.1764674986,-0.0877577885037372,77.6002202891281
FINPIPE, EQ, 08-Nov-2021,232.25,234.0,234.0,224.95,226.0,225.65,226.83,1693553,26784,1430952,84.49,32.458284216,6.0163130756,-0.9003074220465449,539.504573783554
FINPIPE, EQ, 09-Nov-2021,225.65,226.0,229.45,226.0,227.95,227.85,228.05,575089,30470,366658,63.76,8.36163569,11.695663332,0.9749612231331658,71.4934711494481
FINPIPE, EQ, 10-Nov-2021,227.85,227.0,229.1,221.25,226.0,225.95,226.82,417187,19553,241809,57.96,5.484711738,12.456331639000002,-0.8338819398727259,44.03151663711094
FINPIPE, EQ, 11-Nov-2021,225.95,226.6,226.6,221.15,224.7,223.9,224.53,315984,14075,175992,55.7,3.951548376,11.4931183194,-0.9072803717636571,34.381864574820554
FINPIPE, EQ, 12-Nov-2021,223.9,225.45,228.8,224.7,226.45,226.8,226.76,884881,42941,669732,75.69,15.186842832,11.009826481000001,1.2952210808396631,137.93898439914932
FINPIPE, EQ, 15-Nov-2021,226.8,226.7,228.4,219.9,222.0,221.6,221.85,407034,15756,240223,59.02,5.329347255,13.0886045704,-2.2927689594356337,40.717459423079895
FINPIPE, EQ, 16-Nov-2021,221.6,221.95,224.2,218.75,220.5,221.25,221.79,371770,15628,180340,48.51,3.9997608600000003,7.662817178200001,-0.15794223826714546,52.1970023163145
FINPIPE, EQ, 17-Nov-2021,221.25,219.6,222.6,219.6,220.5,220.35,221.34,387945,9416,252273,65.03,5.583810582,6.7904422122,-0.40677966101695173,82.23044107448386
FINPIPE, EQ, 18-Nov-2021,220.35,221.5,222.4,217.2,219.45,219.8,219.33,250529,7908,118728,47.39,2.604061224,6.810261981000001,-0.24960290447015335,38.23731350225717
FINPIPE, EQ, 22-Nov-2021,219.8,216.1,219.0,206.0,207.0,207.85,209.87,922366,28490,519383,56.31,10.900291021000001,6.5407645506,-5.436760691537769,166.65163432614452
FINPIPE, EQ, 23-Nov-2021,207.85,206.0,214.0,203.2,211.0,211.4,209.65,461335,16377,203635,44.14,4.269207775,5.683454188400001,1.70796247293722,75.11642802916411
FINPIPE, EQ, 24-Nov-2021,211.4,214.8,216.65,208.5,210.9,210.7,211.62,512861,16176,277495,54.11,5.8723491899999996,5.4714262923999994,-0.3311258278145776,107.32757559316654
