SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
GLAND, EQ, 14-Oct-2021,3779.4,3801.95,3819.9,3765.0,3792.0,3780.5,3786.05,93229,11704,58860,63.13,22.2846903,,,
GLAND, EQ, 18-Oct-2021,3780.5,3809.9,3819.95,3733.7,3755.0,3749.2,3768.23,86911,15623,55689,64.08,20.984896047,,,
GLAND, EQ, 19-Oct-2021,3749.2,3709.2,3808.75,3703.1,3737.0,3737.3,3738.68,76696,12679,36355,47.4,13.59197114,,,
GLAND, EQ, 20-Oct-2021,3737.3,3737.0,3737.0,3511.35,3561.0,3543.1,3633.8,201532,26516,121478,60.28,44.14267564,,,
GLAND, EQ, 21-Oct-2021,3543.1,3580.0,3720.0,3335.45,3575.0,3621.95,3535.91,487252,58903,238969,49.04,84.497287679,,,
GLAND, EQ, 22-Oct-2021,3621.95,3608.9,3725.0,3580.65,3720.05,3693.95,3679.36,192338,23692,100961,52.49,37.147186496,37.10030416119999,1.9878794571984704,100.12636644324076
GLAND, EQ, 25-Oct-2021,3693.95,3680.0,3752.0,3312.15,3735.0,3726.4,3564.34,997538,94119,489049,49.03,174.313691266,40.072803400400005,0.8784634334520033,434.992504827501
GLAND, EQ, 26-Oct-2021,3726.4,3755.0,3780.0,3512.5,3590.0,3560.3,3568.93,372705,45057,200325,53.75,71.494590225,70.73856244420001,-4.457385143838555,101.06876328084324
GLAND, EQ, 27-Oct-2021,3560.3,3590.0,3613.2,3488.0,3528.0,3521.95,3550.13,186998,28606,106940,57.19,37.96509022,82.3190862612,-1.0771564194028695,46.119426179654205
GLAND, EQ, 28-Oct-2021,3521.95,3530.0,3644.95,3465.55,3600.0,3593.4,3528.97,141206,19871,71531,50.66,25.243075306999998,81.0835691772,2.0287056886100108,31.132170874019856
GLAND, EQ, 29-Oct-2021,3593.4,3599.85,3749.0,3552.95,3673.0,3700.2,3636.64,254944,26695,164210,64.41,59.71726544,69.23272670280001,2.97211554516613,86.25583345337867
GLAND, EQ, 01-Nov-2021,3700.2,3700.0,3725.0,3643.5,3685.0,3681.65,3696.38,227937,20691,169312,74.28,62.58414905600001,73.7467424916,-0.5013242527430876,84.8636115190153
GLAND, EQ, 02-Nov-2021,3681.65,3651.0,3709.0,3651.0,3690.25,3698.45,3692.45,47493,8828,23329,49.12,8.614116605,51.40083404960001,0.4563171404125793,16.75870978414023
GLAND, EQ, 03-Nov-2021,3698.45,3700.0,3718.4,3669.05,3690.15,3699.75,3694.91,92491,20573,56267,60.84,20.790150097,38.8247393256,0.03514986007652346,53.54871779729253
GLAND, EQ, 08-Nov-2021,3676.05,3639.75,3690.0,3609.9,3660.0,3657.0,3651.6,118570,23624,71625,60.41,26.154585,35.389751301000004,-1.1554834786134198,73.90440463270775
GLAND, EQ, 09-Nov-2021,3657.0,3719.9,3719.9,3591.05,3630.0,3624.25,3630.5,194358,16611,149471,76.9,54.26544655,35.5720532396,-0.8955427946404156,152.5507852596765
GLAND, EQ, 10-Nov-2021,3624.25,3599.0,3614.45,3564.05,3589.0,3601.35,3595.36,95213,9507,54326,57.06,19.532152736,34.4816894616,-0.6318548665241109,56.64499924735904
GLAND, EQ, 11-Nov-2021,3601.35,3586.0,3598.0,3530.0,3552.0,3551.15,3561.77,129447,13876,102911,79.5,36.654531246999994,25.8712901976,-1.393921723798015,141.6803374205138
GLAND, EQ, 12-Nov-2021,3551.15,3552.0,3583.0,3425.0,3440.0,3449.75,3490.29,145918,24929,100099,68.6,34.937453870999995,31.479373126000002,-2.8554130352139473,110.98522747310949
GLAND, EQ, 15-Nov-2021,3449.75,3459.85,3680.0,3449.75,3622.05,3627.75,3577.59,406972,27012,259191,63.69,92.727912969,34.3088338808,5.1597941879846365,270.27416114219096
GLAND, EQ, 16-Nov-2021,3627.75,3611.0,3615.25,3492.35,3505.0,3502.4,3524.91,115986,22247,57797,49.83,20.372922326999998,47.623499474599996,-3.4553097650058553,42.77913750934221
GLAND, EQ, 17-Nov-2021,3502.4,3502.4,3544.95,3476.0,3485.0,3491.2,3506.45,57343,14416,27205,47.44,9.539297225,40.84499463,-0.3197807217907798,23.35487447461564
GLAND, EQ, 18-Nov-2021,3491.2,3491.2,3514.85,3393.45,3412.85,3418.45,3434.98,94710,17711,49172,51.92,16.890483656,38.846423527800006,-2.083810724106325,43.48015112359705
GLAND, EQ, 22-Nov-2021,3418.45,3449.95,3588.0,3355.0,3480.0,3540.45,3497.57,345690,29780,222619,64.4,77.86255358300001,34.8936140096,3.5688689318258278,223.14270330834262
GLAND, EQ, 23-Nov-2021,3540.45,3451.45,3548.0,3442.0,3525.0,3526.0,3520.49,105354,18758,58604,55.63,20.631479596,43.47863395200001,-0.4081402081656235,47.45199589015826
GLAND, EQ, 24-Nov-2021,3526.0,3544.25,3565.55,3441.0,3511.0,3509.9,3512.49,221157,15451,168255,76.08,59.09940049499999,29.0593472774,-0.45660805445263497,203.37483815736874
GLAND, EQ, 25-Nov-2021,3509.9,3509.95,3556.0,3501.5,3535.25,3548.55,3540.66,130067,11728,98355,75.62,34.824161430000004,36.804642911,1.101170973532012,94.6189357527822
GLAND, EQ, 26-Nov-2021,3548.55,3538.55,3575.0,3476.2,3478.0,3504.85,3544.93,310470,26753,240031,77.31,85.08930928299999,41.861615752,-1.2314889180087718,203.2633183274459
GLAND, EQ, 29-Nov-2021,3504.85,3477.65,3636.0,3425.0,3580.05,3607.5,3562.97,598989,38447,451986,75.46,161.04125584199997,55.5013808774,2.9287986647074793,290.1572056337349
GLAND, EQ, 30-Nov-2021,3607.5,3648.05,3685.0,3533.85,3561.0,3585.35,3633.21,231762,29517,128638,55.5,46.736886798,72.1371213292,-0.6139986139986165,64.78895461424744
GLAND, EQ, 01-Dec-2021,3585.35,3610.0,3652.0,3575.05,3610.0,3620.6,3617.02,150808,35974,102267,67.81,36.990178434,77.35820276959998,0.9831676126459064,47.81675001443583
GLAND, EQ, 02-Dec-2021,3620.6,3645.0,3662.0,3571.05,3628.0,3636.4,3630.72,232241,25245,107326,46.21,38.967065471999994,72.9363583574,0.4363917582721147,53.42611881039502
GLAND, EQ, 03-Dec-2021,3636.4,3644.0,3679.0,3521.1,3647.0,3649.3,3615.35,150780,19825,85055,56.41,30.750359425,73.76493916579999,0.35474645253547715,41.686958293130324
GLAND, EQ, 06-Dec-2021,3649.3,3660.0,3660.4,3539.95,3550.0,3560.75,3611.78,95288,15227,60044,63.01,21.686571832000002,62.8971491942,-2.4264927520346418,34.479419353397034
GLAND, EQ, 07-Dec-2021,3560.75,3588.0,3588.0,3515.0,3554.0,3556.25,3555.68,137961,20062,84424,61.19,30.018472832,35.0262123922,-0.12637786983079408,85.70288016264305
GLAND, EQ, 08-Dec-2021,3556.25,3569.95,3587.1,3505.0,3517.0,3520.9,3543.32,212718,16124,174436,82.0,61.808256752,31.682529599,-0.9940246045694174,195.08624322077762
GLAND, EQ, 09-Dec-2021,3520.9,3511.0,3610.75,3511.0,3563.0,3578.75,3571.96,145618,22204,41188,28.28,14.712188847999998,36.6461452626,1.6430458121502998,40.14662044964067
GLAND, EQ, 10-Dec-2021,3578.75,3593.9,3619.85,3561.3,3600.0,3600.5,3597.12,45382,6248,24577,54.16,8.840641823999999,31.7951699378,0.6077541040866224,27.80498371700701
GLAND, EQ, 13-Dec-2021,3600.5,3610.0,3612.0,3515.55,3574.0,3554.2,3563.94,75632,11338,40001,52.89,14.256116394,27.413226417599997,-1.285932509373703,52.00451846429578
GLAND, EQ, 14-Dec-2021,3554.2,3590.0,3647.8,3560.05,3620.0,3634.7,3624.33,204683,12508,140353,68.57,50.868558849,25.92713533,2.2649260030386587,196.1981460795654
GLAND, EQ, 15-Dec-2021,3634.7,3616.0,3629.5,3525.0,3527.05,3540.9,3566.18,53908,8355,28142,52.2,10.035943756,30.097152533400003,-2.5806806614025843,33.345160293362355
GLAND, EQ, 16-Dec-2021,3540.9,3560.0,3737.0,3492.0,3684.0,3626.0,3566.18,145498,18412,90866,62.45,32.404451188,19.7426899342,2.403343782654125,164.13392144636887
GLAND, EQ, 17-Dec-2021,3626.0,3650.0,3669.0,3527.0,3660.0,3649.7,3602.28,129045,21112,63430,49.15,22.84926204,23.281142402199997,0.6536127964699343,98.1449348372218
