SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
GLAXO, EQ, 14-Oct-2021,1477.15,1483.45,1489.15,1479.0,1483.25,1481.7,1484.15,18583,2188,10300,55.43,1.5286745000000002,,,
GLAXO, EQ, 18-Oct-2021,1481.7,1485.0,1497.0,1471.15,1474.8,1474.8,1482.38,36912,4656,25443,68.93,3.771619434,,,
GLAXO, EQ, 19-Oct-2021,1474.8,1487.0,1487.0,1461.0,1467.45,1465.6,1471.32,32062,4765,20857,65.05,3.068732124,,,
GLAXO, EQ, 20-Oct-2021,1465.6,1473.3,1476.3,1455.1,1466.75,1471.35,1467.6,53136,6612,37068,69.76,5.440099679999999,,,
GLAXO, EQ, 21-Oct-2021,1471.35,1475.0,1478.0,1459.5,1474.9,1468.7,1467.06,64321,4345,54630,84.93,8.01454878,,,
GLAXO, EQ, 22-Oct-2021,1468.7,1468.2,1476.0,1460.2,1467.05,1466.1,1466.06,15115,2502,7464,49.38,1.094267184,4.3647349036000005,-0.17702730305713463,25.070644796719648
GLAXO, EQ, 25-Oct-2021,1466.1,1462.2,1473.7,1450.0,1459.85,1454.5,1455.56,20502,2684,11299,55.11,1.6446372439999999,4.2778534403999995,-0.7912147875315402,38.445385446543455
GLAXO, EQ, 26-Oct-2021,1454.5,1455.0,1473.55,1451.75,1462.7,1462.4,1464.24,19248,3172,11201,58.19,1.640095224,3.8524570024,0.5431419731866683,42.57270679408634
GLAXO, EQ, 27-Oct-2021,1462.4,1469.0,1487.5,1462.0,1485.0,1482.05,1479.2,29869,3758,17850,59.76,2.640372,3.5667296223999996,1.3436816192560082,74.02781481999
GLAXO, EQ, 28-Oct-2021,1482.05,1480.0,1489.9,1458.3,1484.8,1481.7,1479.8,51298,5247,18838,36.72,2.7876472399999996,3.0067840863999997,-0.023615937384022744,92.71191944273022
