SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
GMDCLTD, EQ, 14-Oct-2021,77.3,77.9,79.8,77.25,78.0,78.05,78.26,1802912,10407,604419,33.52,4.730183094000001,,,
GMDCLTD, EQ, 18-Oct-2021,78.05,79.0,79.4,77.2,77.45,77.35,78.05,1756898,8476,915517,52.11,7.145610185,,,
GMDCLTD, EQ, 19-Oct-2021,77.35,77.9,79.2,74.0,74.5,74.65,77.24,1679720,9753,713679,42.49,5.512456595999999,,,
GMDCLTD, EQ, 20-Oct-2021,74.65,74.6,74.6,70.7,71.2,71.15,72.38,1598366,9479,756160,47.31,5.47308608,,,
GMDCLTD, EQ, 21-Oct-2021,71.15,71.8,76.5,71.75,74.9,74.7,74.64,2086881,12454,736554,35.29,5.497639056000001,,,
GMDCLTD, EQ, 22-Oct-2021,74.7,75.3,75.7,71.45,72.95,72.75,73.19,1242084,9291,533218,42.93,3.902622542,5.6717950022000005,-2.6104417670682767,68.80753871545487
GMDCLTD, EQ, 25-Oct-2021,72.75,73.3,79.4,70.5,75.25,74.6,75.99,8393494,46430,1226406,14.61,9.319459194,5.5062828918,2.5429553264604734,169.2513693380813
GMDCLTD, EQ, 26-Oct-2021,74.6,74.5,75.3,73.3,73.7,73.8,74.25,1258211,8716,457376,36.35,3.3960168,5.9410526936,-1.0723860589812295,57.16186970801252
GMDCLTD, EQ, 27-Oct-2021,73.8,74.2,75.6,73.85,74.65,74.55,74.72,840151,6763,344049,40.95,2.5707341280000002,5.517764734399999,1.0162601626016259,46.59013661769581
GMDCLTD, EQ, 28-Oct-2021,74.55,75.5,75.6,72.35,73.6,73.0,73.37,798532,5436,384675,48.17,2.822360475,4.937294344000001,-2.07914151576123,57.164112130155786
GMDCLTD, EQ, 29-Oct-2021,73.0,73.1,75.4,71.0,74.0,73.45,73.43,1700379,11451,751791,44.21,5.520401313000001,4.4022386278,0.6164383561643875,125.39986538073693
GMDCLTD, EQ, 01-Nov-2021,73.45,74.0,74.7,73.0,74.35,74.4,74.1,658471,4669,272068,41.32,2.0160238799999997,4.725794382,1.2933968686181114,42.65999992887544
GMDCLTD, EQ, 02-Nov-2021,74.4,74.85,74.9,72.55,72.85,72.9,73.69,650251,4148,375378,57.73,2.766160482,3.2651073191999997,-2.0161290322580645,84.71882273927066
GMDCLTD, EQ, 03-Nov-2021,72.9,73.25,73.5,72.0,72.2,72.2,72.68,477363,4581,187486,39.28,1.362648248,3.1391360556000003,-0.9602194787380012,43.408384468367665
GMDCLTD, EQ, 08-Nov-2021,73.3,73.45,73.9,72.05,72.55,73.0,72.84,454543,3780,188471,41.46,1.3728227640000001,2.8975188795999998,1.108033240997226,47.37925173379776
GMDCLTD, EQ, 09-Nov-2021,73.0,73.4,73.75,72.3,72.65,72.65,72.84,391548,3353,165761,42.33,1.207403124,2.6076113374,-0.47945205479451275,46.3030324605
GMDCLTD, EQ, 10-Nov-2021,72.65,72.85,73.4,70.25,71.3,71.25,72.06,590514,5681,294390,49.85,2.12137434,1.7450116996000002,-1.927047487955961,121.5679150166312
GMDCLTD, EQ, 11-Nov-2021,71.25,71.3,71.9,70.4,70.95,70.75,70.96,480668,4039,228477,47.53,1.6212727919999999,1.7660817916,-0.7017543859649122,91.80054965241395
GMDCLTD, EQ, 12-Nov-2021,70.75,71.0,71.5,69.4,70.7,70.8,70.54,539529,4627,213846,39.64,1.5084696840000003,1.5371042536000001,0.07067137809186878,98.13710946847387
GMDCLTD, EQ, 15-Nov-2021,70.8,70.8,72.0,69.0,69.0,69.1,69.99,498958,4768,250440,50.19,1.7528295599999997,1.5662685408,-2.4011299435028293,111.91117706448411
