SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
GREAVESCOT, EQ, 14-Oct-2021,142.65,144.0,144.75,139.5,140.5,140.3,141.6,1469430,19108,636779,43.34,9.01679064,,,
GREAVESCOT, EQ, 18-Oct-2021,140.3,141.4,142.9,139.0,139.5,139.3,140.66,1098557,12994,487643,44.39,6.859186437999999,,,
GREAVESCOT, EQ, 19-Oct-2021,139.3,140.25,147.35,139.4,142.35,141.75,144.08,5421776,56248,1719249,31.71,24.770939592,,,
GREAVESCOT, EQ, 20-Oct-2021,141.75,141.75,142.7,136.65,138.3,137.95,139.22,1457268,18551,459122,31.51,6.391896483999999,,,
GREAVESCOT, EQ, 21-Oct-2021,137.95,138.3,139.3,135.1,137.0,136.85,137.32,994789,14088,321911,32.36,4.420481852,,,
GREAVESCOT, EQ, 22-Oct-2021,136.85,137.85,138.7,131.35,132.6,132.55,134.22,1494495,25590,640307,42.84,8.594200554,10.291859001199999,-3.142126415783692,83.50484157427674
GREAVESCOT, EQ, 25-Oct-2021,132.55,134.0,135.45,130.75,133.9,133.4,133.49,1121049,17250,311334,27.77,4.155997566000001,10.207340984000002,0.6412674462466951,40.7157708605456
GREAVESCOT, EQ, 26-Oct-2021,133.4,134.0,141.25,129.2,131.5,131.35,132.91,2427293,39551,543356,22.39,7.221744596,9.6667032096,-1.536731634182917,74.70742030052281
GREAVESCOT, EQ, 27-Oct-2021,131.35,131.0,138.3,131.0,138.05,137.4,135.56,1904313,25622,982950,51.62,13.3248702,6.1568642104,4.6060144651694035,216.42299951153717
GREAVESCOT, EQ, 28-Oct-2021,137.4,138.5,140.3,135.8,136.75,138.0,138.06,1574494,20533,757912,48.14,10.463733072,7.5434589536,0.4366812227074194,138.7126666475244
GREAVESCOT, EQ, 29-Oct-2021,138.0,136.0,136.75,133.0,133.65,133.4,134.66,992798,16213,306761,30.9,4.130843626,8.752109197600001,-3.333333333333329,47.19826424392371
GREAVESCOT, EQ, 01-Nov-2021,133.4,134.85,135.5,132.5,133.2,132.95,133.36,666488,9204,257824,38.68,3.438340864,7.859437812,-0.33733133433284634,43.74792378597677
GREAVESCOT, EQ, 02-Nov-2021,132.95,133.75,136.75,133.45,135.4,135.3,134.91,728454,12067,225204,30.92,3.0382271640000003,7.7159064715999985,1.7675817976683137,39.37615334222659
GREAVESCOT, EQ, 03-Nov-2021,135.3,134.25,136.25,133.35,133.7,133.7,134.34,448120,8091,181799,40.57,2.442287766,6.8792029852,-1.1825572801182724,35.50248148302016
GREAVESCOT, EQ, 08-Nov-2021,135.25,135.8,136.5,132.6,133.55,133.35,134.31,723065,11315,296943,41.07,3.988241433,4.7026864984,-0.26178010471203766,84.80772499627443
GREAVESCOT, EQ, 09-Nov-2021,133.35,133.9,143.95,133.7,139.8,140.2,140.51,4342053,40676,1150622,26.5,16.167389722,3.4075881705999995,5.1368578927634,474.45257210038045
GREAVESCOT, EQ, 10-Nov-2021,140.2,139.7,144.85,137.1,140.25,140.05,141.45,1728772,24904,492162,28.47,6.961631489999999,5.8148973898000005,-0.10699001426531903,119.72062485937418
GREAVESCOT, EQ, 11-Nov-2021,140.05,140.4,140.6,136.95,137.25,137.6,138.23,619771,9478,224918,36.29,3.109041514,6.519555515,-1.749375223134607,47.68793680561212
GREAVESCOT, EQ, 12-Nov-2021,137.6,137.5,138.35,133.85,134.65,134.3,135.48,736395,10018,367470,49.9,4.978483559999999,6.533718385,-2.398255813953476,76.19678820913856
GREAVESCOT, EQ, 15-Nov-2021,134.3,135.0,135.7,132.65,133.7,133.3,133.72,582159,10647,260747,44.79,3.4867088839999996,7.040957543799999,-0.7446016381236038,49.52037932781264
GREAVESCOT, EQ, 16-Nov-2021,133.3,132.75,149.2,132.05,146.25,147.6,143.65,8744699,80224,2808633,32.12,40.346013045,6.940651034,10.727681920480107,581.3001236823168
GREAVESCOT, EQ, 17-Nov-2021,147.6,144.75,153.8,143.55,148.8,149.45,148.86,6662505,64586,2036394,30.56,30.313761084000003,11.7763756986,1.253387533875335,257.4116337643997
GREAVESCOT, EQ, 18-Nov-2021,149.45,150.4,155.0,145.05,152.8,153.0,151.2,6757910,56198,2136651,31.62,32.30616312,16.446801617400002,2.3753763800602288,196.42824101326474
GREAVESCOT, EQ, 22-Nov-2021,153.0,154.0,154.6,143.25,144.3,145.15,148.54,3509046,34098,954289,27.2,14.175008806000001,22.2862259386,-5.130718954248362,63.6043484664163
GREAVESCOT, EQ, 23-Nov-2021,145.15,145.0,158.9,143.85,156.5,155.9,154.2,8776556,79754,2368072,26.98,36.51567024,24.125530987799998,7.406131588012401,151.3569598052186
GREAVESCOT, EQ, 24-Nov-2021,155.9,157.95,163.6,155.0,155.95,155.6,159.67,7179891,62340,2065877,28.77,32.985858058999995,30.731323259,-0.1924310455420214,107.33627634904958
GREAVESCOT, EQ, 25-Nov-2021,155.6,157.5,159.2,153.65,154.3,154.25,156.52,2561185,24645,770256,30.07,12.056046912000001,29.2592922618,-0.8676092544987111,41.20416448944663
GREAVESCOT, EQ, 26-Nov-2021,154.25,153.75,153.75,144.35,144.8,146.0,149.21,2949880,33121,798033,27.05,11.907450393000001,25.6077494274,-5.348460291734198,46.49940217026321
GREAVESCOT, EQ, 29-Nov-2021,146.0,145.95,145.95,136.0,137.3,137.2,140.78,2986576,35019,802580,26.87,11.29872124,21.528006882,-6.027397260273981,52.483823987659015
