SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
GUJGASLTD, EQ, 14-Oct-2021,630.4,634.95,638.0,624.0,627.35,628.8,628.41,930477,26613,517276,55.59,32.506141115999995,,,
GUJGASLTD, EQ, 18-Oct-2021,628.8,631.8,667.7,630.0,667.0,660.15,650.24,3571495,86597,1423488,39.86,92.560883712,,,
GUJGASLTD, EQ, 19-Oct-2021,660.15,670.0,671.95,631.4,634.0,637.1,651.28,2500973,63024,898206,35.91,58.49836036799999,,,
GUJGASLTD, EQ, 20-Oct-2021,637.1,637.2,645.25,618.8,633.0,633.55,635.88,1834988,42736,712184,38.81,45.286356192,,,
GUJGASLTD, EQ, 21-Oct-2021,633.55,635.0,644.25,625.55,629.5,628.25,630.99,735934,19269,298463,40.56,18.832716837,,,
GUJGASLTD, EQ, 22-Oct-2021,628.25,630.0,639.2,611.8,614.65,614.4,621.29,1009956,29228,317512,31.44,19.726703047999997,49.536891645,-2.2045364106645478,39.82224639642102
GUJGASLTD, EQ, 25-Oct-2021,614.4,619.45,619.45,581.6,585.0,585.9,590.36,2027950,58516,606954,29.93,35.832136344,46.98100403139999,-4.638671875,76.2694137401819
GUJGASLTD, EQ, 26-Oct-2021,585.9,588.0,598.0,581.25,597.5,595.2,590.72,934528,20998,352254,37.69,20.808348288,35.635254557799996,1.587301587301599,58.392590557334415
GUJGASLTD, EQ, 27-Oct-2021,595.2,595.2,601.15,587.0,595.5,596.95,594.98,1095060,25161,422736,38.6,25.151946528,28.09725214179999,0.29401881720430106,89.51746028780411
GUJGASLTD, EQ, 28-Oct-2021,596.95,594.0,605.0,577.2,594.4,594.15,592.87,3154890,64389,1091199,34.59,64.693915113,24.070370209,-0.46905100929727245,268.7699214896608
GUJGASLTD, EQ, 29-Oct-2021,594.15,584.75,626.1,577.85,625.0,622.3,608.79,2814790,58201,1295348,46.02,78.859490892,33.2426098642,4.737860809559872,237.2241265476759
GUJGASLTD, EQ, 01-Nov-2021,622.3,632.25,640.9,623.25,639.0,639.55,633.92,2079883,58290,893006,42.94,56.609436351999996,45.069167433,2.771974931704966,125.60568472039296
GUJGASLTD, EQ, 02-Nov-2021,639.55,639.9,649.8,632.25,637.2,639.15,640.85,1474269,49976,754411,51.17,48.346428935000006,49.224627434599995,-0.06254397623328548,98.21593672645513
GUJGASLTD, EQ, 03-Nov-2021,639.15,641.5,645.0,630.0,632.0,632.95,635.95,1177949,26280,758480,64.39,48.235535600000006,54.732243564,-0.9700383321598891,88.13001707777023
GUJGASLTD, EQ, 08-Nov-2021,636.85,636.5,638.0,621.0,628.0,626.05,628.21,752921,25501,359449,47.74,22.580945629000002,59.3489613784,-1.0901335018564011,38.047751981752995
GUJGASLTD, EQ, 09-Nov-2021,626.05,628.25,654.0,627.0,645.9,645.25,648.37,2273782,50869,869906,38.26,56.402095322,50.926367481599996,3.066847695870944,110.75224507693076
GUJGASLTD, EQ, 10-Nov-2021,645.25,640.5,661.85,639.45,660.0,659.45,654.67,1558188,33752,799508,51.31,52.341390235999995,46.4348883676,2.2006974041069425,112.71996568968012
GUJGASLTD, EQ, 11-Nov-2021,659.45,658.1,663.75,648.4,654.35,653.9,655.02,1413154,23705,831639,58.85,54.474017778,45.5812791444,-0.8416104329365484,119.50962939286565
GUJGASLTD, EQ, 12-Nov-2021,653.9,655.1,675.0,652.3,669.95,669.0,665.44,1550486,91917,802835,51.78,53.42385224,46.806796913,2.309221593515832,114.13695395414291
GUJGASLTD, EQ, 15-Nov-2021,669.0,671.95,683.85,665.1,676.0,675.65,676.58,1396236,41736,626860,44.9,42.41209388,47.844460241,0.9940209267563495,88.64577772716773
GUJGASLTD, EQ, 16-Nov-2021,675.65,677.0,684.0,661.0,668.8,669.65,673.49,1089751,27191,385483,35.37,25.961894567,51.8106898912,-0.8880337452823208,50.109146628849665
GUJGASLTD, EQ, 17-Nov-2021,669.65,665.0,673.6,655.0,656.05,658.05,661.92,683712,16830,297231,43.47,19.674314352,45.7226497402,-1.7322481893526502,43.02968980098733
GUJGASLTD, EQ, 18-Nov-2021,658.05,656.75,659.95,627.9,637.0,638.35,639.66,1138266,27077,387870,34.08,24.81049242,39.1892345634,-2.993693488336742,63.30945908081416
GUJGASLTD, EQ, 22-Nov-2021,638.35,630.0,644.9,614.05,623.55,622.4,629.13,1643780,49750,420947,25.61,26.483038610999998,33.2565294918,-2.4986292786089206,79.63259851732235
GUJGASLTD, EQ, 23-Nov-2021,622.4,622.4,652.7,616.7,651.0,648.05,638.89,1254932,28614,610067,48.61,38.976570563,27.868366765999998,4.121143958868891,139.859543583129
GUJGASLTD, EQ, 24-Nov-2021,648.05,649.2,668.0,649.2,656.1,658.1,661.41,1153443,36977,347466,30.12,22.981748706,27.181262102599998,1.5508062649487029,84.54996908992575
GUJGASLTD, EQ, 25-Nov-2021,658.1,656.5,665.0,650.55,662.85,662.95,658.2,560627,22256,202166,36.06,13.306566120000001,26.585232930399997,0.7369700653396175,50.05247144095567
GUJGASLTD, EQ, 26-Nov-2021,662.95,660.2,677.3,650.5,657.0,656.3,665.76,1628092,47793,375897,23.09,25.025718672,25.311683284000004,-1.0030922392337418,98.8702268087371
GUJGASLTD, EQ, 29-Nov-2021,656.3,650.05,664.75,633.55,660.35,660.25,654.58,666053,31151,263548,39.57,17.251324984,25.354728534400003,0.6018589059881222,68.03987256497061
GUJGASLTD, EQ, 30-Nov-2021,660.25,659.0,678.35,656.15,669.0,669.95,670.63,1041053,30653,313234,30.09,21.006411741999997,23.508385808999996,1.4691404770920176,89.35709968635048
GUJGASLTD, EQ, 01-Dec-2021,669.95,674.0,674.0,652.25,666.25,665.7,660.57,923142,24158,308594,33.43,20.384793858000002,19.9143540448,-0.6343756996790805,102.36231520310268
GUJGASLTD, EQ, 02-Dec-2021,665.7,665.7,696.0,661.2,686.1,686.65,685.26,3017845,67414,784085,25.98,53.73020871,19.394963075200003,3.1470632417004554,277.03176593671304
GUJGASLTD, EQ, 03-Dec-2021,686.65,688.9,694.0,655.45,662.5,662.4,677.17,1840133,45117,610704,33.19,41.355042768,27.4796915932,-3.531639117454307,150.49311098612742
GUJGASLTD, EQ, 06-Dec-2021,662.4,664.9,668.45,651.0,658.0,657.6,658.74,1070758,27829,199971,18.68,13.172889654,30.7455564124,-0.7246376811594134,42.844856919509965
GUJGASLTD, EQ, 07-Dec-2021,657.6,660.0,668.0,650.55,663.2,662.65,659.89,986533,30690,217099,22.01,14.326145910999998,29.9298693464,0.7679440389294334,47.865714832207125
GUJGASLTD, EQ, 08-Dec-2021,662.65,664.25,669.35,656.15,666.05,665.05,662.09,616289,16725,280400,45.5,18.5650036,28.593816180199997,0.36218214743831245,64.92663827382187
GUJGASLTD, EQ, 09-Dec-2021,665.05,667.1,669.9,658.4,666.0,661.7,662.52,468252,11753,164414,35.11,10.892756328,28.2298581286,-0.5037215246973775,38.58594073827251
GUJGASLTD, EQ, 10-Dec-2021,661.7,665.15,675.0,662.55,664.0,665.3,668.61,527123,16532,120047,22.77,8.026462467,19.662367652199997,0.5440531963125146,40.82144433964914
GUJGASLTD, EQ, 13-Dec-2021,665.3,668.0,676.0,662.3,666.4,664.8,669.08,402518,12337,153672,38.18,10.281886176,12.996651592000001,-0.07515406583496168,79.11180893953443
GUJGASLTD, EQ, 14-Dec-2021,664.8,660.05,668.3,656.8,665.0,664.9,661.17,501164,13796,256356,51.15,16.949489651999997,12.4184508964,0.015042117930207995,136.4863443387573
GUJGASLTD, EQ, 15-Dec-2021,664.9,663.35,676.2,636.7,646.95,648.5,652.93,1535512,45748,238176,15.51,15.551225567999998,12.9431196446,-2.4665363212513127,120.15052008337206
GUJGASLTD, EQ, 16-Dec-2021,648.5,651.4,655.25,628.0,637.6,637.4,638.26,986477,36454,332459,33.7,21.219528134,12.340364038199999,-1.7116422513492708,171.95220552906105
GUJGASLTD, EQ, 17-Dec-2021,637.4,637.55,637.95,616.55,624.65,626.35,625.65,599271,21304,239786,40.01,15.002211090000001,14.405718399400001,-1.7336052714151169,104.14066604706673
GUJGASLTD, EQ, 20-Dec-2021,626.35,614.0,617.75,592.0,613.5,611.6,608.23,937236,32511,293545,31.32,17.854287535,15.800868123999999,-2.354913387083899,112.99561134796801
GUJGASLTD, EQ, 21-Dec-2021,611.6,620.65,635.5,612.15,627.0,626.8,626.4,694265,19206,219734,31.65,13.764137759999999,17.315348395799997,2.4852844996729777,79.49096631136004
GUJGASLTD, EQ, 22-Dec-2021,626.8,629.9,637.1,622.55,628.0,627.8,629.72,710946,23669,160968,22.64,10.136476896000001,16.6782780174,0.1595405232929164,60.7765195269253
GUJGASLTD, EQ, 23-Dec-2021,627.8,628.1,637.75,627.8,634.0,634.1,632.58,631054,23897,175388,27.79,11.094694104,15.595328283,1.0035043007327282,71.14113856836212
GUJGASLTD, EQ, 24-Dec-2021,634.1,630.0,637.0,625.75,629.95,629.4,630.86,437526,15421,181656,41.52,11.459950416,13.570361477,-0.7412080113546831,84.44837991547334
GUJGASLTD, EQ, 27-Dec-2021,629.4,629.4,629.4,620.0,625.7,625.05,623.69,410303,15845,150189,36.6,9.367137741,12.861909342199999,-0.6911344137273631,72.82851629397175
GUJGASLTD, EQ, 28-Dec-2021,625.05,628.5,638.9,626.25,636.9,636.35,635.06,456372,14254,186001,40.76,11.812179505999998,11.1644793834,1.8078553715702856,105.80143596810288
GUJGASLTD, EQ, 29-Dec-2021,636.35,638.1,639.95,627.0,632.75,631.55,630.95,580417,11423,299916,51.67,18.923200020000003,10.7740877326,-0.7543018778973942,175.63621616652142
GUJGASLTD, EQ, 30-Dec-2021,631.55,631.55,633.85,619.3,625.0,625.95,626.38,625067,17062,215869,34.54,13.521602421999999,12.5314323574,-0.8867073074182423,107.90149151637314
GUJGASLTD, EQ, 31-Dec-2021,625.95,628.0,638.45,626.45,634.8,634.85,632.49,468703,14578,204741,43.68,12.949663509,13.016814020999998,1.4218388050163713,99.48412482584706
GUJGASLTD, EQ, 03-Jan-2022,634.85,637.0,644.0,635.0,641.2,641.0,639.66,677253,24156,301355,44.5,19.276473929999998,13.3147566396,0.968732771520828,144.77526290393467
GUJGASLTD, EQ, 04-Jan-2022,641.0,644.5,651.35,640.05,649.0,649.6,646.48,511475,17383,168677,32.98,10.904630696000002,15.2966238774,1.3416536661466494,71.28782653871126
GUJGASLTD, EQ, 05-Jan-2022,649.6,645.0,648.8,640.05,643.85,642.3,643.8,369156,13431,170947,46.31,11.00556786,15.115114115399999,-1.1237684729064144,72.81167562464515
