SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
HAPPSTMNDS, EQ, 27-Dec-2021,1259.15,1297.95,1322.1,1255.0,1322.1,1322.1,1314.33,610967,22478,342497,56.06,45.015408201,,,
HAPPSTMNDS, EQ, 28-Dec-2021,1322.1,1340.0,1355.0,1290.0,1312.0,1309.0,1324.68,545830,32197,294915,54.03,39.066800220000005,,,
HAPPSTMNDS, EQ, 29-Dec-2021,1309.0,1319.8,1325.0,1280.0,1295.0,1292.95,1300.45,187952,13475,122108,64.97,15.87953486,,,
HAPPSTMNDS, EQ, 30-Dec-2021,1292.95,1299.35,1308.75,1290.0,1294.0,1296.15,1297.53,201395,14386,122481,60.82,15.892277193,,,
HAPPSTMNDS, EQ, 31-Dec-2021,1296.15,1304.0,1310.0,1287.45,1297.05,1296.6,1298.86,197918,12967,109572,55.36,14.231868791999998,,,
HAPPSTMNDS, EQ, 03-Jan-2022,1296.6,1308.0,1340.0,1304.0,1338.3,1337.55,1330.6,391262,26082,242460,61.97,32.2617276,26.017177853199996,3.158260064784826,124.00164146178503
HAPPSTMNDS, EQ, 04-Jan-2022,1337.55,1349.0,1360.0,1324.0,1342.0,1340.4,1342.26,286548,19817,162232,56.62,21.775752432,23.466441733000003,0.2130761466861154,92.79528903343515
HAPPSTMNDS, EQ, 05-Jan-2022,1340.4,1342.0,1343.95,1310.95,1321.85,1320.95,1324.85,216218,16999,131838,60.97,17.466557429999998,20.0082321754,-1.451059385258135,87.29685499888903
HAPPSTMNDS, EQ, 06-Jan-2022,1320.95,1314.0,1317.2,1297.15,1299.0,1298.65,1302.04,191595,15601,128923,67.29,16.786290292,20.3256366894,-1.6881789621105987,82.58678706362099
HAPPSTMNDS, EQ, 07-Jan-2022,1298.65,1306.0,1320.0,1291.0,1299.65,1298.65,1304.94,192042,14216,119360,62.15,15.57576384,20.504439309200002,0.0,75.96288591520478
HAPPSTMNDS, EQ, 10-Jan-2022,1298.65,1319.0,1340.0,1308.15,1323.0,1322.35,1323.24,273106,20553,160184,58.65,21.196187616,20.7732183188,1.8249720863973986,102.036127915804
HAPPSTMNDS, EQ, 11-Jan-2022,1322.35,1318.0,1352.7,1315.35,1344.0,1343.4,1335.99,310553,21503,164383,52.93,21.961404416999997,18.560110322000003,1.5918629712254835,118.3258290817825
