SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
HCC, EQ, 14-Oct-2021,10.6,10.7,10.85,10.55,10.65,10.65,10.67,5387648,4371,3188163,59.18,3.401769921,,,
HCC, EQ, 18-Oct-2021,10.65,10.7,11.7,10.6,11.6,11.6,11.39,25857037,16188,11800073,45.64,13.440283147,,,
HCC, EQ, 19-Oct-2021,11.6,11.7,12.25,10.9,11.05,10.95,11.48,14054997,12608,8109853,57.7,9.310111244,,,
HCC, EQ, 20-Oct-2021,10.95,11.0,11.1,10.35,10.5,10.4,10.6,6661623,6177,3534870,53.06,3.7469622,,,
HCC, EQ, 21-Oct-2021,10.4,10.55,11.4,10.45,10.8,10.8,11.0,11396909,7204,5215836,45.77,5.7374196,,,
HCC, EQ, 22-Oct-2021,10.8,10.9,11.1,10.25,10.4,10.35,10.57,5296111,6748,2894791,54.66,3.059794087,7.127309222400001,-4.166666666666676,42.930564558410815
HCC, EQ, 25-Oct-2021,10.35,10.5,10.55,9.75,9.8,9.8,9.98,7101125,6536,4135943,58.24,4.127671114,7.058914055600001,-5.314009661835739,58.47459087174213
HCC, EQ, 26-Oct-2021,9.8,9.75,10.3,9.7,9.8,9.8,9.87,5325000,4282,3277626,61.55,3.2350168619999997,5.196391649000001,0.0,62.25506236856781
HCC, EQ, 27-Oct-2021,9.8,9.85,9.9,9.7,9.8,9.75,9.8,2923153,3062,1984948,67.9,1.9452490400000002,3.9813727725999994,-0.5102040816326603,48.858751769924645
HCC, EQ, 28-Oct-2021,9.75,9.75,9.75,9.3,9.45,9.4,9.48,4752990,5266,2947279,62.01,2.794020492,3.6210301406,-3.589743589743586,77.1609288934843
HCC, EQ, 29-Oct-2021,9.4,9.4,9.5,9.15,9.4,9.4,9.38,2115197,2899,1163869,55.02,1.0917091220000001,3.032350319,0.0,36.002077832485426
HCC, EQ, 01-Nov-2021,9.4,9.55,9.75,9.4,9.5,9.5,9.51,2986285,3219,1730324,57.94,1.645538124,2.6387333259999997,1.0638297872340388,62.360910357487185
HCC, EQ, 02-Nov-2021,9.5,9.6,9.75,9.35,9.4,9.4,9.51,4582608,4190,2652911,57.89,2.522918361,2.1423067280000003,-1.0526315789473648,117.76643969910548
HCC, EQ, 03-Nov-2021,9.4,9.45,9.55,9.0,9.25,9.2,9.31,4146801,3879,2659117,64.12,2.4756379269999997,1.9998870277999998,-2.1276595744680966,123.78888870154607
HCC, EQ, 08-Nov-2021,9.5,9.6,9.7,9.45,9.5,9.55,9.56,2758566,4489,2014527,73.03,1.925887812,2.1059648052,3.804347826086972,91.4491926571917
HCC, EQ, 09-Nov-2021,9.55,9.6,10.0,9.45,9.9,9.8,9.67,3803682,4657,2363817,62.15,2.285811039,1.9323382691999995,2.6178010471204183,118.2924892310051
HCC, EQ, 10-Nov-2021,9.8,9.9,10.15,9.75,9.8,9.8,9.92,4569146,4942,3125852,68.41,3.100845184,2.1711586526,0.0,142.81983402211003
