SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
HDFCBANK, EQ, 14-Oct-2021,1639.4,1638.0,1690.0,1638.0,1687.0,1687.4,1668.19,7378644,218094,3835435,51.98,639.8234312650001,,,
HDFCBANK, EQ, 18-Oct-2021,1687.4,1705.0,1725.0,1667.05,1674.5,1670.3,1690.0,14428228,413049,8220482,56.97,1389.261458,,,
HDFCBANK, EQ, 19-Oct-2021,1670.3,1675.45,1692.45,1671.0,1687.6,1688.7,1685.37,4493770,146669,2218411,49.37,373.884334707,,,
HDFCBANK, EQ, 20-Oct-2021,1688.7,1689.1,1698.75,1664.45,1675.6,1673.85,1676.16,5454284,187374,3521937,64.57,590.332992192,,,
HDFCBANK, EQ, 21-Oct-2021,1673.85,1671.8,1681.95,1660.85,1680.0,1676.3,1672.14,4869095,181241,2926337,60.1,489.324515118,,,
HDFCBANK, EQ, 22-Oct-2021,1676.3,1680.1,1708.0,1670.75,1683.0,1680.75,1692.82,6087777,173531,3171466,52.1,536.872107412,696.5253462564,0.26546560878124714,77.07861749719736
HDFCBANK, EQ, 25-Oct-2021,1680.75,1690.0,1690.0,1613.8,1657.3,1657.0,1654.95,8213383,230480,4006629,48.78,663.077066355,675.9350814858,-1.413059645991373,98.09774407587543
HDFCBANK, EQ, 26-Oct-2021,1657.0,1650.0,1673.85,1646.35,1655.45,1652.75,1656.8,6045328,167665,4294683,71.04,711.5430794399999,530.6982031568,-0.2564876282438141,134.07678322772983
HDFCBANK, EQ, 27-Oct-2021,1652.75,1652.75,1665.05,1637.3,1642.7,1642.8,1649.62,6624821,159662,4849303,73.2,799.950721486,598.2299521034,-0.6020269248222686,133.71960375326276
HDFCBANK, EQ, 28-Oct-2021,1642.8,1650.0,1650.0,1587.15,1592.4,1593.6,1617.53,8898875,197678,5321326,59.8,860.7404444780001,640.1534979621999,-2.994886778670565,134.4584458599374
HDFCBANK, EQ, 29-Oct-2021,1593.6,1590.0,1602.0,1560.0,1587.9,1582.85,1584.16,6203437,187391,3509518,56.57,555.963803488,714.4366838342,-0.6745732931726909,77.8184849781626
HDFCBANK, EQ, 01-Nov-2021,1582.85,1585.0,1611.0,1583.55,1609.0,1605.3,1594.91,4061160,154509,2186450,53.84,348.71909695,718.2550230494,1.4183277000347505,48.550874795067855
HDFCBANK, EQ, 02-Nov-2021,1605.3,1606.0,1622.0,1600.05,1605.0,1606.75,1610.07,6618861,190992,4327632,65.38,696.779045424,655.3834291684,0.09032579580141067,106.31624395937594
HDFCBANK, EQ, 03-Nov-2021,1606.75,1605.1,1609.9,1575.55,1582.0,1581.45,1596.24,5103669,171297,3013031,59.04,480.95206034399996,652.4306223652,-1.5746071261863983,73.71696604313978
HDFCBANK, EQ, 08-Nov-2021,1593.95,1592.1,1604.7,1570.45,1600.0,1600.25,1586.02,9471790,201396,7415309,78.29,1176.082838018,588.6308901368,1.1887824464889787,199.79971451118953
HDFCBANK, EQ, 09-Nov-2021,1600.25,1594.6,1594.6,1569.05,1573.0,1572.25,1576.98,6347738,240815,4613239,72.68,727.498563822,651.6993688448,-1.7497266052179348,111.63100635060633
HDFCBANK, EQ, 10-Nov-2021,1572.25,1568.0,1569.0,1550.0,1555.0,1555.25,1556.97,6857063,233747,5316027,77.53,827.689455819,686.0063209116,-1.0812529813960885,120.653327905073
HDFCBANK, EQ, 11-Nov-2021,1555.25,1550.05,1554.9,1535.6,1549.6,1548.3,1543.95,3999702,157896,2359811,59.0,364.343019345,781.8003926854001,-0.446873493007558,46.603074487276864
HDFCBANK, EQ, 12-Nov-2021,1548.3,1550.0,1559.05,1545.05,1554.45,1553.0,1551.65,7457046,170825,6028992,80.85,935.4885436800001,715.3131874696,0.3035587418458985,130.7802736014506
HDFCBANK, EQ, 15-Nov-2021,1553.0,1562.1,1571.85,1554.4,1555.0,1557.25,1561.48,4766797,231105,3348551,70.25,522.869541548,806.2204841368,0.2736638763683194,64.85441040459588
HDFCBANK, EQ, 16-Nov-2021,1557.25,1555.0,1557.2,1541.6,1547.55,1548.0,1548.02,4122703,139578,3120847,75.7,483.11335729399997,675.5778248428,-0.5939958259752769,71.5111330669291
HDFCBANK, EQ, 17-Nov-2021,1548.0,1536.9,1544.0,1528.5,1531.2,1530.8,1535.47,3799439,145953,2426211,63.86,372.537420417,626.7007835372,-1.111111111111114,59.44422445338889
HDFCBANK, EQ, 18-Nov-2021,1530.8,1526.05,1543.5,1525.25,1538.5,1539.4,1536.6,4576437,181690,2775777,60.65,426.52589381999996,535.6703764567999,0.5617977528089977,79.6246932005578
HDFCBANK, EQ, 22-Nov-2021,1539.4,1546.0,1552.7,1499.05,1520.95,1515.35,1524.17,7630636,222669,5181802,67.91,789.7947154340001,548.1069513518,-1.5622969988307251,144.0950007085522
HDFCBANK, EQ, 23-Nov-2021,1515.35,1502.0,1527.8,1496.35,1517.0,1515.55,1517.4,5617607,164898,3430808,61.07,520.5908059200001,518.9681857026001,0.01319827102649853,100.31266275315187
HDFCBANK, EQ, 24-Nov-2021,1515.55,1524.0,1536.35,1514.05,1516.95,1518.05,1524.49,15401143,141801,13238732,85.96,2018.231454668,518.512438577,0.1649566164098842,389.2349159852004
HDFCBANK, EQ, 25-Nov-2021,1518.05,1514.8,1533.3,1507.0,1522.8,1525.95,1518.57,5125826,138468,3449892,67.3,523.890249444,825.5360580518002,0.5204044662560582,63.460613783526256
HDFCBANK, EQ, 26-Nov-2021,1525.95,1500.0,1506.7,1485.0,1489.5,1489.9,1497.04,9312468,250716,7121233,76.47,1066.077065032,855.8066238572001,-2.3624627281365678,124.56985437049921
HDFCBANK, EQ, 29-Nov-2021,1489.9,1494.8,1507.65,1462.0,1499.05,1501.25,1489.0,6495498,202157,4000943,61.6,595.7404127,983.7168580996,0.7617960936975574,60.56015079896924
HDFCBANK, EQ, 30-Nov-2021,1501.25,1495.0,1529.0,1486.55,1490.8,1493.55,1508.6,12610771,257120,9136547,72.45,1378.33948042,944.9059975528,-0.5129059117402195,145.87053992563744
HDFCBANK, EQ, 01-Dec-2021,1493.55,1495.0,1507.05,1489.1,1506.4,1504.65,1500.08,4338817,162233,2602790,59.99,390.43932232,1116.4557324528,0.7431957416892729,34.97132138523965
HDFCBANK, EQ, 02-Dec-2021,1504.65,1504.5,1528.8,1500.0,1526.0,1525.75,1519.11,5601555,187845,3834955,68.46,582.5718490049999,790.8973059831999,1.4023194762901612,73.65960720788885
HDFCBANK, EQ, 03-Dec-2021,1525.75,1525.8,1535.95,1507.05,1514.0,1513.55,1522.48,4062347,143318,2722337,67.01,414.470363576,802.6336258954,-0.7996067507783087,51.63879884967767
HDFCBANK, EQ, 06-Dec-2021,1513.55,1513.0,1518.8,1497.35,1504.7,1503.8,1507.25,3514766,141743,1870296,53.21,281.9003646,672.3122856042,-0.6441808992104655,41.929973709562525
HDFCBANK, EQ, 07-Dec-2021,1503.8,1513.95,1532.0,1509.9,1524.65,1525.7,1523.82,6213767,148533,4333305,69.74,660.3176825099999,609.5442759842,1.4563106796116565,108.32973231416516
HDFCBANK, EQ, 08-Dec-2021,1525.7,1536.0,1555.05,1534.0,1553.5,1553.8,1545.2,7647767,229215,5641750,73.77,871.76321,465.9399164021999,1.841777544733559,187.09777362098612
HDFCBANK, EQ, 09-Dec-2021,1553.8,1545.2,1554.7,1522.0,1526.0,1526.85,1530.57,5873872,148558,3900369,66.4,596.978778033,562.2046939382,-1.7344574591324526,106.18530660980619
HDFCBANK, EQ, 10-Dec-2021,1526.85,1524.9,1528.0,1508.45,1524.0,1522.55,1521.33,3889692,123564,2503457,64.36,380.858423781,565.0860797437999,-0.28162556898188784,67.39830221152758
HDFCBANK, EQ, 13-Dec-2021,1522.55,1526.0,1537.65,1507.2,1513.2,1511.15,1523.63,5161071,143473,3012915,58.38,459.0567681450001,558.3636917848,-0.7487438836162927,82.21465236710377
