SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
HEROMOTOCO, EQ, 14-Oct-2021,2925.2,2934.0,2944.15,2900.0,2930.2,2927.8,2924.92,572466,34921,338582,59.14,99.032526344,,,
HEROMOTOCO, EQ, 18-Oct-2021,2927.8,2939.0,2950.0,2896.2,2900.0,2904.1,2924.83,440831,34738,220415,50.0,64.46764044499999,,,
HEROMOTOCO, EQ, 19-Oct-2021,2904.1,2904.1,2930.0,2865.5,2870.0,2876.05,2900.66,447221,25776,209927,46.94,60.892685181999994,,,
HEROMOTOCO, EQ, 20-Oct-2021,2876.05,2863.0,2876.0,2802.0,2818.0,2816.0,2827.77,424722,35736,156383,36.82,44.221515591,,,
HEROMOTOCO, EQ, 21-Oct-2021,2816.0,2835.0,2835.0,2725.0,2762.0,2756.9,2764.94,737326,55098,287466,38.99,79.48262420399999,,,
HEROMOTOCO, EQ, 22-Oct-2021,2756.9,2774.0,2800.0,2727.45,2744.9,2744.15,2762.22,387942,26868,126202,32.53,34.859768844,69.6193983532,-0.4624759693859044,50.07191913257564
HEROMOTOCO, EQ, 25-Oct-2021,2744.15,2743.95,2754.85,2679.05,2685.15,2686.8,2699.15,326076,27788,137650,42.21,37.15379975,56.784846853199994,-2.0899003334365798,65.42907449596524
HEROMOTOCO, EQ, 26-Oct-2021,2686.8,2696.9,2708.0,2685.0,2705.0,2700.5,2696.65,282346,22913,124160,43.97,33.4816064,51.322078714199996,0.5099002530891699,65.23821177713944
HEROMOTOCO, EQ, 27-Oct-2021,2700.5,2713.95,2729.35,2682.0,2686.65,2690.15,2708.24,444512,30420,260953,58.71,70.672335272,45.839862957799994,-0.3832623588224369,154.17222197426875
HEROMOTOCO, EQ, 28-Oct-2021,2690.15,2713.8,2713.8,2660.0,2667.7,2667.75,2683.74,366561,27426,166792,45.5,44.762636207999996,51.130026894,-0.8326673233834578,87.54667057148136
HEROMOTOCO, EQ, 29-Oct-2021,2667.75,2681.0,2702.85,2639.0,2660.0,2657.1,2669.57,614962,34791,381362,62.01,101.807255434,44.1860292948,-0.399212819791963,230.40598365325647
