SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
HINDPETRO, EQ, 14-Oct-2021,325.8,322.0,335.8,321.75,331.9,331.35,331.85,4153260,43163,1840717,44.32,61.084193645000006,,,
HINDPETRO, EQ, 18-Oct-2021,331.35,334.35,339.7,330.5,331.15,331.7,335.31,3662289,41052,1549335,42.31,51.950751885,,,
HINDPETRO, EQ, 19-Oct-2021,331.7,335.5,336.9,322.05,323.15,323.4,330.35,5494855,63798,3123059,56.84,103.17025406500001,,,
HINDPETRO, EQ, 20-Oct-2021,323.4,325.5,328.55,315.5,319.15,317.3,320.47,5619163,60459,3262430,58.06,104.55109421000002,,,
HINDPETRO, EQ, 21-Oct-2021,317.3,320.45,330.0,319.85,321.95,322.8,325.26,6521962,87159,2014041,30.88,65.508697566,,,
HINDPETRO, EQ, 22-Oct-2021,322.8,325.0,329.4,322.3,327.6,327.85,326.42,4137663,52602,2144383,51.83,69.996949886,77.25299827420001,1.5644361833952947,90.60742165314339
HINDPETRO, EQ, 25-Oct-2021,327.85,331.5,331.5,321.3,323.5,323.05,324.62,3393396,55562,1371073,40.4,44.507771726,79.0355495224,-1.4640841848406316,56.31361076750121
HINDPETRO, EQ, 26-Oct-2021,323.05,323.05,335.9,318.4,332.55,332.4,331.61,5726988,56661,2107764,36.8,69.89556200400001,77.54695349059999,2.894288809781757,90.13321459813704
HINDPETRO, EQ, 27-Oct-2021,332.4,333.05,339.6,331.45,333.1,333.9,336.45,3857496,45399,1264580,32.78,42.5467941,70.8920150784,0.45126353790613716,60.016341830525185
HINDPETRO, EQ, 28-Oct-2021,333.9,335.0,335.45,315.05,318.25,317.05,323.16,4501801,39395,2247699,49.93,72.636640884,58.4911550564,-5.046421084156924,124.18397416491476
HINDPETRO, EQ, 29-Oct-2021,317.05,317.0,320.0,306.4,311.4,310.4,314.05,4078422,45898,1771647,43.44,55.638574035000005,59.91674372,-2.09746096830154,92.85980942991074
HINDPETRO, EQ, 01-Nov-2021,310.4,315.05,315.05,308.5,311.9,311.95,311.65,3398520,45881,1824061,53.67,56.846861065,57.0450685498,0.49935567010309645,99.65254229710152
HINDPETRO, EQ, 02-Nov-2021,311.95,313.0,314.9,302.3,303.5,303.45,308.41,4143739,52025,1653181,39.9,50.985755221000005,59.51288641760001,-2.7247956403269753,85.67179024595548
HINDPETRO, EQ, 03-Nov-2021,303.45,304.6,317.0,303.2,314.4,314.2,313.04,7588744,85025,2708634,35.69,84.791078736,55.73092506099999,3.5425935079914317,152.14367721905276
HINDPETRO, EQ, 08-Nov-2021,321.9,326.45,347.0,322.5,346.3,345.8,338.03,14363175,164860,3503485,24.39,118.42830345499999,64.1797819882,10.057288351368562,184.52587370392445
HINDPETRO, EQ, 09-Nov-2021,345.8,347.2,348.7,341.85,343.85,344.55,345.1,3978587,56073,1421883,35.74,49.069182330000004,73.3381145024,-0.3614806246385193,66.90815909699207
HINDPETRO, EQ, 10-Nov-2021,344.55,343.95,349.75,342.25,344.65,346.05,345.56,3326814,38523,1606847,48.3,55.526204932000006,72.0242361614,0.43535045711798,77.0937782770381
HINDPETRO, EQ, 11-Nov-2021,346.05,344.0,347.8,339.6,343.0,342.5,342.71,2775400,37545,1340074,48.28,45.92567605399999,71.7601049348,-1.0258633145499236,63.99889757090974
HINDPETRO, EQ, 12-Nov-2021,342.5,344.2,349.5,343.95,346.8,347.0,346.75,3404889,32667,1867786,54.86,64.76547955,70.7480891014,1.313868613138686,91.54378637304903
HINDPETRO, EQ, 15-Nov-2021,347.0,350.0,354.8,348.2,350.6,351.35,352.29,4922997,63738,2154896,43.77,75.91483118400001,66.7429692642,1.2536023054755108,113.74206455138889
HINDPETRO, EQ, 16-Nov-2021,351.35,352.6,352.6,336.2,337.35,337.5,341.38,4028368,61540,2236679,55.52,76.355747702,58.24027481,-3.941938238223999,131.10471739891162
HINDPETRO, EQ, 17-Nov-2021,337.5,337.95,337.95,325.35,326.0,326.0,330.26,3630912,44343,1657718,45.66,54.747794668,63.6975878844,-3.4074074074074074,85.94955709682081
HINDPETRO, EQ, 18-Nov-2021,326.0,327.0,329.7,321.5,323.4,323.7,325.46,3187770,40759,1449554,45.47,47.177184483999994,63.541905831600005,-0.7055214723926415,74.24578137305149
HINDPETRO, EQ, 22-Nov-2021,323.7,323.7,326.65,314.15,317.8,316.95,319.13,3209866,33463,1661913,51.78,53.036629569,63.792207517600005,-2.0852641334569046,83.13966804545431
HINDPETRO, EQ, 23-Nov-2021,316.95,314.0,320.45,313.8,318.6,318.6,317.66,2633340,34243,1353883,51.41,43.007447378,61.4464375214,0.5205868433506969,69.99176699710502
HINDPETRO, EQ, 24-Nov-2021,318.6,319.9,331.2,319.5,322.8,324.1,326.42,4086300,58794,1616171,39.55,52.755053782000005,54.864960760200006,1.726302573760201,96.15436346082186
HINDPETRO, EQ, 25-Nov-2021,324.1,325.05,326.15,314.45,318.3,316.1,317.36,4110270,40652,2224750,54.13,70.604666,50.1448219762,-2.4683739586547357,140.8015089444544
HINDPETRO, EQ, 26-Nov-2021,316.1,316.1,316.1,300.75,302.75,302.2,305.79,3785300,45156,1714708,45.3,52.43405593200001,53.31619624259999,-4.397342613097131,98.34545527856852
HINDPETRO, EQ, 29-Nov-2021,302.2,300.0,301.85,292.05,297.1,296.45,297.44,3345886,50184,1670410,49.92,49.684675039999995,54.36757053220001,-1.9027134348113834,91.3866015230044
HINDPETRO, EQ, 30-Nov-2021,296.45,296.25,316.4,293.1,294.8,295.1,296.48,6009043,55597,3200534,53.26,94.889432032,53.6971796264,-0.45538876707706727,176.7121340304957
HINDPETRO, EQ, 01-Dec-2021,295.1,295.2,300.7,290.65,297.75,297.75,296.07,2571114,45387,1038377,40.39,30.743227839,64.0735765572,0.8980006777363528,47.98113277093997
HINDPETRO, EQ, 02-Dec-2021,297.75,297.8,303.95,292.55,300.6,300.55,299.99,3796232,47664,1512284,39.84,45.367007716,59.6712113686,0.940386230058778,76.0283002062078
HINDPETRO, EQ, 03-Dec-2021,300.55,303.0,304.7,297.5,298.85,298.5,302.05,2642885,31142,659899,24.97,19.932249295000002,54.6236797118,-0.6820828481117988,36.490125528277375
HINDPETRO, EQ, 06-Dec-2021,298.5,298.8,302.7,294.1,299.6,298.05,298.81,1676226,25429,438339,26.15,13.098007659,48.123318384399994,-0.15075376884421732,27.21759034648356
HINDPETRO, EQ, 07-Dec-2021,298.05,299.5,308.8,298.7,304.0,304.05,305.17,3178260,42615,740949,23.31,22.611540633,40.805984908199996,2.0130850528434827,55.4123143550352
HINDPETRO, EQ, 08-Dec-2021,304.05,303.8,306.9,300.3,302.0,301.75,303.31,2307251,33526,819935,35.54,24.869448485,26.350406628400002,-0.7564545305048549,94.37975222058299
HINDPETRO, EQ, 09-Dec-2021,301.75,303.3,307.15,300.5,305.7,305.45,303.9,4045998,37677,1446159,35.74,43.94877201,25.175650757600003,1.2261806130903028,174.56856401907618
HINDPETRO, EQ, 10-Dec-2021,305.45,303.15,309.4,303.15,307.0,307.35,306.97,1642287,16723,680285,41.42,20.882708645,24.8920036164,0.6220330659682548,83.89324124652428
HINDPETRO, EQ, 13-Dec-2021,307.35,310.0,312.1,298.75,300.4,299.6,303.88,3048551,37512,1247107,40.91,37.897087516,25.0820954864,-2.52155523019359,151.0921905888945
HINDPETRO, EQ, 14-Dec-2021,299.6,300.2,303.95,297.65,300.75,301.25,301.14,3456986,38198,1459745,42.23,43.95876093,30.0419114578,0.5507343124165478,146.3247802715518
HINDPETRO, EQ, 15-Dec-2021,301.25,301.65,307.7,299.55,301.0,300.5,304.29,4337986,60506,1836471,42.33,55.881976059,34.3113555172,-0.24896265560165973,162.86729339791555
HINDPETRO, EQ, 16-Dec-2021,300.5,302.0,304.0,296.75,298.35,297.8,299.16,1851934,23934,819203,44.23,24.507276948,40.513861032,-0.8985024958402624,60.49109199600318
HINDPETRO, EQ, 17-Dec-2021,297.8,297.8,298.65,286.6,288.3,287.35,291.12,2730995,36277,968922,35.48,28.207257264,36.6255620196,-3.5090664875755504,77.01522026857913
HINDPETRO, EQ, 20-Dec-2021,287.35,284.7,285.4,274.75,277.0,276.9,278.46,4138327,51581,1251135,30.23,34.83910521,38.090471743399995,-3.636680006960168,91.46409486523788
HINDPETRO, EQ, 21-Dec-2021,276.9,277.1,283.5,277.0,283.5,281.55,280.72,1826393,31478,611354,33.47,17.161929488000002,37.4788752822,1.679306608884086,45.79094051990079
HINDPETRO, EQ, 22-Dec-2021,281.55,283.1,290.1,280.6,290.0,288.15,285.71,3816836,48996,1618525,42.4,46.242877775,32.119508993800004,2.3441662226957787,143.97130972309137
HINDPETRO, EQ, 23-Dec-2021,288.15,291.0,297.6,290.55,294.6,294.8,294.3,3804226,38618,2027310,53.29,59.6637333,30.191689337000003,2.307825785181341,197.6164123644513
HINDPETRO, EQ, 24-Dec-2021,294.8,294.9,296.0,290.1,291.05,291.65,292.73,1499093,17992,596344,39.78,17.456777912,37.222980607400004,-1.0685210312076099,46.897850809211015
HINDPETRO, EQ, 27-Dec-2021,291.65,291.0,291.65,286.0,290.25,290.75,289.03,908345,23452,257203,28.32,7.433938308999999,35.072884736999995,-0.30858906223211974,21.195685398405786
HINDPETRO, EQ, 28-Dec-2021,290.75,291.2,295.4,290.75,293.75,294.25,293.96,973947,29657,497609,51.09,14.627714163999999,29.591851356800003,1.2037833190025795,49.43156137014946
HINDPETRO, EQ, 29-Dec-2021,294.25,294.5,296.45,290.3,291.35,292.4,292.42,1797810,27272,1137325,63.26,33.25765765,29.085008292000005,-0.6287170773152159,114.34639218977875
HINDPETRO, EQ, 30-Dec-2021,292.4,292.0,293.5,287.75,288.4,288.65,289.7,1319776,18407,590630,44.75,17.1105511,26.487964266999995,-1.2824897400820796,64.59745614092799
HINDPETRO, EQ, 31-Dec-2021,288.65,290.65,294.65,287.6,292.15,292.35,292.37,1210196,20679,536136,44.3,15.675008232,17.977327826999996,1.2818292049194686,87.1932045899382
