SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ICRA, EQ, 14-Oct-2021,3491.65,3495.0,3600.0,3492.85,3556.0,3575.35,3544.21,3669,656,2458,66.99,0.871166818,,,
ICRA, EQ, 18-Oct-2021,3575.35,3600.0,3829.0,3600.0,3730.0,3693.65,3713.05,13382,2050,7531,56.28,2.796297955,,,
ICRA, EQ, 19-Oct-2021,3693.65,3749.0,3814.0,3555.05,3711.0,3733.0,3736.43,7910,1401,4580,57.9,1.7112849399999999,,,
ICRA, EQ, 20-Oct-2021,3733.0,3747.55,3747.55,3610.25,3682.85,3675.55,3668.18,2656,645,1416,53.31,0.519414288,,,
ICRA, EQ, 21-Oct-2021,3675.55,3680.25,3700.0,3545.05,3580.0,3570.7,3633.89,4077,637,2077,50.94,0.754758953,,,
ICRA, EQ, 22-Oct-2021,3570.7,3550.0,3740.0,3550.0,3677.0,3664.05,3674.6,6396,1656,1201,18.78,0.44131945999999994,1.3305845907999998,2.614333323998106,33.16733585007634
ICRA, EQ, 25-Oct-2021,3664.05,3710.0,3710.0,3506.65,3548.0,3543.85,3579.24,1677,631,726,43.29,0.259852824,1.2446151192,-3.280522918628301,20.878167072807642
ICRA, EQ, 26-Oct-2021,3543.85,3550.0,3688.0,3550.0,3640.0,3659.85,3614.56,5409,1373,1600,29.58,0.5783296,0.7373260929999998,3.273276239118473,78.43606858492123
ICRA, EQ, 27-Oct-2021,3659.85,3681.0,3681.0,3555.0,3555.0,3562.6,3598.64,1915,609,985,51.44,0.35446604,0.510735025,-2.657212727297567,69.40311955304026
ICRA, EQ, 28-Oct-2021,3562.6,3540.15,3600.0,3540.0,3550.0,3551.6,3568.56,1752,347,1172,66.89,0.41823523199999996,0.47774537539999995,-0.30876326278560606,87.5435438071642
ICRA, EQ, 29-Oct-2021,3551.6,3526.0,3526.0,3415.05,3437.0,3455.2,3480.49,3907,483,2848,72.89,0.9912435519999999,0.4104406311999999,-2.714269624957768,241.50716977067162
ICRA, EQ, 01-Nov-2021,3455.2,3507.05,3515.0,3418.0,3500.0,3500.05,3477.78,1155,313,758,65.63,0.263615724,0.5204254496,1.2980435285945926,50.65388793008019
ICRA, EQ, 02-Nov-2021,3500.05,3490.45,3550.0,3481.3,3512.0,3531.3,3522.0,1073,229,797,74.28,0.2807034,0.5211780295999999,0.8928443879373151,53.859407737397845
ICRA, EQ, 03-Nov-2021,3531.3,3490.05,3549.0,3451.0,3495.3,3498.6,3492.78,3588,776,1724,48.05,0.6021552720000001,0.4616527896,-0.9260045875456707,130.43466552465517
ICRA, EQ, 08-Nov-2021,3514.0,3537.0,3537.0,3463.0,3515.0,3524.35,3515.39,816,235,537,65.81,0.188776443,0.5111906359999999,0.7360086891899618,36.92877562804183
ICRA, EQ, 09-Nov-2021,3524.35,3520.85,3548.95,3508.1,3525.0,3525.35,3534.66,748,297,529,70.72,0.186983514,0.46529887819999993,0.028374026416218594,40.18567908939352
ICRA, EQ, 10-Nov-2021,3525.35,3514.4,3570.75,3485.0,3550.0,3536.5,3524.99,1290,353,896,69.46,0.315839104,0.30444687060000003,0.3162806529848126,103.74194465443125
ICRA, EQ, 11-Nov-2021,3536.5,3536.5,3589.0,3503.65,3518.2,3520.8,3550.35,3976,645,1484,37.32,0.5268719399999999,0.3148915466,-0.44394175031810595,167.31854052254823
ICRA, EQ, 12-Nov-2021,3520.8,3521.75,3602.05,3520.8,3529.1,3531.1,3557.92,1570,470,975,62.1,0.3468972,0.3641252546,0.29254714837536144,95.2686460545217
ICRA, EQ, 15-Nov-2021,3531.1,3532.0,3580.0,3490.0,3515.0,3517.6,3542.25,1810,452,1044,57.68,0.3698109,0.3130736402,-0.3823171249752202,118.12265630659759
ICRA, EQ, 16-Nov-2021,3517.6,3501.7,3586.95,3501.65,3545.0,3542.65,3559.26,2073,370,1468,70.82,0.5224993680000001,0.3492805316,0.7121332726859274,149.59304075910313
ICRA, EQ, 17-Nov-2021,3542.65,3528.15,3717.2,3528.15,3677.0,3665.4,3651.52,9026,1575,4400,48.75,1.6066688,0.4163837024,3.464920328003048,385.8625567569765
ICRA, EQ, 18-Nov-2021,3665.4,3665.5,3755.0,3563.05,3725.0,3707.55,3700.18,7514,1097,3928,52.28,1.4534307039999999,0.6745496416,1.1499427074807687,215.4668262149737
