SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
IDFC, EQ, 14-Oct-2021,53.4,53.65,55.2,53.3,54.3,54.2,54.55,9334825,19096,3755695,40.23,20.487316225,,,
IDFC, EQ, 18-Oct-2021,54.2,55.2,55.95,54.55,54.8,54.85,55.24,6928395,19260,3239913,46.76,17.897279412,,,
IDFC, EQ, 19-Oct-2021,54.85,55.3,55.55,51.5,51.85,52.05,53.08,7525022,18644,4516289,60.02,23.972462012,,,
IDFC, EQ, 20-Oct-2021,52.05,52.1,52.75,50.55,52.15,52.0,51.96,5940701,17582,2346248,39.49,12.191104608,,,
IDFC, EQ, 21-Oct-2021,52.0,52.0,52.7,51.85,52.7,52.45,52.21,3452742,8598,1844351,53.42,9.629356571,,,
IDFC, EQ, 22-Oct-2021,52.45,53.5,55.0,52.8,53.9,54.2,54.01,9584732,19538,4000939,41.74,21.609071539,16.835503765600002,3.336510962821735,128.35417246708013
IDFC, EQ, 25-Oct-2021,54.2,54.35,54.65,52.1,52.55,52.4,52.78,5547248,10629,3165891,57.07,16.709572698,17.0598548284,-3.321033210332111,97.94674612461019
IDFC, EQ, 26-Oct-2021,52.4,54.15,57.0,54.0,56.75,56.6,56.06,24585387,51013,10285308,41.84,57.659436648,16.8223134856,8.015267175572523,342.7556899195633
IDFC, EQ, 27-Oct-2021,56.6,57.2,60.25,56.35,58.55,58.55,58.22,18093360,36135,7711329,42.62,44.895357438,23.5597084128,3.445229681978791,190.55990274314402
IDFC, EQ, 28-Oct-2021,58.55,58.0,58.2,55.2,56.0,55.75,56.65,9071469,20901,4665811,51.43,26.431819315000002,30.100558978800002,-4.782237403928262,87.81172247869577
IDFC, EQ, 29-Oct-2021,55.75,55.7,55.95,53.5,55.6,55.1,54.61,10535251,22975,4806106,45.62,26.246144865999998,33.4610515276,-1.1659192825112081,78.4378962040423
IDFC, EQ, 01-Nov-2021,55.1,55.7,57.2,55.15,56.85,56.8,56.57,6131306,21546,2573051,41.97,14.555749507,34.388466193000006,3.0852994555353823,42.327417062767736
IDFC, EQ, 02-Nov-2021,56.8,57.0,58.8,56.35,57.85,58.05,57.39,6321684,25850,2721524,43.05,15.618826236000002,33.9577015548,2.200704225352113,45.99494524326027
IDFC, EQ, 03-Nov-2021,58.05,58.0,58.45,55.0,55.5,55.55,56.48,5561256,16551,2265967,40.75,12.798181615999999,25.5495794724,-4.3066322136089585,50.09155485249872
