SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
IEX, EQ, 14-Oct-2021,793.7,800.0,802.0,784.15,792.5,793.1,793.57,6671011,128559,1746317,26.18,138.582478169,,,
IEX, EQ, 18-Oct-2021,793.1,797.8,808.2,791.2,798.45,796.9,798.34,7581659,145254,2680924,35.36,214.02888661600002,,,
IEX, EQ, 19-Oct-2021,796.9,876.55,956.0,786.8,845.2,845.35,904.2,65364603,1134855,11664454,17.85,1054.69993068,,,
IEX, EQ, 20-Oct-2021,845.35,844.0,844.0,756.55,792.8,789.45,787.66,36297977,896128,5964420,16.43,469.79350572,,,
IEX, EQ, 21-Oct-2021,789.45,798.4,812.2,742.55,758.5,757.95,766.06,18379679,449379,3577483,19.46,274.056662698,,,
IEX, EQ, 22-Oct-2021,757.95,833.7,833.7,760.0,763.7,764.6,790.08,33058060,676616,6554209,19.83,517.834944672,430.23229277660005,0.8773665809090279,120.3617100264689
IEX, EQ, 25-Oct-2021,764.6,774.0,774.0,690.55,696.4,699.0,712.7,16682416,510557,4592797,27.53,327.32864219,506.0827860772,-8.579649489929379,64.67887294235452
IEX, EQ, 26-Oct-2021,699.0,700.0,750.45,700.0,742.0,732.0,734.86,15221211,341593,3026030,19.88,222.37084058000002,528.742737192,4.721030042918455,42.0565286174799
IEX, EQ, 27-Oct-2021,732.0,740.0,747.0,730.0,737.3,737.0,738.01,6222966,128804,1292648,20.77,95.398715048,362.276919172,0.6830601092896175,26.333092173257405
IEX, EQ, 28-Oct-2021,737.0,735.0,749.7,705.6,713.0,710.4,720.3,11596480,318494,2852816,24.6,205.48833648,287.3979610376,-3.6092265943012243,71.49958049045316
