SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
IIFLSEC, EQ, 14-Oct-2021,114.55,115.45,117.2,111.4,114.8,114.45,114.32,737257,6986,476485,64.63,5.447176519999999,,,
IIFLSEC, EQ, 18-Oct-2021,114.45,115.65,117.25,114.5,115.25,114.9,115.85,468119,5284,312032,66.66,3.6148907199999996,,,
IIFLSEC, EQ, 19-Oct-2021,114.9,115.9,116.4,106.0,107.4,107.6,110.4,846693,10233,461906,54.55,5.099442240000001,,,
IIFLSEC, EQ, 20-Oct-2021,107.6,108.0,110.0,101.9,106.3,105.5,106.21,715476,8753,346940,48.49,3.6848497399999998,,,
IIFLSEC, EQ, 21-Oct-2021,105.5,109.25,113.5,104.45,105.0,105.05,108.39,1888015,20738,590107,31.26,6.396169773,,,
IIFLSEC, EQ, 22-Oct-2021,105.05,105.5,108.0,100.0,101.7,102.0,104.09,690161,7948,353790,51.26,3.68260011,4.8485057986,-2.9033793431699166,75.95329907748788
IIFLSEC, EQ, 25-Oct-2021,102.0,102.9,102.9,96.8,97.15,97.1,98.29,504881,5434,281957,55.85,2.771355353,4.4955905166,-4.803921568627457,61.64608059312232
IIFLSEC, EQ, 26-Oct-2021,97.1,97.5,100.9,96.35,99.4,99.5,98.67,551659,5677,291717,52.88,2.878371639,4.3268834432,2.471678681771376,66.52297610474261
IIFLSEC, EQ, 27-Oct-2021,99.5,100.0,101.9,99.1,99.6,99.65,100.45,243647,2998,135837,55.75,1.364482665,3.8826693230000004,0.1507537688442268,35.14290173817102
IIFLSEC, EQ, 28-Oct-2021,99.65,99.7,100.55,96.0,97.0,96.7,97.72,295955,3523,179582,60.68,1.7548753039999998,3.4185959080000003,-2.960361264425492,51.33321840973781
IIFLSEC, EQ, 29-Oct-2021,96.7,96.7,98.45,94.2,96.8,96.15,96.6,281077,4012,146677,52.18,1.41689982,2.4903370142000005,-0.5687693898655606,56.89590653476944
IIFLSEC, EQ, 01-Nov-2021,96.15,96.95,99.55,96.9,99.5,98.65,98.37,205281,2695,113216,55.15,1.113705792,2.0371969562,2.6001040041601664,54.66853799337127
IIFLSEC, EQ, 02-Nov-2021,98.65,100.0,100.95,98.05,98.9,99.05,99.11,214785,2994,103122,48.01,1.022042142,1.7056670439999997,0.4054738976178322,59.9203781063381
IIFLSEC, EQ, 03-Nov-2021,99.05,99.05,100.0,97.7,98.9,98.15,98.7,169420,2258,91362,53.93,0.90174294,1.3344011446,-0.908632004038356,67.57660120790038
IIFLSEC, EQ, 08-Nov-2021,99.3,100.3,101.25,99.1,100.0,99.9,100.2,260405,2887,152186,58.44,1.5249037200000002,1.2418531996,1.7829852266938357,122.79259098347298
IIFLSEC, EQ, 09-Nov-2021,99.9,99.9,101.0,99.15,99.9,99.8,100.06,311659,3211,212153,68.07,2.122802918,1.1958588828,-0.10010010010010863,177.5128276866281
IIFLSEC, EQ, 10-Nov-2021,99.8,99.8,102.75,98.0,98.5,98.55,100.41,549307,6188,298787,54.39,3.000120267,1.3370395024000001,-1.25250501002004,224.38531259658015
IIFLSEC, EQ, 11-Nov-2021,98.55,98.55,101.0,97.25,99.0,98.8,98.68,270375,3234,144181,53.33,1.422778108,1.7143223974000001,0.2536783358701167,82.99361369587388
IIFLSEC, EQ, 12-Nov-2021,98.8,99.8,99.8,97.75,98.5,98.35,98.54,239843,2365,134958,56.27,1.329876132,1.7944695905999999,-0.4554655870445373,74.10970567382766
IIFLSEC, EQ, 15-Nov-2021,98.35,99.35,99.35,97.15,97.4,97.4,97.9,197826,2539,125524,63.45,1.2288799600000002,1.880096229,-0.9659379766141217,65.36260969225103
IIFLSEC, EQ, 16-Nov-2021,97.4,97.95,99.2,97.0,97.9,97.4,98.0,224001,2833,109510,48.89,1.073198,1.820891477,0.0,58.93805389040217
IIFLSEC, EQ, 17-Nov-2021,97.4,97.5,98.4,96.0,96.9,96.55,96.98,226281,3347,140009,61.87,1.357807282,1.6109704934,-0.8726899383983661,84.28504976117274
IIFLSEC, EQ, 18-Nov-2021,96.55,97.0,97.65,94.15,94.8,94.8,95.33,246548,2854,154750,62.77,1.47523175,1.2825078963999998,-1.8125323666494046,115.02710853796505
IIFLSEC, EQ, 22-Nov-2021,94.8,95.0,95.25,90.0,93.0,92.8,93.11,325121,4726,188597,58.01,1.7560266669999998,1.2929986248,-2.109704641350211,135.81040484645686
IIFLSEC, EQ, 23-Nov-2021,92.8,92.5,96.75,88.7,95.8,94.75,93.12,297525,3129,157631,52.98,1.467859872,1.3782287318,2.101293103448279,106.50335739866195
IIFLSEC, EQ, 24-Nov-2021,94.75,96.6,96.6,93.3,93.6,93.65,94.83,203823,3166,94153,46.19,0.892852899,1.4260247142,-1.1609498680738728,62.61132013415984
IIFLSEC, EQ, 25-Nov-2021,93.65,93.65,94.05,92.3,93.4,93.0,93.13,141037,2167,76043,53.92,0.7081884589999999,1.389955694,-0.6940736785905025,50.95043403592114
IIFLSEC, EQ, 26-Nov-2021,93.0,93.05,93.15,86.65,87.25,87.9,90.01,303289,4417,185528,61.17,1.6699375280000002,1.2600319293999998,-5.48387096774193,132.53136599444656
IIFLSEC, EQ, 29-Nov-2021,87.9,86.0,89.6,84.0,85.6,85.8,86.42,240261,3706,115816,48.2,1.0008818720000001,1.2989730849999999,-2.3890784982935247,77.05177909825592
IIFLSEC, EQ, 30-Nov-2021,85.8,85.8,91.0,83.55,84.2,84.55,86.92,618550,8026,378141,61.13,3.286801572,1.147944126,-1.456876456876457,286.32069258046795
IIFLSEC, EQ, 01-Dec-2021,84.55,85.8,86.7,82.95,84.9,84.35,84.54,513920,5802,281456,54.77,2.3794290240000002,1.511732466,-0.23654642223536704,157.39749443206045
IIFLSEC, EQ, 02-Dec-2021,84.35,84.5,92.75,84.5,91.4,91.05,89.84,1042893,8688,375266,35.98,3.3713897439999996,1.809047691,7.943094250148196,186.3626791473017
IIFLSEC, EQ, 03-Dec-2021,91.05,91.95,91.95,87.35,88.75,88.75,89.43,496433,5635,227852,45.9,2.0376804360000005,2.341687948,-2.5260845689181735,87.01759078276643
IIFLSEC, EQ, 06-Dec-2021,88.75,89.7,89.7,87.4,88.2,87.8,88.45,191911,2612,108795,56.69,0.962291775,2.4152365296,-1.0704225352112708,39.842548057161515
IIFLSEC, EQ, 07-Dec-2021,87.8,92.0,94.8,89.25,91.0,90.9,91.12,633519,11087,293020,46.25,2.6699982400000004,2.4075185102,3.5307517084282556,110.90250100624128
IIFLSEC, EQ, 08-Dec-2021,90.9,92.6,92.6,91.0,91.65,91.3,91.66,264412,3153,132796,50.22,1.217208136,2.2841578438,0.4400440044004307,53.28914283677578
IIFLSEC, EQ, 09-Dec-2021,91.3,91.95,93.4,91.0,91.3,91.25,91.77,293955,4687,129913,44.19,1.192211601,2.0517136662000004,-0.054764512595834786,58.10808889371523
IIFLSEC, EQ, 10-Dec-2021,91.25,91.5,93.6,89.55,93.1,92.8,91.77,479226,5644,249489,52.06,2.289560553,1.6158780376000004,1.6986301369862984,141.69142099366567
IIFLSEC, EQ, 13-Dec-2021,92.8,95.25,96.15,92.7,93.7,93.8,94.29,509794,5370,180500,35.41,1.7019345,1.666254061,1.0775862068965518,102.14135646148621
IIFLSEC, EQ, 14-Dec-2021,93.8,93.5,94.4,92.25,92.75,92.8,93.07,175657,3017,80197,45.66,0.7463934789999999,1.814182606,-1.0660980810234542,41.14213621779152
IIFLSEC, EQ, 15-Dec-2021,92.8,93.0,97.8,92.1,93.0,92.7,95.56,1147948,13081,393535,34.28,3.76062046,1.4294616538,-0.10775862068964906,263.07949219924717
IIFLSEC, EQ, 16-Dec-2021,92.7,94.2,94.7,91.0,92.45,91.8,92.31,300076,4483,142469,47.48,1.3151313390000001,1.9381441186,-0.9708737864077731,67.85518818641685
IIFLSEC, EQ, 17-Dec-2021,91.8,92.0,92.25,88.8,88.9,89.25,90.14,249542,4751,117528,47.1,1.059397392,1.9627280662,-2.777777777777775,53.97576007822005
IIFLSEC, EQ, 20-Dec-2021,89.25,88.55,89.75,71.45,86.1,85.6,84.89,420138,6226,197566,47.02,1.677137774,1.716695434,-4.089635854341743,97.69570890581166
IIFLSEC, EQ, 21-Dec-2021,85.6,87.0,89.3,85.2,86.4,86.25,87.2,174443,2974,72962,41.83,0.63622864,1.7117360888,0.75934579439253,37.168617531807925
IIFLSEC, EQ, 22-Dec-2021,86.25,87.1,89.7,87.05,89.55,88.7,88.46,193425,3141,94921,49.07,0.839671166,1.6897031210000002,2.840579710144931,49.69341392368772
IIFLSEC, EQ, 23-Dec-2021,88.7,89.55,91.4,88.1,88.55,88.95,89.8,142524,2769,56779,39.84,0.50987542,1.1055132622,0.2818489289740699,46.121149101851096
IIFLSEC, EQ, 24-Dec-2021,88.95,89.85,89.9,87.55,89.5,87.95,88.24,109033,5050,48212,44.22,0.425422688,0.9444620784000002,-1.1242270938729622,45.04391417394995
IIFLSEC, EQ, 27-Dec-2021,87.95,87.95,88.35,86.6,87.5,87.3,87.62,117886,1960,67818,57.53,0.594221316,0.8176671376,-0.7390562819784032,72.67276482997059
IIFLSEC, EQ, 28-Dec-2021,87.3,87.3,89.1,87.3,88.25,88.1,88.33,148804,2730,81846,55.0,0.722945718,0.6010838460000001,0.9163802978235935,120.27368940472239
IIFLSEC, EQ, 29-Dec-2021,88.1,89.85,89.85,87.4,87.75,87.9,88.5,222413,3216,107694,48.42,0.9530919,0.6184272616000001,-0.22701475595912446,154.11544076083464
IIFLSEC, EQ, 30-Dec-2021,87.9,88.7,90.9,87.5,89.5,88.85,89.27,270292,3497,110338,40.82,0.9849873259999999,0.6411114084,1.080773606370863,153.63746660790193
IIFLSEC, EQ, 31-Dec-2021,88.85,89.7,91.8,89.2,91.8,91.1,90.35,275368,4637,144895,52.62,1.309126325,0.7361337896,2.5323579065841306,177.83809729904567
IIFLSEC, EQ, 03-Jan-2022,91.1,89.5,92.5,89.5,91.8,91.6,91.52,279101,3781,145383,52.09,1.330545216,0.912874517,0.5488474204171241,145.75335286744564
IIFLSEC, EQ, 04-Jan-2022,91.6,91.6,93.35,91.2,91.75,91.8,92.31,193512,3369,93681,48.41,0.864769311,1.060139297,0.2183406113537149,81.57129100365759
IIFLSEC, EQ, 05-Jan-2022,91.8,92.25,96.35,91.8,94.3,94.25,94.45,633111,8109,280917,44.37,2.653261065,1.0885040155999999,2.6688453159041425,243.75298822737759
IIFLSEC, EQ, 06-Jan-2022,94.25,94.0,95.55,92.45,94.9,95.05,94.01,361207,4506,189406,52.44,1.7806058060000003,1.4285378486,0.8488063660477423,124.6453363307829
IIFLSEC, EQ, 07-Jan-2022,95.05,95.6,97.6,94.45,96.5,95.85,96.16,587208,8198,353963,60.28,3.403708208,1.5876615446000002,0.8416622830089396,214.38500035330512
IIFLSEC, EQ, 10-Jan-2022,95.85,96.9,97.5,94.6,95.3,95.15,95.51,533462,8519,347957,65.23,3.323337307,2.0065779212,-0.7303077725612819,165.6221406548984
IIFLSEC, EQ, 11-Jan-2022,95.15,95.9,97.4,94.9,95.2,96.05,95.86,408176,4969,244578,59.92,2.344524708,2.4051363394,0.9458749343142318,97.47990871007669
IIFLSEC, EQ, 12-Jan-2022,96.05,96.85,96.85,94.1,94.8,94.75,95.09,267534,3566,153028,57.2,1.455143252,2.7010874188,-1.353461738677769,53.872497493860095
IIFLSEC, EQ, 13-Jan-2022,94.75,95.8,97.0,93.8,96.15,96.15,95.57,488020,5688,232120,47.56,2.21837084,2.4614638562000004,1.4775725593667606,90.12404689235264
IIFLSEC, EQ, 14-Jan-2022,96.15,95.95,98.9,95.05,98.2,97.85,97.38,485752,4702,273601,56.33,2.664326538,2.5490168630000003,1.7680707228289012,104.52369212121606
IIFLSEC, EQ, 17-Jan-2022,97.85,98.9,101.0,97.3,98.9,98.85,99.11,600016,5791,295121,49.19,2.924944231,2.401140529,1.0219724067450178,121.8147874176339
IIFLSEC, EQ, 18-Jan-2022,98.85,100.8,102.85,95.3,97.4,97.1,100.49,995001,9876,349566,35.13,3.5127887339999995,2.3214619138,-1.7703591299949422,151.31795672020814
IIFLSEC, EQ, 19-Jan-2022,97.1,97.45,100.2,96.4,98.85,98.7,98.38,502882,8833,247269,49.17,2.4326324219999997,2.5551147189999996,1.6477857878475888,95.20638756102755
IIFLSEC, EQ, 20-Jan-2022,98.7,99.4,102.45,98.5,101.9,101.4,101.01,1078706,8724,381574,35.37,3.854278974,2.7506125529999994,2.735562310030398,140.12438683144484
IIFLSEC, EQ, 21-Jan-2022,101.4,101.9,103.7,98.5,99.95,99.6,101.89,2000388,15780,690501,34.52,7.035514689,3.0777941797999997,-1.775147928994094,228.5895117735644
IIFLSEC, EQ, 24-Jan-2022,99.6,100.0,100.45,89.25,92.5,93.45,93.05,1264909,15191,492184,38.91,4.5797721199999994,3.95203181,-6.174698795180715,115.88398930422576
IIFLSEC, EQ, 25-Jan-2022,93.45,94.0,98.1,92.5,95.75,96.05,96.14,743755,9864,292816,39.37,2.8151330239999997,4.2829973878,2.7822364901016523,65.72810508871261
IIFLSEC, EQ, 27-Jan-2022,96.05,95.0,99.7,93.9,95.0,95.75,97.26,617092,7951,238037,38.57,2.315147862,4.143466245799999,-0.31233732431025213,55.87466446352101
IIFLSEC, EQ, 28-Jan-2022,95.75,96.0,99.05,95.6,96.3,96.65,97.47,367787,4881,201501,54.79,1.964030247,4.119969333799999,0.9399477806788572,47.6709918903329
IIFLSEC, EQ, 31-Jan-2022,96.65,97.9,99.2,96.7,98.35,97.95,97.93,365960,4707,220311,60.2,2.157505623,3.7419195883999996,1.3450594930160342,57.65772278186565
