SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
INDIAMART, EQ, 14-Oct-2021,9480.1,9499.95,9676.2,9315.0,9405.0,9428.9,9487.3,210290,39769,58499,27.82,55.49975626999999,,,
INDIAMART, EQ, 18-Oct-2021,9428.9,9502.85,9710.7,9183.0,9218.0,9216.05,9363.66,183408,38277,55540,30.28,52.005767639999995,,,
INDIAMART, EQ, 19-Oct-2021,9216.05,9275.0,9449.7,8300.0,8900.0,8681.7,8944.44,195350,39450,46647,23.88,41.723129268,,,
INDIAMART, EQ, 20-Oct-2021,8681.7,8840.0,9087.95,8360.05,8476.3,8482.3,8594.33,186052,37177,37837,20.34,32.518366420999996,,,
INDIAMART, EQ, 21-Oct-2021,8482.3,8500.0,8647.45,8233.15,8541.6,8573.85,8429.99,175762,29449,57266,32.58,48.275180733999996,,,
INDIAMART, EQ, 22-Oct-2021,8573.85,8023.0,8299.95,7800.0,7885.0,7911.75,8109.16,433979,67954,126873,29.23,102.88334566799999,46.0044400666,-7.7223184450392806,223.63786086529296
INDIAMART, EQ, 25-Oct-2021,7911.75,7911.75,7915.0,7263.7,7362.0,7323.95,7477.37,302086,54615,91997,30.45,68.78956078899999,55.48115794619999,-7.429456188580279,123.98724780709361
INDIAMART, EQ, 26-Oct-2021,7323.95,7369.0,7488.85,7165.0,7286.0,7244.55,7270.04,290566,50344,129161,44.45,93.90056364399999,58.837916576,-1.0841144464394163,159.59192491581535
INDIAMART, EQ, 27-Oct-2021,7244.55,7330.0,7540.0,7245.0,7351.0,7356.7,7408.6,215926,41431,49087,22.73,36.366594819999996,69.2734034512,1.5480602659930518,52.49719662701231
INDIAMART, EQ, 28-Oct-2021,7356.7,7405.0,7412.0,7100.0,7128.0,7123.8,7181.55,197885,38567,107600,54.38,77.273478,70.04304913099999,-3.165821631981726,110.32283568277717
INDIAMART, EQ, 29-Oct-2021,7123.8,7175.0,7299.0,6872.9,7128.05,7146.5,7142.39,139765,29015,41656,29.8,29.752339784000004,75.8427085842,0.31865015862320417,39.229004790841806
INDIAMART, EQ, 01-Nov-2021,7146.5,7248.9,7248.9,7109.85,7210.1,7190.7,7185.21,85996,15130,36538,42.49,26.253320298,61.2165074074,0.6184845728678349,42.886014589630825
INDIAMART, EQ, 02-Nov-2021,7190.7,7250.0,7290.6,7156.7,7170.0,7188.75,7227.32,97522,15512,31600,32.4,22.8383312,52.7092593092,-0.027118361216568878,43.328879022995004
INDIAMART, EQ, 03-Nov-2021,7188.75,7220.0,7456.0,7200.2,7318.0,7330.9,7360.92,161403,28723,50232,31.12,36.975373344,38.4968128204,1.9773952356111928,96.04788198052132
INDIAMART, EQ, 08-Nov-2021,7391.8,7411.0,7450.0,7126.3,7184.9,7182.2,7196.14,176361,31222,87015,49.34,62.617212210000005,38.6185685252,-2.028400332837712,162.14275826702388
INDIAMART, EQ, 09-Nov-2021,7182.2,7180.0,7298.8,7100.0,7210.0,7212.6,7173.45,274823,30755,139570,50.79,100.11984165,35.68731536720001,0.4232686363509864,280.54741753429715
INDIAMART, EQ, 10-Nov-2021,7212.6,7210.0,7678.9,7195.15,7600.0,7597.35,7500.16,514053,69264,111995,21.79,83.99804191999999,49.760815740400005,5.3344147741452455,168.8035870597743
INDIAMART, EQ, 11-Nov-2021,7597.35,7625.0,7640.0,7475.1,7530.0,7511.65,7525.86,98007,14769,30322,30.94,22.819912692,61.3097600648,-1.128024903420281,37.22068503918624
INDIAMART, EQ, 12-Nov-2021,7511.65,7551.0,7762.95,7502.0,7536.0,7544.1,7610.76,202449,29828,31322,15.47,23.838422472,61.3060763632,0.431995633449385,38.884273608985055
INDIAMART, EQ, 15-Nov-2021,7544.1,7550.0,7699.0,7496.85,7670.0,7666.9,7590.88,138425,19233,28544,20.62,21.667407872,58.6786861888,1.627762092231005,36.92551636600149
INDIAMART, EQ, 16-Nov-2021,7666.9,7691.0,7874.45,7605.0,7770.0,7763.3,7792.62,254312,35046,60539,23.81,47.175742218,50.4887253212,1.2573530370814874,93.43817241943938
INDIAMART, EQ, 17-Nov-2021,7763.3,7768.0,7928.8,7723.8,7819.0,7810.05,7842.54,142069,19718,38738,27.27,30.380431452,39.899905434800004,0.6021923666482037,76.14161267034663
INDIAMART, EQ, 18-Nov-2021,7810.05,7840.0,7898.4,7556.0,7650.0,7625.4,7679.85,102788,15860,23289,22.66,17.885602665,29.176383341200005,-2.3642614323852027,61.30164405861682
INDIAMART, EQ, 22-Nov-2021,7625.4,7625.4,7750.0,7136.45,7612.35,7520.35,7440.95,206082,27905,56019,27.18,41.683457805,28.189521335800002,-1.3776326487790709,147.86862575088506
INDIAMART, EQ, 23-Nov-2021,7520.35,7512.35,7599.0,7404.15,7504.15,7503.2,7510.45,143189,20370,38799,27.1,29.139794955000003,31.758528402399996,-0.22804789670694245,91.75423554196517
INDIAMART, EQ, 24-Nov-2021,7503.2,7484.0,7598.75,7291.0,7322.95,7343.2,7432.21,70165,15156,23860,34.01,17.73325306,33.25300581900001,-2.132423499306962,53.3282710036024
INDIAMART, EQ, 25-Nov-2021,7343.2,7339.95,7380.95,7202.05,7285.0,7258.05,7258.61,87421,21440,31119,35.6,22.588068459,27.364507987400003,-1.1595762065584436,82.54512914831388
INDIAMART, EQ, 26-Nov-2021,7258.05,7279.9,7380.0,7177.0,7280.0,7297.05,7286.8,100244,16910,32349,32.27,23.57206932,25.8060353888,0.5373344080021494,91.3432418612835
INDIAMART, EQ, 29-Nov-2021,7297.05,7080.0,7449.5,6976.15,7360.0,7355.55,7282.2,106707,20119,27122,25.42,19.75078284,26.9433287198,0.80169383517997,73.30490989216796
INDIAMART, EQ, 30-Nov-2021,7355.55,7360.0,7500.0,7340.0,7445.0,7459.9,7430.58,99600,15690,37299,37.45,27.715320342000002,22.5567937268,1.4186566606168058,122.86905966192836
INDIAMART, EQ, 01-Dec-2021,7459.9,7430.1,7496.4,7382.0,7410.0,7415.5,7420.32,53300,11173,24085,45.19,17.871840719999998,22.2718988042,-0.5951822410488028,80.24390231438082
INDIAMART, EQ, 02-Dec-2021,7415.5,7399.0,7438.6,7335.0,7400.0,7367.6,7399.58,40110,9064,14766,36.81,10.926219828,22.299616336199996,-0.6459443058458585,48.997344453244985
INDIAMART, EQ, 03-Dec-2021,7367.6,7399.2,7450.0,7150.15,7175.0,7163.85,7241.48,110731,23555,45275,40.89,32.7858007,19.967246609999997,-2.765486725663717,164.19790540164018
INDIAMART, EQ, 06-Dec-2021,7163.85,7220.0,7220.0,7030.0,7069.6,7081.45,7100.12,69244,20760,23359,33.73,16.585170308,21.809992885999996,-1.1502195048751793,76.04390517085471
INDIAMART, EQ, 07-Dec-2021,7081.45,7134.9,7200.0,7075.0,7150.0,7145.0,7131.28,57195,11380,17678,30.91,12.606676784,21.1768703796,0.8974150774205873,59.5304053810718
INDIAMART, EQ, 08-Dec-2021,7145.0,7241.2,7400.4,7170.0,7290.0,7306.8,7314.13,173819,22721,70749,40.7,51.746738337000004,18.155141668000002,2.2645206438068604,285.0252522579214
INDIAMART, EQ, 09-Dec-2021,7306.8,7343.7,7343.7,7212.55,7294.0,7288.7,7273.64,56481,9885,24406,43.21,17.752045784,24.9301211914,-0.24771445776537424,71.20721815874613
INDIAMART, EQ, 10-Dec-2021,7288.7,7320.0,7440.0,7265.05,7282.0,7289.75,7347.68,91541,13806,30878,33.73,22.688166304000003,26.2952863826,0.014405861127501227,86.28225596741595
INDIAMART, EQ, 13-Dec-2021,7289.75,7300.0,7359.0,7150.0,7188.0,7165.35,7235.2,91407,15317,38676,42.31,27.982859519999998,24.275759503400003,-1.706505710072357,115.27078901931283
INDIAMART, EQ, 14-Dec-2021,7165.35,7165.0,7200.0,7101.0,7111.0,7118.15,7138.66,33989,6625,13185,38.79,9.41232321,26.5552973458,-0.658725672856186,35.44423957086158
INDIAMART, EQ, 15-Dec-2021,7118.15,7121.0,7220.0,7120.0,7150.0,7147.95,7153.95,59495,7377,28136,47.29,20.12835372,25.916426631,0.41864810379101564,77.66639285032998
INDIAMART, EQ, 16-Dec-2021,7147.95,7220.0,7220.0,7102.0,7133.0,7130.45,7136.01,31121,5425,11727,37.68,8.368398927,19.5927497076,-0.24482543946166385,42.71171250533512
INDIAMART, EQ, 17-Dec-2021,7130.45,7110.0,7150.7,6948.4,6970.0,6967.1,7005.19,136174,24659,66010,48.47,46.24125919,17.716020336199996,-2.29087925726987,261.0138073476525
INDIAMART, EQ, 20-Dec-2021,6967.1,6939.0,6943.9,6472.3,6581.0,6567.9,6652.97,143063,32834,51324,35.88,34.145703228,22.4266389134,-5.7297871424265585,152.25510768623388
INDIAMART, EQ, 21-Dec-2021,6567.9,6660.0,6733.0,6383.0,6514.0,6505.05,6565.44,150466,26529,38151,25.36,25.047810144,23.659207655,-0.9569268716027871,105.86918424846972
INDIAMART, EQ, 22-Dec-2021,6505.05,6599.5,6684.95,6525.0,6591.9,6597.05,6587.99,83880,14765,27596,32.9,18.180217203999998,26.7863050418,1.4142858240905143,67.87131400030646
INDIAMART, EQ, 23-Dec-2021,6597.05,6655.0,6741.4,6561.8,6577.75,6568.5,6632.68,88468,17945,38897,43.97,25.799135396,26.396677738599998,-0.43276919229049626,97.73629716391844
INDIAMART, EQ, 24-Dec-2021,6568.5,6620.0,6697.0,6435.0,6440.0,6448.85,6492.3,80424,16219,31524,39.2,20.466326520000003,29.8828250324,-1.8215726573799138,68.4885933569189
INDIAMART, EQ, 27-Dec-2021,6448.85,6448.85,6559.2,6339.3,6495.0,6491.55,6470.86,91193,12553,33880,37.15,21.923273679999998,24.7278384984,0.6621335586965089,88.65826942948746
INDIAMART, EQ, 28-Dec-2021,6491.55,6529.0,6539.95,6420.0,6429.0,6431.35,6471.83,84345,15922,48486,57.49,31.379314938,22.2833525888,-0.9273594133912519,140.81954146240898
INDIAMART, EQ, 29-Dec-2021,6431.35,6448.0,6448.0,6290.0,6336.0,6336.3,6343.46,188996,28993,94032,49.75,59.648823072000006,23.549653547599995,-1.4779167670862288,253.2895991502982
INDIAMART, EQ, 30-Dec-2021,6336.3,6348.0,6398.9,6291.0,6321.0,6307.0,6333.27,103155,16759,50350,48.81,31.88801445,31.8433747212,-0.46241497403847953,100.14018529502869
INDIAMART, EQ, 31-Dec-2021,6307.0,6350.7,6540.0,6291.0,6475.6,6476.4,6439.41,168537,22417,76023,45.11,48.954326643,33.061150532,2.685904550499439,148.07205997146696
INDIAMART, EQ, 03-Jan-2022,6476.4,6470.0,6614.0,6430.0,6565.0,6574.15,6521.29,121756,20545,53493,43.93,34.884336596999994,38.7587505566,1.5093261688592428,90.00376971919634
INDIAMART, EQ, 04-Jan-2022,6574.15,6629.0,6694.0,6491.25,6629.9,6612.7,6612.38,126776,20491,39306,31.0,25.990620828,41.35096314,0.5863875938334261,62.853725413855024
INDIAMART, EQ, 05-Jan-2022,6612.7,6625.0,6626.4,6521.0,6589.1,6582.2,6577.24,72496,13733,30558,42.15,20.098729992,40.273224318000004,-0.4612336866937862,49.905937089365175
INDIAMART, EQ, 06-Jan-2022,6582.2,6536.0,6642.4,6440.0,6552.1,6569.2,6528.99,104420,16565,40365,38.66,26.354268134999998,32.363205702,-0.1975023548357692,81.4328110066406
INDIAMART, EQ, 07-Jan-2022,6569.2,6619.0,6698.95,6570.05,6685.0,6671.9,6640.4,102113,18979,48146,47.15,31.97086984,31.256456438999997,1.5633562686476254,102.28565065395128
INDIAMART, EQ, 10-Jan-2022,6671.9,6700.0,6736.8,6585.0,6592.0,6602.7,6640.88,91050,16490,37525,41.21,24.9199022,27.8597650784,-1.0371858091398225,89.44763938200143
INDIAMART, EQ, 11-Jan-2022,6602.7,6639.95,6639.95,6485.0,6504.0,6504.1,6522.5,124478,18782,57426,46.13,37.4561085,25.866878199000002,-1.4933284868311365,144.80335899771634
INDIAMART, EQ, 12-Jan-2022,6504.1,6560.0,6907.0,6508.0,6849.9,6850.25,6794.76,311975,41143,52501,16.83,35.673169476,28.1599757334,5.322027644101407,126.68039849796016
INDIAMART, EQ, 13-Jan-2022,6850.25,6870.0,6898.75,6711.0,6742.75,6736.75,6759.85,123071,18430,36852,29.94,24.911399220000003,31.274863630200002,-1.6568738367212874,79.65310261479371
INDIAMART, EQ, 14-Jan-2022,6736.75,6756.45,6870.0,6650.0,6750.0,6769.9,6734.87,108380,16995,38245,35.29,25.757510315,30.9862898472,0.4920770401157774,83.12550628686355
INDIAMART, EQ, 17-Jan-2022,6769.9,6762.3,6850.0,6644.65,6700.0,6703.55,6726.64,62385,12788,19388,31.08,13.041609632,29.7436179422,-0.9800735609093112,43.8467494349323
INDIAMART, EQ, 18-Jan-2022,6703.55,6709.95,6733.3,6451.35,6525.0,6502.75,6586.2,91903,16280,35387,38.5,23.30658594,27.3679594286,-2.9954277957201807,85.16011579454553
INDIAMART, EQ, 19-Jan-2022,6502.75,6539.0,6539.0,6375.0,6435.0,6412.0,6430.45,83628,15145,35546,42.5,22.85767757,24.538054916600004,-1.395563415478067,93.15195376197798
INDIAMART, EQ, 20-Jan-2022,6412.0,6440.0,6440.0,6336.0,6365.0,6353.95,6377.26,66064,12668,24197,36.63,15.431056022,21.974956535400004,-0.9053337492202149,70.22109917324173
INDIAMART, EQ, 21-Jan-2022,6353.95,6329.95,6385.0,6066.05,6140.0,6120.3,6187.26,166841,32937,64445,38.63,39.87379707,20.0788878958,-3.6772401419589333,198.58568500868316
INDIAMART, EQ, 24-Jan-2022,6120.3,6125.0,6174.95,5720.0,5825.0,5837.95,5906.91,182809,36081,64120,35.07,37.87510692,22.9021452468,-4.613335947584274,165.37798757211223
INDIAMART, EQ, 25-Jan-2022,5837.95,5480.0,5686.65,4970.0,5050.0,5005.0,5160.54,938662,139724,244146,26.01,125.99251988399999,27.868844704399997,-14.267850872309626,452.0909324386453
INDIAMART, EQ, 27-Jan-2022,5005.0,4990.0,4990.0,4301.1,4541.15,4564.25,4538.74,1481806,190189,416487,28.11,189.032620638,48.4060314932,-8.806193806193805,390.51460077770474
INDIAMART, EQ, 28-Jan-2022,4564.25,4605.75,4898.45,4580.5,4830.0,4825.6,4766.24,674072,87109,171401,25.43,81.693830224,81.6410201068,5.726022895327827,100.06468576351804
INDIAMART, EQ, 31-Jan-2022,4825.6,4947.0,5070.0,4890.5,5003.0,4988.7,4945.62,457459,48106,224944,49.17,111.24875452799999,94.8935749472,3.3798905835543653,117.23528657224709
INDIAMART, EQ, 01-Feb-2022,4988.7,5070.0,5234.9,4955.0,5209.0,5172.6,5058.34,374240,43669,82315,22.0,41.637725710000005,109.16856643880001,3.6863311083047803,38.140764386919145
INDIAMART, EQ, 02-Feb-2022,5172.6,5239.0,5382.0,5182.0,5235.75,5273.25,5299.38,250626,38531,47556,18.97,25.201731528,109.92109019680001,1.9458299501217886,22.92711206091519
INDIAMART, EQ, 03-Feb-2022,5273.25,5273.25,5273.25,5115.0,5165.0,5182.9,5177.36,155302,25356,25644,16.51,13.276821984,89.7629325256,-1.7133646233347626,14.790985109820815
INDIAMART, EQ, 04-Feb-2022,5182.9,5164.9,5195.0,5060.0,5073.85,5080.15,5105.67,117853,19870,23424,19.88,11.959521408,54.61177279479999,-1.9824808504891087,21.89916348794808
INDIAMART, EQ, 07-Feb-2022,5080.15,5097.0,5139.95,4990.0,5058.0,5037.35,5035.44,134552,21658,43521,32.35,21.914738424,40.6649110316,-0.8424948082241525,53.89102759125781
INDIAMART, EQ, 08-Feb-2022,5037.35,5054.0,5125.0,4991.65,5007.0,5002.6,5026.11,122836,15715,40927,33.32,20.570360396999998,22.7981078108,-0.6898468440747615,90.22836705445938
INDIAMART, EQ, 09-Feb-2022,5002.6,5048.4,5252.65,5032.55,5134.95,5124.85,5176.02,195175,27280,26808,13.74,13.875874416000002,18.5846347482,2.443729260784392,74.66315375040631
INDIAMART, EQ, 10-Feb-2022,5124.85,5130.0,5249.9,5035.4,5150.0,5139.0,5130.79,109870,16753,20670,18.81,10.605342929999999,16.3194633258,0.2761056421163475,64.9858559578589
INDIAMART, EQ, 11-Feb-2022,5139.0,5060.05,5099.9,4992.9,5035.0,5046.0,5031.25,146303,17849,40541,27.71,20.397190625,15.785167515000001,-1.8096906012842966,129.21744799741518
INDIAMART, EQ, 14-Feb-2022,5046.0,4805.0,5097.7,4805.0,5000.05,5023.7,4980.78,157808,22459,57663,36.54,28.720671713999998,17.472701358400002,-0.4419342053111412,164.37453559630913
INDIAMART, EQ, 15-Feb-2022,5023.7,5078.0,5230.0,4984.6,5170.9,5166.9,5125.15,171040,25310,35691,20.87,18.292172864999998,18.8338880164,2.850488683639545,97.12372107698478
INDIAMART, EQ, 16-Feb-2022,5166.9,5220.0,5248.8,5114.55,5120.0,5134.9,5167.74,68329,11432,16762,24.53,8.662165788,18.378250509999997,-0.619326869109137,47.132700597843794
