SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
INDOCO, EQ, 14-Oct-2021,460.7,463.95,471.0,459.35,463.0,463.05,465.76,327320,13513,113967,34.82,5.308126992,,,
INDOCO, EQ, 18-Oct-2021,463.05,480.0,504.55,475.6,477.95,478.9,488.6,781890,30725,343030,43.87,16.7604458,,,
INDOCO, EQ, 19-Oct-2021,478.9,479.0,484.0,460.55,468.6,470.55,476.2,309516,17700,162644,52.55,7.74510728,,,
INDOCO, EQ, 20-Oct-2021,470.55,465.2,513.65,457.0,469.4,469.55,495.51,1822121,74799,356516,19.57,17.665724316,,,
INDOCO, EQ, 21-Oct-2021,469.55,473.8,495.7,473.1,474.9,475.15,482.57,562696,33605,175219,31.14,8.455543282999999,,,
INDOCO, EQ, 22-Oct-2021,475.15,477.5,482.05,460.6,463.25,464.15,467.9,252744,20365,108680,43.0,5.0851372,11.186989534199999,-2.315058402609702,45.45581440345602
INDOCO, EQ, 25-Oct-2021,464.15,464.15,466.35,443.6,461.0,460.3,455.32,250877,19456,103053,41.08,4.692209196,11.142391575799998,-0.8294732306366404,42.111329188887446
INDOCO, EQ, 26-Oct-2021,460.3,460.5,470.0,452.55,460.7,459.9,458.23,181072,13747,89829,49.61,4.116234267,8.728744254999999,-0.08689984792527354,47.157233007968344
INDOCO, EQ, 27-Oct-2021,459.9,460.9,479.0,459.4,470.85,472.35,471.0,226852,18764,83664,36.88,3.9405744,8.002969652400001,2.7071102413568267,49.23890219698966
INDOCO, EQ, 28-Oct-2021,472.35,472.0,472.0,440.2,449.0,447.65,456.64,211823,10415,88052,41.57,4.0208065280000005,5.2579396692,-5.229173282523561,76.47114232886909
INDOCO, EQ, 29-Oct-2021,447.65,449.0,469.3,440.0,464.55,465.9,458.21,154841,10015,58439,37.74,2.677733419,4.370992318200001,4.076845750027924,61.26145332835327
INDOCO, EQ, 01-Nov-2021,465.9,470.0,480.0,463.85,479.0,478.0,473.21,154057,6701,64568,41.91,3.0554223279999997,3.889511562,2.5971238463189574,78.55542474410055
INDOCO, EQ, 02-Nov-2021,478.0,481.0,498.0,454.0,458.0,457.25,477.97,958261,45420,209889,21.9,10.032064533000002,3.5621541883999996,-4.341004184100418,281.62914917240204
INDOCO, EQ, 03-Nov-2021,457.25,457.9,466.9,445.0,448.65,449.6,453.46,272878,10413,103937,38.09,4.713127202,4.7453202416,-1.67304537998906,99.32158341353279
INDOCO, EQ, 08-Nov-2021,454.3,461.0,462.3,447.95,450.15,449.65,453.08,156624,7151,64496,41.18,2.922184768,4.899830802,0.011120996441271024,59.638483165729525
