SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
IRB, EQ, 14-Oct-2021,211.6,212.8,214.5,210.5,212.0,211.9,212.39,2293572,18993,975407,42.53,20.716669272999997,,,
IRB, EQ, 18-Oct-2021,211.9,214.0,224.0,209.15,212.5,211.85,217.48,6866124,58101,2724489,39.68,59.252186772,,,
IRB, EQ, 19-Oct-2021,211.85,214.35,214.95,201.0,205.95,204.25,208.21,3220629,27363,1546980,48.03,32.20967058,,,
IRB, EQ, 20-Oct-2021,204.25,205.45,214.9,201.6,211.0,212.2,209.73,5439933,41554,1940237,35.67,40.692590601,,,
IRB, EQ, 21-Oct-2021,212.2,220.55,254.6,220.3,244.5,244.7,247.74,41019417,262580,16851412,41.08,417.47688088800004,,,
IRB, EQ, 22-Oct-2021,244.7,255.0,293.6,253.0,293.6,293.6,278.32,42751716,303283,11012783,25.76,306.507776456,114.0695996228,19.983653453208024,268.70242156503184
IRB, EQ, 25-Oct-2021,293.6,320.0,345.85,271.85,280.5,278.25,299.66,37206938,411226,8792689,23.63,263.481718574,171.22782105940001,-5.228201634877391,153.87786689325242
IRB, EQ, 26-Oct-2021,278.25,284.0,302.8,265.4,300.0,292.35,281.13,17380021,238088,5337344,30.71,150.048751872,212.07372741980004,5.067385444743944,70.75310727904473
IRB, EQ, 27-Oct-2021,292.35,303.0,308.0,263.15,263.15,263.15,273.7,13373898,115637,5583039,41.75,152.80777743,235.6415436782,-9.988028048571932,64.84755406231739
IRB, EQ, 28-Oct-2021,263.15,245.2,251.7,236.85,237.0,238.2,240.79,17832345,81569,5575567,31.27,134.254077793,258.06458104399997,-9.481284438533152,52.02344205852476
IRB, EQ, 29-Oct-2021,238.2,238.2,245.0,221.3,231.8,226.5,235.12,6565187,55131,2399910,36.56,56.42668392,201.420020425,-4.911838790931985,28.01443659917155
IRB, EQ, 01-Nov-2021,226.5,233.35,237.8,232.45,237.8,237.8,235.77,1425079,9937,985363,69.14,23.231903451,151.40380191779997,4.988962472406186,15.344332940604124
IRB, EQ, 02-Nov-2021,237.8,249.65,249.65,237.5,241.0,241.05,245.27,6201356,33294,2946103,47.51,72.25906828100001,103.3538388932,1.3666947014297728,69.91425674634925
IRB, EQ, 03-Nov-2021,241.05,241.9,242.0,229.0,229.65,229.9,233.28,2487696,22206,1257976,50.57,29.346064128000002,87.795902175,-4.625596349305126,33.425323279332204
IRB, EQ, 08-Nov-2021,234.15,234.4,235.85,226.0,231.0,230.2,231.8,1355407,15142,786126,58.0,18.22240068,63.1035595146,0.13049151805131926,28.87697749567354
IRB, EQ, 09-Nov-2021,230.2,232.0,234.55,227.8,230.7,230.9,232.46,1246515,11184,669670,53.72,15.567148820000002,39.897224092,0.30408340573415166,39.01812513096983
IRB, EQ, 10-Nov-2021,230.9,229.7,230.6,222.3,225.45,226.3,227.1,1614549,16768,907802,56.23,20.61618342,31.725317072000003,-1.9922044174967493,64.98338022347251
IRB, EQ, 11-Nov-2021,226.3,225.65,234.0,223.3,226.8,226.55,228.92,1660468,16728,653648,39.37,14.963310016,31.202173065800004,0.11047282368537341,47.955986861700175
IRB, EQ, 12-Nov-2021,226.55,228.6,230.5,223.0,226.5,227.7,227.51,1902941,15168,906511,47.64,20.624031760999998,19.743021412799997,0.5076142131979594,104.46238865763885
IRB, EQ, 15-Nov-2021,227.7,228.25,229.7,224.0,224.05,224.4,225.84,644441,8703,361546,56.1,8.165154864,17.9986149394,-1.4492753623188332,45.36546223968605
IRB, EQ, 16-Nov-2021,224.4,224.8,226.4,217.6,218.9,218.9,221.85,1352640,13399,854583,63.18,18.958923855,15.987165776200001,-2.450980392156863,118.58839847162925
IRB, EQ, 17-Nov-2021,218.9,219.4,221.75,209.3,211.0,211.5,214.77,2209808,21811,1127805,51.04,24.221867985000003,16.665520783199998,-3.380539058931021,145.3412005547245
IRB, EQ, 18-Nov-2021,211.5,213.0,222.05,213.0,222.05,221.4,219.82,3124647,24467,1156692,37.02,25.426403544,17.3866576962,4.68085106382979,146.24089338088913
IRB, EQ, 22-Nov-2021,221.4,225.85,226.55,210.35,211.6,210.9,214.71,2139248,20658,1017709,47.57,21.851229939000003,19.4792764018,-4.742547425474255,112.17680517629915
IRB, EQ, 23-Nov-2021,210.9,208.95,221.4,208.45,221.4,221.2,216.58,2307074,18796,1006616,43.63,21.801289328,19.7247160374,4.883831199620666,110.52777280373827
IRB, EQ, 24-Nov-2021,221.2,222.0,225.6,216.25,218.3,218.15,221.36,1172091,12240,671128,57.26,14.856089408,22.451942930199998,-1.378842676311023,66.16839110176585
