SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ISEC, EQ, 14-Oct-2021,877.3,872.6,885.0,855.2,874.95,878.5,875.1,926040,36019,417952,45.13,36.57497952,,,
ISEC, EQ, 18-Oct-2021,878.5,887.0,894.7,838.25,846.0,843.4,863.76,720646,31119,259832,36.06,22.443248832,,,
ISEC, EQ, 19-Oct-2021,843.4,849.0,863.65,805.55,822.3,819.75,838.27,589498,26929,230667,39.13,19.336122609,,,
ISEC, EQ, 20-Oct-2021,819.75,861.0,885.0,785.0,804.5,797.15,829.49,1814316,75622,453029,24.97,37.578302521,,,
ISEC, EQ, 21-Oct-2021,797.15,808.0,819.0,766.0,779.0,771.8,787.98,859617,39097,328923,38.26,25.918474554,,,
ISEC, EQ, 22-Oct-2021,771.8,779.0,799.0,768.0,784.5,784.3,783.46,474920,23499,182320,38.39,14.284042720000002,28.370225607199995,1.619590567504535,50.34871036194685
ISEC, EQ, 25-Oct-2021,784.3,788.8,796.0,750.0,753.0,752.25,764.35,456759,24462,189352,41.46,14.473120120000003,23.912038247199998,-4.086446512813969,60.52650121406838
ISEC, EQ, 26-Oct-2021,752.25,750.0,776.95,749.3,766.0,762.65,762.88,408957,22100,156253,38.21,11.920228864,22.318012504800002,1.3825191093386475,53.410799287957566
ISEC, EQ, 27-Oct-2021,762.65,757.0,762.9,740.95,745.05,745.1,748.99,453684,18254,289680,63.85,21.69674232,20.8348337558,-2.301186651806196,104.13686317012278
ISEC, EQ, 28-Oct-2021,745.1,749.9,756.25,701.2,714.95,713.1,731.29,518650,26443,269536,51.97,19.710898144,17.6585217156,-4.294725540195947,111.62258348379683
ISEC, EQ, 29-Oct-2021,713.1,714.95,745.0,704.25,740.7,738.0,732.37,705722,30429,261105,37.0,19.122546885,16.4170064336,3.491796381994107,116.48010837020007
ISEC, EQ, 01-Nov-2021,738.0,743.7,767.0,741.75,767.0,764.75,755.45,432862,22612,164993,38.12,12.464396185,17.384707266599996,3.6246612466124666,71.6974752226456
ISEC, EQ, 02-Nov-2021,764.75,767.5,772.95,757.85,761.95,762.15,767.34,401597,19191,220767,54.97,16.940334978,16.9829624796,-0.33998038574697914,99.74899843504215
ISEC, EQ, 03-Nov-2021,762.15,766.0,766.65,735.0,743.0,743.15,746.21,307304,21944,151821,49.4,11.329034841,17.9869837024,-2.492947582496884,62.98462837595371
ISEC, EQ, 08-Nov-2021,757.95,761.95,798.5,745.0,785.0,789.8,776.24,526719,26447,195598,37.14,15.183099152,15.9134422066,6.277332974500434,95.41052749544599
ISEC, EQ, 09-Nov-2021,789.8,789.0,793.75,773.4,780.0,779.15,783.81,193915,11692,64427,33.22,5.049852687,15.0078824082,-1.3484426437072647,33.648002760475144
ISEC, EQ, 10-Nov-2021,779.15,775.8,785.0,772.1,779.65,780.2,778.82,139553,7921,50598,36.26,3.940673436,12.1933435686,0.13476224090355748,32.31823505857676
ISEC, EQ, 11-Nov-2021,780.2,780.2,785.0,770.0,775.05,778.45,777.81,231533,10413,133996,57.87,10.422342875999998,10.488599018799999,-0.22430146116380412,99.36830321493613
ISEC, EQ, 12-Nov-2021,778.45,779.0,806.0,770.0,799.0,801.7,792.54,356806,13360,135018,37.84,10.700716572,9.185000598399998,2.98670434838461,116.50207811487823
ISEC, EQ, 15-Nov-2021,801.7,806.8,814.95,781.7,793.0,791.1,795.11,428037,18420,244519,57.13,19.441950209,9.0593369446,-1.3221903455157817,214.60676788921919
ISEC, EQ, 16-Nov-2021,791.1,792.8,798.85,785.0,790.0,794.65,791.64,450243,22829,285403,63.39,22.593643091999997,9.911107156,0.44874225761597203,227.96285759378785
ISEC, EQ, 17-Nov-2021,794.65,787.0,797.45,780.5,784.0,784.2,787.59,464890,20714,315569,67.88,24.853898871000002,13.419865237,-1.3150443591518193,185.202298473722
ISEC, EQ, 18-Nov-2021,784.2,784.7,794.95,758.05,783.0,789.7,774.74,397205,16798,218291,54.96,16.911876934,17.602510324,0.7013516959959194,96.07650626366421
ISEC, EQ, 22-Nov-2021,789.7,786.8,798.7,770.75,778.8,780.75,781.12,479867,16674,287095,59.83,22.42556464,18.900417135599998,-1.1333417753577366,118.65116245376505
ISEC, EQ, 23-Nov-2021,780.75,771.0,790.0,765.1,777.0,781.05,783.49,316031,22882,175776,55.62,13.771873824000002,21.2453867492,0.03842459173870695,64.82289066598698
ISEC, EQ, 24-Nov-2021,781.05,780.55,789.4,763.4,772.0,771.95,777.99,302703,21342,154387,51.0,12.011154213,20.1113714722,-1.1650982651558683,59.72319804048695
ISEC, EQ, 25-Nov-2021,771.95,770.05,790.0,770.05,775.0,775.4,779.7,312206,12112,158353,50.72,12.34678341,17.9948736964,0.4469201373145841,68.6127817194408
ISEC, EQ, 26-Nov-2021,775.4,768.4,787.0,751.0,758.0,759.05,773.74,555309,24388,308558,55.57,23.874366692000002,15.493450604200001,-2.1085891152953344,154.09328303875756
ISEC, EQ, 29-Nov-2021,759.05,755.0,767.7,725.35,739.8,742.25,747.13,375947,15705,215600,57.35,16.1081228,16.885948555800002,-2.213292931954411,95.39365080244288
ISEC, EQ, 30-Nov-2021,742.25,742.25,762.3,715.05,722.55,732.0,743.95,564121,29486,349075,61.88,25.969434625,15.622460187800002,-1.3809363422027618,166.2314021787697
ISEC, EQ, 01-Dec-2021,732.0,732.95,750.0,732.9,746.0,746.55,743.53,287333,18363,169881,59.12,12.631161993,18.061972348,1.9877049180327806,69.93235151530196
ISEC, EQ, 02-Dec-2021,746.55,746.0,754.0,743.25,749.0,747.4,749.42,425866,15417,307576,72.22,23.050360591999997,18.185973904,0.1138570758823954,126.74801313186794
ISEC, EQ, 03-Dec-2021,747.4,751.95,775.0,751.9,769.9,769.3,767.96,291010,13993,89044,30.6,6.838223024000001,20.3266893404,2.9301578806529274,33.64159755425
ISEC, EQ, 06-Dec-2021,769.3,769.0,774.0,724.0,734.45,740.3,759.06,289565,13330,157605,54.43,11.96316513,16.919460606799998,-3.769660730534252,70.70653969424981
ISEC, EQ, 07-Dec-2021,740.3,740.0,777.0,739.8,770.05,771.2,763.85,255239,12535,94808,37.14,7.24190908,16.090469072799998,4.173983520194528,45.00744538418726
ISEC, EQ, 08-Dec-2021,771.2,779.4,810.0,778.0,783.0,783.4,791.63,284561,14013,90698,31.87,7.179925773999999,12.3449639638,1.5819502074688705,58.16076737894251
ISEC, EQ, 09-Dec-2021,783.4,787.5,788.75,772.65,783.0,782.5,782.01,162615,6948,67242,41.35,5.258391642,11.25471672,-0.1148838396732164,46.72167032561261
ISEC, EQ, 10-Dec-2021,782.5,777.0,791.65,777.0,784.55,783.45,784.13,181815,9221,102540,56.4,8.04046902,7.696322929999999,0.12140575079872785,104.47156509842553
ISEC, EQ, 13-Dec-2021,783.45,785.9,807.9,783.2,787.0,790.55,795.73,293345,14271,122610,41.8,9.75644553,7.9367721291999995,0.9062480056161731,122.92712164565343
ISEC, EQ, 14-Dec-2021,790.55,789.9,791.9,765.3,790.55,785.55,778.92,374983,20505,182946,48.79,14.250029832,7.4954282092,-0.6324710644488015,190.116287345789
ISEC, EQ, 15-Dec-2021,785.55,784.85,795.0,777.0,783.0,784.8,785.08,187591,13237,87087,46.42,6.837026196000001,8.8970523596,-0.09547450830628222,76.84597009955536
ISEC, EQ, 16-Dec-2021,784.8,787.1,792.65,775.0,780.0,782.55,782.44,357451,12928,269780,75.47,21.10866632,8.828472444,-0.286697247706422,239.09760667991725
ISEC, EQ, 17-Dec-2021,782.55,780.95,783.0,759.8,782.0,778.45,771.14,343218,12543,224774,65.49,17.333222235999997,11.9985273796,-0.5239281835026399,144.4612466815727
ISEC, EQ, 20-Dec-2021,778.45,773.0,773.0,745.0,767.1,763.9,761.52,371787,14361,191536,51.52,14.585849472,13.8570780228,-1.86909885027941,105.25920001316946
ISEC, EQ, 21-Dec-2021,763.9,765.0,779.95,749.8,753.85,756.4,770.85,347540,11012,250555,72.09,19.314032175,14.8229588112,-0.9818039010341667,130.29808974714695
ISEC, EQ, 22-Dec-2021,756.4,756.4,770.0,740.0,755.4,758.75,757.47,322515,11673,214711,66.57,16.263714117000003,15.835759279799998,0.3106821787414097,102.70245859158709
ISEC, EQ, 23-Dec-2021,758.75,761.0,770.0,747.55,751.0,752.15,764.2,326619,9774,254194,77.83,19.42550548,17.721096864,-0.8698517298187838,109.61796343127308
ISEC, EQ, 24-Dec-2021,752.15,759.0,764.95,749.0,758.0,758.55,757.57,148195,7994,63778,43.04,4.8316299460000005,17.384464696000002,0.8508941035697637,27.792802542327987
ISEC, EQ, 27-Dec-2021,758.55,756.6,772.7,748.5,762.0,766.95,765.09,204135,11299,126699,62.07,9.693613791,14.884146238000003,1.1073759145738702,65.12710662739727
ISEC, EQ, 28-Dec-2021,766.95,767.0,789.0,764.05,787.45,786.85,778.33,359014,9206,263043,73.27,20.473425819,13.9056991018,2.5946932655323005,147.23046766019735
ISEC, EQ, 29-Dec-2021,786.85,791.0,796.0,775.5,786.0,782.15,786.89,133572,8172,53851,40.32,4.237481339,14.1375778306,-0.5973184215543046,29.973177794489008
