SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
ITI, EQ, 14-Oct-2021,124.5,126.0,133.5,124.5,127.5,128.0,130.05,5332937,49450,992740,18.62,12.910583700000002,,,
ITI, EQ, 18-Oct-2021,128.0,129.05,129.65,124.95,125.7,125.75,127.64,965975,11894,311030,32.2,3.96998692,,,
ITI, EQ, 19-Oct-2021,125.75,126.25,126.6,122.0,122.25,122.5,124.09,458930,7367,183154,39.91,2.272757986,,,
ITI, EQ, 20-Oct-2021,122.5,122.5,128.0,119.65,125.0,124.9,125.14,1645196,22810,257071,15.63,3.216986494,,,
ITI, EQ, 21-Oct-2021,124.9,125.85,125.9,122.1,123.0,122.7,123.44,295307,4696,102951,34.86,1.2708271439999999,,,
ITI, EQ, 22-Oct-2021,122.7,122.8,124.55,120.75,121.9,121.4,122.53,243690,4852,83709,34.35,1.025686377,4.7282284487999995,-1.059494702526485,21.692826142110665
ITI, EQ, 25-Oct-2021,121.4,122.3,122.45,117.05,120.0,119.15,119.46,260517,4746,115159,44.2,1.3756894139999998,2.3512489842,-1.8533772652388796,58.50887861066193
ITI, EQ, 26-Oct-2021,119.15,119.2,121.0,119.0,119.6,119.3,119.7,227662,4298,101671,44.66,1.21700187,1.832389483,0.12589173310951865,66.41611302022518
ITI, EQ, 27-Oct-2021,119.3,119.8,125.75,119.2,122.3,122.5,123.61,952177,12966,192375,20.2,2.377947375,1.6212382598000001,2.682313495389776,146.67476298599996
ITI, EQ, 28-Oct-2021,122.5,122.45,122.45,118.5,119.55,118.95,120.14,251612,4787,113039,44.93,1.358050546,1.453430436,-2.897959183673467,93.43760199060534
ITI, EQ, 29-Oct-2021,118.95,118.1,119.7,116.25,118.0,117.5,118.12,225377,4530,75085,33.32,0.8869040200000001,1.4708751164,-1.2189995796553197,60.29771053376154
ITI, EQ, 01-Nov-2021,117.5,118.3,120.4,118.3,119.05,118.9,119.19,141489,3265,47302,33.43,0.563792538,1.4431186450000002,1.1914893617021325,39.067649770404
ITI, EQ, 02-Nov-2021,118.9,120.0,122.1,119.5,120.25,120.4,120.61,248412,5157,62751,25.26,0.7568398110000001,1.2807392698000002,1.2615643397813288,59.09398023831876
ITI, EQ, 03-Nov-2021,120.4,120.4,121.35,118.5,119.5,118.85,119.73,171748,3578,70531,41.07,0.8444676630000001,1.188706858,-1.2873754152824013,71.04086741964436
ITI, EQ, 08-Nov-2021,119.9,120.55,123.4,119.5,121.75,121.9,121.75,343314,5622,134103,39.06,1.632704025,0.8820109156000001,2.5662599915860422,185.11154410025986
ITI, EQ, 09-Nov-2021,121.9,122.5,123.35,121.55,122.2,121.85,122.36,171663,3338,69479,40.47,0.8501450439999999,0.9369416114000002,-0.04101722723544821,90.7361818128339
ITI, EQ, 10-Nov-2021,121.85,121.0,123.0,119.6,120.25,120.45,121.32,185129,3017,95108,51.37,1.153850256,0.9295898161999998,-1.1489536315141498,124.12466615832103
ITI, EQ, 11-Nov-2021,120.45,120.25,121.4,119.15,119.7,119.65,120.1,111613,2290,43737,39.19,0.52528137,1.0476013598,-0.6641760066417577,50.14134098683135
ITI, EQ, 12-Nov-2021,119.65,120.3,121.9,116.8,117.85,117.95,118.65,487558,6472,161229,33.07,1.912982085,1.0012896716,-1.4208106978687862,191.0518144008388
ITI, EQ, 15-Nov-2021,117.95,117.85,119.25,116.45,117.35,117.05,117.61,200686,3307,105293,52.47,1.238350973,1.214992556,-0.7630351844001744,101.92251523555838
ITI, EQ, 16-Nov-2021,117.05,117.45,118.0,115.2,117.2,116.75,116.91,170458,3424,89132,52.29,1.042042212,1.1361219456,-0.25630072618538846,91.71922222219592
ITI, EQ, 17-Nov-2021,116.75,117.0,123.35,116.3,121.15,121.35,121.15,1346933,15165,241237,17.91,2.922586255,1.1745013792,3.9400428265524576,248.8363408300713
ITI, EQ, 18-Nov-2021,121.35,119.35,120.8,117.1,117.95,118.1,118.45,346557,6473,130681,37.71,1.547916445,1.528248579,-2.6782035434693037,101.28695464011945
ITI, EQ, 22-Nov-2021,118.1,118.5,118.55,113.2,114.0,114.05,115.47,224025,4892,102068,45.56,1.1785791959999998,1.732775594,-3.42929720575783,68.01683957697755
ITI, EQ, 23-Nov-2021,114.05,113.1,116.75,111.4,115.2,115.2,114.41,318352,6180,97829,30.73,1.1192615890000002,1.5858950161999998,1.0083296799649326,70.57602032711404
ITI, EQ, 24-Nov-2021,115.2,115.25,118.8,115.0,115.15,115.6,116.95,242448,4843,74528,30.74,0.87160496,1.5620771394000001,0.3472222222222148,55.79781804724361
ITI, EQ, 25-Nov-2021,115.6,116.0,116.65,115.05,115.45,115.35,115.71,182236,3590,56998,31.28,0.659523858,1.5279896890000002,-0.21626297577854672,43.16284741630871
ITI, EQ, 26-Nov-2021,115.35,115.0,115.1,111.1,111.9,112.0,113.31,262687,4171,117457,44.71,1.330905267,1.0753772095999998,-2.904204594711742,123.761714040327
ITI, EQ, 29-Nov-2021,112.0,113.0,113.0,107.5,107.95,108.65,110.12,196387,4566,82128,41.82,0.9043935360000002,1.031974974,-2.9910714285714235,87.63715775921523
ITI, EQ, 30-Nov-2021,108.65,108.9,118.8,108.9,109.5,110.05,112.02,496141,11079,66857,13.48,0.7489321139999999,0.9771378420000001,1.2885411872986574,76.64549276559487
ITI, EQ, 01-Dec-2021,110.05,111.4,111.5,110.0,110.7,110.55,110.64,136438,2568,51949,38.08,0.5747637360000001,0.9030719469999999,0.4543389368468878,63.64539812241561
ITI, EQ, 02-Dec-2021,110.55,110.85,111.85,108.9,110.0,109.8,110.03,255812,3764,132518,51.8,1.458095554,0.8437037022,-0.6784260515603799,172.82080784971575
ITI, EQ, 03-Dec-2021,109.8,111.0,112.4,110.15,110.55,110.35,110.99,159346,2615,53084,33.31,0.5891793160000001,1.0034180414,0.5009107468123836,58.71723366444147
ITI, EQ, 06-Dec-2021,110.35,111.7,114.4,110.2,111.1,111.0,111.93,487522,7503,105522,21.64,1.1811077460000001,0.8550728512000001,0.5890348889895838,138.1294873696956
ITI, EQ, 07-Dec-2021,111.0,111.95,114.0,111.15,111.5,111.9,112.42,247608,4903,91829,37.09,1.032341618,0.9104156932,0.8108108108108159,113.39233557930501
ITI, EQ, 08-Dec-2021,111.9,112.4,113.75,112.0,112.3,112.4,112.85,161580,2472,68897,42.64,0.7775026449999999,0.9670975940000002,0.44682752457551383,80.39546885688972
ITI, EQ, 09-Dec-2021,112.4,113.1,119.9,112.35,117.95,118.65,117.48,1823534,20876,400803,21.98,4.708633644000001,1.0076453758000001,5.560498220640569,467.29075100073516
ITI, EQ, 10-Dec-2021,118.65,117.0,118.25,116.25,116.6,116.65,117.13,384044,5241,115436,30.06,1.3521018679999999,1.6577529938000002,-1.685630004214075,81.56232400465352
ITI, EQ, 13-Dec-2021,116.65,117.2,121.0,116.45,119.05,119.3,119.24,876225,8451,263905,30.12,3.14680322,1.8103375042,2.271753107586791,173.82411913244832
ITI, EQ, 14-Dec-2021,119.3,118.5,119.35,117.2,117.8,117.8,118.08,211637,3267,76887,36.33,0.9078816959999999,2.2034765990000005,-1.2573344509639566,41.2022390622175
