SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
JKLAKSHMI, EQ, 14-Oct-2021,631.5,637.0,640.0,627.3,632.65,631.25,634.74,246350,12311,123768,50.24,7.856050032000001,,,
JKLAKSHMI, EQ, 18-Oct-2021,631.25,632.0,634.75,619.0,621.5,620.7,625.89,263224,14171,170452,64.76,10.668420228,,,
JKLAKSHMI, EQ, 19-Oct-2021,620.7,621.0,627.65,597.0,601.0,602.6,612.73,239157,12663,148900,62.26,9.1235497,,,
JKLAKSHMI, EQ, 20-Oct-2021,602.6,608.0,609.0,580.0,587.85,589.55,597.3,281970,14922,132814,47.1,7.932980219999999,,,
JKLAKSHMI, EQ, 21-Oct-2021,589.55,588.75,609.85,577.5,599.05,600.45,592.83,347630,16157,216731,62.35,12.848463873,,,
JKLAKSHMI, EQ, 22-Oct-2021,600.45,600.45,600.45,578.75,585.75,585.1,586.68,165605,11075,77808,46.98,4.5648397439999995,9.685892810599999,-2.556416021317349,47.12874520977925
JKLAKSHMI, EQ, 25-Oct-2021,585.1,589.8,589.8,561.6,572.9,573.0,571.18,211917,14984,92950,43.86,5.309118099999999,9.027650753,-2.0680225602461157,58.80952027564551
JKLAKSHMI, EQ, 26-Oct-2021,573.0,573.0,588.95,572.95,588.0,585.45,584.61,220312,9465,159746,72.51,9.338910906,7.9557903274,2.1727748691099555,117.38508082391877
JKLAKSHMI, EQ, 27-Oct-2021,585.45,588.5,620.0,588.1,618.0,617.8,609.42,294093,15258,114860,39.06,6.999798119999999,7.998862568599999,5.525664019130567,87.50991856614857
JKLAKSHMI, EQ, 28-Oct-2021,617.8,620.0,620.5,605.0,606.15,610.35,611.08,163581,9096,67358,41.18,4.116112664,7.8122261486,-1.2058918743929965,52.68808897368689
