SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
JTEKTINDIA, EQ, 14-Oct-2021,110.75,111.3,113.0,108.8,109.9,109.2,110.94,246091,4957,123211,50.07,1.366902834,,,
JTEKTINDIA, EQ, 18-Oct-2021,109.2,109.85,110.55,107.8,108.85,108.2,108.87,190001,3835,104078,54.78,1.133097186,,,
JTEKTINDIA, EQ, 19-Oct-2021,108.2,110.8,110.8,103.2,104.65,104.55,106.94,339606,6833,191007,56.24,2.0426288579999996,,,
JTEKTINDIA, EQ, 20-Oct-2021,104.55,105.55,106.95,102.8,103.45,103.35,104.46,195040,3984,82030,42.06,0.8568853799999999,,,
JTEKTINDIA, EQ, 21-Oct-2021,103.35,104.9,105.1,102.75,103.85,103.6,103.75,134533,2900,53175,39.53,0.551690625,,,
JTEKTINDIA, EQ, 22-Oct-2021,103.6,104.5,105.2,101.4,102.8,102.35,103.04,147147,3300,66486,45.18,0.685071744,1.1902409765999997,-1.2065637065637065,57.557398667028906
JTEKTINDIA, EQ, 25-Oct-2021,102.35,103.3,103.3,98.0,101.0,100.0,100.03,150987,3653,73099,48.41,0.7312092969999999,1.0538747586,-2.2960429897410792,69.38294052809094
JTEKTINDIA, EQ, 26-Oct-2021,100.0,101.0,102.75,100.45,102.0,101.65,101.66,91114,2495,32097,35.23,0.326298102,0.9734971807999997,1.6500000000000057,33.51813527922649
JTEKTINDIA, EQ, 27-Oct-2021,101.65,102.45,103.1,100.45,102.95,101.6,102.13,110449,2340,56504,51.16,0.5770753519999999,0.6302310296,-0.04918839153960784,91.56568383601528
JTEKTINDIA, EQ, 28-Oct-2021,101.6,102.5,102.95,98.8,99.0,99.55,100.41,138422,3349,76336,55.15,0.766489776,0.574269024,-2.017716535433068,133.4722480173334
JTEKTINDIA, EQ, 29-Oct-2021,99.55,99.9,99.9,96.05,98.5,98.45,98.66,130175,3191,56338,43.28,0.555830708,0.6172288542000001,-1.1049723756906022,90.0526124496271
JTEKTINDIA, EQ, 01-Nov-2021,98.45,97.2,99.4,97.2,98.5,98.45,98.59,131433,2817,73431,55.87,0.723956229,0.591380647,0.0,122.41797777329022
JTEKTINDIA, EQ, 02-Nov-2021,98.45,99.4,102.5,99.05,100.25,100.4,101.0,129838,3245,48387,37.27,0.4887087,0.5899300334,1.9807008633824303,82.84180705013075
JTEKTINDIA, EQ, 03-Nov-2021,100.4,101.0,102.1,98.1,99.5,99.05,99.88,138350,2893,81898,59.2,0.817997224,0.622412153,-1.3446215139442315,131.4237230197528
JTEKTINDIA, EQ, 08-Nov-2021,100.55,100.1,102.5,100.1,101.5,101.7,101.46,126402,2604,66084,52.28,0.670488264,0.6705965274000001,2.67541645633519,99.9838556575263
JTEKTINDIA, EQ, 09-Nov-2021,101.7,101.7,103.0,99.85,100.45,100.15,101.31,188914,3321,113518,60.09,1.150050858,0.6513962249999999,-1.5240904621435565,176.55166147147997
JTEKTINDIA, EQ, 10-Nov-2021,100.15,100.0,102.9,99.9,101.45,100.8,101.38,149836,3206,63886,42.64,0.647676268,0.7702402549999998,0.6490264603095272,84.08756408089839
JTEKTINDIA, EQ, 11-Nov-2021,100.8,100.9,105.8,97.6,99.95,99.6,101.22,673076,15535,175128,26.02,1.772645616,0.7549842628,-1.1904761904761934,234.79239281436318
JTEKTINDIA, EQ, 12-Nov-2021,99.6,97.25,99.15,95.9,96.5,96.25,96.84,421353,6623,233149,55.33,2.257814916,1.011771646,-3.363453815261039,223.15459470782605
JTEKTINDIA, EQ, 15-Nov-2021,96.25,96.0,99.0,94.55,96.0,96.85,95.94,345135,5383,166980,48.38,1.60200612,1.2997351844,0.6233766233766175,123.25634784900726
JTEKTINDIA, EQ, 16-Nov-2021,96.85,97.3,102.95,96.3,100.5,99.85,99.92,510773,9036,173607,33.99,1.734681144,1.4860387555999999,3.0975735673722253,116.73189124193526
JTEKTINDIA, EQ, 17-Nov-2021,99.85,99.0,103.8,99.0,100.5,100.6,102.24,494737,7503,172459,34.86,1.763220816,1.6029648127999998,0.7511266900350526,109.99747479921726
JTEKTINDIA, EQ, 18-Nov-2021,100.6,99.25,102.0,97.9,98.85,99.1,99.69,167672,3762,51885,30.94,0.517241565,1.8260737223999999,-1.4910536779324057,28.32533860244108
JTEKTINDIA, EQ, 22-Nov-2021,99.1,99.2,99.6,94.05,94.65,94.55,96.48,162592,5604,85062,52.32,0.820678176,1.5749929122,-4.5913218970736605,52.10678534760203
JTEKTINDIA, EQ, 23-Nov-2021,94.55,94.0,96.0,93.25,93.6,93.75,94.48,208726,4239,126189,60.46,1.192233672,1.2875655642000001,-0.8461131676361684,92.59595822918482
JTEKTINDIA, EQ, 24-Nov-2021,93.75,94.1,99.25,94.05,96.0,96.2,96.89,234250,4069,92867,39.64,0.8997883630000001,1.2056110746000002,2.6133333333333364,74.63338567112395
JTEKTINDIA, EQ, 25-Nov-2021,96.2,96.45,97.8,95.8,96.25,96.15,96.87,134545,2738,43312,32.19,0.41956334400000006,1.0386325183999998,-0.051975051975049015,40.39574503659216
JTEKTINDIA, EQ, 26-Nov-2021,96.15,95.5,95.7,93.5,94.0,93.85,94.32,160773,3094,78733,48.97,0.742609656,0.7699010239999999,-2.392095683827365,96.45521084538784
JTEKTINDIA, EQ, 29-Nov-2021,93.85,94.0,94.2,88.05,88.75,88.85,90.13,181272,4513,81918,45.19,0.7383269339999999,0.8149746421999999,-5.3276505061267985,90.59508060360115
JTEKTINDIA, EQ, 30-Nov-2021,88.85,89.5,92.5,89.4,90.45,90.2,90.87,151675,3040,70324,46.36,0.639034188,0.7985043938,1.519414743950488,80.02888812657652
JTEKTINDIA, EQ, 01-Dec-2021,90.2,91.2,93.25,90.0,91.3,91.3,91.38,142574,2921,58467,41.01,0.534271446,0.687864497,1.2195121951219448,77.6710308978194
JTEKTINDIA, EQ, 02-Dec-2021,91.3,91.8,91.9,90.6,91.1,90.9,91.14,107196,1953,60316,56.27,0.549720024,0.6147611136,-0.4381161007666939,89.42010349042351
JTEKTINDIA, EQ, 03-Dec-2021,90.9,91.25,92.3,89.5,90.0,89.85,90.69,130545,2440,67572,51.76,0.6128104679999999,0.6407924495999999,-1.1551155115511675,95.6332223300279
JTEKTINDIA, EQ, 06-Dec-2021,89.85,90.2,90.75,87.9,88.5,88.45,89.3,131604,2829,67665,51.42,0.60424845,0.6148326120000001,-1.5581524763494619,98.27852950649924
JTEKTINDIA, EQ, 07-Dec-2021,88.45,90.0,90.15,87.8,88.15,88.25,88.8,203063,4121,114452,56.36,1.01633376,0.5880169152000001,-0.22611644997173863,172.84090537673018
JTEKTINDIA, EQ, 08-Dec-2021,88.25,89.7,91.0,88.5,90.15,90.3,89.86,307612,3847,110083,35.79,0.9892058380000001,0.6634768296000001,2.3229461756373904,149.09425527284458
JTEKTINDIA, EQ, 09-Dec-2021,90.3,90.8,93.75,90.45,93.45,93.3,92.59,314124,4407,138470,44.08,1.2820937300000002,0.7544637080000001,3.322259136212625,169.93444699927173
JTEKTINDIA, EQ, 10-Dec-2021,93.3,93.3,93.75,91.5,92.5,92.05,92.61,143112,2311,71574,50.01,0.662846814,0.9009384492000001,-1.339764201500536,73.57292993639946
JTEKTINDIA, EQ, 13-Dec-2021,92.05,92.8,93.5,92.35,93.2,93.25,93.05,114187,2103,54209,47.47,0.504414745,0.9109457184,1.3036393264530177,55.37264568145316
JTEKTINDIA, EQ, 14-Dec-2021,93.25,93.15,97.7,91.8,96.0,95.75,95.57,483161,7382,164687,34.09,1.5739136589999998,0.8909789774,2.680965147453083,176.64992092101858
JTEKTINDIA, EQ, 15-Dec-2021,95.75,96.75,97.8,93.2,93.9,93.95,95.38,210661,4178,86033,40.84,0.820582754,1.0024949572000001,-1.8798955613576993,81.85405304101613
JTEKTINDIA, EQ, 16-Dec-2021,93.95,94.45,96.3,92.0,92.45,92.7,93.09,102933,2666,39354,38.23,0.366346386,0.9687703404000001,-1.3304949441192122,37.81560713850277
JTEKTINDIA, EQ, 17-Dec-2021,92.7,92.4,92.5,89.3,89.75,89.95,90.61,95531,2076,56311,58.95,0.510233971,0.7856208715999999,-2.96655879180151,64.94659058139005
JTEKTINDIA, EQ, 20-Dec-2021,89.95,90.0,90.0,83.3,85.45,85.1,85.73,195120,4523,82923,42.5,0.710898879,0.7550983029999999,-5.391884380211238,94.14653379243525
JTEKTINDIA, EQ, 21-Dec-2021,85.1,85.45,87.2,70.05,86.0,84.9,84.09,195638,3659,64664,33.05,0.543759576,0.7963951297999999,-0.23501762632196077,68.27761191062976
JTEKTINDIA, EQ, 22-Dec-2021,84.9,85.35,89.8,85.35,86.7,87.25,87.21,123707,3129,49227,39.79,0.429308667,0.5903643132,2.767962308598344,72.71927814758705
JTEKTINDIA, EQ, 23-Dec-2021,87.25,87.7,89.05,87.6,88.5,88.7,88.55,94198,1689,56985,60.49,0.504602175,0.5121094958000001,1.6618911174785134,98.5340399149849
JTEKTINDIA, EQ, 24-Dec-2021,88.7,89.2,89.45,87.55,88.55,88.45,88.21,171041,2496,106819,62.45,0.9422503990000001,0.5397606536,-0.2818489289740699,174.56818919933218
JTEKTINDIA, EQ, 27-Dec-2021,88.45,87.1,90.45,87.1,89.5,89.6,89.21,116152,2377,63667,54.81,0.5679733069999999,0.6261639392,1.300169587337469,90.70680558922865
JTEKTINDIA, EQ, 28-Dec-2021,89.6,90.9,91.85,89.4,91.85,91.5,91.17,100226,1468,64128,63.98,0.5846549759999999,0.5975788248,2.1205357142857206,97.8372980661881
JTEKTINDIA, EQ, 29-Dec-2021,91.5,91.95,92.45,90.25,91.05,91.0,91.41,66035,1421,32843,49.74,0.300217863,0.6057579048,-0.546448087431694,49.56070083792326
JTEKTINDIA, EQ, 30-Dec-2021,91.0,91.0,91.9,89.0,89.5,89.7,90.61,71581,1465,35755,49.95,0.323976055,0.579939744,-1.4285714285714255,55.86374418236112
JTEKTINDIA, EQ, 31-Dec-2021,89.7,90.15,93.9,90.0,92.55,92.85,91.78,266716,3384,144425,54.15,1.32553265,0.54381452,3.5117056856187197,243.74719711419255
JTEKTINDIA, EQ, 03-Jan-2022,92.85,93.0,95.0,92.0,92.55,92.65,93.47,174488,2663,100365,57.52,0.938111655,0.6204709701999999,-0.21540118470650366,151.19348044560624
JTEKTINDIA, EQ, 04-Jan-2022,92.65,92.65,93.9,91.4,91.8,92.0,92.7,115985,2629,51426,44.34,0.47671902,0.6944986398,-0.7015650296816035,68.64218195406175
JTEKTINDIA, EQ, 05-Jan-2022,92.0,92.95,92.95,91.0,92.4,92.3,92.03,146350,2666,75509,51.59,0.6949093270000001,0.6729114486000001,0.326086956521736,103.26905991059698
JTEKTINDIA, EQ, 06-Jan-2022,92.3,92.0,93.85,91.8,93.05,93.2,92.95,199573,2835,93015,46.61,0.864574425,0.7518497413999999,0.9750812567714038,114.99298029817746
JTEKTINDIA, EQ, 07-Jan-2022,93.2,93.05,94.75,93.05,93.1,93.6,93.89,165811,2548,74825,45.13,0.702531925,0.8599694153999999,0.429184549356214,81.69266399703638
JTEKTINDIA, EQ, 10-Jan-2022,93.6,93.75,94.9,92.4,93.2,93.25,93.65,236089,3410,118002,49.98,1.10508873,0.7353692704,-0.3739316239316179,150.27670783671627
JTEKTINDIA, EQ, 11-Jan-2022,93.25,93.6,94.75,92.55,93.0,92.95,93.53,108092,2206,47558,44.0,0.444809974,0.7687646854000001,-0.3217158176943669,57.860354728515986
JTEKTINDIA, EQ, 12-Jan-2022,92.95,93.25,94.8,92.9,93.4,93.4,93.74,117507,2218,59225,50.4,0.55517515,0.7623828762,0.4841312533620256,72.8210414125773
JTEKTINDIA, EQ, 13-Jan-2022,93.4,93.05,94.45,92.95,93.1,93.2,93.57,88133,1578,45684,51.84,0.427465188,0.7344360408,-0.2141327623126369,58.2031877866961
JTEKTINDIA, EQ, 14-Jan-2022,93.2,93.3,101.7,93.3,97.6,97.55,98.72,1377481,18721,364001,26.43,3.593417872,0.6470141934000001,4.66738197424892,555.38470541379
JTEKTINDIA, EQ, 17-Jan-2022,97.55,97.75,99.9,97.0,97.9,97.5,98.46,303062,5114,127579,42.1,1.256142834,1.2251913827999998,-0.05125576627370289,102.52625439866097
JTEKTINDIA, EQ, 18-Jan-2022,97.5,97.9,98.3,94.1,95.3,94.65,96.09,162271,3782,85700,52.81,0.8234913,1.2554022035999999,-2.923076923076917,65.59581444405234
JTEKTINDIA, EQ, 19-Jan-2022,94.65,95.3,95.3,93.05,94.25,94.4,94.09,110778,2324,59928,54.1,0.563862552,1.3311384687999999,-0.2641310089804543,42.35942129358737
JTEKTINDIA, EQ, 20-Jan-2022,94.4,94.25,94.6,93.3,94.0,93.6,94.03,86182,1682,50279,58.34,0.472773437,1.3328759492,-0.847457627118656,35.47017539657471
JTEKTINDIA, EQ, 21-Jan-2022,93.6,93.6,94.0,90.75,91.5,91.3,92.45,114122,2491,64301,56.34,0.5944627450000001,1.341937599,-2.4572649572649543,44.29883665551874
JTEKTINDIA, EQ, 24-Jan-2022,91.3,91.0,91.15,86.0,87.4,87.05,88.08,192520,3488,119280,61.96,1.0506182400000001,0.7421465735999999,-4.6549835706462215,141.5647902143734
JTEKTINDIA, EQ, 25-Jan-2022,87.05,87.0,89.85,85.05,88.85,88.8,88.28,122868,3371,54203,44.11,0.478504084,0.7010416548,2.010338885697875,68.25615578242812
JTEKTINDIA, EQ, 27-Jan-2022,88.8,88.0,91.65,87.5,88.75,89.1,89.57,118447,2728,45622,38.52,0.408636254,0.6320442116,0.33783783783783466,64.65311231401839
JTEKTINDIA, EQ, 28-Jan-2022,89.1,89.55,92.0,89.1,90.0,89.7,90.47,76941,1728,44649,58.03,0.403939503,0.6009989520000001,0.673400673400683,67.21134898085478
JTEKTINDIA, EQ, 31-Jan-2022,89.7,90.15,91.35,89.0,90.0,90.15,90.4,52417,1385,26677,50.89,0.24116008000000003,0.5872321652000001,0.5016722408026787,41.067246362069675
JTEKTINDIA, EQ, 01-Feb-2022,90.15,91.0,91.8,86.9,88.9,88.6,89.07,105340,2634,62691,59.51,0.5583887369999999,0.5165716322,-1.719356627842497,108.0951221850699
JTEKTINDIA, EQ, 02-Feb-2022,88.6,88.6,90.5,88.6,89.1,89.0,89.35,94197,1567,62319,66.16,0.5568202649999999,0.4181257316,0.4514672686230313,133.17053290867113
JTEKTINDIA, EQ, 03-Feb-2022,89.0,89.0,90.95,87.85,87.9,88.0,88.9,199570,2634,119131,59.69,1.05907459,0.4337889678,-1.1235955056179776,244.145118620972
JTEKTINDIA, EQ, 04-Feb-2022,88.0,88.45,89.4,86.65,87.0,86.9,87.51,151955,2625,100486,66.13,0.8793529860000001,0.563876635,-1.2499999999999936,155.94776080764547
JTEKTINDIA, EQ, 07-Feb-2022,86.9,86.9,89.0,85.0,85.5,85.5,86.46,120100,2217,68572,57.1,0.5928735119999999,0.6589593316,-1.6110471806674402,89.97118389088762
