SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
JYOTHYLAB, EQ, 14-Oct-2021,163.05,164.4,164.5,161.75,162.35,162.35,162.36,465336,10106,320586,68.89,5.205034296,,,
JYOTHYLAB, EQ, 18-Oct-2021,162.35,163.6,163.7,162.4,162.9,163.05,163.02,717240,17898,543058,75.71,8.852931516000002,,,
JYOTHYLAB, EQ, 19-Oct-2021,163.05,163.5,163.5,162.0,163.0,163.05,162.99,840993,10426,581390,69.13,9.47607561,,,
JYOTHYLAB, EQ, 20-Oct-2021,163.05,163.0,163.05,159.05,160.8,160.75,160.73,334626,6925,222674,66.54,3.5790392019999997,,,
JYOTHYLAB, EQ, 21-Oct-2021,160.75,160.8,161.45,153.3,154.5,154.95,157.72,853266,16969,604833,70.88,9.539426076,,,
JYOTHYLAB, EQ, 22-Oct-2021,154.95,155.45,158.5,154.4,156.05,155.75,156.62,457627,8232,306952,67.07,4.807482224,7.3305013400000005,0.5162955792191103,65.58190226045303
JYOTHYLAB, EQ, 25-Oct-2021,155.75,157.0,157.0,152.0,154.0,153.75,154.11,326141,5947,232799,71.38,3.587665389,7.2509909256,-1.2841091492776886,49.47827718737809
JYOTHYLAB, EQ, 26-Oct-2021,153.75,155.3,155.3,153.3,154.3,154.0,153.87,298404,9148,226730,75.98,3.48869451,6.1979377002,0.16260162601626016,56.28798930791808
JYOTHYLAB, EQ, 27-Oct-2021,154.0,155.25,155.25,153.4,155.15,154.6,154.46,457498,8165,324810,71.0,5.01701526,5.0004614802,0.3896103896103859,100.33104504185357
JYOTHYLAB, EQ, 28-Oct-2021,154.6,156.0,156.0,152.45,154.05,154.2,153.65,350608,9042,257969,73.58,3.963693685,5.2880566918,-0.2587322121604177,74.95558228689866
JYOTHYLAB, EQ, 29-Oct-2021,154.2,154.0,157.85,151.5,156.65,156.55,154.95,418004,7478,271816,65.03,4.211788919999999,4.1729102136,1.52399481193257,100.93169285726036
JYOTHYLAB, EQ, 01-Nov-2021,156.55,157.4,158.45,153.7,158.0,155.85,155.6,195983,5726,98708,50.37,1.53589648,4.0537715528,-0.4471414883423935,37.888086686560655
JYOTHYLAB, EQ, 02-Nov-2021,155.85,156.4,159.9,153.1,159.0,158.05,156.26,764744,13516,194219,25.4,3.034866094,3.643417771,1.4116137311517596,83.29723036858952
JYOTHYLAB, EQ, 03-Nov-2021,158.05,154.0,157.7,154.0,156.2,155.45,154.8,1769909,15968,1454660,82.19,22.518136800000004,3.5526520878,-1.645049035115484,633.8401915945698
JYOTHYLAB, EQ, 08-Nov-2021,158.15,159.9,162.55,157.05,161.8,161.65,160.03,366725,7497,189748,51.74,3.0365372440000002,7.052876395800001,3.9884207140559775,43.05388431035404
JYOTHYLAB, EQ, 09-Nov-2021,161.65,162.0,163.6,160.55,161.5,161.3,161.96,288884,6327,160264,55.48,2.595635744,6.867445107600001,-0.21651716671821486,37.796235766449534
JYOTHYLAB, EQ, 10-Nov-2021,161.3,161.3,163.25,159.1,159.75,159.8,161.36,181108,4292,100242,55.35,1.617504912,6.544214472400002,-0.9299442033477991,24.71656329146563
JYOTHYLAB, EQ, 11-Nov-2021,159.8,160.8,160.8,157.35,158.25,157.7,158.11,1179997,6041,1105986,93.73,17.486744646000002,6.560536158800001,-1.314142678347949,266.54444427600765
JYOTHYLAB, EQ, 12-Nov-2021,157.7,158.7,160.5,157.95,158.85,158.7,159.06,181544,4728,90841,50.04,1.444916946,9.450911869200002,0.6341154090044389,15.288651148138458
JYOTHYLAB, EQ, 15-Nov-2021,158.7,159.5,159.7,156.6,157.3,157.15,158.07,251926,3648,194402,77.17,3.0729124139999997,5.2362678984,-0.9766855702583384,58.68516419755685
JYOTHYLAB, EQ, 16-Nov-2021,157.15,157.3,158.0,154.1,155.0,155.6,155.69,251684,5336,185264,73.61,2.884375216,5.2435429324000005,-0.9863188036907486,55.00813578119793
JYOTHYLAB, EQ, 17-Nov-2021,155.6,155.0,157.05,154.0,155.0,155.0,155.76,245671,5783,191649,78.01,2.9851248239999997,5.301290826800001,-0.3856041131105362,56.30939560812399
JYOTHYLAB, EQ, 18-Nov-2021,155.0,155.0,155.6,151.2,152.0,151.85,152.44,289212,5202,206564,71.42,3.148861616,5.5748148092,-2.0322580645161326,56.4836989885924
JYOTHYLAB, EQ, 22-Nov-2021,151.85,153.2,153.35,149.1,150.4,149.65,151.09,421046,9008,296250,70.36,4.47604125,2.7072382031999997,-1.4487981560750667,165.3360699737927
JYOTHYLAB, EQ, 23-Nov-2021,149.65,149.65,151.05,148.0,150.5,150.0,149.8,928556,7220,800176,86.17,11.986636480000001,3.3134630639999996,0.2338790511192745,361.7555484541838
JYOTHYLAB, EQ, 24-Nov-2021,150.0,150.8,153.2,149.65,150.5,151.05,150.56,379986,8150,234542,61.72,3.5312643520000004,5.0962078771999995,0.7000000000000075,69.29199979848892
JYOTHYLAB, EQ, 25-Nov-2021,151.05,151.8,152.7,150.2,152.7,151.45,151.11,197016,2651,147956,75.1,2.235763116,5.2255857044,0.2648129758358009,42.784928665842436
JYOTHYLAB, EQ, 26-Nov-2021,151.45,152.7,153.1,149.5,151.1,151.4,151.14,226928,5337,90154,39.73,1.3625875559999998,5.0757133628,-0.0330141961043136,26.8452424044752
JYOTHYLAB, EQ, 29-Nov-2021,151.4,150.0,153.0,144.55,151.0,150.65,150.21,450017,10714,274466,60.99,4.122753786,4.718458550800001,-0.4953764861294584,87.37501329329254
JYOTHYLAB, EQ, 30-Nov-2021,150.65,152.8,155.85,150.5,155.0,154.55,153.12,397995,7153,222636,55.94,3.409002432,4.647801058000001,2.588781944905414,73.34656517047506
JYOTHYLAB, EQ, 01-Dec-2021,154.55,155.0,156.05,149.6,153.6,153.35,151.93,534677,12156,374673,70.07,5.692406889,2.9322742483999997,-0.7764477515367305,194.1294165136863
JYOTHYLAB, EQ, 02-Dec-2021,153.35,155.0,155.0,150.5,153.0,153.05,152.11,251885,8657,171659,68.15,2.6111050490000003,3.3645027557999994,-0.1956309096837189,77.60745758043349
JYOTHYLAB, EQ, 03-Dec-2021,153.05,153.0,153.0,149.95,151.15,150.95,150.95,563678,8945,443573,78.69,6.695734434999999,3.4395711423999997,-1.3721006207122002,194.66771169407983
JYOTHYLAB, EQ, 06-Dec-2021,150.95,150.25,150.95,149.0,149.05,149.15,149.97,195198,5917,134865,69.09,2.022570405,4.5062005182,-1.1924478304074084,44.88416342839344
JYOTHYLAB, EQ, 07-Dec-2021,149.15,149.2,150.95,148.5,150.0,150.0,149.93,138870,4371,83230,59.93,1.2478673900000001,4.0861638419999995,0.5698960777740492,30.538848618199882
JYOTHYLAB, EQ, 08-Dec-2021,150.0,151.0,151.0,149.0,149.65,149.4,149.95,288472,8043,185775,64.4,2.7856961249999994,3.6539368335999995,-0.3999999999999962,76.23821242293957
JYOTHYLAB, EQ, 09-Dec-2021,149.4,149.65,150.3,148.75,149.3,149.3,149.51,1465203,3560,1376019,93.91,20.572860069,3.0725946807999995,-0.06693440428379807,669.559841314427
JYOTHYLAB, EQ, 10-Dec-2021,149.3,149.65,150.6,149.25,149.5,149.5,149.56,1706555,11476,1472216,86.27,22.018462496,6.6649456848,0.13395847287340162,330.3622195483912
JYOTHYLAB, EQ, 13-Dec-2021,149.5,151.0,151.7,148.0,148.45,148.25,149.77,221779,5850,113153,51.02,1.6946924810000001,9.729491297000001,-0.8361204013377926,17.4180995621276
JYOTHYLAB, EQ, 14-Dec-2021,148.25,149.55,156.6,148.6,155.0,155.1,153.32,1133852,14446,600327,52.95,9.204213564,9.663915712199998,4.620573355817871,95.24310681207973
JYOTHYLAB, EQ, 15-Dec-2021,155.1,156.0,156.25,149.35,150.0,149.65,150.85,708734,10378,498783,70.38,7.524141555,11.255184947,-3.513862024500315,66.85044795292781
JYOTHYLAB, EQ, 16-Dec-2021,149.65,150.4,151.9,146.15,147.0,146.8,147.1,747134,17004,548821,73.46,8.07315691,12.202874032999999,-1.9044437019712626,66.15783206618306
JYOTHYLAB, EQ, 17-Dec-2021,146.8,147.5,147.5,143.0,144.5,143.55,143.87,446232,15734,299562,67.13,4.309798494000001,9.702933401200001,-2.2138964577656672,44.41747990836452
JYOTHYLAB, EQ, 20-Dec-2021,143.55,143.0,145.5,139.0,139.9,140.15,143.55,863889,19275,433878,50.22,6.228318690000001,6.161200600799999,-2.368512713340303,101.08936704952094
JYOTHYLAB, EQ, 21-Dec-2021,140.15,140.0,142.3,139.05,140.35,139.8,140.7,235089,7209,101095,43.0,1.4224066499999999,7.0679258426,-0.24973242953977476,20.124810045782183
JYOTHYLAB, EQ, 22-Dec-2021,139.8,142.0,142.0,139.5,139.75,139.9,140.27,202480,8043,102981,50.86,1.4445144870000002,5.511564459800001,0.07153075822603312,26.208792395261536
JYOTHYLAB, EQ, 23-Dec-2021,139.9,140.75,141.1,139.55,140.0,139.95,140.26,208454,7230,110394,52.96,1.548386244,4.2956390462,0.035739814152954213,36.04553891393017
JYOTHYLAB, EQ, 24-Dec-2021,139.95,140.5,140.5,137.75,138.0,137.95,138.52,290532,10502,187722,64.61,2.600325144,2.990684913,-1.429081814933905,86.94747924453118
JYOTHYLAB, EQ, 27-Dec-2021,137.95,138.65,138.65,136.05,136.5,136.35,136.66,285934,9201,185004,64.7,2.528264664,2.6487902429999997,-1.1598405219282308,95.44978771654287
JYOTHYLAB, EQ, 28-Dec-2021,136.35,136.55,137.25,135.0,136.55,136.2,135.82,802912,14623,590987,73.61,8.026785433999999,1.9087794377999998,-0.11001100110011419,420.5192739948741
JYOTHYLAB, EQ, 29-Dec-2021,136.2,138.7,142.0,137.45,139.65,139.25,140.2,882532,13943,255739,28.98,3.5854607799999996,3.2296551945999994,2.2393538913362785,111.01682885513317
JYOTHYLAB, EQ, 30-Dec-2021,139.25,140.5,140.75,137.0,137.7,137.3,138.32,330885,9936,184060,55.63,2.54591792,3.6578444532,-1.400359066427281,69.60159056989832
JYOTHYLAB, EQ, 31-Dec-2021,137.3,138.15,138.8,137.2,138.5,138.2,138.01,362486,8509,179790,49.6,2.4812817899999997,3.8573507883999993,0.6554989075018042,64.32606019296516
JYOTHYLAB, EQ, 03-Jan-2022,138.2,138.9,140.8,138.3,139.0,138.95,139.14,349846,7519,186758,53.38,2.5985508119999996,3.8335421175999995,0.5426917510853836,67.78459013323244
JYOTHYLAB, EQ, 04-Jan-2022,138.95,139.7,140.0,137.75,138.0,138.05,138.48,328368,7421,210057,63.97,2.908869336,3.8475993472,-0.6477150053976087,75.60218914468996
JYOTHYLAB, EQ, 05-Jan-2022,138.05,138.45,141.45,138.1,139.0,138.75,139.7,567118,8434,216512,38.18,3.02467264,2.8240161275999998,0.5070626584570725,107.10536000268982
JYOTHYLAB, EQ, 06-Jan-2022,138.75,138.65,138.65,137.45,138.5,138.0,138.02,250578,4063,157098,62.69,2.168266596,2.7118584996,-0.5405405405405406,79.9550048912884
JYOTHYLAB, EQ, 07-Jan-2022,138.0,138.7,138.7,136.95,137.45,137.25,137.61,456432,8158,295056,64.64,4.060265616000001,2.6363282348,-0.5434782608695652,154.01214319232994
JYOTHYLAB, EQ, 10-Jan-2022,137.25,138.0,138.4,137.4,138.25,137.8,137.83,425181,7421,249421,58.66,3.4377696429999998,2.952125,0.40072859744991723,116.45068020493711
JYOTHYLAB, EQ, 11-Jan-2022,137.8,138.45,143.9,138.4,141.4,141.1,141.97,1336920,15753,350545,26.22,4.976687365,3.1199687662,2.3947750362844578,159.51080725277293
JYOTHYLAB, EQ, 12-Jan-2022,141.1,142.2,142.8,140.05,140.3,140.35,141.35,290350,5503,154506,53.21,2.18394231,3.533532372,-0.5315379163713678,61.80620637030915
JYOTHYLAB, EQ, 13-Jan-2022,140.35,141.45,143.0,140.5,141.7,141.85,141.93,332871,4608,160373,48.18,2.276173989,3.365386306,1.0687566797292483,67.63485026791454
JYOTHYLAB, EQ, 14-Jan-2022,141.85,142.65,142.9,141.35,142.5,142.45,142.18,232299,3846,134105,57.73,1.9067048900000003,3.3869677846000004,0.42298202326400725,56.295335865592875
JYOTHYLAB, EQ, 17-Jan-2022,142.45,143.3,144.45,142.7,143.0,143.1,143.24,297285,4466,178414,60.01,2.5556021360000005,2.9562556393999997,0.4563004563004603,86.44726463908529
JYOTHYLAB, EQ, 18-Jan-2022,143.1,143.85,144.9,139.5,141.3,140.7,142.76,278431,4680,152303,54.7,2.1742776279999996,2.779822138,-1.6771488469601716,78.2164296872723
JYOTHYLAB, EQ, 19-Jan-2022,140.7,141.2,141.7,139.4,141.0,141.2,140.8,145368,3119,69754,47.98,0.9821363200000001,2.2193401905999997,0.3553660270078181,44.25352742945096
JYOTHYLAB, EQ, 20-Jan-2022,141.2,142.0,142.05,140.0,140.7,140.55,141.05,138258,2650,71304,51.57,1.00574292,1.9789789926,-0.4603399433427601,50.82130349845938
JYOTHYLAB, EQ, 21-Jan-2022,140.55,140.7,145.25,138.15,139.6,139.8,141.41,1059890,14966,213176,20.11,3.014521816,1.7248927788000004,-0.5336179295624333,174.76575083682525
JYOTHYLAB, EQ, 24-Jan-2022,139.8,139.75,139.95,136.05,137.2,137.4,137.54,421067,11021,213891,50.8,2.941856814,1.946456164,-1.7167381974248965,151.13912496002143
JYOTHYLAB, EQ, 25-Jan-2022,137.4,135.0,140.0,133.7,136.25,136.4,137.03,396766,6971,215506,54.32,2.953078718,2.0237070995999997,-0.727802037845706,145.92421593933713
