SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
KALPATPOWR, EQ, 14-Oct-2021,433.55,437.5,449.0,437.0,444.85,443.45,442.81,635007,17923,321891,50.69,14.253655371,,,
KALPATPOWR, EQ, 18-Oct-2021,443.45,447.45,452.65,432.85,443.0,441.95,444.64,430484,15331,224450,52.14,9.9799448,,,
KALPATPOWR, EQ, 19-Oct-2021,441.95,443.4,443.8,423.0,425.7,425.3,432.99,219806,11621,115830,52.7,5.01532317,,,
KALPATPOWR, EQ, 20-Oct-2021,425.3,423.0,427.0,411.05,418.0,417.15,420.5,206453,9991,88720,42.97,3.730676,,,
KALPATPOWR, EQ, 21-Oct-2021,417.15,420.0,426.9,410.0,422.25,422.95,415.08,422545,4793,355232,84.07,14.744969856,,,
KALPATPOWR, EQ, 22-Oct-2021,422.95,423.0,432.0,418.3,428.0,427.8,422.69,203092,8790,109223,53.78,4.616746987,9.544913839400001,1.1467076486582393,48.368660678137786
KALPATPOWR, EQ, 25-Oct-2021,427.8,436.0,436.0,415.5,424.7,423.4,421.75,213266,21565,127901,59.97,5.394224675,7.6175321626,-1.0285179990649918,70.81328388062697
KALPATPOWR, EQ, 26-Oct-2021,423.4,424.4,439.4,423.3,437.0,437.5,434.57,286185,18540,190961,66.73,8.298592177,6.700388137600001,3.33018422295702,123.8524098392374
KALPATPOWR, EQ, 27-Oct-2021,437.5,440.4,443.65,436.05,437.95,437.4,439.43,185569,8196,134955,72.72,5.930327565,7.357041939,-0.022857142857148054,80.60749978280096
KALPATPOWR, EQ, 28-Oct-2021,437.4,439.2,439.2,425.4,434.0,428.15,427.6,678759,9587,589678,86.88,25.214631280000003,7.796972252000001,-2.1147690900777323,323.3900348116822
KALPATPOWR, EQ, 29-Oct-2021,428.15,428.0,428.0,417.1,418.1,420.25,421.78,585275,9535,505788,86.42,21.333126263999997,9.890904536799999,-1.8451477285997844,215.684280286279
KALPATPOWR, EQ, 01-Nov-2021,420.25,400.05,413.1,394.05,409.0,409.75,406.14,371272,18506,176953,47.66,7.186769142,13.234180392199999,-2.498512790005949,54.30460314894725
KALPATPOWR, EQ, 02-Nov-2021,409.75,408.0,411.9,396.25,408.0,407.35,402.05,1001116,31290,775728,77.49,31.188144240000003,13.592689285599999,-0.5857230018303788,229.44793031530932
KALPATPOWR, EQ, 03-Nov-2021,407.35,411.5,413.6,406.4,410.2,411.25,410.41,181130,6778,97675,53.93,4.008679675,18.1705996982,0.9574076347121584,22.061350431912842
KALPATPOWR, EQ, 08-Nov-2021,416.75,418.85,421.95,411.1,421.7,420.0,419.55,328206,25830,270718,82.48,11.357973690000001,17.7862701202,2.127659574468085,63.85809735960698
KALPATPOWR, EQ, 09-Nov-2021,420.0,422.0,422.0,416.5,420.0,420.1,419.88,188328,12161,153828,81.68,6.4589300640000005,15.014938602199999,0.023809523809529224,43.01669314221261
KALPATPOWR, EQ, 10-Nov-2021,420.1,418.0,423.4,414.5,417.15,416.8,417.15,101895,5304,60934,59.8,2.54186181,12.0400993622,-0.7855272554153799,21.111634825707483
KALPATPOWR, EQ, 11-Nov-2021,416.8,415.0,421.3,413.2,420.0,419.35,418.86,215568,11665,169513,78.64,7.100221518000001,11.111117895800001,0.6118042226487551,63.90195464206065
KALPATPOWR, EQ, 12-Nov-2021,419.35,421.6,423.0,418.85,420.4,420.05,420.29,126505,3397,96713,76.45,4.064750677,6.293533351400001,0.1669250029808009,64.58614660548027
KALPATPOWR, EQ, 15-Nov-2021,420.05,420.0,421.5,414.95,417.0,416.8,417.55,80997,3526,53212,65.7,2.22186706,6.3047475518,-0.7737174145935007,35.24117407945476
KALPATPOWR, EQ, 16-Nov-2021,416.8,417.0,420.1,414.05,417.5,417.1,416.23,620913,3909,571237,92.0,23.776597651000003,4.4775262258,0.07197696737044418,531.0208461537674
KALPATPOWR, EQ, 17-Nov-2021,417.1,417.0,428.5,413.1,418.0,419.4,421.02,220715,7534,77673,35.19,3.270188646,7.9410597432,0.5514265164229092,41.180758636154216
KALPATPOWR, EQ, 18-Nov-2021,419.4,430.0,430.0,406.0,406.55,408.3,418.41,308793,12549,100512,32.55,4.205522592,8.0867251104,-2.6466380543633683,52.0052621374684
KALPATPOWR, EQ, 22-Nov-2021,408.3,408.0,410.0,400.0,407.5,407.5,407.23,189251,7057,99081,52.35,4.034875563,7.507785325200001,-0.19593436198873654,53.74255373894184
KALPATPOWR, EQ, 23-Nov-2021,407.5,396.1,407.9,396.1,407.0,406.7,403.41,101159,4134,49056,48.49,1.978968096,7.501810302400001,-0.19631901840491076,26.379873873468686
KALPATPOWR, EQ, 24-Nov-2021,406.7,406.7,412.3,401.0,403.0,401.95,406.26,125906,4888,64792,51.46,2.632239792,7.453230509600002,-1.1679370543398082,35.31676349751413
KALPATPOWR, EQ, 25-Nov-2021,401.95,401.95,408.0,399.7,404.5,405.8,404.64,74939,3443,37818,50.47,1.530267552,3.2243589378000004,0.957830575942287,47.45959062002293
KALPATPOWR, EQ, 26-Nov-2021,405.8,404.7,404.7,385.5,386.0,395.25,398.7,330041,8129,237949,72.1,9.487026629999999,2.876374719,-2.599802858551013,329.8258244078246
KALPATPOWR, EQ, 29-Nov-2021,395.25,386.65,392.2,361.25,385.0,383.95,384.59,315621,14466,201091,63.71,7.733758769,3.9326755265999993,-2.8589500316255565,196.65387384975114
KALPATPOWR, EQ, 30-Nov-2021,383.95,389.8,394.0,382.25,387.0,388.4,387.11,263120,10435,153576,58.37,5.945080536,4.6724521678,1.1590050787862973,127.2368410097435
KALPATPOWR, EQ, 01-Dec-2021,388.4,388.8,390.5,382.05,390.0,384.75,384.56,301356,10010,235688,78.21,9.063617728,5.465674655799999,-0.939752832131817,165.82797730893074
KALPATPOWR, EQ, 02-Dec-2021,384.75,389.9,389.9,376.75,383.0,382.2,382.57,161248,6670,97294,60.34,3.7221765579999997,6.751950242999999,-0.6627680311890868,55.12742872859469
KALPATPOWR, EQ, 03-Dec-2021,382.2,384.15,385.1,381.0,382.5,382.05,382.09,596616,7846,507939,85.14,19.407841251,7.1903320442,-0.039246467817890436,269.9157859706231
KALPATPOWR, EQ, 06-Dec-2021,382.05,380.5,382.05,377.0,380.8,379.5,379.65,295891,7848,227950,77.04,8.65412175,9.174494968400001,-0.6674519042010237,94.32804508376385
KALPATPOWR, EQ, 07-Dec-2021,379.5,380.25,381.85,378.3,381.05,380.05,380.25,85360,2937,49825,58.37,1.894595625,9.3585675646,0.14492753623188706,20.244504427863028
KALPATPOWR, EQ, 08-Dec-2021,380.05,381.7,382.35,376.0,378.0,377.55,378.21,177009,5015,95132,53.74,3.597987372,8.5484705824,-0.6578081831337982,42.08925254311231
KALPATPOWR, EQ, 09-Dec-2021,377.55,378.1,392.0,378.1,382.6,382.4,381.73,1476140,8695,74130,5.02,2.82976449,7.455344511200001,1.2845980664812517,37.95618680999794
KALPATPOWR, EQ, 10-Dec-2021,382.4,389.0,390.0,380.2,383.0,383.4,384.15,277980,7695,108564,39.05,4.170486059999999,7.2768620976000005,0.26150627615062766,57.31159947878465
KALPATPOWR, EQ, 13-Dec-2021,383.4,389.0,391.8,377.0,377.9,377.65,382.07,276135,10811,125314,45.38,4.787871998,4.229391059399999,-1.4997391757955139,113.2047599939654
