SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
KALYANKJIL, EQ, 14-Oct-2021,78.0,78.65,80.85,78.1,78.95,78.8,79.45,3033952,18737,1274953,42.02,10.129501585000002,,,
KALYANKJIL, EQ, 18-Oct-2021,78.8,79.5,80.5,77.65,77.8,77.95,79.13,2828462,17643,1472967,52.08,11.655587871,,,
KALYANKJIL, EQ, 19-Oct-2021,77.95,78.0,78.65,75.0,75.3,75.5,76.72,1767147,13707,998894,56.53,7.663514767999999,,,
KALYANKJIL, EQ, 20-Oct-2021,75.5,75.65,76.7,74.55,75.45,75.05,75.59,1358479,11772,698829,51.44,5.282448411,,,
KALYANKJIL, EQ, 21-Oct-2021,75.05,75.4,79.3,75.05,75.9,75.6,77.0,3135469,20598,1115670,35.58,8.590659,,,
KALYANKJIL, EQ, 22-Oct-2021,75.6,76.75,77.35,74.8,75.15,75.4,76.16,1743376,10585,820743,47.08,6.250778688,8.664342327,-0.26455026455024955,72.1437179198379
KALYANKJIL, EQ, 25-Oct-2021,75.4,75.4,75.95,72.0,74.4,74.15,74.58,1283955,11846,555007,43.23,4.1392422060000005,7.8885977475999995,-1.6578249336870026,52.47120386204646
KALYANKJIL, EQ, 26-Oct-2021,74.15,74.55,76.0,74.15,76.0,75.8,75.46,914208,6784,445949,48.78,3.3651311539999997,6.385328614600001,2.2252191503708585,52.70098623124353
KALYANKJIL, EQ, 27-Oct-2021,75.8,76.0,78.6,75.4,76.15,76.25,77.12,3410455,21393,835651,24.5,6.4445405120000006,5.525651891800001,0.5936675461741463,116.62950613236455
KALYANKJIL, EQ, 28-Oct-2021,76.25,77.7,78.4,76.0,76.25,76.55,76.96,2121676,15540,730994,34.45,5.6257298239999995,5.758070311999999,0.39344262295081595,97.70165210167376
KALYANKJIL, EQ, 29-Oct-2021,76.55,76.25,78.15,75.65,76.2,76.25,77.01,1947467,13607,857748,44.04,6.605517348,5.1650844768,-0.39190071848464686,127.88788600980274
KALYANKJIL, EQ, 01-Nov-2021,76.25,76.3,77.55,76.3,76.85,76.65,76.9,870108,6456,450841,51.81,3.466967290000001,5.2360322088,0.5245901639344337,66.2136356642956
KALYANKJIL, EQ, 02-Nov-2021,76.65,77.8,79.5,77.65,77.9,77.95,78.41,2138948,16365,931677,43.56,7.305279356999999,5.1015772256,1.696020874103062,143.19648677161445
KALYANKJIL, EQ, 03-Nov-2021,77.95,78.6,79.3,77.25,77.75,77.55,78.32,2388363,18097,866100,36.26,6.7832952,5.889606866199999,-0.5131494547787115,115.17398960750351
KALYANKJIL, EQ, 08-Nov-2021,78.0,78.0,78.7,77.25,78.3,78.3,78.14,1521242,12707,903819,59.41,7.062441666,5.9573578038,0.9671179883945842,118.5498991095533
KALYANKJIL, EQ, 09-Nov-2021,78.3,78.3,79.8,78.0,78.7,78.65,78.77,1554141,12204,841935,54.17,6.631921995,6.2447001722,0.4469987228608027,106.20080727852755
KALYANKJIL, EQ, 10-Nov-2021,78.65,78.25,83.6,78.0,81.5,81.5,81.6,10337151,62165,3446792,33.34,28.12582272,6.2499811015999995,3.6236490781945254,450.0145242487176
