SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
KIOCL, EQ, 14-Oct-2021,294.15,296.7,298.45,284.1,284.1,285.4,289.49,117573,5043,57312,48.75,1.6591250880000001,,,
KIOCL, EQ, 18-Oct-2021,285.4,286.55,305.0,285.55,294.5,295.15,297.32,191457,6880,81154,42.39,2.412870728,,,
KIOCL, EQ, 19-Oct-2021,295.15,297.95,297.95,280.05,281.1,283.75,289.09,72961,3835,33619,46.08,0.971891671,,,
KIOCL, EQ, 20-Oct-2021,283.75,278.0,284.85,262.2,272.0,268.7,273.64,115304,5441,50442,43.75,1.3802948879999999,,,
KIOCL, EQ, 21-Oct-2021,268.7,271.5,283.8,269.0,279.8,279.9,279.42,145035,6684,47574,32.8,1.329312708,,,
KIOCL, EQ, 22-Oct-2021,279.9,282.0,287.0,255.65,264.3,262.95,266.55,186526,8456,90135,48.32,2.402548425,1.5506990165999999,-6.0557341907824185,154.93325263517164
KIOCL, EQ, 25-Oct-2021,262.95,265.0,268.05,255.6,261.35,261.25,261.23,64841,3992,22738,35.07,0.593984774,1.699383684,-0.6465107434873507,34.952952625853264
KIOCL, EQ, 26-Oct-2021,261.25,262.0,271.1,261.15,270.8,269.8,268.34,37625,2180,15579,41.41,0.41804688599999995,1.3356064931999998,3.272727272727277,31.300153759989225
KIOCL, EQ, 27-Oct-2021,269.8,286.0,286.0,272.25,274.95,274.65,279.62,134569,5653,33527,24.91,0.937481974,1.2248375362,1.797627872498134,76.53929164422027
KIOCL, EQ, 28-Oct-2021,274.65,277.0,278.8,260.0,263.5,261.85,266.61,48350,4087,19978,41.32,0.5326334580000001,1.1362749533999998,-4.6604769706899525,46.875402507662116
KIOCL, EQ, 29-Oct-2021,261.85,267.0,269.05,259.0,261.1,261.95,263.51,53573,3404,14587,27.23,0.38438203699999995,0.9769391034,0.038189803322499855,39.345547297907444
KIOCL, EQ, 01-Nov-2021,261.95,266.0,275.0,260.0,267.0,267.25,267.01,64855,4733,16831,25.95,0.44940453099999994,0.5733058258,2.0232868868104643,78.38827215350442
KIOCL, EQ, 02-Nov-2021,267.25,269.0,270.65,264.6,268.0,268.45,267.36,38359,2245,18122,47.24,0.484509792,0.5443897771999999,0.44901777362020157,89.00053092326878
KIOCL, EQ, 03-Nov-2021,268.45,269.0,270.95,255.5,260.5,259.45,262.21,59130,3218,32818,55.5,0.8605207779999999,0.5576823583999999,-3.3525796237660646,154.3030302175684
KIOCL, EQ, 08-Nov-2021,266.25,269.0,269.0,261.85,265.5,266.0,265.12,28192,1929,14510,51.47,0.38468912,0.5422901191999999,2.524571208325308,70.93788110458348
KIOCL, EQ, 09-Nov-2021,266.0,266.0,271.15,265.05,268.1,268.35,268.47,41508,1717,21786,52.49,0.5848887420000001,0.5127012515999999,0.8834586466165498,114.07983502570411
KIOCL, EQ, 10-Nov-2021,268.35,268.5,271.0,262.0,265.5,264.15,265.25,35063,1913,16814,47.95,0.44599135,0.5528025926,-1.5651201788708946,80.6782305239138
KIOCL, EQ, 11-Nov-2021,264.15,265.5,274.85,261.35,268.7,269.3,268.16,70409,2913,33074,46.97,0.8869123840000002,0.5521199564,1.9496498201779424,160.63762479859534
KIOCL, EQ, 12-Nov-2021,269.3,267.0,273.75,265.5,266.95,268.2,269.28,35608,4011,15991,44.91,0.43060564799999995,0.6326004748,-0.4084663943557455,68.06913133224222
KIOCL, EQ, 15-Nov-2021,268.2,262.0,266.9,252.0,261.85,260.1,258.5,117241,4940,59400,50.66,1.53549,0.5466174488,-3.020134228187907,280.9076079387681
KIOCL, EQ, 16-Nov-2021,260.1,260.0,263.0,256.5,258.5,258.6,259.23,50761,2064,27686,54.54,0.7177041780000001,0.7767776248,-0.5767012687427912,92.39506328272395
KIOCL, EQ, 17-Nov-2021,258.6,260.4,260.4,254.4,255.1,255.05,256.16,28383,1237,17731,62.47,0.4541972960000001,0.8033407120000001,-1.3727764887857739,56.538563179404754
KIOCL, EQ, 18-Nov-2021,255.05,248.25,257.05,247.5,252.2,252.3,251.5,62341,3167,33010,52.95,0.8302015,0.8049819012,-1.0782199568712016,103.13293985397742
