SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
KIRIINDUS, EQ, 14-Oct-2021,542.35,546.65,546.65,532.5,534.05,533.8,536.86,92799,3906,43938,47.35,2.358855468,,,
KIRIINDUS, EQ, 18-Oct-2021,533.8,533.45,538.7,525.1,526.0,526.2,529.57,122208,4915,69910,57.21,3.70222387,,,
KIRIINDUS, EQ, 19-Oct-2021,526.2,529.5,529.5,511.05,513.5,512.2,518.0,206098,6559,131505,63.81,6.811959,,,
KIRIINDUS, EQ, 20-Oct-2021,512.2,512.0,515.4,496.75,500.25,499.8,503.82,171174,9659,81208,47.44,4.091421456,,,
KIRIINDUS, EQ, 21-Oct-2021,499.8,503.7,503.7,490.8,496.0,498.05,498.03,143677,6440,73161,50.92,3.643637283,,,
KIRIINDUS, EQ, 22-Oct-2021,498.05,500.55,508.95,489.0,494.0,490.75,495.98,159652,5067,93919,58.83,4.658194562,4.1216194154,-1.4657162935448271,113.01855150902928
KIRIINDUS, EQ, 25-Oct-2021,490.75,495.7,495.7,482.75,489.9,489.95,489.45,91350,4394,40367,44.19,1.975762815,4.5814872342,-0.16301579215486733,43.124922410593584
KIRIINDUS, EQ, 26-Oct-2021,489.95,489.9,510.0,489.4,500.4,502.35,503.06,141147,5472,73810,52.29,3.71308586,4.2361950232000005,2.530870496989496,87.65143813410067
KIRIINDUS, EQ, 27-Oct-2021,502.35,502.0,507.35,494.0,494.75,495.6,500.0,70340,4009,26875,38.21,1.34375,3.6164203952,-1.3436846819946253,37.15690802384401
KIRIINDUS, EQ, 28-Oct-2021,495.6,495.5,497.15,483.15,485.0,485.9,489.74,72625,3229,40277,55.46,1.972525798,3.066886104,-1.9572235673930678,64.31689117594959
