SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
KOLTEPATIL, EQ, 14-Oct-2021,339.95,341.1,343.8,323.85,326.8,326.1,333.81,738270,17733,234268,31.73,7.820100108,,,
KOLTEPATIL, EQ, 18-Oct-2021,326.1,329.0,335.0,320.5,325.95,327.75,327.11,544278,12291,129395,23.77,4.2326398450000005,,,
KOLTEPATIL, EQ, 19-Oct-2021,327.75,327.7,329.05,308.0,313.0,313.95,320.33,394151,10189,148230,37.61,4.74825159,,,
KOLTEPATIL, EQ, 20-Oct-2021,313.95,315.6,317.95,294.05,302.5,302.05,305.64,472942,12307,154030,32.57,4.707772919999999,,,
KOLTEPATIL, EQ, 21-Oct-2021,302.05,304.95,314.25,302.35,306.5,308.8,307.71,499693,12320,126697,25.35,3.8985933869999996,,,
KOLTEPATIL, EQ, 22-Oct-2021,308.8,309.2,317.55,284.0,309.05,304.8,311.3,454714,10249,163411,35.94,5.08698443,5.08147157,-1.2953367875647668,100.10848943901503
KOLTEPATIL, EQ, 25-Oct-2021,304.8,301.0,311.25,285.2,303.75,305.95,299.46,631808,17710,203192,32.16,6.084787631999999,4.5348484344,0.3772965879265017,134.17841235536397
KOLTEPATIL, EQ, 26-Oct-2021,305.95,305.95,317.0,302.0,316.0,315.55,310.5,418257,12982,140644,33.63,4.3669962,4.9052779918,3.1377676090864592,89.02647734338748
KOLTEPATIL, EQ, 27-Oct-2021,315.55,317.65,327.7,316.75,319.05,320.35,322.54,411482,11342,111758,27.16,3.604642532,4.829026913799999,1.5211535414355923,74.6453187431809
KOLTEPATIL, EQ, 28-Oct-2021,320.35,320.0,321.55,303.0,303.0,305.4,311.07,232120,8351,75107,32.36,2.3363534489999997,4.6084008361999995,-4.666770719525533,50.697704736259716
KOLTEPATIL, EQ, 29-Oct-2021,305.4,306.7,326.8,299.2,309.5,309.15,316.69,1261925,40164,177289,14.05,5.614565341,4.2959528486,1.2278978388998036,130.69429621020444
KOLTEPATIL, EQ, 01-Nov-2021,309.15,309.0,324.7,309.0,321.5,321.65,320.38,520642,16591,155169,29.8,4.971304422,4.4014690307999995,4.043344654698366,112.94648189530551
KOLTEPATIL, EQ, 02-Nov-2021,321.65,322.0,342.9,322.0,337.5,339.05,336.86,1623079,35178,388561,23.94,13.089065846,4.1787723888,5.409606715373864,313.22753737632337
KOLTEPATIL, EQ, 03-Nov-2021,339.05,339.0,346.5,330.2,334.35,335.65,338.29,1019447,26237,236047,23.15,7.985233963000001,5.923186318,-1.0028019466155536,134.81314843555796
KOLTEPATIL, EQ, 08-Nov-2021,340.95,342.9,342.9,335.7,337.0,337.85,338.76,227123,5772,75955,33.44,2.57305158,6.7993046042000005,0.6554446596156848,37.842863789491055
KOLTEPATIL, EQ, 09-Nov-2021,337.85,337.85,344.7,336.05,338.9,338.95,340.28,303832,7296,102888,33.86,3.501072864,6.8466442304,0.3255882788219523,51.13560375248909
KOLTEPATIL, EQ, 10-Nov-2021,338.95,338.0,351.95,333.25,339.0,338.8,343.99,705904,18558,167243,23.69,5.752991957,6.423945734999999,-0.044254314795685874,89.55542581338447
KOLTEPATIL, EQ, 11-Nov-2021,338.8,338.9,343.8,321.25,324.45,326.3,335.7,697665,16659,165064,23.66,5.541198479999999,6.580283242000002,-3.689492325855962,84.20911800015185
KOLTEPATIL, EQ, 12-Nov-2021,326.3,328.45,331.85,321.9,325.2,327.45,326.19,307117,7300,88091,28.68,2.873440329,5.0707097688,0.35243640821329364,56.66741856692795
KOLTEPATIL, EQ, 15-Nov-2021,327.45,330.0,330.0,319.0,321.7,321.0,323.96,207272,7256,77620,37.45,2.51457752,4.048351042,-1.9697663765460343,62.11362339659476
KOLTEPATIL, EQ, 16-Nov-2021,321.0,322.5,327.4,320.55,323.4,324.45,324.22,174956,5196,58055,33.18,1.8822592100000002,4.03665623,1.0747663551401834,46.629167874421654
KOLTEPATIL, EQ, 17-Nov-2021,324.45,324.4,326.5,314.55,316.0,315.9,320.97,206951,7324,77777,37.58,2.496408369,3.7128934992,-2.6352288488210855,67.23619650113555
KOLTEPATIL, EQ, 18-Nov-2021,315.9,317.5,320.85,301.2,306.05,306.2,308.2,434469,14961,159626,36.74,4.919673319999999,3.0615767816000004,-3.0705919594808453,160.69083583227808
KOLTEPATIL, EQ, 22-Nov-2021,306.2,307.8,307.8,292.2,299.0,298.8,298.84,289027,10009,104266,36.07,3.115885144,2.9372717496,-2.4167210973220046,106.08092848148367
KOLTEPATIL, EQ, 23-Nov-2021,298.8,295.0,307.5,292.55,306.8,304.9,302.78,208763,6391,76632,36.71,2.3202636959999996,2.9857607126,2.0414993306559457,77.71097282539814
KOLTEPATIL, EQ, 24-Nov-2021,304.9,306.5,316.8,300.0,302.85,305.25,310.8,269701,10257,98708,36.6,3.06784464,2.9468979477999997,0.11479173499508782,104.10420361825874
