SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
L&TFH, EQ, 14-Oct-2021,92.4,93.15,95.1,92.3,94.3,94.35,94.05,17866584,68995,5704627,31.93,53.652016935,,,
L&TFH, EQ, 18-Oct-2021,94.35,95.0,95.95,92.75,92.95,92.95,94.46,12973008,51810,4927575,37.98,46.545873449999995,,,
L&TFH, EQ, 19-Oct-2021,92.95,93.55,95.25,91.05,92.25,92.25,93.53,15593974,62099,3563033,22.85,33.325047649,,,
L&TFH, EQ, 20-Oct-2021,92.25,92.75,94.15,90.1,91.6,91.35,92.11,12848965,52614,2277928,17.73,20.981994808,,,
L&TFH, EQ, 21-Oct-2021,91.35,89.0,89.9,84.9,85.35,85.2,86.85,25675719,101401,10878646,42.37,94.48104050999999,,,
L&TFH, EQ, 22-Oct-2021,85.2,86.25,86.85,84.5,84.8,84.8,85.55,8862716,40484,3166593,35.73,27.090203114999998,49.797194670399996,-0.46948356807512404,54.40106273918822
L&TFH, EQ, 25-Oct-2021,84.8,85.4,85.5,81.05,81.3,81.2,82.21,14029680,59581,4980053,35.5,40.941015713,44.4848319064,-4.245283018867918,92.03365272716665
L&TFH, EQ, 26-Oct-2021,81.2,82.35,85.15,81.5,84.6,84.85,83.87,12062523,49553,2926101,24.26,24.541209087000002,43.363860359,4.495073891625605,56.59369088413405
L&TFH, EQ, 27-Oct-2021,84.85,85.3,85.3,83.3,83.75,83.85,84.11,8696872,35200,3306339,38.02,27.809617329,41.6070926466,-1.1785503830288746,66.83864591358925
L&TFH, EQ, 28-Oct-2021,83.85,84.0,84.4,80.9,81.3,81.2,82.07,10318998,46896,4248571,41.17,34.868022196999995,42.97261715079999,-3.160405485986871,81.14009457380904
L&TFH, EQ, 29-Oct-2021,81.2,81.2,83.35,80.05,82.35,82.05,81.98,9376500,38008,2134719,22.77,17.500426362,31.0500134882,1.0467980295566433,56.362057197336554
L&TFH, EQ, 01-Nov-2021,82.05,82.05,83.7,81.85,83.45,83.4,82.91,6468392,23270,2102868,32.51,17.434878588,29.132058137599994,1.6453382084095167,59.84774060812838
L&TFH, EQ, 02-Nov-2021,83.4,83.65,86.35,83.5,85.75,85.8,85.29,10492071,32438,3590648,34.22,30.624636792,24.430830712600002,2.8776978417266084,125.35241700236412
L&TFH, EQ, 03-Nov-2021,85.8,86.0,86.45,84.2,85.0,84.7,85.13,7451404,23249,2892360,38.82,24.62266068,25.647516253599996,-1.2820512820512755,96.00407476705998
L&TFH, EQ, 08-Nov-2021,85.3,85.4,87.65,85.25,87.45,87.5,86.69,8164523,30103,3753941,45.98,32.542914528999994,25.0101249238,3.3057851239669387,130.11896033366745
L&TFH, EQ, 09-Nov-2021,87.5,87.45,88.35,86.25,86.75,86.6,87.05,7375687,24380,3544134,48.05,30.851686469999997,24.5451033902,-1.0285714285714351,125.69385420604091
L&TFH, EQ, 10-Nov-2021,86.6,86.6,88.65,86.15,87.5,87.6,87.78,6999471,29198,1914398,27.35,16.804585644,27.215355411799997,1.1547344110854503,61.74670655491013
L&TFH, EQ, 11-Nov-2021,87.6,87.7,87.9,84.85,85.45,85.4,85.86,5423841,25676,1908478,35.19,16.386192108000003,27.089296822999994,-2.5114155251141423,60.48954395186593
L&TFH, EQ, 12-Nov-2021,85.4,85.6,86.25,85.0,86.0,86.0,85.6,3602112,16005,786035,21.82,6.7284596,24.2416078862,0.7025761124121713,27.755830519106382
L&TFH, EQ, 15-Nov-2021,86.0,86.35,86.45,82.8,83.9,84.1,84.12,7151582,23901,1943186,27.17,16.346080632000003,20.662767670199997,-2.209302325581402,79.1088633086382
L&TFH, EQ, 16-Nov-2021,84.1,84.5,84.5,82.55,82.85,82.9,83.57,4292910,18964,1733527,40.38,14.487085138999998,17.423400890800004,-1.4268727705112827,83.14728697225549
L&TFH, EQ, 17-Nov-2021,82.9,82.9,83.45,82.25,82.65,82.6,82.85,4187311,17187,1246232,29.76,10.32503212,14.150480624600002,-0.36188178528348774,72.9659464855941
L&TFH, EQ, 18-Nov-2021,82.6,82.6,83.15,80.95,81.6,81.55,81.74,6082266,24804,2077121,34.15,16.978387054,12.854569919800003,-1.2711864406779627,132.08055314124547
L&TFH, EQ, 22-Nov-2021,81.55,81.65,81.95,77.6,78.9,78.95,79.33,9191752,40517,3796153,41.3,30.114881749000002,12.973008909,-3.1882280809319368,232.13490378556557
L&TFH, EQ, 23-Nov-2021,78.95,78.55,80.3,78.1,79.75,79.9,79.55,7062661,25051,2475937,35.06,19.696078834999998,17.6502933388,1.2032932235592182,111.5906600356767
L&TFH, EQ, 24-Nov-2021,79.9,80.0,80.65,78.5,78.7,78.9,79.67,7521982,25277,3248978,43.19,25.884607726000002,18.3202929794,-1.2515644555694618,141.28926734471762
L&TFH, EQ, 25-Nov-2021,78.9,79.0,79.4,77.8,79.3,79.0,78.71,5786845,24264,1400856,24.21,11.026137575999998,20.5997974968,0.1267427122940359,53.52546585816105
L&TFH, EQ, 26-Nov-2021,79.0,78.0,78.4,75.5,75.85,75.75,76.67,9526058,40064,4226050,44.36,32.40112535,20.740018587999998,-4.113924050632911,156.22515096850984
L&TFH, EQ, 29-Nov-2021,75.75,75.5,75.7,72.35,73.3,73.4,74.02,8712984,32995,2183056,25.06,16.158980512,23.8245662472,-3.102310231023095,67.82486759396552
L&TFH, EQ, 30-Nov-2021,73.4,73.5,77.7,73.5,75.1,75.25,76.12,12086521,46973,3628520,30.02,27.620294240000003,21.033385999799997,2.5204359673024443,131.31644253693932
L&TFH, EQ, 01-Dec-2021,75.25,75.85,77.8,75.05,77.7,77.55,76.54,5353550,19400,1234224,23.05,9.446750496000002,22.618229080800003,3.056478405315611,41.76609257184989
L&TFH, EQ, 02-Dec-2021,77.55,77.55,79.35,77.1,79.25,79.15,78.42,5888400,28713,1743287,29.61,13.670856654,19.3306576348,2.0631850419084574,70.72111519573473
L&TFH, EQ, 03-Dec-2021,79.15,79.35,80.15,78.45,78.85,78.85,79.34,5277358,21393,1420779,26.92,11.272460586,19.859601450400003,-0.37902716361340666,56.760759344306756
L&TFH, EQ, 06-Dec-2021,78.85,78.85,79.6,77.65,77.75,77.85,78.73,3228347,15334,787613,24.4,6.200877149,15.6338684976,-1.2682308180088777,39.66310161782361
L&TFH, EQ, 07-Dec-2021,77.85,78.5,80.0,78.3,79.15,79.1,79.23,5515647,15796,2522374,45.73,19.984769202000003,13.642247825000002,1.605651894669236,146.49176190288128
L&TFH, EQ, 08-Dec-2021,79.1,79.85,80.4,79.6,80.1,80.15,80.08,3395330,12445,1160030,34.17,9.28952024,12.1151428174,1.3274336283185986,76.67693546838105
L&TFH, EQ, 09-Dec-2021,80.15,80.75,81.3,79.85,80.8,80.7,80.77,6290977,19734,2368025,37.64,19.126537925,12.083696766200001,0.6862133499688049,158.28382898932
L&TFH, EQ, 10-Dec-2021,80.7,80.4,80.95,79.6,80.7,80.7,80.26,3814230,16729,1403667,36.8,11.265831342,13.174833020400001,0.0,85.51024005052595
L&TFH, EQ, 13-Dec-2021,80.7,81.2,81.8,79.5,79.7,79.7,80.55,4950080,20367,2173244,43.9,17.505480419999998,13.173507171600003,-1.2391573729863692,132.88397836636128
L&TFH, EQ, 14-Dec-2021,79.7,79.3,81.25,78.5,81.1,81.05,80.31,11051944,34753,4601140,41.63,36.951755340000005,15.4344278258,1.6938519447929665,239.41124191356096
L&TFH, EQ, 15-Dec-2021,81.05,81.1,81.65,80.5,80.7,80.9,81.05,5717570,15256,2740460,47.93,22.2114283,18.827825053399998,-0.18507094386180317,117.97129109179278
L&TFH, EQ, 16-Dec-2021,80.9,81.1,81.3,79.5,80.2,80.0,80.41,3954292,18455,1576961,39.88,12.680343400999998,21.4122066654,-1.1124845488257178,59.22016165428749
L&TFH, EQ, 17-Dec-2021,80.0,80.0,80.0,76.55,76.9,76.9,77.47,8941688,38023,4108850,45.95,31.83126095,20.1229677606,-3.874999999999993,158.18372979916205
L&TFH, EQ, 20-Dec-2021,76.9,76.0,76.0,71.5,74.45,74.55,73.61,12424355,50949,4304075,34.64,31.682296075,24.2360536822,-3.0559167750325207,130.72382364901608
L&TFH, EQ, 21-Dec-2021,74.55,75.3,78.4,74.75,77.15,77.1,77.29,9067957,30569,3068218,33.84,23.714256922000004,27.0714168132,3.420523138832994,87.59887628207532
L&TFH, EQ, 22-Dec-2021,77.1,77.5,79.85,77.15,79.7,79.7,79.18,7690941,22207,2961845,38.51,23.451888710000002,24.4239171296,3.3722438391699208,96.02017803105805
L&TFH, EQ, 23-Dec-2021,79.7,80.25,83.6,80.15,82.95,82.6,82.61,13729766,46963,3784614,27.57,31.264696254,24.672009211600002,3.6386449184441547,126.72132206930404
L&TFH, EQ, 24-Dec-2021,82.6,83.0,83.0,76.65,77.1,76.9,77.88,31197648,100744,8827866,28.3,68.75142040799999,28.3888797822,-6.900726392251803,242.17729243091708
L&TFH, EQ, 27-Dec-2021,76.9,76.9,78.1,74.5,77.95,77.9,76.82,9544676,34301,1797997,18.84,13.812212954,35.7729116738,1.3003901170351104,38.61081558009166
L&TFH, EQ, 28-Dec-2021,77.9,78.1,78.9,77.6,78.25,78.25,78.15,6259532,23301,1552060,24.8,12.129348900000002,32.1988950496,0.4492939666238694,37.670078061112484
L&TFH, EQ, 29-Dec-2021,78.25,78.25,78.95,77.6,77.8,77.95,78.21,4492942,16876,1109008,24.68,8.673551567999999,29.881913445199995,-0.38338658146964494,29.02609159853936
L&TFH, EQ, 30-Dec-2021,77.95,78.1,78.1,76.0,76.4,76.25,76.61,5682141,25618,2232352,39.29,17.102048672,26.926246016799997,-2.180885182809497,63.514418836289245
L&TFH, EQ, 31-Dec-2021,76.25,76.8,78.0,76.4,77.5,77.7,77.4,4288102,16124,1856457,43.29,14.368977180000002,24.093716500399996,1.9016393442622985,59.637861098604084
L&TFH, EQ, 03-Jan-2022,77.7,77.75,79.5,77.7,79.3,79.1,78.85,5452006,21044,2528983,46.39,19.941030955,13.2172278548,1.8018018018017907,150.87150780833488
L&TFH, EQ, 04-Jan-2022,79.1,79.4,79.85,78.4,79.2,79.1,79.09,5718763,19057,2454885,42.93,19.415685465,14.442991455000001,0.0,134.42980649468228
L&TFH, EQ, 05-Jan-2022,79.1,79.1,80.75,78.95,80.55,80.55,79.95,6756104,24128,2366744,35.03,18.922118280000003,15.900258767999997,1.8331226295828105,119.00509643328346
L&TFH, EQ, 06-Jan-2022,80.55,80.3,81.25,79.3,80.35,80.3,80.29,7547409,31985,2792368,37.0,22.419922672000002,17.9499721104,-0.31036623215394166,124.90227023255464
L&TFH, EQ, 07-Jan-2022,80.3,81.0,81.0,79.05,79.7,79.8,80.03,4587306,31552,1496872,32.63,11.979466616,19.013546910400002,-0.6226650062266501,63.00490209665976
L&TFH, EQ, 10-Jan-2022,79.8,80.35,80.75,79.8,80.15,80.2,80.26,4928430,22981,2062209,41.84,16.551289434,18.5356447976,0.5012531328320874,89.29438179643509
L&TFH, EQ, 11-Jan-2022,80.2,80.0,80.6,78.9,79.15,79.15,79.42,4803348,39085,2140053,44.55,16.996300926,17.8576964934,-1.3092269326683255,95.17633437370627
L&TFH, EQ, 12-Jan-2022,79.15,79.8,81.2,79.1,80.55,80.7,80.21,7569959,32005,3259223,43.05,26.142227682999998,17.3738195856,1.958307012002523,150.4690868591012
L&TFH, EQ, 13-Jan-2022,80.7,80.9,81.15,79.9,80.1,80.1,80.43,6482408,37764,3106670,47.92,24.986946810000003,18.8178414662,-0.7434944237918321,132.78327833126212
L&TFH, EQ, 14-Jan-2022,80.1,80.05,80.65,79.0,79.25,79.35,79.64,5824382,29921,2391359,41.06,19.044783075999998,19.3312462938,-0.9363295880149813,98.51813373309575
