SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
LAOPALA, EQ, 14-Oct-2021,306.55,308.9,316.5,306.0,308.5,307.5,310.78,156850,7235,63818,40.69,1.983335804,,,
LAOPALA, EQ, 18-Oct-2021,307.5,308.5,314.9,306.65,307.0,307.7,310.7,102891,5755,42970,41.76,1.3350779,,,
LAOPALA, EQ, 19-Oct-2021,307.7,309.4,317.0,306.25,314.95,310.5,312.48,272591,9158,98559,36.16,3.079771632,,,
LAOPALA, EQ, 20-Oct-2021,310.5,310.05,313.25,294.65,298.5,297.85,300.08,212607,10445,74706,35.14,2.2417776480000002,,,
LAOPALA, EQ, 21-Oct-2021,297.85,298.9,303.65,295.05,298.0,297.6,299.6,80319,4373,26171,32.58,0.78408316,,,
LAOPALA, EQ, 22-Oct-2021,297.6,299.8,307.65,297.25,304.7,302.5,301.62,129049,6016,47114,36.51,1.421052468,1.8848092288,1.6465053763440782,75.39502917781978
LAOPALA, EQ, 25-Oct-2021,302.5,305.5,308.0,288.05,290.4,290.0,294.09,175933,9540,86514,49.17,2.5442902259999998,1.7723525616,-4.132231404958678,143.55440791662406
LAOPALA, EQ, 26-Oct-2021,290.0,291.0,304.0,281.4,301.0,296.95,291.04,253684,10640,89738,35.37,2.6117347520000003,2.0141950268,2.396551724137927,129.66642838699318
LAOPALA, EQ, 27-Oct-2021,296.95,298.5,305.0,293.05,296.3,296.25,300.22,117646,5606,49197,41.82,1.4769923340000002,1.9205876508,-0.23572992086209418,76.9031464606562
LAOPALA, EQ, 28-Oct-2021,296.25,297.8,301.0,292.3,295.0,294.4,296.53,87971,5893,38168,43.39,1.131795704,1.767630588,-0.6244725738396701,64.02897255136207
LAOPALA, EQ, 29-Oct-2021,294.4,291.05,295.65,287.0,291.95,291.85,292.3,145131,6294,44298,30.52,1.29483054,1.8371730968000002,-0.8661684782608542,70.47950692590393
LAOPALA, EQ, 01-Nov-2021,291.85,293.0,311.0,292.1,310.0,308.7,305.51,526053,14715,119880,22.79,3.6624538799999997,1.8119287111999998,5.773513791331151,202.1301311338258
LAOPALA, EQ, 02-Nov-2021,308.7,309.0,349.0,302.85,338.0,335.15,325.93,1883340,47834,486180,25.81,15.846064740000001,2.0355614419999997,8.568189180434075,778.4616279836177
LAOPALA, EQ, 03-Nov-2021,335.15,344.0,355.5,331.0,340.0,341.15,343.72,1677348,52791,446463,26.62,15.345826236,4.6824274396,1.7902431746978964,327.73228061620387
LAOPALA, EQ, 08-Nov-2021,346.6,346.0,358.5,336.05,348.9,349.6,350.01,444273,19695,160827,36.2,5.629105826999999,7.45619422,2.476916312472533,75.4956974149206
LAOPALA, EQ, 09-Nov-2021,349.6,349.9,365.7,347.95,354.6,356.0,357.9,636294,28521,203782,32.03,7.29335778,8.3556562446,1.8306636155606342,87.28647477226542
LAOPALA, EQ, 10-Nov-2021,356.0,354.0,360.9,343.4,348.0,346.5,353.33,354550,18610,108030,30.47,3.81702399,9.555361692599998,-2.6685393258426964,39.94641032747128
LAOPALA, EQ, 11-Nov-2021,346.5,345.15,354.0,336.9,342.8,341.55,344.86,242176,13954,95926,39.61,3.3081040360000005,9.586275714600001,-1.4285714285714253,34.50875120315726
LAOPALA, EQ, 12-Nov-2021,341.55,341.05,356.0,341.05,351.55,352.1,349.14,188890,9222,71695,37.96,2.50315923,7.078683573800001,3.0888596105987443,35.36193140861425
LAOPALA, EQ, 15-Nov-2021,352.1,350.2,358.7,340.1,341.0,341.75,346.91,109999,6435,50642,46.04,1.7568216220000004,4.5101501726,-2.9395058222096058,38.9526191982036
LAOPALA, EQ, 16-Nov-2021,341.75,343.9,352.7,337.0,344.9,344.9,346.61,182075,7599,37960,20.85,1.31573156,3.7356933316000003,0.9217264081931169,35.22054524310943
LAOPALA, EQ, 17-Nov-2021,344.9,344.4,351.05,332.35,335.9,335.85,343.66,176074,10249,72524,41.19,2.4923597840000005,2.5401680876,-2.6239489707161368,98.11790787257823
LAOPALA, EQ, 18-Nov-2021,335.85,337.0,340.0,319.35,323.0,322.4,327.78,176616,12696,57559,32.59,1.886668902,2.2752352464000003,-4.004764031561722,82.92192664407732
LAOPALA, EQ, 22-Nov-2021,322.4,323.0,325.95,307.0,309.5,311.6,313.99,153448,8522,80424,52.41,2.525233176,1.9909482196,-3.3498759305210775,126.83570326642362
LAOPALA, EQ, 23-Nov-2021,311.6,308.55,317.15,300.1,313.3,314.1,313.4,122007,11247,33509,27.46,1.05017206,1.9953630088,0.8023106546854942,52.630626876839194
