SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
LAURUSLABS, EQ, 14-Oct-2021,634.4,636.7,653.4,628.2,653.4,651.0,646.18,2968994,66829,1397186,47.06,90.28336494799998,,,
LAURUSLABS, EQ, 18-Oct-2021,651.0,655.0,663.0,640.0,643.6,645.15,657.59,3803132,61511,2368031,62.27,155.719350529,,,
LAURUSLABS, EQ, 19-Oct-2021,645.15,645.7,656.0,608.0,615.7,617.0,633.96,2211029,47226,978089,44.24,62.006930244,,,
LAURUSLABS, EQ, 20-Oct-2021,617.0,615.0,616.95,590.4,601.9,599.45,604.66,2364834,64677,1168191,49.4,70.63583700599999,,,
LAURUSLABS, EQ, 21-Oct-2021,599.45,603.0,603.8,560.35,573.85,572.25,578.51,4388343,106500,2044429,46.59,118.272262079,,,
LAURUSLABS, EQ, 22-Oct-2021,572.25,570.0,574.15,520.0,535.7,536.5,539.48,8567734,195355,3904016,45.57,210.61385516800001,99.38354896119999,-6.247269550021843,211.92023968697785
LAURUSLABS, EQ, 25-Oct-2021,536.5,536.5,561.95,528.75,555.0,553.7,547.71,4064835,89723,1506009,37.05,82.485618939,123.44964700519999,3.205964585274938,66.81721733519863
LAURUSLABS, EQ, 26-Oct-2021,553.7,558.0,568.0,550.2,565.45,564.6,561.15,2283635,56895,824396,36.1,46.260981539999996,108.80290068720001,1.968575040635719,42.51815093882172
LAURUSLABS, EQ, 27-Oct-2021,564.6,565.0,577.95,559.15,574.0,574.9,571.37,1853498,51432,805635,43.47,46.031566995,105.6537109464,1.8243003896563859,43.56833904144894
LAURUSLABS, EQ, 28-Oct-2021,574.9,579.0,579.2,522.0,535.55,538.55,548.79,3795215,70890,1927096,50.78,105.757101384,100.7328569442,-6.322838754566015,104.98769179413141
LAURUSLABS, EQ, 29-Oct-2021,538.55,502.9,523.15,488.1,516.15,515.8,509.59,7597665,136999,3386114,44.57,172.552983326,98.2298248052,-4.2243060068703,175.66251763982132
LAURUSLABS, EQ, 01-Nov-2021,515.8,520.0,521.3,486.0,495.3,495.85,498.5,7309931,116444,4108544,56.2,204.8109184,90.6176504368,-3.867778208607975,226.0165844212022
LAURUSLABS, EQ, 02-Nov-2021,495.85,492.0,503.4,489.6,492.5,491.35,495.46,3411041,76033,1671059,48.99,82.794289214,115.082710329,-0.9075325199152969,71.94329102721562
LAURUSLABS, EQ, 03-Nov-2021,491.35,493.4,498.5,489.95,498.0,495.05,493.42,1909379,32194,996297,52.18,49.159286574,122.3893718638,0.7530273735626312,40.166303515885765
LAURUSLABS, EQ, 08-Nov-2021,498.5,500.0,502.4,488.9,497.75,497.2,496.02,1709942,37470,889801,52.04,44.135909202,123.0149157796,0.4342995657004297,35.87850214934603
LAURUSLABS, EQ, 09-Nov-2021,497.2,499.45,500.0,490.05,490.55,490.6,494.13,1881363,76060,1283799,68.24,63.436359987,110.69067734320001,-1.3274336283185773,57.30957792435719
LAURUSLABS, EQ, 10-Nov-2021,490.6,489.95,497.0,487.0,489.15,489.55,491.1,1983813,49683,1133462,57.14,55.664318820000005,88.8673526754,-0.21402364451692038,62.63753464483346
LAURUSLABS, EQ, 11-Nov-2021,489.55,489.55,491.25,455.25,462.6,462.2,469.88,5034806,122768,2832171,56.25,133.078050948,59.0380327594,-5.586763354100709,225.41071361631947
LAURUSLABS, EQ, 12-Nov-2021,462.2,462.6,472.0,451.0,453.2,452.45,458.63,4250872,85621,2120062,49.87,97.232403506,69.0947851062,-2.109476417135439,140.72321573408462
LAURUSLABS, EQ, 15-Nov-2021,452.45,453.0,494.45,452.3,490.45,491.05,480.85,7428322,124753,2180326,29.35,104.84097571000001,78.7094084926,8.531329428666156,133.20005539090894
LAURUSLABS, EQ, 16-Nov-2021,491.05,492.7,499.5,483.1,491.95,491.5,492.58,3248113,61247,1029867,31.71,50.72918868599999,90.8504217942,0.09164036248854264,55.838143273473065
LAURUSLABS, EQ, 17-Nov-2021,491.5,491.7,493.9,477.25,485.0,484.0,484.35,1954843,34113,778891,39.84,37.725585585000005,88.308987534,-1.5259409969481181,42.71998427167474
LAURUSLABS, EQ, 18-Nov-2021,484.0,486.5,486.5,471.0,482.9,482.05,478.83,1582591,33797,713593,45.09,34.168973619,84.721240887,-0.40289256198346873,40.33105896616186
