SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
MARKSANS, EQ, 14-Oct-2021,69.85,70.05,70.3,69.3,69.9,70.0,69.86,1361428,8352,873699,64.18,6.103661214,,,
MARKSANS, EQ, 18-Oct-2021,70.0,70.9,70.9,69.0,69.1,69.15,69.59,1537859,11130,1021610,66.43,7.10938399,,,
MARKSANS, EQ, 19-Oct-2021,69.15,69.4,69.85,68.0,68.15,68.1,68.89,1722175,11582,1053934,61.2,7.260551326000001,,,
MARKSANS, EQ, 20-Oct-2021,68.1,68.0,68.95,66.7,67.6,67.4,67.52,1182106,9839,593183,50.18,4.005171615999999,,,
MARKSANS, EQ, 21-Oct-2021,67.4,67.8,68.8,66.6,67.25,67.2,67.38,945870,7361,431507,45.62,2.9074941659999998,,,
MARKSANS, EQ, 22-Oct-2021,67.2,67.5,68.0,65.5,66.35,66.25,66.64,1215394,8037,725087,59.66,4.831979768,5.4772524624,-1.4136904761904803,88.21904414978789
MARKSANS, EQ, 25-Oct-2021,66.25,66.35,66.75,64.6,66.1,66.1,65.59,1033634,7169,534993,51.76,3.5090190870000004,5.2229161732,-0.22641509433963125,67.18505468277655
MARKSANS, EQ, 26-Oct-2021,66.1,66.0,66.85,65.6,66.05,65.9,66.09,989085,8983,559118,56.53,3.6952108620000006,4.502843192599999,-0.3025718608169269,82.0639472427717
MARKSANS, EQ, 27-Oct-2021,65.9,66.0,70.3,65.9,68.15,68.05,68.44,2311084,15769,876583,37.93,5.999334051999999,3.7897750998,3.2625189681335223,158.30316823593586
MARKSANS, EQ, 28-Oct-2021,68.05,68.35,68.4,66.05,66.4,66.45,67.04,900576,7076,481385,53.45,3.2272050400000003,4.188607587,-2.351212343864797,77.04720418346508
MARKSANS, EQ, 29-Oct-2021,66.45,66.45,66.75,65.05,66.05,66.05,66.0,1207972,7454,628609,52.04,4.1488194,4.2525497618,-0.6019563581640417,97.56074901858189
MARKSANS, EQ, 01-Nov-2021,66.05,66.25,67.6,65.75,67.3,66.7,66.37,931964,6036,456035,48.93,3.0267042950000005,4.115917688200001,0.9841029523088655,73.53656035632865
MARKSANS, EQ, 02-Nov-2021,66.7,67.15,67.25,65.9,66.4,66.3,66.4,950414,6838,481859,50.7,3.19954376,4.0194547298000005,-0.5997001499250459,79.6014378835709
MARKSANS, EQ, 03-Nov-2021,66.3,66.35,66.7,66.1,66.5,66.45,66.36,701495,3824,451051,64.3,2.993174436,3.9203213094000007,0.2262443438914113,76.35023253892679
MARKSANS, EQ, 08-Nov-2021,67.25,67.25,67.75,65.75,66.3,66.25,66.5,712481,6676,354435,49.75,2.35699275,3.3190893862000004,-0.30097817908202085,71.01323513008796
MARKSANS, EQ, 09-Nov-2021,66.25,66.65,68.1,66.2,67.5,67.35,67.28,1125037,8343,571706,50.82,3.846437968,3.1450469282,1.6603773584905575,122.3014490979766
MARKSANS, EQ, 10-Nov-2021,67.35,67.3,68.45,62.4,63.1,63.0,64.42,5029825,27920,2657580,52.84,17.12013036,3.0845706418,-6.458797327394201,555.0247456809599
MARKSANS, EQ, 11-Nov-2021,63.0,63.1,63.1,60.5,61.1,61.05,61.3,2727582,15012,1565118,57.38,9.59417334,5.903255854799999,-3.0952380952381,162.52342056627745
MARKSANS, EQ, 12-Nov-2021,61.05,58.0,61.4,58.0,59.6,59.45,59.75,2162641,15147,1229757,56.86,7.347798075,7.1821817708,-2.6208026208026114,102.30593306442526
MARKSANS, EQ, 15-Nov-2021,59.45,59.45,59.5,57.3,58.9,58.8,58.33,2664913,13004,1243366,46.66,7.2525538780000005,8.0531064986,-1.0933557611438278,90.05908315332509
MARKSANS, EQ, 16-Nov-2021,58.8,59.0,61.45,58.8,59.7,59.8,60.24,2523302,14866,1121405,44.44,6.75534372,9.0322187242,1.7006802721088436,74.7916312289961
MARKSANS, EQ, 17-Nov-2021,59.8,59.95,60.25,59.0,59.2,59.1,59.68,1332687,9077,698650,52.42,4.1695432,9.613999874600001,-1.1705685618729027,43.36949505289521
MARKSANS, EQ, 18-Nov-2021,59.1,59.6,59.6,56.5,56.7,57.0,57.37,1569926,10355,666334,42.44,3.8227581579999996,7.0238824426,-3.553299492385789,54.42514434488379
MARKSANS, EQ, 22-Nov-2021,57.0,57.4,57.85,53.6,54.3,54.05,55.22,1664156,11704,871224,52.35,4.810898928,5.8695994062,-5.175438596491233,81.9629858030566
