SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
MASTEK, EQ, 14-Oct-2021,3098.25,3140.0,3300.0,3135.0,3233.0,3225.85,3241.01,240839,23206,103333,42.91,33.490328633000004,,,
MASTEK, EQ, 18-Oct-2021,3225.85,3268.8,3350.0,3240.0,3324.0,3315.8,3300.79,149773,17080,70635,47.16,23.315130165,,,
MASTEK, EQ, 19-Oct-2021,3315.8,3337.0,3669.0,3245.0,3475.0,3437.55,3486.5,385606,43953,114331,29.65,39.86150315,,,
MASTEK, EQ, 20-Oct-2021,3437.55,3100.0,3150.0,2820.95,2939.8,2956.4,2966.64,861677,101483,433193,50.27,128.512768152,,,
MASTEK, EQ, 21-Oct-2021,2956.4,2984.0,2997.8,2802.0,2840.0,2822.45,2866.83,257845,32840,131320,50.93,37.647211559999995,,,
MASTEK, EQ, 22-Oct-2021,2822.45,2849.0,2984.5,2828.0,2843.0,2848.95,2901.33,200112,26673,93987,46.97,27.268730271,52.565388332,0.9389006005420824,51.875827681082185
MASTEK, EQ, 25-Oct-2021,2848.95,2870.0,2884.8,2604.85,2680.0,2695.9,2677.89,228151,29341,98871,43.34,26.476566219,51.321068659599995,-5.3721546534688125,51.59005241027334
MASTEK, EQ, 26-Oct-2021,2695.9,2695.9,2918.4,2695.0,2825.95,2832.05,2837.09,166227,24450,71332,42.91,20.237530388000003,51.9533558704,5.050261508216184,38.95326884847138
MASTEK, EQ, 27-Oct-2021,2832.05,2839.8,2882.0,2775.55,2810.0,2800.3,2832.18,60595,10989,30363,50.11,8.599348134,48.028561318,-1.121096025847001,17.904654851231534
MASTEK, EQ, 28-Oct-2021,2800.3,2824.7,2879.0,2800.3,2839.0,2832.25,2842.87,108487,19647,62410,57.53,17.742351669999998,24.045877314400002,1.1409491840159915,73.78542041955315
MASTEK, EQ, 29-Oct-2021,2832.25,2831.8,2837.95,2727.0,2779.0,2757.6,2780.8,69217,11920,35858,51.81,9.971392640000001,20.0649053364,-2.6357136552211173,49.69568743447182
MASTEK, EQ, 01-Nov-2021,2757.6,2750.0,2850.0,2750.0,2775.0,2788.9,2807.73,69316,14761,40508,58.44,11.373552684,16.605437810199998,1.1350449666376625,68.49294077036451
MASTEK, EQ, 02-Nov-2021,2788.9,2805.0,2870.0,2805.0,2825.0,2824.75,2834.76,82436,15256,50346,61.07,14.271882696,13.584835103200001,1.2854530460037974,105.0574599366183
MASTEK, EQ, 03-Nov-2021,2824.75,2830.8,2849.5,2750.0,2829.5,2821.8,2815.01,51823,10942,25096,48.43,7.064549096000001,12.391705564799999,-0.10443402070979088,57.01030466756431
MASTEK, EQ, 08-Nov-2021,2833.85,2845.0,2911.0,2788.95,2907.0,2899.5,2864.41,78067,15601,52779,67.61,15.118069538999999,12.0847457572,2.753561556453321,125.10043523251424
MASTEK, EQ, 09-Nov-2021,2899.5,2910.0,2939.7,2885.05,2893.0,2893.0,2905.4,42675,6716,23459,54.97,6.815777860000001,11.559889330999999,-0.22417658216933953,58.960580545717
MASTEK, EQ, 10-Nov-2021,2893.0,2890.0,2928.0,2830.1,2850.0,2852.55,2878.38,33078,5731,17948,54.26,5.166116424,10.928766375,-1.3982025578983692,47.27081032510405
MASTEK, EQ, 11-Nov-2021,2852.55,2849.0,2870.0,2792.6,2818.0,2816.55,2827.51,37335,5505,24012,64.31,6.789417012,9.687279123,-1.2620287111531787,70.08590261304893
MASTEK, EQ, 12-Nov-2021,2816.55,2828.0,2857.55,2800.0,2849.0,2845.8,2831.0,48700,7515,30868,63.38,8.7387308,8.190785986200002,1.038504553443042,106.68977085621805
MASTEK, EQ, 15-Nov-2021,2845.8,2861.0,2911.0,2845.05,2896.9,2894.4,2886.03,69893,9962,45437,65.01,13.113254511000001,8.525622327,1.7077798861480042,153.80993912281707
MASTEK, EQ, 16-Nov-2021,2894.4,2909.0,2943.25,2899.15,2934.4,2932.1,2931.41,63447,10802,37631,59.31,11.031188970999999,8.1246593214,1.3025152017689268,135.77417260985118
MASTEK, EQ, 17-Nov-2021,2932.1,2940.0,2968.35,2858.25,2872.0,2885.0,2916.11,62008,10068,36433,58.76,10.624263563000001,8.9677415436,-1.6063572183759052,118.4720089372135
MASTEK, EQ, 18-Nov-2021,2885.0,2890.0,2912.9,2708.75,2715.0,2719.7,2748.96,155698,16515,85460,54.89,23.49261216,10.0593709714,-5.729636048526869,233.5395744603944
MASTEK, EQ, 22-Nov-2021,2719.7,2675.0,2714.85,2490.0,2588.0,2574.95,2557.05,184741,21764,105689,57.21,27.025205745000004,13.400010000999998,-5.322278192447697,201.68048936518107
MASTEK, EQ, 23-Nov-2021,2574.95,2555.0,2710.0,2478.0,2708.0,2688.8,2625.46,79881,15004,38702,48.45,10.161055292,17.05730499,4.421445076603444,59.570109685891246
MASTEK, EQ, 24-Nov-2021,2688.8,2739.0,2739.0,2589.0,2600.0,2615.9,2657.53,74364,10704,46480,62.5,12.352199440000001,16.4668651462,-2.7112466527819135,75.01245276700693
MASTEK, EQ, 25-Nov-2021,2615.9,2624.0,2678.95,2619.9,2640.0,2642.8,2650.98,63230,10725,42393,67.05,11.238299514,16.73106724,1.0283267709010318,67.17024893147222
MASTEK, EQ, 26-Nov-2021,2642.8,2599.8,2619.75,2502.0,2515.7,2510.35,2517.9,177666,18607,112244,63.18,28.261916760000002,16.8538744302,-5.011729983351001,167.6879513790505
MASTEK, EQ, 29-Nov-2021,2510.35,2412.0,2547.1,2412.0,2514.95,2519.55,2500.24,86998,14836,50325,57.85,12.582457799999998,17.8077353502,0.36648276136794766,70.65725962655146
MASTEK, EQ, 30-Nov-2021,2519.55,2620.0,2810.0,2585.0,2620.0,2695.5,2711.93,501990,44959,273623,54.51,74.204642239,14.919185761200001,6.983389891051966,497.37729274731856
MASTEK, EQ, 01-Dec-2021,2695.5,2680.0,2715.0,2625.0,2681.0,2672.3,2659.72,65813,10761,24399,37.07,6.489450827999999,27.727903150600003,-0.8606937488406536,23.4040446288113
MASTEK, EQ, 02-Dec-2021,2672.3,2690.0,2959.0,2651.0,2946.0,2938.6,2863.52,390877,30335,165864,42.43,47.495488128,26.5553534282,9.965198518130439,178.85466392461186
MASTEK, EQ, 03-Dec-2021,2938.6,2950.0,2950.0,2855.0,2871.0,2871.75,2877.59,80984,10600,32492,40.12,9.349865428,33.806791151,-2.274892806098139,27.656766908868345
MASTEK, EQ, 06-Dec-2021,2871.75,2872.0,2872.0,2750.0,2758.0,2757.8,2779.45,67836,12108,33763,49.77,9.384257035,30.0243808846,-3.967963785148422,31.255455594800758
MASTEK, EQ, 07-Dec-2021,2757.8,2800.0,2817.0,2678.0,2720.0,2706.4,2714.0,69428,12955,34740,50.04,9.428436,29.384740731599994,-1.8638044818333488,32.08616365248639
MASTEK, EQ, 08-Dec-2021,2706.4,2809.0,2850.0,2753.25,2792.05,2804.65,2807.36,78870,11270,29773,37.75,8.358352928,16.4294994838,3.6302837718001775,50.87405697441725
MASTEK, EQ, 09-Dec-2021,2804.65,2803.0,2830.0,2773.05,2790.0,2791.0,2801.0,36644,6466,17729,48.38,4.9658929,16.8032799038,-0.4866917440678905,29.553116584560268
MASTEK, EQ, 10-Dec-2021,2791.0,2800.0,2824.7,2742.1,2765.95,2765.85,2777.92,36777,5908,19842,53.95,5.511948864,8.2973608582,-0.9011107130060942,66.43014517745999
MASTEK, EQ, 13-Dec-2021,2765.85,2787.6,2835.0,2770.05,2780.0,2783.3,2807.05,46728,7682,26239,56.15,7.365418495,7.529777545399999,0.6309091237775104,97.8172124022388
MASTEK, EQ, 14-Dec-2021,2783.3,2785.0,2804.6,2761.1,2782.1,2779.55,2787.68,33478,6840,19004,56.77,5.297707072,7.1260098374,-0.13473215248086803,74.34324668197377
MASTEK, EQ, 15-Dec-2021,2779.55,2800.0,2835.0,2751.0,2782.2,2787.15,2802.98,39181,7410,18575,47.41,5.20653535,6.2998640518,0.27342555449622813,82.64520166133404
MASTEK, EQ, 16-Dec-2021,2787.15,2800.0,2825.0,2682.0,2729.0,2705.9,2751.32,92307,15302,49686,53.83,13.670208552000002,5.669500536199999,-2.9151642358681804,241.11839243536792
MASTEK, EQ, 17-Dec-2021,2705.9,2750.0,2810.0,2722.0,2745.0,2751.7,2778.26,224200,16206,147644,65.85,41.019341944000004,7.4103636666,1.6925976569717922,553.5402011224149
MASTEK, EQ, 20-Dec-2021,2751.7,2750.0,2807.85,2681.85,2774.0,2780.05,2772.12,163771,18462,83439,50.95,23.130292068,14.511842282600004,1.0302721953701481,159.38908112124187
