SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
MAZDOCK, EQ, 14-Oct-2021,271.25,271.25,274.0,267.0,267.8,267.7,270.55,618078,13247,308734,49.95,8.35279837,,,
MAZDOCK, EQ, 18-Oct-2021,267.7,268.9,274.7,267.45,269.45,269.8,271.56,751318,12670,312279,41.56,8.480248524,,,
MAZDOCK, EQ, 19-Oct-2021,269.8,269.15,273.5,257.0,261.0,260.75,267.22,669815,13593,347037,51.81,9.273522714000002,,,
MAZDOCK, EQ, 20-Oct-2021,260.75,263.0,274.6,256.35,272.5,272.0,269.11,2132157,36105,634702,29.77,17.080465522,,,
MAZDOCK, EQ, 21-Oct-2021,272.0,274.9,281.0,270.2,278.8,279.0,276.78,2358076,37944,672259,28.51,18.606784601999998,,,
MAZDOCK, EQ, 22-Oct-2021,279.0,281.0,285.95,270.7,274.0,274.4,279.59,1707567,27909,497546,29.14,13.910888614,12.3587639464,-1.6487455197132697,112.55889888609872
MAZDOCK, EQ, 25-Oct-2021,274.4,276.65,276.65,261.0,262.85,262.4,265.95,673961,13060,240319,35.66,6.391283805,13.4703819952,-4.373177842565598,47.446938084439275
MAZDOCK, EQ, 26-Oct-2021,262.4,263.55,266.9,261.5,264.2,263.6,263.89,276189,6112,105083,38.05,2.773035287,13.0525890514,0.4573170731707491,21.24509762837104
MAZDOCK, EQ, 27-Oct-2021,263.6,264.65,267.5,261.85,262.8,262.35,264.87,261475,5304,110552,42.28,2.928190824,11.752491566,-0.47420333839150225,24.91548968621485
MAZDOCK, EQ, 28-Oct-2021,262.35,263.7,263.7,255.0,258.0,256.95,258.93,383648,7288,205882,53.66,5.330902625999999,8.922036626399999,-2.0583190394511277,59.749840190366875
MAZDOCK, EQ, 29-Oct-2021,256.95,256.9,261.4,251.6,256.5,257.1,257.29,283919,7629,95763,33.73,2.463886227,6.2668602312,0.05837711617047445,39.31611901496336
MAZDOCK, EQ, 01-Nov-2021,257.1,259.1,263.15,256.9,259.9,260.0,259.39,260174,4766,69868,26.85,1.812306052,3.9774597537999994,1.1279657720731144,45.56440955231672
MAZDOCK, EQ, 02-Nov-2021,260.0,260.9,279.9,260.85,277.95,277.8,273.11,1446232,23917,586687,40.57,16.023008657000002,3.0616642032000003,6.84615384615385,523.343109941744
MAZDOCK, EQ, 03-Nov-2021,277.8,279.05,310.0,279.05,294.9,295.7,301.03,11145142,155189,2272224,20.39,68.40075907199999,5.7116588772,6.443484521238292,1197.5637996352432
MAZDOCK, EQ, 08-Nov-2021,299.75,304.0,314.0,301.15,307.1,307.7,307.33,2270892,41180,648962,28.58,19.944549145999996,18.806172526799998,4.058167061210686,106.05320735826356
MAZDOCK, EQ, 09-Nov-2021,307.7,306.55,315.85,302.3,312.0,311.95,308.62,1318562,25176,489246,37.1,15.099110052,21.728901830799998,1.3812154696132597,69.4886017230632
MAZDOCK, EQ, 10-Nov-2021,311.95,309.0,321.0,303.0,305.2,305.0,312.47,3801705,52582,827220,21.76,25.848143340000004,24.255946595799998,-2.2279211412085234,106.56415010608451
MAZDOCK, EQ, 11-Nov-2021,305.0,306.5,318.6,304.85,305.8,305.75,310.73,1944330,26262,512182,26.34,15.915031286000001,29.0631140534,0.24590163934426232,54.76024095958208
MAZDOCK, EQ, 12-Nov-2021,305.75,307.3,308.9,303.0,305.3,306.85,305.65,677320,15139,252194,37.23,7.70830961,29.041518579199998,0.35977105478332716,26.542377902789198
MAZDOCK, EQ, 15-Nov-2021,306.85,306.6,310.0,302.65,305.9,305.15,305.99,565488,10665,208114,36.8,6.368080286,16.903028686800003,-0.5540166204986297,37.67419676080295
MAZDOCK, EQ, 16-Nov-2021,305.15,306.0,308.4,295.2,297.65,299.1,303.48,399497,7670,157689,39.47,4.785545772000001,14.1877349148,-1.9826314927084892,33.73016059813704
MAZDOCK, EQ, 17-Nov-2021,299.1,297.0,298.35,286.2,287.5,287.95,292.72,598575,12765,254128,42.46,7.438834816000001,12.125022058800003,-3.727850217318634,61.35110336233246
MAZDOCK, EQ, 18-Nov-2021,287.95,288.7,293.0,278.75,290.6,289.4,286.3,845302,15958,318048,37.63,9.105714240000001,8.443160354000002,0.5035596457718314,107.8472261359588
MAZDOCK, EQ, 22-Nov-2021,289.4,290.0,293.75,270.0,271.25,272.4,279.39,829420,18117,360528,43.47,10.072791792,7.0812969448,-5.874222529371114,142.24501345614013
MAZDOCK, EQ, 23-Nov-2021,272.4,272.9,281.35,270.8,277.4,277.45,277.08,452441,9357,147175,32.53,4.0779249,7.554193381199999,1.8538913362701952,53.98226778452173
MAZDOCK, EQ, 24-Nov-2021,277.45,279.0,287.1,278.1,278.7,279.95,283.46,381734,8683,131503,34.45,3.7275840379999994,7.096162304000001,0.9010632546404758,52.529576950330124
MAZDOCK, EQ, 25-Nov-2021,279.95,282.0,285.0,279.05,282.1,282.35,281.81,270286,6869,82183,30.41,2.315999123,6.8845699572,0.8572959457046024,33.64043269802043
MAZDOCK, EQ, 26-Nov-2021,282.35,279.3,284.2,270.0,270.7,271.1,276.65,512513,13202,179584,35.04,4.96819136,5.8600028186,-3.9844165043385864,84.78138174662071
MAZDOCK, EQ, 29-Nov-2021,271.1,275.0,275.05,255.25,256.0,257.9,262.19,618273,13967,245730,39.74,6.44279487,5.0324982426,-4.869052010328309,128.0237877772488
MAZDOCK, EQ, 30-Nov-2021,257.9,258.7,265.95,256.85,259.75,260.3,261.13,390959,8094,147202,37.65,3.8438858259999997,4.3064988581999994,0.9305932531989277,89.25779275851569
MAZDOCK, EQ, 01-Dec-2021,260.3,261.0,268.0,260.0,262.1,262.75,263.53,313464,9650,74818,23.87,1.9716787539999998,4.2596910434,0.9412216673069492,46.28689578449439
MAZDOCK, EQ, 02-Dec-2021,262.75,262.0,270.8,262.0,268.65,267.75,267.74,402140,9296,122096,30.36,3.268998304,3.9085099866,1.9029495718363463,83.63796728695814
MAZDOCK, EQ, 03-Dec-2021,267.75,267.45,271.95,265.0,265.7,265.8,268.58,182503,5053,61115,33.49,1.64142667,4.0991098228,-0.7282913165266064,40.04349092747123
MAZDOCK, EQ, 06-Dec-2021,265.8,266.0,268.95,257.3,258.5,258.3,263.45,224676,5067,90980,40.49,2.3968681,3.4337568847999997,-2.8216704288939054,69.80308101048354
MAZDOCK, EQ, 07-Dec-2021,258.3,263.0,264.25,260.65,261.95,262.0,262.55,146052,4161,44888,30.73,1.17853444,2.6245715308,1.4324428958575255,44.903879592139326
MAZDOCK, EQ, 08-Dec-2021,262.0,264.4,267.45,262.7,264.65,264.3,265.05,154212,3674,63043,40.88,1.6709547150000001,2.0915012535999997,0.8778625954198517,79.89259925729745
MAZDOCK, EQ, 09-Dec-2021,264.3,266.2,274.3,263.4,270.45,270.85,270.75,489786,9932,174074,35.54,4.71305355,2.0313564458,2.478244419220587,232.01509315337705
MAZDOCK, EQ, 10-Dec-2021,270.85,268.9,270.95,265.9,268.0,267.95,268.44,224322,6791,75311,33.57,2.021648484,2.320167495,-1.0707033413328535,87.13373014477128
MAZDOCK, EQ, 13-Dec-2021,267.95,271.1,277.65,265.05,266.15,266.55,271.92,465612,9921,133060,28.58,3.61816752,2.3962118578,-0.522485538346698,150.99530987722832
MAZDOCK, EQ, 14-Dec-2021,266.55,265.2,268.8,264.5,265.0,265.45,266.17,166688,3324,55527,33.31,1.4779621590000003,2.6404717418,-0.4126805477396446,55.97341322018765
