SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
MHRIL, EQ, 14-Oct-2021,241.05,242.0,248.45,241.1,243.75,242.8,244.45,412590,6881,139543,33.82,3.4111286350000003,,,
MHRIL, EQ, 18-Oct-2021,242.8,245.25,249.95,242.9,245.0,244.25,246.58,446069,8485,165854,37.18,4.089627932,,,
MHRIL, EQ, 19-Oct-2021,244.25,249.9,261.6,245.65,249.0,248.5,254.5,2152124,34130,601182,27.93,15.3000819,,,
MHRIL, EQ, 20-Oct-2021,248.5,250.0,250.25,237.25,245.9,244.45,244.35,439621,9592,156136,35.52,3.81518316,,,
MHRIL, EQ, 21-Oct-2021,244.45,247.95,249.2,239.2,243.8,242.45,243.41,219146,5469,91507,41.76,2.227371887,,,
MHRIL, EQ, 22-Oct-2021,242.45,247.0,259.0,234.05,249.6,248.75,250.49,1606831,32256,406075,25.27,10.171772675,5.7686787028,2.598473912146839,176.32759942173286
MHRIL, EQ, 25-Oct-2021,248.75,250.5,251.0,230.0,233.0,233.75,235.71,773854,17145,268336,34.68,6.3249478560000005,7.120807510800001,-6.030150753768844,88.82346344016554
MHRIL, EQ, 26-Oct-2021,233.75,234.35,240.25,234.2,237.0,236.4,237.51,245767,4747,97736,39.77,2.3213277359999998,7.5678714955999995,1.133689839572195,30.67345603515641
MHRIL, EQ, 27-Oct-2021,236.4,238.0,239.7,234.0,235.0,235.65,237.05,168474,3624,62948,37.36,1.49218234,4.9721206628,-0.31725888324873097,30.010984068912204
MHRIL, EQ, 28-Oct-2021,235.65,235.65,238.5,230.05,231.9,230.6,233.52,222905,5418,91021,40.83,2.125522392,4.5075204988,-2.1430086993422495,47.15502442120586
MHRIL, EQ, 29-Oct-2021,230.6,231.0,233.8,224.75,228.9,227.9,229.56,207285,4990,56914,27.46,1.306517784,4.4871505998000005,-1.170858629661747,29.116869490813023
MHRIL, EQ, 01-Nov-2021,227.9,231.3,232.6,228.0,230.15,230.2,230.33,120889,3135,40549,33.54,0.933965117,2.7140996216,1.009214567792884,34.41160042789492
MHRIL, EQ, 02-Nov-2021,230.2,232.0,237.85,232.0,233.0,232.9,234.12,162824,4261,56975,34.99,1.3338987,1.6359030738000002,1.1728931364031352,81.5389812124699
MHRIL, EQ, 03-Nov-2021,232.9,234.85,234.85,229.0,230.85,230.8,232.3,138463,3131,50658,36.59,1.1767853400000001,1.4384172666,-0.9016745384285075,81.81112444385337
MHRIL, EQ, 08-Nov-2021,237.8,238.55,245.35,235.65,242.9,242.3,241.3,349276,7267,179042,51.26,4.32028346,1.3753378666,4.98266897746967,314.1252462335134
MHRIL, EQ, 09-Nov-2021,242.3,243.0,250.55,243.0,244.6,244.9,246.87,392124,10040,158939,40.53,3.923727093,1.8142900802,1.0730499380932705,216.26790201969604
MHRIL, EQ, 10-Nov-2021,244.9,244.7,262.9,242.2,257.95,258.2,257.66,1596129,24191,445393,27.9,11.475996038000002,2.337731942,5.43078807676602,490.90299156292235
