SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
MMFL, EQ, 14-Oct-2021,876.05,865.0,893.45,837.15,885.8,885.35,881.39,45499,2300,36932,81.17,3.255149548,,,
MMFL, EQ, 18-Oct-2021,885.35,900.0,950.0,896.2,920.0,922.35,921.55,50718,8330,29395,57.96,2.708896225,,,
MMFL, EQ, 19-Oct-2021,922.35,932.0,955.0,890.0,905.0,921.75,935.68,31114,3163,17746,57.04,1.660457728,,,
MMFL, EQ, 20-Oct-2021,921.75,908.7,927.0,864.45,890.0,887.85,887.48,21711,2927,10057,46.32,0.8925386359999999,,,
MMFL, EQ, 21-Oct-2021,887.85,897.6,898.0,831.0,870.0,865.05,860.96,26240,4185,11540,43.98,0.9935478400000001,,,
MMFL, EQ, 22-Oct-2021,865.05,852.3,931.1,840.65,894.6,898.0,880.0,12990,1322,7959,61.27,0.700392,1.9021179954,3.809028379862441,36.821690436334535
MMFL, EQ, 25-Oct-2021,898.0,900.0,900.0,840.0,847.0,849.75,856.72,18669,2743,8090,43.33,0.69308648,1.3911664858,-5.373051224944321,49.82052738292037
MMFL, EQ, 26-Oct-2021,849.75,877.55,877.85,840.0,860.0,847.35,850.16,14163,1755,8280,58.46,0.70393248,0.9880045367999999,-0.2824360105913477,71.24789955721589
MMFL, EQ, 27-Oct-2021,847.35,841.2,884.95,841.2,878.0,873.1,870.26,15589,857,11087,71.12,0.9648572619999999,0.7966994872,3.0388859385141913,121.1068009333093
MMFL, EQ, 28-Oct-2021,873.1,876.0,876.0,829.95,839.0,837.1,843.63,8297,1258,3725,44.9,0.314252175,0.8111632124,-4.123239033329516,38.74093033265373
MMFL, EQ, 29-Oct-2021,837.1,828.95,874.0,820.95,854.0,851.15,848.71,26563,2244,14973,56.37,1.270773483,0.6753040793999999,1.6784135706606085,188.17796630653675
MMFL, EQ, 01-Nov-2021,851.15,854.1,868.95,828.0,828.0,832.3,839.01,5398,675,3281,60.78,0.275279181,0.7893803759999999,-2.2146507666098834,34.87281789229582
