SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
MPHASIS, EQ, 14-Oct-2021,3130.3,3225.0,3455.0,3224.9,3268.0,3266.6,3336.87,2139363,145533,500501,23.39,167.010677187,,,
MPHASIS, EQ, 18-Oct-2021,3266.6,3390.0,3390.0,3299.85,3369.6,3356.7,3346.53,1149208,76739,384121,33.42,128.547245013,,,
MPHASIS, EQ, 19-Oct-2021,3356.7,3411.0,3659.75,3411.0,3553.0,3546.45,3572.1,2079946,145591,470611,22.63,168.10695531,,,
MPHASIS, EQ, 20-Oct-2021,3546.45,3572.15,3595.9,3367.6,3465.15,3470.15,3471.51,986753,84032,318829,32.31,110.68180617899999,,,
MPHASIS, EQ, 21-Oct-2021,3470.15,3470.15,3503.85,3283.3,3409.95,3396.45,3376.35,1184242,82471,531533,44.88,179.464144455,,,
MPHASIS, EQ, 22-Oct-2021,3396.45,3200.0,3519.2,3085.0,3246.8,3254.7,3248.77,2688874,192581,801805,29.82,260.488002985,150.7621656288,-4.173475246212957,172.78075165513482
MPHASIS, EQ, 25-Oct-2021,3254.7,3294.0,3303.95,3105.0,3208.0,3203.7,3172.26,791785,68300,303564,38.34,96.29839346400001,169.45763078839997,-1.5669646972071158,56.82741639663713
MPHASIS, EQ, 26-Oct-2021,3203.7,3203.7,3341.85,3201.4,3242.0,3244.0,3275.69,659888,57218,260900,39.54,85.4627521,163.00786047859998,1.257920529387901,52.42860795122192
MPHASIS, EQ, 27-Oct-2021,3244.0,3250.25,3366.0,3240.0,3360.0,3351.6,3311.83,751000,63706,377178,50.22,124.914941574,146.4790198366,3.316892725030823,85.27838438115225
MPHASIS, EQ, 28-Oct-2021,3351.6,3385.05,3390.0,3255.0,3284.0,3270.9,3301.05,529347,41385,210616,39.79,69.52539468,149.32564691559998,-2.4078052273540944,46.55958043114744
MPHASIS, EQ, 29-Oct-2021,3270.9,3273.0,3316.85,3212.0,3235.0,3235.8,3265.67,436159,33115,177640,40.73,58.01136188000001,127.33789696059998,-1.073099147023752,45.55702839819122
MPHASIS, EQ, 01-Nov-2021,3235.8,3268.0,3335.0,3250.15,3320.0,3320.95,3316.4,456330,36166,184103,40.34,61.05591892,86.84256873960001,2.631497620372076,70.3064405004854
MPHASIS, EQ, 02-Nov-2021,3320.95,3320.95,3454.45,3320.9,3388.5,3387.55,3394.19,502036,47944,209779,41.79,71.202978401,79.7940738308,2.0054502476701055,89.23341669706316
MPHASIS, EQ, 03-Nov-2021,3387.55,3400.0,3445.3,3284.5,3310.0,3299.35,3348.04,425741,24722,218674,51.36,73.212929896,76.942119091,-2.60365160661836,95.15325384970298
MPHASIS, EQ, 08-Nov-2021,3316.6,3354.1,3407.9,3290.0,3388.0,3385.15,3360.95,519399,42053,285463,54.96,95.942686985,66.6017167554,2.6005122221043595,144.05437526086152
MPHASIS, EQ, 09-Nov-2021,3385.15,3385.15,3462.0,3365.0,3367.15,3373.1,3421.96,625236,54602,333448,53.33,114.10457180799999,71.88517521640001,-0.3559665007459103,158.73171549558657
MPHASIS, EQ, 10-Nov-2021,3373.1,3352.0,3394.95,3324.95,3364.0,3363.1,3366.91,296942,26573,137219,46.21,46.200402329,83.10381720199999,-0.29646319409445315,55.59359832617668
MPHASIS, EQ, 11-Nov-2021,3363.1,3364.8,3379.4,3293.75,3355.0,3348.25,3334.59,357090,29487,156607,43.86,52.222013613,80.1327138838,-0.4415568969105857,65.16940595413611
MPHASIS, EQ, 12-Nov-2021,3348.25,3405.0,3417.95,3329.05,3360.55,3353.4,3361.71,773128,51738,458105,59.25,154.001615955,76.3365209262,0.15381169267528086,201.74041741289787
MPHASIS, EQ, 15-Nov-2021,3353.4,3390.0,3444.9,3375.0,3417.0,3422.75,3416.15,488346,37777,205862,42.15,70.32554713,92.49425813799999,2.0680503369714294,76.03233816425164
MPHASIS, EQ, 16-Nov-2021,3422.75,3444.8,3494.8,3427.0,3446.0,3454.35,3457.69,785380,66960,427204,54.39,147.713899876,87.37083016700001,0.9232342414724976,169.0654645190628
MPHASIS, EQ, 17-Nov-2021,3454.35,3468.0,3491.8,3402.05,3446.0,3442.65,3445.39,547200,41406,288396,52.7,99.363669444,94.0926957806,-0.338703374006682,105.60189462069462
MPHASIS, EQ, 18-Nov-2021,3442.65,3460.0,3471.25,3315.75,3324.0,3339.15,3389.92,516894,37931,250973,48.55,85.077839216,104.72534920360002,-3.006404949675395,81.23901219999502
MPHASIS, EQ, 22-Nov-2021,3339.15,3345.0,3360.0,3177.05,3268.0,3247.7,3280.14,765536,49655,392700,51.3,128.8110978,111.29651432419999,-2.738720931973714,115.7368661383061
MPHASIS, EQ, 23-Nov-2021,3247.7,3247.7,3329.25,3152.0,3290.6,3290.95,3279.93,762502,50987,419626,55.03,137.63439061799997,106.25841069319999,1.3317116728761893,129.52799662644296
MPHASIS, EQ, 24-Nov-2021,3290.95,3324.4,3350.0,3198.55,3205.1,3212.15,3283.07,702672,66905,422061,60.07,138.565580727,119.72017939079998,-2.394445372916627,115.74120706475337
MPHASIS, EQ, 25-Nov-2021,3212.15,3220.3,3295.95,3208.0,3260.35,3261.6,3262.52,1017061,59191,533038,52.41,173.904713576,117.890515561,1.5394673349625583,147.51374421296566
MPHASIS, EQ, 26-Nov-2021,3261.6,3210.0,3214.75,3029.0,3042.35,3059.2,3120.54,873005,61012,492087,56.37,153.557716698,132.7987243874,-6.20554329163601,115.63192147090355
MPHASIS, EQ, 29-Nov-2021,3059.2,2958.0,3044.75,2929.45,2998.5,2988.5,2996.63,1245417,84707,661655,53.13,198.273522265,146.4946998838,-2.3110617154811655,135.34518478980544
MPHASIS, EQ, 30-Nov-2021,2988.5,3075.0,3106.25,2825.0,2849.95,2895.15,2915.01,11262910,199157,6621387,58.79,1930.1409318870003,160.38718477679998,-3.1236406223858095,1203.4259062362414
MPHASIS, EQ, 01-Dec-2021,2895.15,2867.8,3029.7,2851.0,3014.0,3011.6,2984.26,988525,69039,408221,41.3,121.823760146,518.8884930306001,4.022244097887841,23.47783035898153
MPHASIS, EQ, 02-Dec-2021,3011.6,3012.0,3123.3,2974.85,3116.1,3107.1,3056.04,908162,44692,472450,52.02,144.3826098,515.5401289144,3.1710718554920976,28.006085598813435
MPHASIS, EQ, 03-Dec-2021,3107.1,3130.0,3138.15,3065.0,3080.0,3086.85,3093.24,304524,21473,79319,26.05,24.535270355999998,509.6357081592,-0.6517331273534808,4.81427615121813
MPHASIS, EQ, 06-Dec-2021,3086.85,3090.0,3119.5,3007.0,3026.9,3022.85,3043.9,310890,21040,113121,36.39,34.43290119,483.83121889080013,-2.0733109804493255,7.116717534048056
MPHASIS, EQ, 07-Dec-2021,3022.85,3056.0,3083.15,2990.75,3055.05,3047.0,3031.5,447610,39124,231787,51.78,70.26622905,451.0630946758,0.7989149312734702,15.57791579036268
MPHASIS, EQ, 08-Dec-2021,3047.0,3084.8,3154.15,3066.2,3137.0,3131.3,3128.96,500088,35991,178765,35.75,55.93485344,79.0881541084,2.7666557269445415,70.7246920484886
MPHASIS, EQ, 09-Dec-2021,3131.3,3145.05,3162.6,3102.9,3130.0,3132.95,3123.28,278294,16502,86106,30.94,26.893314768,65.9103727672,0.05269376936095667,40.802856422901826
MPHASIS, EQ, 10-Dec-2021,3132.95,3110.0,3150.0,3107.0,3125.0,3133.9,3131.07,197909,12356,48477,24.49,15.178488039000001,42.412513760799996,0.030322858647609214,35.78775859550396
