SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
MUTHOOTFIN, EQ, 14-Oct-2021,1567.05,1587.0,1588.0,1541.3,1554.1,1552.6,1564.44,551085,24703,240247,43.6,37.585201668,,,
MUTHOOTFIN, EQ, 18-Oct-2021,1552.6,1568.1,1580.0,1545.05,1558.0,1559.15,1565.88,522124,31014,231902,44.42,36.313070376000006,,,
MUTHOOTFIN, EQ, 19-Oct-2021,1559.15,1559.95,1589.4,1535.0,1539.25,1552.4,1563.71,729901,31676,208087,28.51,32.538772277,,,
MUTHOOTFIN, EQ, 20-Oct-2021,1552.4,1547.0,1566.2,1513.95,1533.0,1533.25,1532.97,671846,33459,261602,38.94,40.102801794,,,
MUTHOOTFIN, EQ, 21-Oct-2021,1533.25,1548.0,1548.9,1512.5,1531.05,1531.5,1523.44,608376,29917,295443,48.56,45.008968392,,,
MUTHOOTFIN, EQ, 22-Oct-2021,1531.5,1540.0,1612.0,1532.0,1569.4,1566.05,1585.66,2997151,105264,484724,16.17,76.860745784,38.30976290139999,2.255958210904339,200.62965667999788
MUTHOOTFIN, EQ, 25-Oct-2021,1566.05,1578.0,1578.0,1506.65,1526.0,1520.45,1529.39,718804,28061,207613,28.88,31.752124607,46.164871724600005,-2.9117844257846115,68.77983934715485
MUTHOOTFIN, EQ, 26-Oct-2021,1520.45,1526.75,1542.0,1504.0,1529.0,1529.3,1520.9,902649,42516,300694,33.31,45.732550460000006,45.252682570800005,0.5820645203722522,101.06041865794194
MUTHOOTFIN, EQ, 27-Oct-2021,1529.3,1531.55,1547.1,1518.0,1518.5,1520.3,1529.35,441419,41267,181395,41.09,27.741644325,47.8914382074,-0.5885045445628719,57.926104045698644
MUTHOOTFIN, EQ, 28-Oct-2021,1520.3,1527.0,1527.5,1476.0,1482.0,1482.25,1498.79,693140,35937,273740,39.49,41.02787746,45.4192067136,-2.50279550088798,90.33155889029412
MUTHOOTFIN, EQ, 29-Oct-2021,1482.25,1487.0,1495.8,1450.9,1473.85,1467.75,1472.91,687082,39715,302853,44.08,44.607521223,44.62298852720001,-0.9782425366840951,99.96533781194287
MUTHOOTFIN, EQ, 01-Nov-2021,1467.75,1483.0,1496.5,1457.25,1485.0,1492.6,1479.15,441123,26851,123156,27.92,18.216619740000002,38.172343615,1.6930676205075732,47.7220364663219
MUTHOOTFIN, EQ, 02-Nov-2021,1492.6,1489.0,1510.0,1481.8,1494.0,1491.3,1491.9,632883,28889,289779,45.79,43.23212901,35.4652426416,-0.0870963419536349,121.89999500888682
MUTHOOTFIN, EQ, 03-Nov-2021,1491.3,1493.2,1556.7,1491.1,1524.8,1519.1,1526.33,1827204,71993,303160,16.59,46.27222027999999,34.965158351599996,1.8641453765171296,132.33808299879354
MUTHOOTFIN, EQ, 08-Nov-2021,1530.1,1550.0,1683.1,1532.0,1659.0,1659.4,1647.63,7164107,196698,1452655,20.28,239.343795765,38.6712735426,9.235731683233507,618.9188351951756
