SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG
NATIONALUM, EQ, 14-Oct-2021,105.25,107.25,108.75,105.55,107.75,107.6,107.41,44802816,129221,18643591,41.61,200.250810931,,,
NATIONALUM, EQ, 18-Oct-2021,107.6,112.05,127.95,112.05,121.45,121.7,120.16,182556138,399173,36162115,19.81,434.52397383999994,,,
NATIONALUM, EQ, 19-Oct-2021,121.7,123.55,123.75,112.5,114.65,114.05,118.21,50511384,187280,16001507,31.68,189.15381424699999,,,
NATIONALUM, EQ, 20-Oct-2021,114.05,113.8,113.8,106.75,109.65,109.45,109.51,47258759,144658,13716043,29.02,150.20438689300002,,,
NATIONALUM, EQ, 21-Oct-2021,109.45,110.4,113.25,103.45,109.2,108.65,108.13,42042694,117571,12493339,29.72,135.090474607,,,
NATIONALUM, EQ, 22-Oct-2021,108.65,106.9,107.65,102.0,103.35,103.45,104.44,38996678,125858,12499911,32.05,130.549070484,221.84469210359998,-4.786010124252188,58.847056130166266
NATIONALUM, EQ, 25-Oct-2021,103.45,104.45,106.7,99.8,103.9,103.8,103.9,40399956,132073,9311979,23.05,96.75146181000001,207.90434401419998,0.3383276945384189,46.53652729997399
NATIONALUM, EQ, 26-Oct-2021,103.8,104.1,107.75,102.25,107.3,106.8,105.27,32466305,85455,7000099,21.56,73.690042173,140.34984160820002,2.8901734104046244,52.50454245521187
NATIONALUM, EQ, 27-Oct-2021,106.8,107.45,107.45,101.0,102.0,101.9,104.11,33353337,90477,11361065,34.06,118.28004771500001,117.2570871934,-4.588014981273401,100.87240826638715
NATIONALUM, EQ, 28-Oct-2021,101.9,98.7,100.75,95.1,98.5,98.55,98.21,53921049,163512,9007482,16.7,88.462480722,110.8722193578,-3.287536800785092,79.78777843033818
